fut2
,გაკლებ,ვაკლებ,,გაკლებთ,ვაკლებ,
მაკლებ,,აკლებ,გვაკლებ,,აკლებ,
მაკლებს,გაკლებს,აკლებს,გვაკლებს,გაკლებთ,აკლებს,
,გაკლებთ,ვაკლებთ,,გაკლებთ,ვაკლებთ,
მაკლებთ,,აკლებთ,გვაკლებთ,,აკლებთ,
მაკლებენ,გაკლებენ,აკლებენ,გვაკლებენ,გაკლებენ,აკლებენ,
fut2_prfv
,ჩაგაკლებ,ჩავაკლებ,,ჩაგაკლებთ,ჩავაკლებ,
ჩამაკლებ,,ჩააკლებ,ჩაგვაკლებ,,ჩააკლებ,
ჩამაკლებს,ჩაგაკლებს,ჩააკლებს,ჩაგვაკლებს,ჩაგაკლებთ,ჩააკლებს,
,ჩაგაკლებთ,ჩავაკლებთ,,ჩაგაკლებთ,ჩავაკლებთ,
ჩამაკლებთ,,ჩააკლებთ,ჩაგვაკლებთ,,ჩააკლებთ,
ჩამაკლებენ,ჩაგაკლებენ,ჩააკლებენ,ჩაგვაკლებენ,ჩაგაკლებენ,ჩააკლებენ,
cond2
,გაკლებდი,ვაკლებდი,,გაკლებდით,ვაკლებდი,
მაკლებდი,,აკლებდი,გვაკლებდი,,აკლებდი,
მაკლებდა,გაკლებდა,აკლებდა,გვაკლებდა,გაკლებდათ,აკლებდა,
,გაკლებდით,ვაკლებდით,,გაკლებდით,ვაკლებდით,
მაკლებდით,,აკლებდით,გვაკლებდით,,აკლებდით,
მაკლებდნენ,გაკლებდნენ,აკლებდნენ,გვაკლებდნენ,გაკლებდნენ,აკლებდნენ,
cond2_prfv
,ჩაგაკლებდი,ჩავაკლებდი,,ჩაგაკლებდით,ჩავაკლებდი,
ჩამაკლებდი,,ჩააკლებდი,ჩაგვაკლებდი,,ჩააკლებდი,
ჩამაკლებდა,ჩაგაკლებდა,ჩააკლებდა,ჩაგვაკლებდა,ჩაგაკლებდათ,ჩააკლებდა,
,ჩაგაკლებდით,ჩავაკლებდით,,ჩაგაკლებდით,ჩავაკლებდით,
ჩამაკლებდით,,ჩააკლებდით,ჩაგვაკლებდით,,ჩააკლებდით,
ჩამაკლებდნენ,ჩაგაკლებდნენ,ჩააკლებდნენ,ჩაგვაკლებდნენ,ჩაგაკლებდნენ,ჩააკლებდნენ,
fut2_subj
,გაკლებდე,ვაკლებდე,,გაკლებდეთ,ვაკლებდე,
მაკლებდე,,აკლებდე,გვაკლებდე,,აკლებდე,
მაკლებდეს,გაკლებდეს,აკლებდეს,გვაკლებდეს,გაკლებდეთ,აკლებდეს,
,გაკლებდეთ,ვაკლებდეთ,,გაკლებდეთ,ვაკლებდეთ,
მაკლებდეთ,,აკლებდეთ,გვაკლებდეთ,,აკლებდეთ,
მაკლებდნენ,გაკლებდნენ,აკლებდნენ,გვაკლებდნენ,გაკლებდნენ,აკლებდნენ,
fut2_subj_prfv
,ჩაგაკლებდე,ჩავაკლებდე,,ჩაგაკლებდეთ,ჩავაკლებდე,
ჩამაკლებდე,,ჩააკლებდე,ჩაგვაკლებდე,,ჩააკლებდე,
ჩამაკლებდეს,ჩაგაკლებდეს,ჩააკლებდეს,ჩაგვაკლებდეს,ჩაგაკლებდეთ,ჩააკლებდეს,
,ჩაგაკლებდეთ,ჩავაკლებდეთ,,ჩაგაკლებდეთ,ჩავაკლებდეთ,
ჩამაკლებდეთ,,ჩააკლებდეთ,ჩაგვაკლებდეთ,,ჩააკლებდეთ,
ჩამაკლებდნენ,ჩაგაკლებდნენ,ჩააკლებდნენ,ჩაგვაკლებდნენ,ჩაგაკლებდნენ,ჩააკლებდნენ,
aor2
,გაკელი,ვაკელი,,გაკელით,ვაკელი,
მაკელი,,აკელი,გვაკელი,,აკელი,
მაკლო,გაკლო,აკლო,გვაკლო,გაკლოთ,აკლო,
,გაკელით,ვაკელით,,გაკელით,ვაკელით,
მაკელით,,აკელით,გვაკელით,,აკელით,
მაკლეს,გაკლეს,აკლეს,გვაკლეს,გაკლეს,აკლეს,
aor2_prfv
