fut2
,გარტყამ,ვარტყამ,,გარტყამთ,ვარტყამ,
მარტყამ,,არტყამ,გვარტყამ,,არტყამ,
მარტყამს,გარტყამს,არტყამს,გვარტყამს,გარტყამთ,არტყამს,
,გარტყამთ,ვარტყამთ,,გარტყამთ,ვარტყამთ,
მარტყამთ,,არტყამთ,გვარტყამთ,,არტყამთ,
მარტყამენ,გარტყამენ,არტყამენ,გვარტყამენ,გარტყამენ,არტყამენ,
fut2_prfv
,ჩაგარტყამ,ჩავარტყამ,,ჩაგარტყამთ,ჩავარტყამ,
ჩამარტყამ,,ჩაარტყამ,ჩაგვარტყამ,,ჩაარტყამ,
ჩამარტყამს,ჩაგარტყამს,ჩაარტყამს,ჩაგვარტყამს,ჩაგარტყამთ,ჩაარტყამს,
,ჩაგარტყამთ,ჩავარტყამთ,,ჩაგარტყამთ,ჩავარტყამთ,
ჩამარტყამთ,,ჩაარტყამთ,ჩაგვარტყამთ,,ჩაარტყამთ,
ჩამარტყამენ,ჩაგარტყამენ,ჩაარტყამენ,ჩაგვარტყამენ,ჩაგარტყამენ,ჩაარტყამენ,
cond2
,გარტყამდი,ვარტყამდი,,გარტყამდით,ვარტყამდი,
მარტყამდი,,არტყამდი,გვარტყამდი,,არტყამდი,
მარტყამდა,გარტყამდა,არტყამდა,გვარტყამდა,გარტყამდათ,არტყამდა,
,გარტყამდით,ვარტყამდით,,გარტყამდით,ვარტყამდით,
მარტყამდით,,არტყამდით,გვარტყამდით,,არტყამდით,
მარტყამდნენ,გარტყამდნენ,არტყამდნენ,გვარტყამდნენ,გარტყამდნენ,არტყამდნენ,
cond2_prfv
,ჩაგარტყამდი,ჩავარტყამდი,,ჩაგარტყამდით,ჩავარტყამდი,
ჩამარტყამდი,,ჩაარტყამდი,ჩაგვარტყამდი,,ჩაარტყამდი,
ჩამარტყამდა,ჩაგარტყამდა,ჩაარტყამდა,ჩაგვარტყამდა,ჩაგარტყამდათ,ჩაარტყამდა,
,ჩაგარტყამდით,ჩავარტყამდით,,ჩაგარტყამდით,ჩავარტყამდით,
ჩამარტყამდით,,ჩაარტყამდით,ჩაგვარტყამდით,,ჩაარტყამდით,
ჩამარტყამდნენ,ჩაგარტყამდნენ,ჩაარტყამდნენ,ჩაგვარტყამდნენ,ჩაგარტყამდნენ,ჩაარტყამდნენ,
fut2_subj
,გარტყამდე,ვარტყამდე,,გარტყამდეთ,ვარტყამდე,
მარტყამდე,,არტყამდე,გვარტყამდე,,არტყამდე,
მარტყამდეს,გარტყამდეს,არტყამდეს,გვარტყამდეს,გარტყამდეთ,არტყამდეს,
,გარტყამდეთ,ვარტყამდეთ,,გარტყამდეთ,ვარტყამდეთ,
მარტყამდეთ,,არტყამდეთ,გვარტყამდეთ,,არტყამდეთ,
მარტყამდნენ,გარტყამდნენ,არტყამდნენ,გვარტყამდნენ,გარტყამდნენ,არტყამდნენ,
fut2_subj_prfv
,ჩაგარტყამდე,ჩავარტყამდე,,ჩაგარტყამდეთ,ჩავარტყამდე,
ჩამარტყამდე,,ჩაარტყამდე,ჩაგვარტყამდე,,ჩაარტყამდე,
ჩამარტყამდეს,ჩაგარტყამდეს,ჩაარტყამდეს,ჩაგვარტყამდეს,ჩაგარტყამდეთ,ჩაარტყამდეს,
,ჩაგარტყამდეთ,ჩავარტყამდეთ,,ჩაგარტყამდეთ,ჩავარტყამდეთ,
ჩამარტყამდეთ,,ჩაარტყამდეთ,ჩაგვარტყამდეთ,,ჩაარტყამდეთ,
ჩამარტყამდნენ,ჩაგარტყამდნენ,ჩაარტყამდნენ,ჩაგვარტყამდნენ,ჩაგარტყამდნენ,ჩაარტყამდნენ,
aor2
,გარტყი,ვარტყი,,გარტყით,ვარტყი,
მარტყი,,არტყი,გვარტყი,,არტყი,
მარტყა,გარტყა,არტყა,გვარტყა,გარტყათ,არტყა,
,გარტყით,ვარტყით,,გარტყით,ვარტყით,
მარტყით,,არტყით,გვარტყით,,არტყით,
მარტყეს,გარტყეს,არტყეს,გვარტყეს,გარტყეს,არტყეს,
aor2_prfv
,ჩაგარტყი,ჩავარტყი,,ჩაგარტყით,ჩავარტყი,
ჩამარტყი,,ჩაარტყი,ჩაგვარტყი,,ჩაარტყი,
ჩამარტყა,ჩაგარტყა,ჩაარტყა,ჩაგვარტყა,ჩაგარტყათ,ჩაარტყა,
,ჩაგარტყით,ჩავარტყით,,ჩაგარტყით,ჩავარტყით,
ჩამარტყით,,ჩაარტყით,ჩაგვარტყით,,ჩაარტყით,
ჩამარტყეს,ჩაგარტყეს,ჩაარტყეს,ჩაგვარტყეს,ჩაგარტყეს,ჩაარტყეს,
IIsubj2
,გარტყა,ვარტყა,,გარტყათ,ვარტყა,
მარტყა,,არტყა,გვარტყა,,არტყა,
მარტყას,გარტყას,არტყას,გვარტყას,გარტყათ,არტყას,
,გარტყათ,ვარტყათ,,გარტყათ,ვარტყათ,
მარტყათ,,არტყათ,გვარტყათ,,არტყათ,
მარტყან,გარტყან,არტყან,გვარტყან,გარტყან,არტყან,
IIsubj2_prfv
,ჩაგარტყა,ჩავარტყა,,ჩაგარტყათ,ჩავარტყა,
ჩამარტყა,,ჩაარტყა,ჩაგვარტყა,,ჩაარტყა,
ჩამარტყას,ჩაგარტყას,ჩაარტყას,ჩაგვარტყას,ჩაგარტყათ,ჩაარტყას,
,ჩაგარტყათ,ჩავარტყათ,,ჩაგარტყათ,ჩავარტყათ,
ჩამარტყათ,,ჩაარტყათ,ჩაგვარტყათ,,ჩაარტყათ,
ჩამარტყან,ჩაგარტყან,ჩაარტყან,ჩაგვარტყან,ჩაგარტყან,ჩაარტყან,
Iturm
,მირტყიხარ,მირტყია,,მირტყიხართ,მირტყია,
გირტყივარ,,გირტყია,გირტყივართ,,გირტყია,
ვურტყივარ,ურტყიხარ,ურტყია,ვურტყივართ,ურტყიხართ,ურტყია,
,გვირტყიხარ,გვირტყია,,გვირტყიხართ,გვირტყია,
გირტყივართ,,გირტყიათ,გირტყივართ,,გირტყიათ,
ვურტყივარ,ურტყიხარ,ურტყიათ,ვურტყივართ,ურტყიხართ,ურტყიათ,
Iturm_prfv
,ჩამირტყიხარ,ჩამირტყია,,ჩამირტყიხართ,ჩამირტყია,
ჩაგირტყივარ,,ჩაგირტყია,ჩაგირტყივართ,,ჩაგირტყია,
ჩავურტყივარ,ჩაურტყიხარ,ჩაურტყია,ჩავურტყივართ,ჩაურტყიხართ,ჩაურტყია,
,ჩაგვირტყიხარ,ჩაგვირტყია,,ჩაგვირტყიხართ,ჩაგვირტყია,
ჩაგირტყივართ,,ჩაგირტყიათ,ჩაგირტყივართ,,ჩაგირტყიათ,
ჩავურტყივარ,ჩაურტყიხარ,ჩაურტყიათ,ჩავურტყივართ,ჩაურტყიხართ,ჩაურტყიათ,
Iturm_th
,მირტყამხარ,მირტყამს,,მირტყამხართ,მირტყამს,
გირტყამვარ,,გირტყამს,გირტყამვართ,,გირტყამს,
ვურტყამვარ,ურტყამხარ,ურტყამს,ვურტყამვართ,ურტყამხართ,ურტყამს,
,გვირტყამხარ,გვირტყამს,,გვირტყამხართ,გვირტყამს,
გირტყამვართ,,გირტყამთ,გირტყამვართ,,გირტყამთ,
ვურტყამვარ,ურტყამხარ,ურტყამთ,ვურტყამვართ,ურტყამხართ,ურტყამთ,
Iturm_th_prfv
,ჩამირტყამხარ,ჩამირტყამს,,ჩამირტყამხართ,ჩამირტყამს,
ჩაგირტყამვარ,,ჩაგირტყამს,ჩაგირტყამვართ,,ჩაგირტყამს,
ჩავურტყამვარ,ჩაურტყამხარ,ჩაურტყამს,ჩავურტყამვართ,ჩაურტყამხართ,ჩაურტყამს,
,ჩაგვირტყამხარ,ჩაგვირტყამს,,ჩაგვირტყამხართ,ჩაგვირტყამს,
ჩაგირტყამვართ,,ჩაგირტყამთ,ჩაგირტყამვართ,,ჩაგირტყამთ,
ჩავურტყამვარ,ჩაურტყამხარ,ჩაურტყამთ,ჩავურტყამვართ,ჩაურტყამხართ,ჩაურტყამთ,
IIturm
