fut2
,გაქებ,ვაქებ,,გაქებთ,ვაქებ,
მაქებ,,აქებ,გვაქებ,,აქებ,
მაქებს,გაქებს,აქებს,გვაქებს,გაქებთ,აქებს,
,გაქებთ,ვაქებთ,,გაქებთ,ვაქებთ,
მაქებთ,,აქებთ,გვაქებთ,,აქებთ,
მაქებენ,გაქებენ,აქებენ,გვაქებენ,გაქებენ,აქებენ,
fut2_prfv
,ჩაგაქებ,ჩავაქებ,,ჩაგაქებთ,ჩავაქებ,
ჩამაქებ,,ჩააქებ,ჩაგვაქებ,,ჩააქებ,
ჩამაქებს,ჩაგაქებს,ჩააქებს,ჩაგვაქებს,ჩაგაქებთ,ჩააქებს,
,ჩაგაქებთ,ჩავაქებთ,,ჩაგაქებთ,ჩავაქებთ,
ჩამაქებთ,,ჩააქებთ,ჩაგვაქებთ,,ჩააქებთ,
ჩამაქებენ,ჩაგაქებენ,ჩააქებენ,ჩაგვაქებენ,ჩაგაქებენ,ჩააქებენ,
cond2
,გაქებდი,ვაქებდი,,გაქებდით,ვაქებდი,
მაქებდი,,აქებდი,გვაქებდი,,აქებდი,
მაქებდა,გაქებდა,აქებდა,გვაქებდა,გაქებდათ,აქებდა,
,გაქებდით,ვაქებდით,,გაქებდით,ვაქებდით,
მაქებდით,,აქებდით,გვაქებდით,,აქებდით,
მაქებდნენ,გაქებდნენ,აქებდნენ,გვაქებდნენ,გაქებდნენ,აქებდნენ,
cond2_prfv
,ჩაგაქებდი,ჩავაქებდი,,ჩაგაქებდით,ჩავაქებდი,
ჩამაქებდი,,ჩააქებდი,ჩაგვაქებდი,,ჩააქებდი,
ჩამაქებდა,ჩაგაქებდა,ჩააქებდა,ჩაგვაქებდა,ჩაგაქებდათ,ჩააქებდა,
,ჩაგაქებდით,ჩავაქებდით,,ჩაგაქებდით,ჩავაქებდით,
ჩამაქებდით,,ჩააქებდით,ჩაგვაქებდით,,ჩააქებდით,
ჩამაქებდნენ,ჩაგაქებდნენ,ჩააქებდნენ,ჩაგვაქებდნენ,ჩაგაქებდნენ,ჩააქებდნენ,
fut2_subj
,გაქებდე,ვაქებდე,,გაქებდეთ,ვაქებდე,
მაქებდე,,აქებდე,გვაქებდე,,აქებდე,
მაქებდეს,გაქებდეს,აქებდეს,გვაქებდეს,გაქებდეთ,აქებდეს,
,გაქებდეთ,ვაქებდეთ,,გაქებდეთ,ვაქებდეთ,
მაქებდეთ,,აქებდეთ,გვაქებდეთ,,აქებდეთ,
მაქებდნენ,გაქებდნენ,აქებდნენ,გვაქებდნენ,გაქებდნენ,აქებდნენ,
fut2_subj_prfv
,ჩაგაქებდე,ჩავაქებდე,,ჩაგაქებდეთ,ჩავაქებდე,
ჩამაქებდე,,ჩააქებდე,ჩაგვაქებდე,,ჩააქებდე,
ჩამაქებდეს,ჩაგაქებდეს,ჩააქებდეს,ჩაგვაქებდეს,ჩაგაქებდეთ,ჩააქებდეს,
,ჩაგაქებდეთ,ჩავაქებდეთ,,ჩაგაქებდეთ,ჩავაქებდეთ,
ჩამაქებდეთ,,ჩააქებდეთ,ჩაგვაქებდეთ,,ჩააქებდეთ,
ჩამაქებდნენ,ჩაგაქებდნენ,ჩააქებდნენ,ჩაგვაქებდნენ,ჩაგაქებდნენ,ჩააქებდნენ,
aor2
,გაქე,ვაქე,,გაქეთ,ვაქე,
მაქე,,აქე,გვაქე,,აქე,
მაქო,გაქო,აქო,გვაქო,გაქოთ,აქო,
,გაქეთ,ვაქეთ,,გაქეთ,ვაქეთ,
მაქეთ,,აქეთ,გვაქეთ,,აქეთ,
მაქეს,გაქეს,აქეს,გვაქეს,გაქეს,აქეს,
aor2_prfv
,ჩაგაქე,ჩავაქე,,ჩაგაქეთ,ჩავაქე,
ჩამაქე,,ჩააქე,ჩაგვაქე,,ჩააქე,
ჩამაქო,ჩაგაქო,ჩააქო,ჩაგვაქო,ჩაგაქოთ,ჩააქო,
,ჩაგაქეთ,ჩავაქეთ,,ჩაგაქეთ,ჩავაქეთ,
ჩამაქეთ,,ჩააქეთ,ჩაგვაქეთ,,ჩააქეთ,
ჩამაქეს,ჩაგაქეს,ჩააქეს,ჩაგვაქეს,ჩაგაქეს,ჩააქეს,
IIsubj2
,გაქო,ვაქო,,გაქოთ,ვაქო,
მაქო,,აქო,გვაქო,,აქო,
მაქოს,გაქოს,აქოს,გვაქოს,გაქოთ,აქოს,
,გაქოთ,ვაქოთ,,გაქოთ,ვაქოთ,
მაქოთ,,აქოთ,გვაქოთ,,აქოთ,
მაქონ,გაქონ,აქონ,გვაქონ,გაქონ,აქონ,
IIsubj2_prfv
,ჩაგაქო,ჩავაქო,,ჩაგაქოთ,ჩავაქო,
ჩამაქო,,ჩააქო,ჩაგვაქო,,ჩააქო,
ჩამაქოს,ჩაგაქოს,ჩააქოს,ჩაგვაქოს,ჩაგაქოთ,ჩააქოს,
,ჩაგაქოთ,ჩავაქოთ,,ჩაგაქოთ,ჩავაქოთ,
ჩამაქოთ,,ჩააქოთ,ჩაგვაქოთ,,ჩააქოთ,
ჩამაქონ,ჩაგაქონ,ჩააქონ,ჩაგვაქონ,ჩაგაქონ,ჩააქონ,
Iturm
,მიქიხარ,მიქია,,მიქიხართ,მიქია,
გიქივარ,,გიქია,გიქივართ,,გიქია,
ვუქივარ,უქიხარ,უქია,ვუქივართ,უქიხართ,უქია,
,გვიქიხარ,გვიქია,,გვიქიხართ,გვიქია,
გიქივართ,,გიქიათ,გიქივართ,,გიქიათ,
ვუქივარ,უქიხარ,უქიათ,ვუქივართ,უქიხართ,უქიათ,
Iturm_prfv
,ჩამიქიხარ,ჩამიქია,,ჩამიქიხართ,ჩამიქია,
ჩაგიქივარ,,ჩაგიქია,ჩაგიქივართ,,ჩაგიქია,
ჩავუქივარ,ჩაუქიხარ,ჩაუქია,ჩავუქივართ,ჩაუქიხართ,ჩაუქია,
,ჩაგვიქიხარ,ჩაგვიქია,,ჩაგვიქიხართ,ჩაგვიქია,
ჩაგიქივართ,,ჩაგიქიათ,ჩაგიქივართ,,ჩაგიქიათ,
ჩავუქივარ,ჩაუქიხარ,ჩაუქიათ,ჩავუქივართ,ჩაუქიხართ,ჩაუქიათ,
IIturm
,მექე,მექო,,მექეთ,მექოთ,
გექე,,გექო,გექეთ,,გექოთ,
ვექე,ექე,ექო,ვექეთ,ექეთ,ექოთ,
,გვექე,გვექო,,გვექეთ,გვექოთ,
გექეთ,,გექოთ,გექეთ,,გექოთ,
ვექე,ექე,ექოთ,ვექეთ,ექეთ,ექოთთ,
IIturm_prfv
,ჩამექე,ჩამექო,,ჩამექეთ,ჩამექოთ,
ჩაგექე,,ჩაგექო,ჩაგექეთ,,ჩაგექოთ,
ჩავექე,ჩაექე,ჩაექო,ჩავექეთ,ჩაექეთ,ჩაექოთ,
,ჩაგვექე,ჩაგვექო,,ჩაგვექეთ,ჩაგვექოთ,
ჩაგექეთ,,ჩაგექოთ,ჩაგექეთ,,ჩაგექოთ,
ჩავექე,ჩაექე,ჩაექოთ,ჩავექეთ,ჩაექეთ,ჩაექოთთ,
IIIsubj
,მექო,მექოს,,მექოთ,მექოს,
გექო,,გექოს,გექოთ,,გექოს,
ვექო,ექო,ექოს,ვექოთ,ექოთ,ექოს,
,გვექო,გვექოს,,გვექოთ,გვექოს,
გექოთ,,გექოთ,გექოთ,,გექოთ,
ვექო,ექო,ექოთ,ვექოთ,ექოთ,ექოთ,
IIIsubj_prfv
,ჩამექო,ჩამექოს,,ჩამექოთ,ჩამექოს,
ჩაგექო,,ჩაგექოს,ჩაგექოთ,,ჩაგექოს,
ჩავექო,ჩაექო,ჩაექოს,ჩავექოთ,ჩაექოთ,ჩაექოს,
,ჩაგვექო,ჩაგვექოს,,ჩაგვექოთ,ჩაგვექოს,
ჩაგექოთ,,ჩაგექოთ,ჩაგექოთ,,ჩაგექოთ,
ჩავექო,ჩაექო,ჩაექოთ,ჩავექოთ,ჩაექოთ,ჩაექოთ,
