fut2
,გაშენებ,ვაშენებ,,გაშენებთ,ვაშენებ,
მაშენებ,,აშენებ,გვაშენებ,,აშენებ,
მაშენებს,გაშენებს,აშენებს,გვაშენებს,გაშენებთ,აშენებს,
,გაშენებთ,ვაშენებთ,,გაშენებთ,ვაშენებთ,
მაშენებთ,,აშენებთ,გვაშენებთ,,აშენებთ,
მაშენებენ,გაშენებენ,აშენებენ,გვაშენებენ,გაშენებენ,აშენებენ,
fut2_prfv
,ჩაგაშენებ,ჩავაშენებ,,ჩაგაშენებთ,ჩავაშენებ,
ჩამაშენებ,,ჩააშენებ,ჩაგვაშენებ,,ჩააშენებ,
ჩამაშენებს,ჩაგაშენებს,ჩააშენებს,ჩაგვაშენებს,ჩაგაშენებთ,ჩააშენებს,
,ჩაგაშენებთ,ჩავაშენებთ,,ჩაგაშენებთ,ჩავაშენებთ,
ჩამაშენებთ,,ჩააშენებთ,ჩაგვაშენებთ,,ჩააშენებთ,
ჩამაშენებენ,ჩაგაშენებენ,ჩააშენებენ,ჩაგვაშენებენ,ჩაგაშენებენ,ჩააშენებენ,
cond2
,გაშენებდი,ვაშენებდი,,გაშენებდით,ვაშენებდი,
მაშენებდი,,აშენებდი,გვაშენებდი,,აშენებდი,
მაშენებდა,გაშენებდა,აშენებდა,გვაშენებდა,გაშენებდათ,აშენებდა,
,გაშენებდით,ვაშენებდით,,გაშენებდით,ვაშენებდით,
მაშენებდით,,აშენებდით,გვაშენებდით,,აშენებდით,
მაშენებდნენ,გაშენებდნენ,აშენებდნენ,გვაშენებდნენ,გაშენებდნენ,აშენებდნენ,
cond2_prfv
,ჩაგაშენებდი,ჩავაშენებდი,,ჩაგაშენებდით,ჩავაშენებდი,
ჩამაშენებდი,,ჩააშენებდი,ჩაგვაშენებდი,,ჩააშენებდი,
ჩამაშენებდა,ჩაგაშენებდა,ჩააშენებდა,ჩაგვაშენებდა,ჩაგაშენებდათ,ჩააშენებდა,
,ჩაგაშენებდით,ჩავაშენებდით,,ჩაგაშენებდით,ჩავაშენებდით,
ჩამაშენებდით,,ჩააშენებდით,ჩაგვაშენებდით,,ჩააშენებდით,
ჩამაშენებდნენ,ჩაგაშენებდნენ,ჩააშენებდნენ,ჩაგვაშენებდნენ,ჩაგაშენებდნენ,ჩააშენებდნენ,
fut2_subj
,გაშენებდე,ვაშენებდე,,გაშენებდეთ,ვაშენებდე,
მაშენებდე,,აშენებდე,გვაშენებდე,,აშენებდე,
მაშენებდეს,გაშენებდეს,აშენებდეს,გვაშენებდეს,გაშენებდეთ,აშენებდეს,
,გაშენებდეთ,ვაშენებდეთ,,გაშენებდეთ,ვაშენებდეთ,
მაშენებდეთ,,აშენებდეთ,გვაშენებდეთ,,აშენებდეთ,
მაშენებდნენ,გაშენებდნენ,აშენებდნენ,გვაშენებდნენ,გაშენებდნენ,აშენებდნენ,
fut2_subj_prfv
,ჩაგაშენებდე,ჩავაშენებდე,,ჩაგაშენებდეთ,ჩავაშენებდე,
ჩამაშენებდე,,ჩააშენებდე,ჩაგვაშენებდე,,ჩააშენებდე,
ჩამაშენებდეს,ჩაგაშენებდეს,ჩააშენებდეს,ჩაგვაშენებდეს,ჩაგაშენებდეთ,ჩააშენებდეს,
,ჩაგაშენებდეთ,ჩავაშენებდეთ,,ჩაგაშენებდეთ,ჩავაშენებდეთ,
ჩამაშენებდეთ,,ჩააშენებდეთ,ჩაგვაშენებდეთ,,ჩააშენებდეთ,
ჩამაშენებდნენ,ჩაგაშენებდნენ,ჩააშენებდნენ,ჩაგვაშენებდნენ,ჩაგაშენებდნენ,ჩააშენებდნენ,
aor2
,გაშენე,ვაშენე,,გაშენეთ,ვაშენე,
მაშენე,,აშენე,გვაშენე,,აშენე,
მაშენა,გაშენა,აშენა,გვაშენა,გაშენათ,აშენა,
,გაშენეთ,ვაშენეთ,,გაშენეთ,ვაშენეთ,
მაშენეთ,,აშენეთ,გვაშენეთ,,აშენეთ,
მაშენეს,გაშენეს,აშენეს,გვაშენეს,გაშენეს,აშენეს,
aor2_prfv
,ჩაგაშენე,ჩავაშენე,,ჩაგაშენეთ,ჩავაშენე,
ჩამაშენე,,ჩააშენე,ჩაგვაშენე,,ჩააშენე,
ჩამაშენა,ჩაგაშენა,ჩააშენა,ჩაგვაშენა,ჩაგაშენათ,ჩააშენა,
,ჩაგაშენეთ,ჩავაშენეთ,,ჩაგაშენეთ,ჩავაშენეთ,
ჩამაშენეთ,,ჩააშენეთ,ჩაგვაშენეთ,,ჩააშენეთ,
ჩამაშენეს,ჩაგაშენეს,ჩააშენეს,ჩაგვაშენეს,ჩაგაშენეს,ჩააშენეს,
IIsubj2
,გაშენო,ვაშენო,,გაშენოთ,ვაშენო,
მაშენო,,აშენო,გვაშენო,,აშენო,
მაშენოს,გაშენოს,აშენოს,გვაშენოს,გაშენოთ,აშენოს,
,გაშენოთ,ვაშენოთ,,გაშენოთ,ვაშენოთ,
მაშენოთ,,აშენოთ,გვაშენოთ,,აშენოთ,
მაშენონ,გაშენონ,აშენონ,გვაშენონ,გაშენონ,აშენონ,
IIsubj2_prfv
,ჩაგაშენო,ჩავაშენო,,ჩაგაშენოთ,ჩავაშენო,
ჩამაშენო,,ჩააშენო,ჩაგვაშენო,,ჩააშენო,
ჩამაშენოს,ჩაგაშენოს,ჩააშენოს,ჩაგვაშენოს,ჩაგაშენოთ,ჩააშენოს,
,ჩაგაშენოთ,ჩავაშენოთ,,ჩაგაშენოთ,ჩავაშენოთ,
ჩამაშენოთ,,ჩააშენოთ,ჩაგვაშენოთ,,ჩააშენოთ,
ჩამაშენონ,ჩაგაშენონ,ჩააშენონ,ჩაგვაშენონ,ჩაგაშენონ,ჩააშენონ,
Iturm
,მიშენებიხარ,მიშენებია,,მიშენებიხართ,მიშენებია,
გიშენებივარ,,გიშენებია,გიშენებივართ,,გიშენებია,
ვუშენებივარ,უშენებიხარ,უშენებია,ვუშენებივართ,უშენებიხართ,უშენებია,
,გვიშენებიხარ,გვიშენებია,,გვიშენებიხართ,გვიშენებია,
გიშენებივართ,,გიშენებიათ,გიშენებივართ,,გიშენებიათ,
ვუშენებივარ,უშენებიხარ,უშენებიათ,ვუშენებივართ,უშენებიხართ,უშენებიათ,
Iturm_prfv
,ჩამიშენებიხარ,ჩამიშენებია,,ჩამიშენებიხართ,ჩამიშენებია,
ჩაგიშენებივარ,,ჩაგიშენებია,ჩაგიშენებივართ,,ჩაგიშენებია,
ჩავუშენებივარ,ჩაუშენებიხარ,ჩაუშენებია,ჩავუშენებივართ,ჩაუშენებიხართ,ჩაუშენებია,
,ჩაგვიშენებიხარ,ჩაგვიშენებია,,ჩაგვიშენებიხართ,ჩაგვიშენებია,
ჩაგიშენებივართ,,ჩაგიშენებიათ,ჩაგიშენებივართ,,ჩაგიშენებიათ,
ჩავუშენებივარ,ჩაუშენებიხარ,ჩაუშენებიათ,ჩავუშენებივართ,ჩაუშენებიხართ,ჩაუშენებიათ,
IIturm
,მეშენებინე,მეშენებინა,,მეშენებინეთ,მეშენებინა,
გეშენებინე,,გეშენებინა,გეშენებინეთ,,გეშენებინა,
ვეშენებინე,ეშენებინე,ეშენებინა,ვეშენებინეთ,ეშენებინეთ,ეშენებინა,
,გვეშენებინე,გვეშენებინა,,გვეშენებინეთ,გვეშენებინა,
გეშენებინეთ,,გეშენებინათ,გეშენებინეთ,,გეშენებინათ,
ვეშენებინე,ეშენებინე,ეშენებინათ,ვეშენებინეთ,ეშენებინეთ,ეშენებინათ,
IIturm_prfv
,ჩამეშენებინე,ჩამეშენებინა,,ჩამეშენებინეთ,ჩამეშენებინა,
ჩაგეშენებინე,,ჩაგეშენებინა,ჩაგეშენებინეთ,,ჩაგეშენებინა,
ჩავეშენებინე,ჩაეშენებინე,ჩაეშენებინა,ჩავეშენებინეთ,ჩაეშენებინეთ,ჩაეშენებინა,
,ჩაგვეშენებინე,ჩაგვეშენებინა,,ჩაგვეშენებინეთ,ჩაგვეშენებინა,
ჩაგეშენებინეთ,,ჩაგეშენებინათ,ჩაგეშენებინეთ,,ჩაგეშენებინათ,
ჩავეშენებინე,ჩაეშენებინე,ჩაეშენებინათ,ჩავეშენებინეთ,ჩაეშენებინეთ,ჩაეშენებინათ,
IIIsubj
,მეშენებინო,მეშენებინოს,,მეშენებინოთ,მეშენებინოს,
გეშენებინო,,გეშენებინოს,გეშენებინოთ,,გეშენებინოს,
ვეშენებინო,ეშენებინო,ეშენებინოს,ვეშენებინოთ,ეშენებინოთ,ეშენებინოს,
,გვეშენებინო,გვეშენებინოს,,გვეშენებინოთ,გვეშენებინოს,
გეშენებინოთ,,გეშენებინოთ,გეშენებინოთ,,გეშენებინოთ,
ვეშენებინო,ეშენებინო,ეშენებინოთ,ვეშენებინოთ,ეშენებინოთ,ეშენებინოთ,
IIIsubj_prfv
,ჩამეშენებინო,ჩამეშენებინოს,,ჩამეშენებინოთ,ჩამეშენებინოს,
ჩაგეშენებინო,,ჩაგეშენებინოს,ჩაგეშენებინოთ,,ჩაგეშენებინოს,
ჩავეშენებინო,ჩაეშენებინო,ჩაეშენებინოს,ჩავეშენებინოთ,ჩაეშენებინოთ,ჩაეშენებინოს,
,ჩაგვეშენებინო,ჩაგვეშენებინოს,,ჩაგვეშენებინოთ,ჩაგვეშენებინოს,
ჩაგეშენებინოთ,,ჩაგეშენებინოთ,ჩაგეშენებინოთ,,ჩაგეშენებინოთ,
ჩავეშენებინო,ჩაეშენებინო,ჩაეშენებინოთ,ჩავეშენებინოთ,ჩაეშენებინოთ,ჩაეშენებინოთ,
