fut2
,გაჭერ,ვაჭერ,,გაჭერთ,ვაჭერ,
მაჭერ,,აჭერ,გვაჭერ,,აჭერ,
მაჭერს,გაჭერს,აჭერს,გვაჭერს,გაჭერთ,აჭერს,
,გაჭერთ,ვაჭერთ,,გაჭერთ,ვაჭერთ,
მაჭერთ,,აჭერთ,გვაჭერთ,,აჭერთ,
მაჭერენ,გაჭერენ,აჭერენ,გვაჭერენ,გაჭერენ,აჭერენ,
fut2_prfv
,ჩაგაჭერ,ჩავაჭერ,,ჩაგაჭერთ,ჩავაჭერ,
ჩამაჭერ,,ჩააჭერ,ჩაგვაჭერ,,ჩააჭერ,
ჩამაჭერს,ჩაგაჭერს,ჩააჭერს,ჩაგვაჭერს,ჩაგაჭერთ,ჩააჭერს,
,ჩაგაჭერთ,ჩავაჭერთ,,ჩაგაჭერთ,ჩავაჭერთ,
ჩამაჭერთ,,ჩააჭერთ,ჩაგვაჭერთ,,ჩააჭერთ,
ჩამაჭერენ,ჩაგაჭერენ,ჩააჭერენ,ჩაგვაჭერენ,ჩაგაჭერენ,ჩააჭერენ,
cond2
,გაჭერდი,ვაჭერდი,,გაჭერდით,ვაჭერდი,
მაჭერდი,,აჭერდი,გვაჭერდი,,აჭერდი,
მაჭერდა,გაჭერდა,აჭერდა,გვაჭერდა,გაჭერდათ,აჭერდა,
,გაჭერდით,ვაჭერდით,,გაჭერდით,ვაჭერდით,
მაჭერდით,,აჭერდით,გვაჭერდით,,აჭერდით,
მაჭერდნენ,გაჭერდნენ,აჭერდნენ,გვაჭერდნენ,გაჭერდნენ,აჭერდნენ,
cond2_prfv
,ჩაგაჭერდი,ჩავაჭერდი,,ჩაგაჭერდით,ჩავაჭერდი,
ჩამაჭერდი,,ჩააჭერდი,ჩაგვაჭერდი,,ჩააჭერდი,
ჩამაჭერდა,ჩაგაჭერდა,ჩააჭერდა,ჩაგვაჭერდა,ჩაგაჭერდათ,ჩააჭერდა,
,ჩაგაჭერდით,ჩავაჭერდით,,ჩაგაჭერდით,ჩავაჭერდით,
ჩამაჭერდით,,ჩააჭერდით,ჩაგვაჭერდით,,ჩააჭერდით,
ჩამაჭერდნენ,ჩაგაჭერდნენ,ჩააჭერდნენ,ჩაგვაჭერდნენ,ჩაგაჭერდნენ,ჩააჭერდნენ,
fut2_subj
,გაჭერდე,ვაჭერდე,,გაჭერდეთ,ვაჭერდე,
მაჭერდე,,აჭერდე,გვაჭერდე,,აჭერდე,
მაჭერდეს,გაჭერდეს,აჭერდეს,გვაჭერდეს,გაჭერდეთ,აჭერდეს,
,გაჭერდეთ,ვაჭერდეთ,,გაჭერდეთ,ვაჭერდეთ,
მაჭერდეთ,,აჭერდეთ,გვაჭერდეთ,,აჭერდეთ,
მაჭერდნენ,გაჭერდნენ,აჭერდნენ,გვაჭერდნენ,გაჭერდნენ,აჭერდნენ,
fut2_subj_prfv
,ჩაგაჭერდე,ჩავაჭერდე,,ჩაგაჭერდეთ,ჩავაჭერდე,
ჩამაჭერდე,,ჩააჭერდე,ჩაგვაჭერდე,,ჩააჭერდე,
ჩამაჭერდეს,ჩაგაჭერდეს,ჩააჭერდეს,ჩაგვაჭერდეს,ჩაგაჭერდეთ,ჩააჭერდეს,
,ჩაგაჭერდეთ,ჩავაჭერდეთ,,ჩაგაჭერდეთ,ჩავაჭერდეთ,
ჩამაჭერდეთ,,ჩააჭერდეთ,ჩაგვაჭერდეთ,,ჩააჭერდეთ,
ჩამაჭერდნენ,ჩაგაჭერდნენ,ჩააჭერდნენ,ჩაგვაჭერდნენ,ჩაგაჭერდნენ,ჩააჭერდნენ,
aor2
,გაჭირე,ვაჭირე,,გაჭირეთ,ვაჭირე,
მაჭირე,,აჭირე,გვაჭირე,,აჭირე,
მაჭირა,გაჭირა,აჭირა,გვაჭირა,გაჭირათ,აჭირა,
,გაჭირეთ,ვაჭირეთ,,გაჭირეთ,ვაჭირეთ,
მაჭირეთ,,აჭირეთ,გვაჭირეთ,,აჭირეთ,
მაჭირეს,გაჭირეს,აჭირეს,გვაჭირეს,გაჭირეს,აჭირეს,
aor2_prfv
,ჩაგაჭირე,ჩავაჭირე,,ჩაგაჭირეთ,ჩავაჭირე,
ჩამაჭირე,,ჩააჭირე,ჩაგვაჭირე,,ჩააჭირე,
ჩამაჭირა,ჩაგაჭირა,ჩააჭირა,ჩაგვაჭირა,ჩაგაჭირათ,ჩააჭირა,
,ჩაგაჭირეთ,ჩავაჭირეთ,,ჩაგაჭირეთ,ჩავაჭირეთ,
ჩამაჭირეთ,,ჩააჭირეთ,ჩაგვაჭირეთ,,ჩააჭირეთ,
ჩამაჭირეს,ჩაგაჭირეს,ჩააჭირეს,ჩაგვაჭირეს,ჩაგაჭირეს,ჩააჭირეს,
IIsubj2
,გაჭირო,ვაჭირო,,გაჭიროთ,ვაჭირო,
მაჭირო,,აჭირო,გვაჭირო,,აჭირო,
მაჭიროს,გაჭიროს,აჭიროს,გვაჭიროს,გაჭიროთ,აჭიროს,
,გაჭიროთ,ვაჭიროთ,,გაჭიროთ,ვაჭიროთ,
მაჭიროთ,,აჭიროთ,გვაჭიროთ,,აჭიროთ,
მაჭირონ,გაჭირონ,აჭირონ,გვაჭირონ,გაჭირონ,აჭირონ,
IIsubj2_prfv
,ჩაგაჭირო,ჩავაჭირო,,ჩაგაჭიროთ,ჩავაჭირო,
ჩამაჭირო,,ჩააჭირო,ჩაგვაჭირო,,ჩააჭირო,
ჩამაჭიროს,ჩაგაჭიროს,ჩააჭიროს,ჩაგვაჭიროს,ჩაგაჭიროთ,ჩააჭიროს,
,ჩაგაჭიროთ,ჩავაჭიროთ,,ჩაგაჭიროთ,ჩავაჭიროთ,
ჩამაჭიროთ,,ჩააჭიროთ,ჩაგვაჭიროთ,,ჩააჭიროთ,
ჩამაჭირონ,ჩაგაჭირონ,ჩააჭირონ,ჩაგვაჭირონ,ჩაგაჭირონ,ჩააჭირონ,
Iturm
,მიჭერიხარ,მიჭერია,,მიჭერიხართ,მიჭერია,
გიჭერივარ,,გიჭერია,გიჭერივართ,,გიჭერია,
ვუჭერივარ,უჭერიხარ,უჭერია,ვუჭერივართ,უჭერიხართ,უჭერია,
,გვიჭერიხარ,გვიჭერია,,გვიჭერიხართ,გვიჭერია,
გიჭერივართ,,გიჭერიათ,გიჭერივართ,,გიჭერიათ,
ვუჭერივარ,უჭერიხარ,უჭერიათ,ვუჭერივართ,უჭერიხართ,უჭერიათ,
Iturm_prfv
,ჩამიჭერიხარ,ჩამიჭერია,,ჩამიჭერიხართ,ჩამიჭერია,
ჩაგიჭერივარ,,ჩაგიჭერია,ჩაგიჭერივართ,,ჩაგიჭერია,
ჩავუჭერივარ,ჩაუჭერიხარ,ჩაუჭერია,ჩავუჭერივართ,ჩაუჭერიხართ,ჩაუჭერია,
,ჩაგვიჭერიხარ,ჩაგვიჭერია,,ჩაგვიჭერიხართ,ჩაგვიჭერია,
ჩაგიჭერივართ,,ჩაგიჭერიათ,ჩაგიჭერივართ,,ჩაგიჭერიათ,
ჩავუჭერივარ,ჩაუჭერიხარ,ჩაუჭერიათ,ჩავუჭერივართ,ჩაუჭერიხართ,ჩაუჭერიათ,
IIturm
,მეჭირე,მეჭირა,,მეჭირეთ,მეჭირა,
გეჭირე,,გეჭირა,გეჭირეთ,,გეჭირა,
ვეჭირე,ეჭირე,ეჭირა,ვეჭირეთ,ეჭირეთ,ეჭირა,
,გვეჭირე,გვეჭირა,,გვეჭირეთ,გვეჭირა,
გეჭირეთ,,გეჭირათ,გეჭირეთ,,გეჭირათ,
ვეჭირე,ეჭირე,ეჭირათ,ვეჭირეთ,ეჭირეთ,ეჭირათ,
IIturm_prfv
,ჩამეჭირე,ჩამეჭირა,,ჩამეჭირეთ,ჩამეჭირა,
ჩაგეჭირე,,ჩაგეჭირა,ჩაგეჭირეთ,,ჩაგეჭირა,
ჩავეჭირე,ჩაეჭირე,ჩაეჭირა,ჩავეჭირეთ,ჩაეჭირეთ,ჩაეჭირა,
,ჩაგვეჭირე,ჩაგვეჭირა,,ჩაგვეჭირეთ,ჩაგვეჭირა,
ჩაგეჭირეთ,,ჩაგეჭირათ,ჩაგეჭირეთ,,ჩაგეჭირათ,
ჩავეჭირე,ჩაეჭირე,ჩაეჭირათ,ჩავეჭირეთ,ჩაეჭირეთ,ჩაეჭირათ,
IIIsubj
,მეჭირო,მეჭიროს,,მეჭიროთ,მეჭიროს,
გეჭირო,,გეჭიროს,გეჭიროთ,,გეჭიროს,
ვეჭირო,ეჭირო,ეჭიროს,ვეჭიროთ,ეჭიროთ,ეჭიროს,
,გვეჭირო,გვეჭიროს,,გვეჭიროთ,გვეჭიროს,
გეჭიროთ,,გეჭიროთ,გეჭიროთ,,გეჭიროთ,
ვეჭირო,ეჭირო,ეჭიროთ,ვეჭიროთ,ეჭიროთ,ეჭიროთ,
IIIsubj_prfv
,ჩამეჭირო,ჩამეჭიროს,,ჩამეჭიროთ,ჩამეჭიროს,
ჩაგეჭირო,,ჩაგეჭიროს,ჩაგეჭიროთ,,ჩაგეჭიროს,
ჩავეჭირო,ჩაეჭირო,ჩაეჭიროს,ჩავეჭიროთ,ჩაეჭიროთ,ჩაეჭიროს,
,ჩაგვეჭირო,ჩაგვეჭიროს,,ჩაგვეჭიროთ,ჩაგვეჭიროს,
ჩაგეჭიროთ,,ჩაგეჭიროთ,ჩაგეჭიროთ,,ჩაგეჭიროთ,
ჩავეჭირო,ჩაეჭირო,ჩაეჭიროთ,ჩავეჭიროთ,ჩაეჭიროთ,ჩაეჭიროთ,
