pres
,გზრდი,ვზრდი,,გზრდით,ვზრდი,
მზრდი,,ზრდი,გვზრდი,,ზრდი,
მზრდის,გზრდის,ზრდის,გვზრდის,გზრდით,ზრდის,
,გზრდით,ვზრდით,,გზრდით,ვზრდით,
მზრდით,,ზრდით,გვზრდით,,ზრდით,
მზრდიან,გზრდიან,ზრდიან,გვზრდიან,გზრდიან,ზრდიან,
fut
,ჩაგზრდი,ჩავზრდი,,ჩაგზრდით,ჩავზრდი,
ჩამზრდი,,ჩაზრდი,ჩაგვზრდი,,ჩაზრდი,
ჩამზრდის,ჩაგზრდის,ჩაზრდის,ჩაგვზრდის,ჩაგზრდით,ჩაზრდის,
,ჩაგზრდით,ჩავზრდით,,ჩაგზრდით,ჩავზრდით,
ჩამზრდით,,ჩაზრდით,ჩაგვზრდით,,ჩაზრდით,
ჩამზრდიან,ჩაგზრდიან,ჩაზრდიან,ჩაგვზრდიან,ჩაგზრდიან,ჩაზრდიან,
impf
,გზრდიდი,ვზრდიდი,,გზრდიდით,ვზრდიდი,
მზრდიდი,,ზრდიდი,გვზრდიდი,,ზრდიდი,
მზრდიდა,გზრდიდა,ზრდიდა,გვზრდიდა,გზრდიდათ,ზრდიდა,
,გზრდიდით,ვზრდიდით,,გზრდიდით,ვზრდიდით,
მზრდიდით,,ზრდიდით,გვზრდიდით,,ზრდიდით,
მზრდიდნენ,გზრდიდნენ,ზრდიდნენ,გვზრდიდნენ,გზრდიდნენ,ზრდიდნენ,
cond
,ჩაგზრდიდი,ჩავზრდიდი,,ჩაგზრდიდით,ჩავზრდიდი,
ჩამზრდიდი,,ჩაზრდიდი,ჩაგვზრდიდი,,ჩაზრდიდი,
ჩამზრდიდა,ჩაგზრდიდა,ჩაზრდიდა,ჩაგვზრდიდა,ჩაგზრდიდათ,ჩაზრდიდა,
,ჩაგზრდიდით,ჩავზრდიდით,,ჩაგზრდიდით,ჩავზრდიდით,
ჩამზრდიდით,,ჩაზრდიდით,ჩაგვზრდიდით,,ჩაზრდიდით,
ჩამზრდიდნენ,ჩაგზრდიდნენ,ჩაზრდიდნენ,ჩაგვზრდიდნენ,ჩაგზრდიდნენ,ჩაზრდიდნენ,
subj
,გზრდიდე,ვზრდიდე,,გზრდიდეთ,ვზრდიდე,
მზრდიდე,,ზრდიდე,გვზრდიდე,,ზრდიდე,
მზრდიდეს,გზრდიდეს,ზრდიდეს,გვზრდიდეს,გზრდიდეთ,ზრდიდეს,
,გზრდიდეთ,ვზრდიდეთ,,გზრდიდეთ,ვზრდიდეთ,
მზრდიდეთ,,ზრდიდეთ,გვზრდიდეთ,,ზრდიდეთ,
მზრდიდნენ,გზრდიდნენ,ზრდიდნენ,გვზრდიდნენ,გზრდიდნენ,ზრდიდნენ,
fut_subj
,ჩაგზრდიდე,ჩავზრდიდე,,ჩაგზრდიდეთ,ჩავზრდიდე,
ჩამზრდიდე,,ჩაზრდიდე,ჩაგვზრდიდე,,ჩაზრდიდე,
ჩამზრდიდეს,ჩაგზრდიდეს,ჩაზრდიდეს,ჩაგვზრდიდეს,ჩაგზრდიდეთ,ჩაზრდიდეს,
,ჩაგზრდიდეთ,ჩავზრდიდეთ,,ჩაგზრდიდეთ,ჩავზრდიდეთ,
ჩამზრდიდეთ,,ჩაზრდიდეთ,ჩაგვზრდიდეთ,,ჩაზრდიდეთ,
ჩამზრდიდნენ,ჩაგზრდიდნენ,ჩაზრდიდნენ,ჩაგვზრდიდნენ,ჩაგზრდიდნენ,ჩაზრდიდნენ,
aor
,გზარდე,ვზარდე,,გზარდეთ,ვზარდე,
მზარდე,,ზარდე,გვზარდე,,ზარდე,
მზარდა,გზარდა,ზარდა,გვზარდა,გზარდათ,ზარდა,
,გზარდეთ,ვზარდეთ,,გზარდეთ,ვზარდეთ,
მზარდეთ,,ზარდეთ,გვზარდეთ,,ზარდეთ,
მზარდეს,გზარდეს,ზარდეს,გვზარდეს,გზარდეს,ზარდეს,
aor_prfv
,ჩაგზარდე,ჩავზარდე,,ჩაგზარდეთ,ჩავზარდე,
ჩამზარდე,,ჩაზარდე,ჩაგვზარდე,,ჩაზარდე,
ჩამზარდა,ჩაგზარდა,ჩაზარდა,ჩაგვზარდა,ჩაგზარდათ,ჩაზარდა,
,ჩაგზარდეთ,ჩავზარდეთ,,ჩაგზარდეთ,ჩავზარდეთ,
ჩამზარდეთ,,ჩაზარდეთ,ჩაგვზარდეთ,,ჩაზარდეთ,
ჩამზარდეს,ჩაგზარდეს,ჩაზარდეს,ჩაგვზარდეს,ჩაგზარდეს,ჩაზარდეს,
IIsubj
,გზარდო,ვზარდო,,გზარდოთ,ვზარდო,
მზარდო,,ზარდო,გვზარდო,,ზარდო,
მზარდოს,გზარდოს,ზარდოს,გვზარდოს,გზარდოთ,ზარდოს,
,გზარდოთ,ვზარდოთ,,გზარდოთ,ვზარდოთ,
მზარდოთ,,ზარდოთ,გვზარდოთ,,ზარდოთ,
მზარდონ,გზარდონ,ზარდონ,გვზარდონ,გზარდონ,ზარდონ,
IIsubj_prfv
,ჩაგზარდო,ჩავზარდო,,ჩაგზარდოთ,ჩავზარდო,
ჩამზარდო,,ჩაზარდო,ჩაგვზარდო,,ჩაზარდო,
ჩამზარდოს,ჩაგზარდოს,ჩაზარდოს,ჩაგვზარდოს,ჩაგზარდოთ,ჩაზარდოს,
,ჩაგზარდოთ,ჩავზარდოთ,,ჩაგზარდოთ,ჩავზარდოთ,
ჩამზარდოთ,,ჩაზარდოთ,ჩაგვზარდოთ,,ჩაზარდოთ,
ჩამზარდონ,ჩაგზარდონ,ჩაზარდონ,ჩაგვზარდონ,ჩაგზარდონ,ჩაზარდონ,
Iturm
,მიზრდიხარ,მიზრდია,,მიზრდიხართ,მიზრდია,
გიზრდივარ,,გიზრდია,გიზრდივართ,,გიზრდია,
ვუზრდივარ,უზრდიხარ,უზრდია,ვუზრდივართ,უზრდიხართ,უზრდია,
,გვიზრდიხარ,გვიზრდია,,გვიზრდიხართ,გვიზრდია,
გიზრდივართ,,გიზრდიათ,გიზრდივართ,,გიზრდიათ,
ვუზრდივარ,უზრდიხარ,უზრდიათ,ვუზრდივართ,უზრდიხართ,უზრდიათ,
Iturm_prfv
,ჩამიზრდიხარ,ჩამიზრდია,,ჩამიზრდიხართ,ჩამიზრდია,
ჩაგიზრდივარ,,ჩაგიზრდია,ჩაგიზრდივართ,,ჩაგიზრდია,
ჩავუზრდივარ,ჩაუზრდიხარ,ჩაუზრდია,ჩავუზრდივართ,ჩაუზრდიხართ,ჩაუზრდია,
,ჩაგვიზრდიხარ,ჩაგვიზრდია,,ჩაგვიზრდიხართ,ჩაგვიზრდია,
ჩაგიზრდივართ,,ჩაგიზრდიათ,ჩაგიზრდივართ,,ჩაგიზრდიათ,
ჩავუზრდივარ,ჩაუზრდიხარ,ჩაუზრდიათ,ჩავუზრდივართ,ჩაუზრდიხართ,ჩაუზრდიათ,
IIturm
,მეზარდე,მეზარდა,,მეზარდეთ,მეზარდა,
გეზარდე,,გეზარდა,გეზარდეთ,,გეზარდა,
ვეზარდე,ეზარდე,ეზარდა,ვეზარდეთ,ეზარდეთ,ეზარდა,
,გვეზარდე,გვეზარდა,,გვეზარდეთ,გვეზარდა,
გეზარდეთ,,გეზარდათ,გეზარდეთ,,გეზარდათ,
ვეზარდე,ეზარდე,ეზარდათ,ვეზარდეთ,ეზარდეთ,ეზარდათ,
IIturm_prfv
,ჩამეზარდე,ჩამეზარდა,,ჩამეზარდეთ,ჩამეზარდა,
ჩაგეზარდე,,ჩაგეზარდა,ჩაგეზარდეთ,,ჩაგეზარდა,
ჩავეზარდე,ჩაეზარდე,ჩაეზარდა,ჩავეზარდეთ,ჩაეზარდეთ,ჩაეზარდა,
,ჩაგვეზარდე,ჩაგვეზარდა,,ჩაგვეზარდეთ,ჩაგვეზარდა,
ჩაგეზარდეთ,,ჩაგეზარდათ,ჩაგეზარდეთ,,ჩაგეზარდათ,
ჩავეზარდე,ჩაეზარდე,ჩაეზარდათ,ჩავეზარდეთ,ჩაეზარდეთ,ჩაეზარდათ,
IIIsubj
,მეზარდო,მეზარდოს,,მეზარდოთ,მეზარდოს,
გეზარდო,,გეზარდოს,გეზარდოთ,,გეზარდოს,
ვეზარდო,ეზარდო,ეზარდოს,ვეზარდოთ,ეზარდოთ,ეზარდოს,
,გვეზარდო,გვეზარდოს,,გვეზარდოთ,გვეზარდოს,
გეზარდოთ,,გეზარდოთ,გეზარდოთ,,გეზარდოთ,
ვეზარდო,ეზარდო,ეზარდოთ,ვეზარდოთ,ეზარდოთ,ეზარდოთ,
IIIsubj_prfv
,ჩამეზარდო,ჩამეზარდოს,,ჩამეზარდოთ,ჩამეზარდოს,
ჩაგეზარდო,,ჩაგეზარდოს,ჩაგეზარდოთ,,ჩაგეზარდოს,
ჩავეზარდო,ჩაეზარდო,ჩაეზარდოს,ჩავეზარდოთ,ჩაეზარდოთ,ჩაეზარდოს,
,ჩაგვეზარდო,ჩაგვეზარდოს,,ჩაგვეზარდოთ,ჩაგვეზარდოს,
ჩაგეზარდოთ,,ჩაგეზარდოთ,ჩაგეზარდოთ,,ჩაგეზარდოთ,
ჩავეზარდო,ჩაეზარდო,ჩაეზარდოთ,ჩავეზარდოთ,ჩაეზარდოთ,ჩაეზარდოთ,
