pres
,გკრავ,ვკრავ,,გკრავთ,ვკრავ,
მკრავ,,კრავ,გვკრავ,,კრავ,
მკრავს,გკრავს,კრავს,გვკრავს,გკრავთ,კრავს,
,გკრავთ,ვკრავთ,,გკრავთ,ვკრავთ,
მკრავთ,,კრავთ,გვკრავთ,,კრავთ,
მკრავენ,გკრავენ,კრავენ,გვკრავენ,გკრავენ,კრავენ,
fut
,ჩაგკრავ,ჩავკრავ,,ჩაგკრავთ,ჩავკრავ,
ჩამკრავ,,ჩაკრავ,ჩაგვკრავ,,ჩაკრავ,
ჩამკრავს,ჩაგკრავს,ჩაკრავს,ჩაგვკრავს,ჩაგკრავთ,ჩაკრავს,
,ჩაგკრავთ,ჩავკრავთ,,ჩაგკრავთ,ჩავკრავთ,
ჩამკრავთ,,ჩაკრავთ,ჩაგვკრავთ,,ჩაკრავთ,
ჩამკრავენ,ჩაგკრავენ,ჩაკრავენ,ჩაგვკრავენ,ჩაგკრავენ,ჩაკრავენ,
impf
,გკრავდი,ვკრავდი,,გკრავდით,ვკრავდი,
მკრავდი,,კრავდი,გვკრავდი,,კრავდი,
მკრავდა,გკრავდა,კრავდა,გვკრავდა,გკრავდათ,კრავდა,
,გკრავდით,ვკრავდით,,გკრავდით,ვკრავდით,
მკრავდით,,კრავდით,გვკრავდით,,კრავდით,
მკრავდნენ,გკრავდნენ,კრავდნენ,გვკრავდნენ,გკრავდნენ,კრავდნენ,
cond
,ჩაგკრავდი,ჩავკრავდი,,ჩაგკრავდით,ჩავკრავდი,
ჩამკრავდი,,ჩაკრავდი,ჩაგვკრავდი,,ჩაკრავდი,
ჩამკრავდა,ჩაგკრავდა,ჩაკრავდა,ჩაგვკრავდა,ჩაგკრავდათ,ჩაკრავდა,
,ჩაგკრავდით,ჩავკრავდით,,ჩაგკრავდით,ჩავკრავდით,
ჩამკრავდით,,ჩაკრავდით,ჩაგვკრავდით,,ჩაკრავდით,
ჩამკრავდნენ,ჩაგკრავდნენ,ჩაკრავდნენ,ჩაგვკრავდნენ,ჩაგკრავდნენ,ჩაკრავდნენ,
subj
,გკრავდე,ვკრავდე,,გკრავდეთ,ვკრავდე,
მკრავდე,,კრავდე,გვკრავდე,,კრავდე,
მკრავდეს,გკრავდეს,კრავდეს,გვკრავდეს,გკრავდეთ,კრავდეს,
,გკრავდეთ,ვკრავდეთ,,გკრავდეთ,ვკრავდეთ,
მკრავდეთ,,კრავდეთ,გვკრავდეთ,,კრავდეთ,
მკრავდნენ,გკრავდნენ,კრავდნენ,გვკრავდნენ,გკრავდნენ,კრავდნენ,
fut_subj
,ჩაგკრავდე,ჩავკრავდე,,ჩაგკრავდეთ,ჩავკრავდე,
ჩამკრავდე,,ჩაკრავდე,ჩაგვკრავდე,,ჩაკრავდე,
ჩამკრავდეს,ჩაგკრავდეს,ჩაკრავდეს,ჩაგვკრავდეს,ჩაგკრავდეთ,ჩაკრავდეს,
,ჩაგკრავდეთ,ჩავკრავდეთ,,ჩაგკრავდეთ,ჩავკრავდეთ,
ჩამკრავდეთ,,ჩაკრავდეთ,ჩაგვკრავდეთ,,ჩაკრავდეთ,
ჩამკრავდნენ,ჩაგკრავდნენ,ჩაკრავდნენ,ჩაგვკრავდნენ,ჩაგკრავდნენ,ჩაკრავდნენ,
aor
