pres
,გჩქმეტ,ვჩქმეტ,,გჩქმეტთ,ვჩქმეტ,
მჩქმეტ,,ჩქმეტ,გვჩქმეტ,,ჩქმეტ,
მჩქმეტს,გჩქმეტს,ჩქმეტს,გვჩქმეტს,გჩქმეტთ,ჩქმეტს,
,გჩქმეტთ,ვჩქმეტთ,,გჩქმეტთ,ვჩქმეტთ,
მჩქმეტთ,,ჩქმეტთ,გვჩქმეტთ,,ჩქმეტთ,
მჩქმეტენ,გჩქმეტენ,ჩქმეტენ,გვჩქმეტენ,გჩქმეტენ,ჩქმეტენ,
fut
,ჩაგჩქმეტ,ჩავჩქმეტ,,ჩაგჩქმეტთ,ჩავჩქმეტ,
ჩამჩქმეტ,,ჩაჩქმეტ,ჩაგვჩქმეტ,,ჩაჩქმეტ,
ჩამჩქმეტს,ჩაგჩქმეტს,ჩაჩქმეტს,ჩაგვჩქმეტს,ჩაგჩქმეტთ,ჩაჩქმეტს,
,ჩაგჩქმეტთ,ჩავჩქმეტთ,,ჩაგჩქმეტთ,ჩავჩქმეტთ,
ჩამჩქმეტთ,,ჩაჩქმეტთ,ჩაგვჩქმეტთ,,ჩაჩქმეტთ,
ჩამჩქმეტენ,ჩაგჩქმეტენ,ჩაჩქმეტენ,ჩაგვჩქმეტენ,ჩაგჩქმეტენ,ჩაჩქმეტენ,
fut2
,გიჩქმეტ,ვუჩქმეტ,,გიჩქმეტთ,ვუჩქმეტ,
მიჩქმეტ,,უჩქმეტ,გვიჩქმეტ,,უჩქმეტ,
მიჩქმეტს,გიჩქმეტს,უჩქმეტს,გვიჩქმეტს,გიჩქმეტთ,უჩქმეტს,
,გიჩქმეტთ,ვუჩქმეტთ,,გიჩქმეტთ,ვუჩქმეტთ,
მიჩქმეტთ,,უჩქმეტთ,გვიჩქმეტთ,,უჩქმეტთ,
მიჩქმეტენ,გიჩქმეტენ,უჩქმეტენ,გვიჩქმეტენ,გიჩქმეტენ,უჩქმეტენ,
impf
,გჩქმეტდი,ვჩქმეტდი,,გჩქმეტდით,ვჩქმეტდი,
მჩქმეტდი,,ჩქმეტდი,გვჩქმეტდი,,ჩქმეტდი,
მჩქმეტდა,გჩქმეტდა,ჩქმეტდა,გვჩქმეტდა,გჩქმეტდათ,ჩქმეტდა,
,გჩქმეტდით,ვჩქმეტდით,,გჩქმეტდით,ვჩქმეტდით,
მჩქმეტდით,,ჩქმეტდით,გვჩქმეტდით,,ჩქმეტდით,
მჩქმეტდნენ,გჩქმეტდნენ,ჩქმეტდნენ,გვჩქმეტდნენ,გჩქმეტდნენ,ჩქმეტდნენ,
cond
,ჩაგჩქმეტდი,ჩავჩქმეტდი,,ჩაგჩქმეტდით,ჩავჩქმეტდი,
ჩამჩქმეტდი,,ჩაჩქმეტდი,ჩაგვჩქმეტდი,,ჩაჩქმეტდი,
ჩამჩქმეტდა,ჩაგჩქმეტდა,ჩაჩქმეტდა,ჩაგვჩქმეტდა,ჩაგჩქმეტდათ,ჩაჩქმეტდა,
,ჩაგჩქმეტდით,ჩავჩქმეტდით,,ჩაგჩქმეტდით,ჩავჩქმეტდით,
ჩამჩქმეტდით,,ჩაჩქმეტდით,ჩაგვჩქმეტდით,,ჩაჩქმეტდით,
ჩამჩქმეტდნენ,ჩაგჩქმეტდნენ,ჩაჩქმეტდნენ,ჩაგვჩქმეტდნენ,ჩაგჩქმეტდნენ,ჩაჩქმეტდნენ,
cond2
,გიჩქმეტდი,ვუჩქმეტდი,,გიჩქმეტდით,ვუჩქმეტდი,
მიჩქმეტდი,,უჩქმეტდი,გვიჩქმეტდი,,უჩქმეტდი,
მიჩქმეტდა,გიჩქმეტდა,უჩქმეტდა,გვიჩქმეტდა,გიჩქმეტდათ,უჩქმეტდა,
,გიჩქმეტდით,ვუჩქმეტდით,,გიჩქმეტდით,ვუჩქმეტდით,
მიჩქმეტდით,,უჩქმეტდით,გვიჩქმეტდით,,უჩქმეტდით,
