pres
,გხატავ,ვხატავ,,გხატავთ,ვხატავ,
მხატავ,,ხატავ,გვხატავ,,ხატავ,
მხატავს,გხატავს,ხატავს,გვხატავს,გხატავთ,ხატავს,
,გხატავთ,ვხატავთ,,გხატავთ,ვხატავთ,
მხატავთ,,ხატავთ,გვხატავთ,,ხატავთ,
მხატავენ,გხატავენ,ხატავენ,გვხატავენ,გხატავენ,ხატავენ,
fut
,ჩაგხატავ,ჩავხატავ,,ჩაგხატავთ,ჩავხატავ,
ჩამხატავ,,ჩახატავ,ჩაგვხატავ,,ჩახატავ,
ჩამხატავს,ჩაგხატავს,ჩახატავს,ჩაგვხატავს,ჩაგხატავთ,ჩახატავს,
,ჩაგხატავთ,ჩავხატავთ,,ჩაგხატავთ,ჩავხატავთ,
ჩამხატავთ,,ჩახატავთ,ჩაგვხატავთ,,ჩახატავთ,
ჩამხატავენ,ჩაგხატავენ,ჩახატავენ,ჩაგვხატავენ,ჩაგხატავენ,ჩახატავენ,
impf
,გხატავდი,ვხატავდი,,გხატავდით,ვხატავდი,
მხატავდი,,ხატავდი,გვხატავდი,,ხატავდი,
მხატავდა,გხატავდა,ხატავდა,გვხატავდა,გხატავდათ,ხატავდა,
,გხატავდით,ვხატავდით,,გხატავდით,ვხატავდით,
მხატავდით,,ხატავდით,გვხატავდით,,ხატავდით,
მხატავდნენ,გხატავდნენ,ხატავდნენ,გვხატავდნენ,გხატავდნენ,ხატავდნენ,
cond
,ჩაგხატავდი,ჩავხატავდი,,ჩაგხატავდით,ჩავხატავდი,
ჩამხატავდი,,ჩახატავდი,ჩაგვხატავდი,,ჩახატავდი,
ჩამხატავდა,ჩაგხატავდა,ჩახატავდა,ჩაგვხატავდა,ჩაგხატავდათ,ჩახატავდა,
,ჩაგხატავდით,ჩავხატავდით,,ჩაგხატავდით,ჩავხატავდით,
ჩამხატავდით,,ჩახატავდით,ჩაგვხატავდით,,ჩახატავდით,
ჩამხატავდნენ,ჩაგხატავდნენ,ჩახატავდნენ,ჩაგვხატავდნენ,ჩაგხატავდნენ,ჩახატავდნენ,
subj
,გხატავდე,ვხატავდე,,გხატავდეთ,ვხატავდე,
მხატავდე,,ხატავდე,გვხატავდე,,ხატავდე,
მხატავდეს,გხატავდეს,ხატავდეს,გვხატავდეს,გხატავდეთ,ხატავდეს,
,გხატავდეთ,ვხატავდეთ,,გხატავდეთ,ვხატავდეთ,
მხატავდეთ,,ხატავდეთ,გვხატავდეთ,,ხატავდეთ,
მხატავდნენ,გხატავდნენ,ხატავდნენ,გვხატავდნენ,გხატავდნენ,ხატავდნენ,
fut_subj
,ჩაგხატავდე,ჩავხატავდე,,ჩაგხატავდეთ,ჩავხატავდე,
ჩამხატავდე,,ჩახატავდე,ჩაგვხატავდე,,ჩახატავდე,
ჩამხატავდეს,ჩაგხატავდეს,ჩახატავდეს,ჩაგვხატავდეს,ჩაგხატავდეთ,ჩახატავდეს,
,ჩაგხატავდეთ,ჩავხატავდეთ,,ჩაგხატავდეთ,ჩავხატავდეთ,
ჩამხატავდეთ,,ჩახატავდეთ,ჩაგვხატავდეთ,,ჩახატავდეთ,
ჩამხატავდნენ,ჩაგხატავდნენ,ჩახატავდნენ,ჩაგვხატავდნენ,ჩაგხატავდნენ,ჩახატავდნენ,
aor
,გხატე,ვხატე,,გხატეთ,ვხატე,
მხატე,,ხატე,გვხატე,,ხატე,
მხატა,გხატა,ხატა,გვხატა,გხატათ,ხატა,
,გხატეთ,ვხატეთ,,გხატეთ,ვხატეთ,
მხატეთ,,ხატეთ,გვხატეთ,,ხატეთ,
მხატეს,გხატეს,ხატეს,გვხატეს,გხატეს,ხატეს,
aor_prfv
,ჩაგხატე,ჩავხატე,,ჩაგხატეთ,ჩავხატე,
ჩამხატე,,ჩახატე,ჩაგვხატე,,ჩახატე,
ჩამხატა,ჩაგხატა,ჩახატა,ჩაგვხატა,ჩაგხატათ,ჩახატა,
,ჩაგხატეთ,ჩავხატეთ,,ჩაგხატეთ,ჩავხატეთ,
ჩამხატეთ,,ჩახატეთ,ჩაგვხატეთ,,ჩახატეთ,
ჩამხატეს,ჩაგხატეს,ჩახატეს,ჩაგვხატეს,ჩაგხატეს,ჩახატეს,
IIsubj
,გხატო,ვხატო,,გხატოთ,ვხატო,
მხატო,,ხატო,გვხატო,,ხატო,
მხატოს,გხატოს,ხატოს,გვხატოს,გხატოთ,ხატოს,
,გხატოთ,ვხატოთ,,გხატოთ,ვხატოთ,
მხატოთ,,ხატოთ,გვხატოთ,,ხატოთ,
მხატონ,გხატონ,ხატონ,გვხატონ,გხატონ,ხატონ,
IIsubj_prfv
,ჩაგხატო,ჩავხატო,,ჩაგხატოთ,ჩავხატო,
ჩამხატო,,ჩახატო,ჩაგვხატო,,ჩახატო,
ჩამხატოს,ჩაგხატოს,ჩახატოს,ჩაგვხატოს,ჩაგხატოთ,ჩახატოს,
,ჩაგხატოთ,ჩავხატოთ,,ჩაგხატოთ,ჩავხატოთ,
ჩამხატოთ,,ჩახატოთ,ჩაგვხატოთ,,ჩახატოთ,
ჩამხატონ,ჩაგხატონ,ჩახატონ,ჩაგვხატონ,ჩაგხატონ,ჩახატონ,
Iturm
,მიხატიხარ,მიხატია,,მიხატიხართ,მიხატია,
გიხატივარ,,გიხატია,გიხატივართ,,გიხატია,
ვუხატივარ,უხატიხარ,უხატია,ვუხატივართ,უხატიხართ,უხატია,
,გვიხატიხარ,გვიხატია,,გვიხატიხართ,გვიხატია,
გიხატივართ,,გიხატიათ,გიხატივართ,,გიხატიათ,
ვუხატივარ,უხატიხარ,უხატიათ,ვუხატივართ,უხატიხართ,უხატიათ,
Iturm_prfv
