fut2
,გადებინებ,ვადებინებ,,გადებინებთ,ვადებინებ,
მადებინებ,,ადებინებ,გვადებინებ,,ადებინებ,
მადებინებს,გადებინებს,ადებინებს,გვადებინებს,გადებინებთ,ადებინებს,
,გადებინებთ,ვადებინებთ,,გადებინებთ,ვადებინებთ,
მადებინებთ,,ადებინებთ,გვადებინებთ,,ადებინებთ,
მადებინებენ,გადებინებენ,ადებინებენ,გვადებინებენ,გადებინებენ,ადებინებენ,
fut2_prfv
,ჩამოგადებინებ,ჩამოვადებინებ,,ჩამოგადებინებთ,ჩამოვადებინებ,
ჩამომადებინებ,,ჩამოადებინებ,ჩამოგვადებინებ,,ჩამოადებინებ,
ჩამომადებინებს,ჩამოგადებინებს,ჩამოადებინებს,ჩამოგვადებინებს,ჩამოგადებინებთ,ჩამოადებინებს,
,ჩამოგადებინებთ,ჩამოვადებინებთ,,ჩამოგადებინებთ,ჩამოვადებინებთ,
ჩამომადებინებთ,,ჩამოადებინებთ,ჩამოგვადებინებთ,,ჩამოადებინებთ,
ჩამომადებინებენ,ჩამოგადებინებენ,ჩამოადებინებენ,ჩამოგვადებინებენ,ჩამოგადებინებენ,ჩამოადებინებენ,
cond2
,გადებინებდი,ვადებინებდი,,გადებინებდით,ვადებინებდი,
მადებინებდი,,ადებინებდი,გვადებინებდი,,ადებინებდი,
მადებინებდა,გადებინებდა,ადებინებდა,გვადებინებდა,გადებინებდათ,ადებინებდა,
,გადებინებდით,ვადებინებდით,,გადებინებდით,ვადებინებდით,
მადებინებდით,,ადებინებდით,გვადებინებდით,,ადებინებდით,
მადებინებდნენ,გადებინებდნენ,ადებინებდნენ,გვადებინებდნენ,გადებინებდნენ,ადებინებდნენ,
cond2_prfv
,ჩამოგადებინებდი,ჩამოვადებინებდი,,ჩამოგადებინებდით,ჩამოვადებინებდი,
ჩამომადებინებდი,,ჩამოადებინებდი,ჩამოგვადებინებდი,,ჩამოადებინებდი,
ჩამომადებინებდა,ჩამოგადებინებდა,ჩამოადებინებდა,ჩამოგვადებინებდა,ჩამოგადებინებდათ,ჩამოადებინებდა,
,ჩამოგადებინებდით,ჩამოვადებინებდით,,ჩამოგადებინებდით,ჩამოვადებინებდით,
ჩამომადებინებდით,,ჩამოადებინებდით,ჩამოგვადებინებდით,,ჩამოადებინებდით,
ჩამომადებინებდნენ,ჩამოგადებინებდნენ,ჩამოადებინებდნენ,ჩამოგვადებინებდნენ,ჩამოგადებინებდნენ,ჩამოადებინებდნენ,
fut2_subj
,გადებინებდე,ვადებინებდე,,გადებინებდეთ,ვადებინებდე,
მადებინებდე,,ადებინებდე,გვადებინებდე,,ადებინებდე,
მადებინებდეს,გადებინებდეს,ადებინებდეს,გვადებინებდეს,გადებინებდეთ,ადებინებდეს,
,გადებინებდეთ,ვადებინებდეთ,,გადებინებდეთ,ვადებინებდეთ,
მადებინებდეთ,,ადებინებდეთ,გვადებინებდეთ,,ადებინებდეთ,
მადებინებდნენ,გადებინებდნენ,ადებინებდნენ,გვადებინებდნენ,გადებინებდნენ,ადებინებდნენ,
fut2_subj_prfv
,ჩამოგადებინებდე,ჩამოვადებინებდე,,ჩამოგადებინებდეთ,ჩამოვადებინებდე,
ჩამომადებინებდე,,ჩამოადებინებდე,ჩამოგვადებინებდე,,ჩამოადებინებდე,
ჩამომადებინებდეს,ჩამოგადებინებდეს,ჩამოადებინებდეს,ჩამოგვადებინებდეს,ჩამოგადებინებდეთ,ჩამოადებინებდეს,
,ჩამოგადებინებდეთ,ჩამოვადებინებდეთ,,ჩამოგადებინებდეთ,ჩამოვადებინებდეთ,
