fut2
,გარტყამ,ვარტყამ,,გარტყამთ,ვარტყამ,
მარტყამ,,არტყამ,გვარტყამ,,არტყამ,
მარტყამს,გარტყამს,არტყამს,გვარტყამს,გარტყამთ,არტყამს,
,გარტყამთ,ვარტყამთ,,გარტყამთ,ვარტყამთ,
მარტყამთ,,არტყამთ,გვარტყამთ,,არტყამთ,
მარტყამენ,გარტყამენ,არტყამენ,გვარტყამენ,გარტყამენ,არტყამენ,
fut2_prfv
,ჩამოგარტყამ,ჩამოვარტყამ,,ჩამოგარტყამთ,ჩამოვარტყამ,
ჩამომარტყამ,,ჩამოარტყამ,ჩამოგვარტყამ,,ჩამოარტყამ,
ჩამომარტყამს,ჩამოგარტყამს,ჩამოარტყამს,ჩამოგვარტყამს,ჩამოგარტყამთ,ჩამოარტყამს,
,ჩამოგარტყამთ,ჩამოვარტყამთ,,ჩამოგარტყამთ,ჩამოვარტყამთ,
ჩამომარტყამთ,,ჩამოარტყამთ,ჩამოგვარტყამთ,,ჩამოარტყამთ,
ჩამომარტყამენ,ჩამოგარტყამენ,ჩამოარტყამენ,ჩამოგვარტყამენ,ჩამოგარტყამენ,ჩამოარტყამენ,
cond2
,გარტყამდი,ვარტყამდი,,გარტყამდით,ვარტყამდი,
მარტყამდი,,არტყამდი,გვარტყამდი,,არტყამდი,
მარტყამდა,გარტყამდა,არტყამდა,გვარტყამდა,გარტყამდათ,არტყამდა,
,გარტყამდით,ვარტყამდით,,გარტყამდით,ვარტყამდით,
მარტყამდით,,არტყამდით,გვარტყამდით,,არტყამდით,
მარტყამდნენ,გარტყამდნენ,არტყამდნენ,გვარტყამდნენ,გარტყამდნენ,არტყამდნენ,
cond2_prfv
,ჩამოგარტყამდი,ჩამოვარტყამდი,,ჩამოგარტყამდით,ჩამოვარტყამდი,
ჩამომარტყამდი,,ჩამოარტყამდი,ჩამოგვარტყამდი,,ჩამოარტყამდი,
ჩამომარტყამდა,ჩამოგარტყამდა,ჩამოარტყამდა,ჩამოგვარტყამდა,ჩამოგარტყამდათ,ჩამოარტყამდა,
,ჩამოგარტყამდით,ჩამოვარტყამდით,,ჩამოგარტყამდით,ჩამოვარტყამდით,
ჩამომარტყამდით,,ჩამოარტყამდით,ჩამოგვარტყამდით,,ჩამოარტყამდით,
ჩამომარტყამდნენ,ჩამოგარტყამდნენ,ჩამოარტყამდნენ,ჩამოგვარტყამდნენ,ჩამოგარტყამდნენ,ჩამოარტყამდნენ,
fut2_subj
,გარტყამდე,ვარტყამდე,,გარტყამდეთ,ვარტყამდე,
მარტყამდე,,არტყამდე,გვარტყამდე,,არტყამდე,
მარტყამდეს,გარტყამდეს,არტყამდეს,გვარტყამდეს,გარტყამდეთ,არტყამდეს,
,გარტყამდეთ,ვარტყამდეთ,,გარტყამდეთ,ვარტყამდეთ,
მარტყამდეთ,,არტყამდეთ,გვარტყამდეთ,,არტყამდეთ,
მარტყამდნენ,გარტყამდნენ,არტყამდნენ,გვარტყამდნენ,გარტყამდნენ,არტყამდნენ,
fut2_subj_prfv
,ჩამოგარტყამდე,ჩამოვარტყამდე,,ჩამოგარტყამდეთ,ჩამოვარტყამდე,
ჩამომარტყამდე,,ჩამოარტყამდე,ჩამოგვარტყამდე,,ჩამოარტყამდე,
ჩამომარტყამდეს,ჩამოგარტყამდეს,ჩამოარტყამდეს,ჩამოგვარტყამდეს,ჩამოგარტყამდეთ,ჩამოარტყამდეს,
,ჩამოგარტყამდეთ,ჩამოვარტყამდეთ,,ჩამოგარტყამდეთ,ჩამოვარტყამდეთ,
ჩამომარტყამდეთ,,ჩამოარტყამდეთ,ჩამოგვარტყამდეთ,,ჩამოარტყამდეთ,
ჩამომარტყამდნენ,ჩამოგარტყამდნენ,ჩამოარტყამდნენ,ჩამოგვარტყამდნენ,ჩამოგარტყამდნენ,ჩამოარტყამდნენ,
aor2
,გარტყი,ვარტყი,,გარტყით,ვარტყი,
მარტყი,,არტყი,გვარტყი,,არტყი,
მარტყა,გარტყა,არტყა,გვარტყა,გარტყათ,არტყა,
,გარტყით,ვარტყით,,გარტყით,ვარტყით,
მარტყით,,არტყით,გვარტყით,,არტყით,
მარტყეს,გარტყეს,არტყეს,გვარტყეს,გარტყეს,არტყეს,
aor2_prfv
,ჩამოგარტყი,ჩამოვარტყი,,ჩამოგარტყით,ჩამოვარტყი,
ჩამომარტყი,,ჩამოარტყი,ჩამოგვარტყი,,ჩამოარტყი,
ჩამომარტყა,ჩამოგარტყა,ჩამოარტყა,ჩამოგვარტყა,ჩამოგარტყათ,ჩამოარტყა,
,ჩამოგარტყით,ჩამოვარტყით,,ჩამოგარტყით,ჩამოვარტყით,
ჩამომარტყით,,ჩამოარტყით,ჩამოგვარტყით,,ჩამოარტყით,
ჩამომარტყეს,ჩამოგარტყეს,ჩამოარტყეს,ჩამოგვარტყეს,ჩამოგარტყეს,ჩამოარტყეს,
IIsubj2
,გარტყა,ვარტყა,,გარტყათ,ვარტყა,
მარტყა,,არტყა,გვარტყა,,არტყა,
მარტყას,გარტყას,არტყას,გვარტყას,გარტყათ,არტყას,
,გარტყათ,ვარტყათ,,გარტყათ,ვარტყათ,
მარტყათ,,არტყათ,გვარტყათ,,არტყათ,
მარტყან,გარტყან,არტყან,გვარტყან,გარტყან,არტყან,
IIsubj2_prfv
,ჩამოგარტყა,ჩამოვარტყა,,ჩამოგარტყათ,ჩამოვარტყა,
ჩამომარტყა,,ჩამოარტყა,ჩამოგვარტყა,,ჩამოარტყა,
ჩამომარტყას,ჩამოგარტყას,ჩამოარტყას,ჩამოგვარტყას,ჩამოგარტყათ,ჩამოარტყას,
,ჩამოგარტყათ,ჩამოვარტყათ,,ჩამოგარტყათ,ჩამოვარტყათ,
ჩამომარტყათ,,ჩამოარტყათ,ჩამოგვარტყათ,,ჩამოარტყათ,
ჩამომარტყან,ჩამოგარტყან,ჩამოარტყან,ჩამოგვარტყან,ჩამოგარტყან,ჩამოარტყან,
Iturm
,მირტყიხარ,მირტყია,,მირტყიხართ,მირტყია,
გირტყივარ,,გირტყია,გირტყივართ,,გირტყია,
ვურტყივარ,ურტყიხარ,ურტყია,ვურტყივართ,ურტყიხართ,ურტყია,
,გვირტყიხარ,გვირტყია,,გვირტყიხართ,გვირტყია,
გირტყივართ,,გირტყიათ,გირტყივართ,,გირტყიათ,
ვურტყივარ,ურტყიხარ,ურტყიათ,ვურტყივართ,ურტყიხართ,ურტყიათ,
Iturm_prfv
,ჩამომირტყიხარ,ჩამომირტყია,,ჩამომირტყიხართ,ჩამომირტყია,
ჩამოგირტყივარ,,ჩამოგირტყია,ჩამოგირტყივართ,,ჩამოგირტყია,
ჩამოვურტყივარ,ჩამოურტყიხარ,ჩამოურტყია,ჩამოვურტყივართ,ჩამოურტყიხართ,ჩამოურტყია,
,ჩამოგვირტყიხარ,ჩამოგვირტყია,,ჩამოგვირტყიხართ,ჩამოგვირტყია,
ჩამოგირტყივართ,,ჩამოგირტყიათ,ჩამოგირტყივართ,,ჩამოგირტყიათ,
ჩამოვურტყივარ,ჩამოურტყიხარ,ჩამოურტყიათ,ჩამოვურტყივართ,ჩამოურტყიხართ,ჩამოურტყიათ,
Iturm_th
,მირტყამხარ,მირტყამს,,მირტყამხართ,მირტყამს,
გირტყამვარ,,გირტყამს,გირტყამვართ,,გირტყამს,
ვურტყამვარ,ურტყამხარ,ურტყამს,ვურტყამვართ,ურტყამხართ,ურტყამს,
,გვირტყამხარ,გვირტყამს,,გვირტყამხართ,გვირტყამს,
გირტყამვართ,,გირტყამთ,გირტყამვართ,,გირტყამთ,
ვურტყამვარ,ურტყამხარ,ურტყამთ,ვურტყამვართ,ურტყამხართ,ურტყამთ,
Iturm_th_prfv
,ჩამომირტყამხარ,ჩამომირტყამს,,ჩამომირტყამხართ,ჩამომირტყამს,
ჩამოგირტყამვარ,,ჩამოგირტყამს,ჩამოგირტყამვართ,,ჩამოგირტყამს,
