fut2
,გარწევ,ვარწევ,,გარწევთ,ვარწევ,
მარწევ,,არწევ,გვარწევ,,არწევ,
მარწევს,გარწევს,არწევს,გვარწევს,გარწევთ,არწევს,
,გარწევთ,ვარწევთ,,გარწევთ,ვარწევთ,
მარწევთ,,არწევთ,გვარწევთ,,არწევთ,
მარწევენ,გარწევენ,არწევენ,გვარწევენ,გარწევენ,არწევენ,
fut2_prfv
,ჩამოგარწევ,ჩამოვარწევ,,ჩამოგარწევთ,ჩამოვარწევ,
ჩამომარწევ,,ჩამოარწევ,ჩამოგვარწევ,,ჩამოარწევ,
ჩამომარწევს,ჩამოგარწევს,ჩამოარწევს,ჩამოგვარწევს,ჩამოგარწევთ,ჩამოარწევს,
,ჩამოგარწევთ,ჩამოვარწევთ,,ჩამოგარწევთ,ჩამოვარწევთ,
ჩამომარწევთ,,ჩამოარწევთ,ჩამოგვარწევთ,,ჩამოარწევთ,
ჩამომარწევენ,ჩამოგარწევენ,ჩამოარწევენ,ჩამოგვარწევენ,ჩამოგარწევენ,ჩამოარწევენ,
cond2
,გარწევდი,ვარწევდი,,გარწევდით,ვარწევდი,
მარწევდი,,არწევდი,გვარწევდი,,არწევდი,
მარწევდა,გარწევდა,არწევდა,გვარწევდა,გარწევდათ,არწევდა,
,გარწევდით,ვარწევდით,,გარწევდით,ვარწევდით,
მარწევდით,,არწევდით,გვარწევდით,,არწევდით,
მარწევდნენ,გარწევდნენ,არწევდნენ,გვარწევდნენ,გარწევდნენ,არწევდნენ,
cond2_prfv
,ჩამოგარწევდი,ჩამოვარწევდი,,ჩამოგარწევდით,ჩამოვარწევდი,
ჩამომარწევდი,,ჩამოარწევდი,ჩამოგვარწევდი,,ჩამოარწევდი,
ჩამომარწევდა,ჩამოგარწევდა,ჩამოარწევდა,ჩამოგვარწევდა,ჩამოგარწევდათ,ჩამოარწევდა,
,ჩამოგარწევდით,ჩამოვარწევდით,,ჩამოგარწევდით,ჩამოვარწევდით,
ჩამომარწევდით,,ჩამოარწევდით,ჩამოგვარწევდით,,ჩამოარწევდით,
ჩამომარწევდნენ,ჩამოგარწევდნენ,ჩამოარწევდნენ,ჩამოგვარწევდნენ,ჩამოგარწევდნენ,ჩამოარწევდნენ,
fut2_subj
,გარწევდე,ვარწევდე,,გარწევდეთ,ვარწევდე,
მარწევდე,,არწევდე,გვარწევდე,,არწევდე,
მარწევდეს,გარწევდეს,არწევდეს,გვარწევდეს,გარწევდეთ,არწევდეს,
,გარწევდეთ,ვარწევდეთ,,გარწევდეთ,ვარწევდეთ,
მარწევდეთ,,არწევდეთ,გვარწევდეთ,,არწევდეთ,
მარწევდნენ,გარწევდნენ,არწევდნენ,გვარწევდნენ,გარწევდნენ,არწევდნენ,
fut2_subj_prfv
,ჩამოგარწევდე,ჩამოვარწევდე,,ჩამოგარწევდეთ,ჩამოვარწევდე,
ჩამომარწევდე,,ჩამოარწევდე,ჩამოგვარწევდე,,ჩამოარწევდე,
ჩამომარწევდეს,ჩამოგარწევდეს,ჩამოარწევდეს,ჩამოგვარწევდეს,ჩამოგარწევდეთ,ჩამოარწევდეს,
,ჩამოგარწევდეთ,ჩამოვარწევდეთ,,ჩამოგარწევდეთ,ჩამოვარწევდეთ,
ჩამომარწევდეთ,,ჩამოარწევდეთ,ჩამოგვარწევდეთ,,ჩამოარწევდეთ,
ჩამომარწევდნენ,ჩამოგარწევდნენ,ჩამოარწევდნენ,ჩამოგვარწევდნენ,ჩამოგარწევდნენ,ჩამოარწევდნენ,
aor2
,გარწიე,ვარწიე,,გარწიეთ,ვარწიე,
მარწიე,,არწიე,გვარწიე,,არწიე,
მარწია,გარწია,არწია,გვარწია,გარწიათ,არწია,
,გარწიეთ,ვარწიეთ,,გარწიეთ,ვარწიეთ,
