fut2
,გაშენებ,ვაშენებ,,გაშენებთ,ვაშენებ,
მაშენებ,,აშენებ,გვაშენებ,,აშენებ,
მაშენებს,გაშენებს,აშენებს,გვაშენებს,გაშენებთ,აშენებს,
,გაშენებთ,ვაშენებთ,,გაშენებთ,ვაშენებთ,
მაშენებთ,,აშენებთ,გვაშენებთ,,აშენებთ,
მაშენებენ,გაშენებენ,აშენებენ,გვაშენებენ,გაშენებენ,აშენებენ,
fut2_prfv
,ჩამოგაშენებ,ჩამოვაშენებ,,ჩამოგაშენებთ,ჩამოვაშენებ,
ჩამომაშენებ,,ჩამოაშენებ,ჩამოგვაშენებ,,ჩამოაშენებ,
ჩამომაშენებს,ჩამოგაშენებს,ჩამოაშენებს,ჩამოგვაშენებს,ჩამოგაშენებთ,ჩამოაშენებს,
,ჩამოგაშენებთ,ჩამოვაშენებთ,,ჩამოგაშენებთ,ჩამოვაშენებთ,
ჩამომაშენებთ,,ჩამოაშენებთ,ჩამოგვაშენებთ,,ჩამოაშენებთ,
ჩამომაშენებენ,ჩამოგაშენებენ,ჩამოაშენებენ,ჩამოგვაშენებენ,ჩამოგაშენებენ,ჩამოაშენებენ,
cond2
,გაშენებდი,ვაშენებდი,,გაშენებდით,ვაშენებდი,
მაშენებდი,,აშენებდი,გვაშენებდი,,აშენებდი,
მაშენებდა,გაშენებდა,აშენებდა,გვაშენებდა,გაშენებდათ,აშენებდა,
,გაშენებდით,ვაშენებდით,,გაშენებდით,ვაშენებდით,
მაშენებდით,,აშენებდით,გვაშენებდით,,აშენებდით,
მაშენებდნენ,გაშენებდნენ,აშენებდნენ,გვაშენებდნენ,გაშენებდნენ,აშენებდნენ,
cond2_prfv
,ჩამოგაშენებდი,ჩამოვაშენებდი,,ჩამოგაშენებდით,ჩამოვაშენებდი,
ჩამომაშენებდი,,ჩამოაშენებდი,ჩამოგვაშენებდი,,ჩამოაშენებდი,
ჩამომაშენებდა,ჩამოგაშენებდა,ჩამოაშენებდა,ჩამოგვაშენებდა,ჩამოგაშენებდათ,ჩამოაშენებდა,
,ჩამოგაშენებდით,ჩამოვაშენებდით,,ჩამოგაშენებდით,ჩამოვაშენებდით,
ჩამომაშენებდით,,ჩამოაშენებდით,ჩამოგვაშენებდით,,ჩამოაშენებდით,
ჩამომაშენებდნენ,ჩამოგაშენებდნენ,ჩამოაშენებდნენ,ჩამოგვაშენებდნენ,ჩამოგაშენებდნენ,ჩამოაშენებდნენ,
fut2_subj
,გაშენებდე,ვაშენებდე,,გაშენებდეთ,ვაშენებდე,
მაშენებდე,,აშენებდე,გვაშენებდე,,აშენებდე,
მაშენებდეს,გაშენებდეს,აშენებდეს,გვაშენებდეს,გაშენებდეთ,აშენებდეს,
,გაშენებდეთ,ვაშენებდეთ,,გაშენებდეთ,ვაშენებდეთ,
მაშენებდეთ,,აშენებდეთ,გვაშენებდეთ,,აშენებდეთ,
მაშენებდნენ,გაშენებდნენ,აშენებდნენ,გვაშენებდნენ,გაშენებდნენ,აშენებდნენ,
fut2_subj_prfv
,ჩამოგაშენებდე,ჩამოვაშენებდე,,ჩამოგაშენებდეთ,ჩამოვაშენებდე,
ჩამომაშენებდე,,ჩამოაშენებდე,ჩამოგვაშენებდე,,ჩამოაშენებდე,
ჩამომაშენებდეს,ჩამოგაშენებდეს,ჩამოაშენებდეს,ჩამოგვაშენებდეს,ჩამოგაშენებდეთ,ჩამოაშენებდეს,
,ჩამოგაშენებდეთ,ჩამოვაშენებდეთ,,ჩამოგაშენებდეთ,ჩამოვაშენებდეთ,
ჩამომაშენებდეთ,,ჩამოაშენებდეთ,ჩამოგვაშენებდეთ,,ჩამოაშენებდეთ,
ჩამომაშენებდნენ,ჩამოგაშენებდნენ,ჩამოაშენებდნენ,ჩამოგვაშენებდნენ,ჩამოგაშენებდნენ,ჩამოაშენებდნენ,
aor2
,გაშენე,ვაშენე,,გაშენეთ,ვაშენე,
მაშენე,,აშენე,გვაშენე,,აშენე,
მაშენა,გაშენა,აშენა,გვაშენა,გაშენათ,აშენა,
,გაშენეთ,ვაშენეთ,,გაშენეთ,ვაშენეთ,
მაშენეთ,,აშენეთ,გვაშენეთ,,აშენეთ,
მაშენეს,გაშენეს,აშენეს,გვაშენეს,გაშენეს,აშენეს,
aor2_prfv
,ჩამოგაშენე,ჩამოვაშენე,,ჩამოგაშენეთ,ჩამოვაშენე,
ჩამომაშენე,,ჩამოაშენე,ჩამოგვაშენე,,ჩამოაშენე,
ჩამომაშენა,ჩამოგაშენა,ჩამოაშენა,ჩამოგვაშენა,ჩამოგაშენათ,ჩამოაშენა,
,ჩამოგაშენეთ,ჩამოვაშენეთ,,ჩამოგაშენეთ,ჩამოვაშენეთ,
ჩამომაშენეთ,,ჩამოაშენეთ,ჩამოგვაშენეთ,,ჩამოაშენეთ,
ჩამომაშენეს,ჩამოგაშენეს,ჩამოაშენეს,ჩამოგვაშენეს,ჩამოგაშენეს,ჩამოაშენეს,
IIsubj2
,გაშენო,ვაშენო,,გაშენოთ,ვაშენო,
მაშენო,,აშენო,გვაშენო,,აშენო,
მაშენოს,გაშენოს,აშენოს,გვაშენოს,გაშენოთ,აშენოს,
,გაშენოთ,ვაშენოთ,,გაშენოთ,ვაშენოთ,
მაშენოთ,,აშენოთ,გვაშენოთ,,აშენოთ,
მაშენონ,გაშენონ,აშენონ,გვაშენონ,გაშენონ,აშენონ,
IIsubj2_prfv
,ჩამოგაშენო,ჩამოვაშენო,,ჩამოგაშენოთ,ჩამოვაშენო,
ჩამომაშენო,,ჩამოაშენო,ჩამოგვაშენო,,ჩამოაშენო,
ჩამომაშენოს,ჩამოგაშენოს,ჩამოაშენოს,ჩამოგვაშენოს,ჩამოგაშენოთ,ჩამოაშენოს,
,ჩამოგაშენოთ,ჩამოვაშენოთ,,ჩამოგაშენოთ,ჩამოვაშენოთ,
ჩამომაშენოთ,,ჩამოაშენოთ,ჩამოგვაშენოთ,,ჩამოაშენოთ,
ჩამომაშენონ,ჩამოგაშენონ,ჩამოაშენონ,ჩამოგვაშენონ,ჩამოგაშენონ,ჩამოაშენონ,
Iturm
,მიშენებიხარ,მიშენებია,,მიშენებიხართ,მიშენებია,
გიშენებივარ,,გიშენებია,გიშენებივართ,,გიშენებია,
ვუშენებივარ,უშენებიხარ,უშენებია,ვუშენებივართ,უშენებიხართ,უშენებია,
,გვიშენებიხარ,გვიშენებია,,გვიშენებიხართ,გვიშენებია,
გიშენებივართ,,გიშენებიათ,გიშენებივართ,,გიშენებიათ,
ვუშენებივარ,უშენებიხარ,უშენებიათ,ვუშენებივართ,უშენებიხართ,უშენებიათ,
Iturm_prfv
,ჩამომიშენებიხარ,ჩამომიშენებია,,ჩამომიშენებიხართ,ჩამომიშენებია,
ჩამოგიშენებივარ,,ჩამოგიშენებია,ჩამოგიშენებივართ,,ჩამოგიშენებია,
ჩამოვუშენებივარ,ჩამოუშენებიხარ,ჩამოუშენებია,ჩამოვუშენებივართ,ჩამოუშენებიხართ,ჩამოუშენებია,
,ჩამოგვიშენებიხარ,ჩამოგვიშენებია,,ჩამოგვიშენებიხართ,ჩამოგვიშენებია,
ჩამოგიშენებივართ,,ჩამოგიშენებიათ,ჩამოგიშენებივართ,,ჩამოგიშენებიათ,
ჩამოვუშენებივარ,ჩამოუშენებიხარ,ჩამოუშენებიათ,ჩამოვუშენებივართ,ჩამოუშენებიხართ,ჩამოუშენებიათ,
IIturm
,მეშენებინე,მეშენებინა,,მეშენებინეთ,მეშენებინა,
გეშენებინე,,გეშენებინა,გეშენებინეთ,,გეშენებინა,
ვეშენებინე,ეშენებინე,ეშენებინა,ვეშენებინეთ,ეშენებინეთ,ეშენებინა,
,გვეშენებინე,გვეშენებინა,,გვეშენებინეთ,გვეშენებინა,
გეშენებინეთ,,გეშენებინათ,გეშენებინეთ,,გეშენებინათ,
ვეშენებინე,ეშენებინე,ეშენებინათ,ვეშენებინეთ,ეშენებინეთ,ეშენებინათ,
IIturm_prfv
,ჩამომეშენებინე,ჩამომეშენებინა,,ჩამომეშენებინეთ,ჩამომეშენებინა,
ჩამოგეშენებინე,,ჩამოგეშენებინა,ჩამოგეშენებინეთ,,ჩამოგეშენებინა,
ჩამოვეშენებინე,ჩამოეშენებინე,ჩამოეშენებინა,ჩამოვეშენებინეთ,ჩამოეშენებინეთ,ჩამოეშენებინა,
,ჩამოგვეშენებინე,ჩამოგვეშენებინა,,ჩამოგვეშენებინეთ,ჩამოგვეშენებინა,
ჩამოგეშენებინეთ,,ჩამოგეშენებინათ,ჩამოგეშენებინეთ,,ჩამოგეშენებინათ,
ჩამოვეშენებინე,ჩამოეშენებინე,ჩამოეშენებინათ,ჩამოვეშენებინეთ,ჩამოეშენებინეთ,ჩამოეშენებინათ,
IIIsubj
,მეშენებინო,მეშენებინოს,,მეშენებინოთ,მეშენებინოს,
გეშენებინო,,გეშენებინოს,გეშენებინოთ,,გეშენებინოს,
ვეშენებინო,ეშენებინო,ეშენებინოს,ვეშენებინოთ,ეშენებინოთ,ეშენებინოს,
,გვეშენებინო,გვეშენებინოს,,გვეშენებინოთ,გვეშენებინოს,
გეშენებინოთ,,გეშენებინოთ,გეშენებინოთ,,გეშენებინოთ,
ვეშენებინო,ეშენებინო,ეშენებინოთ,ვეშენებინოთ,ეშენებინოთ,ეშენებინოთ,
IIIsubj_prfv
,ჩამომეშენებინო,ჩამომეშენებინოს,,ჩამომეშენებინოთ,ჩამომეშენებინოს,
ჩამოგეშენებინო,,ჩამოგეშენებინოს,ჩამოგეშენებინოთ,,ჩამოგეშენებინოს,
