fut2
,გაჭერ,ვაჭერ,,გაჭერთ,ვაჭერ,
მაჭერ,,აჭერ,გვაჭერ,,აჭერ,
მაჭერს,გაჭერს,აჭერს,გვაჭერს,გაჭერთ,აჭერს,
,გაჭერთ,ვაჭერთ,,გაჭერთ,ვაჭერთ,
მაჭერთ,,აჭერთ,გვაჭერთ,,აჭერთ,
მაჭერენ,გაჭერენ,აჭერენ,გვაჭერენ,გაჭერენ,აჭერენ,
fut2_prfv
,ჩამოგაჭერ,ჩამოვაჭერ,,ჩამოგაჭერთ,ჩამოვაჭერ,
ჩამომაჭერ,,ჩამოაჭერ,ჩამოგვაჭერ,,ჩამოაჭერ,
ჩამომაჭერს,ჩამოგაჭერს,ჩამოაჭერს,ჩამოგვაჭერს,ჩამოგაჭერთ,ჩამოაჭერს,
,ჩამოგაჭერთ,ჩამოვაჭერთ,,ჩამოგაჭერთ,ჩამოვაჭერთ,
ჩამომაჭერთ,,ჩამოაჭერთ,ჩამოგვაჭერთ,,ჩამოაჭერთ,
ჩამომაჭერენ,ჩამოგაჭერენ,ჩამოაჭერენ,ჩამოგვაჭერენ,ჩამოგაჭერენ,ჩამოაჭერენ,
cond2
,გაჭერდი,ვაჭერდი,,გაჭერდით,ვაჭერდი,
მაჭერდი,,აჭერდი,გვაჭერდი,,აჭერდი,
მაჭერდა,გაჭერდა,აჭერდა,გვაჭერდა,გაჭერდათ,აჭერდა,
,გაჭერდით,ვაჭერდით,,გაჭერდით,ვაჭერდით,
მაჭერდით,,აჭერდით,გვაჭერდით,,აჭერდით,
მაჭერდნენ,გაჭერდნენ,აჭერდნენ,გვაჭერდნენ,გაჭერდნენ,აჭერდნენ,
cond2_prfv
,ჩამოგაჭერდი,ჩამოვაჭერდი,,ჩამოგაჭერდით,ჩამოვაჭერდი,
ჩამომაჭერდი,,ჩამოაჭერდი,ჩამოგვაჭერდი,,ჩამოაჭერდი,
ჩამომაჭერდა,ჩამოგაჭერდა,ჩამოაჭერდა,ჩამოგვაჭერდა,ჩამოგაჭერდათ,ჩამოაჭერდა,
,ჩამოგაჭერდით,ჩამოვაჭერდით,,ჩამოგაჭერდით,ჩამოვაჭერდით,
ჩამომაჭერდით,,ჩამოაჭერდით,ჩამოგვაჭერდით,,ჩამოაჭერდით,
ჩამომაჭერდნენ,ჩამოგაჭერდნენ,ჩამოაჭერდნენ,ჩამოგვაჭერდნენ,ჩამოგაჭერდნენ,ჩამოაჭერდნენ,
fut2_subj
,გაჭერდე,ვაჭერდე,,გაჭერდეთ,ვაჭერდე,
მაჭერდე,,აჭერდე,გვაჭერდე,,აჭერდე,
მაჭერდეს,გაჭერდეს,აჭერდეს,გვაჭერდეს,გაჭერდეთ,აჭერდეს,
,გაჭერდეთ,ვაჭერდეთ,,გაჭერდეთ,ვაჭერდეთ,
მაჭერდეთ,,აჭერდეთ,გვაჭერდეთ,,აჭერდეთ,
მაჭერდნენ,გაჭერდნენ,აჭერდნენ,გვაჭერდნენ,გაჭერდნენ,აჭერდნენ,
fut2_subj_prfv
,ჩამოგაჭერდე,ჩამოვაჭერდე,,ჩამოგაჭერდეთ,ჩამოვაჭერდე,
ჩამომაჭერდე,,ჩამოაჭერდე,ჩამოგვაჭერდე,,ჩამოაჭერდე,
ჩამომაჭერდეს,ჩამოგაჭერდეს,ჩამოაჭერდეს,ჩამოგვაჭერდეს,ჩამოგაჭერდეთ,ჩამოაჭერდეს,
,ჩამოგაჭერდეთ,ჩამოვაჭერდეთ,,ჩამოგაჭერდეთ,ჩამოვაჭერდეთ,
ჩამომაჭერდეთ,,ჩამოაჭერდეთ,ჩამოგვაჭერდეთ,,ჩამოაჭერდეთ,
ჩამომაჭერდნენ,ჩამოგაჭერდნენ,ჩამოაჭერდნენ,ჩამოგვაჭერდნენ,ჩამოგაჭერდნენ,ჩამოაჭერდნენ,
aor2
,გაჭირე,ვაჭირე,,გაჭირეთ,ვაჭირე,
მაჭირე,,აჭირე,გვაჭირე,,აჭირე,
მაჭირა,გაჭირა,აჭირა,გვაჭირა,გაჭირათ,აჭირა,
,გაჭირეთ,ვაჭირეთ,,გაჭირეთ,ვაჭირეთ,
მაჭირეთ,,აჭირეთ,გვაჭირეთ,,აჭირეთ,
მაჭირეს,გაჭირეს,აჭირეს,გვაჭირეს,გაჭირეს,აჭირეს,
aor2_prfv
,ჩამოგაჭირე,ჩამოვაჭირე,,ჩამოგაჭირეთ,ჩამოვაჭირე,
ჩამომაჭირე,,ჩამოაჭირე,ჩამოგვაჭირე,,ჩამოაჭირე,
ჩამომაჭირა,ჩამოგაჭირა,ჩამოაჭირა,ჩამოგვაჭირა,ჩამოგაჭირათ,ჩამოაჭირა,
,ჩამოგაჭირეთ,ჩამოვაჭირეთ,,ჩამოგაჭირეთ,ჩამოვაჭირეთ,
ჩამომაჭირეთ,,ჩამოაჭირეთ,ჩამოგვაჭირეთ,,ჩამოაჭირეთ,
ჩამომაჭირეს,ჩამოგაჭირეს,ჩამოაჭირეს,ჩამოგვაჭირეს,ჩამოგაჭირეს,ჩამოაჭირეს,
IIsubj2
,გაჭირო,ვაჭირო,,გაჭიროთ,ვაჭირო,
მაჭირო,,აჭირო,გვაჭირო,,აჭირო,
მაჭიროს,გაჭიროს,აჭიროს,გვაჭიროს,გაჭიროთ,აჭიროს,
,გაჭიროთ,ვაჭიროთ,,გაჭიროთ,ვაჭიროთ,
მაჭიროთ,,აჭიროთ,გვაჭიროთ,,აჭიროთ,
მაჭირონ,გაჭირონ,აჭირონ,გვაჭირონ,გაჭირონ,აჭირონ,
IIsubj2_prfv
,ჩამოგაჭირო,ჩამოვაჭირო,,ჩამოგაჭიროთ,ჩამოვაჭირო,
ჩამომაჭირო,,ჩამოაჭირო,ჩამოგვაჭირო,,ჩამოაჭირო,
ჩამომაჭიროს,ჩამოგაჭიროს,ჩამოაჭიროს,ჩამოგვაჭიროს,ჩამოგაჭიროთ,ჩამოაჭიროს,
,ჩამოგაჭიროთ,ჩამოვაჭიროთ,,ჩამოგაჭიროთ,ჩამოვაჭიროთ,
ჩამომაჭიროთ,,ჩამოაჭიროთ,ჩამოგვაჭიროთ,,ჩამოაჭიროთ,
ჩამომაჭირონ,ჩამოგაჭირონ,ჩამოაჭირონ,ჩამოგვაჭირონ,ჩამოგაჭირონ,ჩამოაჭირონ,
Iturm
,მიჭერიხარ,მიჭერია,,მიჭერიხართ,მიჭერია,
გიჭერივარ,,გიჭერია,გიჭერივართ,,გიჭერია,
ვუჭერივარ,უჭერიხარ,უჭერია,ვუჭერივართ,უჭერიხართ,უჭერია,
,გვიჭერიხარ,გვიჭერია,,გვიჭერიხართ,გვიჭერია,
გიჭერივართ,,გიჭერიათ,გიჭერივართ,,გიჭერიათ,
ვუჭერივარ,უჭერიხარ,უჭერიათ,ვუჭერივართ,უჭერიხართ,უჭერიათ,
Iturm_prfv
,ჩამომიჭერიხარ,ჩამომიჭერია,,ჩამომიჭერიხართ,ჩამომიჭერია,
ჩამოგიჭერივარ,,ჩამოგიჭერია,ჩამოგიჭერივართ,,ჩამოგიჭერია,
ჩამოვუჭერივარ,ჩამოუჭერიხარ,ჩამოუჭერია,ჩამოვუჭერივართ,ჩამოუჭერიხართ,ჩამოუჭერია,
,ჩამოგვიჭერიხარ,ჩამოგვიჭერია,,ჩამოგვიჭერიხართ,ჩამოგვიჭერია,
ჩამოგიჭერივართ,,ჩამოგიჭერიათ,ჩამოგიჭერივართ,,ჩამოგიჭერიათ,
ჩამოვუჭერივარ,ჩამოუჭერიხარ,ჩამოუჭერიათ,ჩამოვუჭერივართ,ჩამოუჭერიხართ,ჩამოუჭერიათ,
IIturm
,მეჭირე,მეჭირა,,მეჭირეთ,მეჭირა,
გეჭირე,,გეჭირა,გეჭირეთ,,გეჭირა,
ვეჭირე,ეჭირე,ეჭირა,ვეჭირეთ,ეჭირეთ,ეჭირა,
,გვეჭირე,გვეჭირა,,გვეჭირეთ,გვეჭირა,
გეჭირეთ,,გეჭირათ,გეჭირეთ,,გეჭირათ,
ვეჭირე,ეჭირე,ეჭირათ,ვეჭირეთ,ეჭირეთ,ეჭირათ,
IIturm_prfv
,ჩამომეჭირე,ჩამომეჭირა,,ჩამომეჭირეთ,ჩამომეჭირა,
ჩამოგეჭირე,,ჩამოგეჭირა,ჩამოგეჭირეთ,,ჩამოგეჭირა,
ჩამოვეჭირე,ჩამოეჭირე,ჩამოეჭირა,ჩამოვეჭირეთ,ჩამოეჭირეთ,ჩამოეჭირა,
,ჩამოგვეჭირე,ჩამოგვეჭირა,,ჩამოგვეჭირეთ,ჩამოგვეჭირა,
ჩამოგეჭირეთ,,ჩამოგეჭირათ,ჩამოგეჭირეთ,,ჩამოგეჭირათ,
ჩამოვეჭირე,ჩამოეჭირე,ჩამოეჭირათ,ჩამოვეჭირეთ,ჩამოეჭირეთ,ჩამოეჭირათ,
IIIsubj
,მეჭირო,მეჭიროს,,მეჭიროთ,მეჭიროს,
გეჭირო,,გეჭიროს,გეჭიროთ,,გეჭიროს,
ვეჭირო,ეჭირო,ეჭიროს,ვეჭიროთ,ეჭიროთ,ეჭიროს,
,გვეჭირო,გვეჭიროს,,გვეჭიროთ,გვეჭიროს,
გეჭიროთ,,გეჭიროთ,გეჭიროთ,,გეჭიროთ,
ვეჭირო,ეჭირო,ეჭიროთ,ვეჭიროთ,ეჭიროთ,ეჭიროთ,
IIIsubj_prfv
,ჩამომეჭირო,ჩამომეჭიროს,,ჩამომეჭიროთ,ჩამომეჭიროს,
ჩამოგეჭირო,,ჩამოგეჭიროს,ჩამოგეჭიროთ,,ჩამოგეჭიროს,
ჩამოვეჭირო,ჩამოეჭირო,ჩამოეჭიროს,ჩამოვეჭიროთ,ჩამოეჭიროთ,ჩამოეჭიროს,
,ჩამოგვეჭირო,ჩამოგვეჭიროს,,ჩამოგვეჭიროთ,ჩამოგვეჭიროს,
ჩამოგეჭიროთ,,ჩამოგეჭიროთ,ჩამოგეჭიროთ,,ჩამოგეჭიროთ,
ჩამოვეჭირო,ჩამოეჭირო,ჩამოეჭიროთ,ჩამოვეჭიროთ,ჩამოეჭიროთ,ჩამოეჭიროთ,
