pres
,გზრდი,ვზრდი,,გზრდით,ვზრდი,
მზრდი,,ზრდი,გვზრდი,,ზრდი,
მზრდის,გზრდის,ზრდის,გვზრდის,გზრდით,ზრდის,
,გზრდით,ვზრდით,,გზრდით,ვზრდით,
მზრდით,,ზრდით,გვზრდით,,ზრდით,
მზრდიან,გზრდიან,ზრდიან,გვზრდიან,გზრდიან,ზრდიან,
fut
,ჩამოგზრდი,ჩამოვზრდი,,ჩამოგზრდით,ჩამოვზრდი,
ჩამომზრდი,,ჩამოზრდი,ჩამოგვზრდი,,ჩამოზრდი,
ჩამომზრდის,ჩამოგზრდის,ჩამოზრდის,ჩამოგვზრდის,ჩამოგზრდით,ჩამოზრდის,
,ჩამოგზრდით,ჩამოვზრდით,,ჩამოგზრდით,ჩამოვზრდით,
ჩამომზრდით,,ჩამოზრდით,ჩამოგვზრდით,,ჩამოზრდით,
ჩამომზრდიან,ჩამოგზრდიან,ჩამოზრდიან,ჩამოგვზრდიან,ჩამოგზრდიან,ჩამოზრდიან,
impf
,გზრდიდი,ვზრდიდი,,გზრდიდით,ვზრდიდი,
მზრდიდი,,ზრდიდი,გვზრდიდი,,ზრდიდი,
მზრდიდა,გზრდიდა,ზრდიდა,გვზრდიდა,გზრდიდათ,ზრდიდა,
,გზრდიდით,ვზრდიდით,,გზრდიდით,ვზრდიდით,
მზრდიდით,,ზრდიდით,გვზრდიდით,,ზრდიდით,
მზრდიდნენ,გზრდიდნენ,ზრდიდნენ,გვზრდიდნენ,გზრდიდნენ,ზრდიდნენ,
cond
,ჩამოგზრდიდი,ჩამოვზრდიდი,,ჩამოგზრდიდით,ჩამოვზრდიდი,
ჩამომზრდიდი,,ჩამოზრდიდი,ჩამოგვზრდიდი,,ჩამოზრდიდი,
ჩამომზრდიდა,ჩამოგზრდიდა,ჩამოზრდიდა,ჩამოგვზრდიდა,ჩამოგზრდიდათ,ჩამოზრდიდა,
,ჩამოგზრდიდით,ჩამოვზრდიდით,,ჩამოგზრდიდით,ჩამოვზრდიდით,
ჩამომზრდიდით,,ჩამოზრდიდით,ჩამოგვზრდიდით,,ჩამოზრდიდით,
ჩამომზრდიდნენ,ჩამოგზრდიდნენ,ჩამოზრდიდნენ,ჩამოგვზრდიდნენ,ჩამოგზრდიდნენ,ჩამოზრდიდნენ,
subj
,გზრდიდე,ვზრდიდე,,გზრდიდეთ,ვზრდიდე,
მზრდიდე,,ზრდიდე,გვზრდიდე,,ზრდიდე,
მზრდიდეს,გზრდიდეს,ზრდიდეს,გვზრდიდეს,გზრდიდეთ,ზრდიდეს,
,გზრდიდეთ,ვზრდიდეთ,,გზრდიდეთ,ვზრდიდეთ,
მზრდიდეთ,,ზრდიდეთ,გვზრდიდეთ,,ზრდიდეთ,
მზრდიდნენ,გზრდიდნენ,ზრდიდნენ,გვზრდიდნენ,გზრდიდნენ,ზრდიდნენ,
fut_subj
,ჩამოგზრდიდე,ჩამოვზრდიდე,,ჩამოგზრდიდეთ,ჩამოვზრდიდე,
ჩამომზრდიდე,,ჩამოზრდიდე,ჩამოგვზრდიდე,,ჩამოზრდიდე,
ჩამომზრდიდეს,ჩამოგზრდიდეს,ჩამოზრდიდეს,ჩამოგვზრდიდეს,ჩამოგზრდიდეთ,ჩამოზრდიდეს,
,ჩამოგზრდიდეთ,ჩამოვზრდიდეთ,,ჩამოგზრდიდეთ,ჩამოვზრდიდეთ,
ჩამომზრდიდეთ,,ჩამოზრდიდეთ,ჩამოგვზრდიდეთ,,ჩამოზრდიდეთ,
ჩამომზრდიდნენ,ჩამოგზრდიდნენ,ჩამოზრდიდნენ,ჩამოგვზრდიდნენ,ჩამოგზრდიდნენ,ჩამოზრდიდნენ,
aor
,გზარდე,ვზარდე,,გზარდეთ,ვზარდე,
მზარდე,,ზარდე,გვზარდე,,ზარდე,
მზარდა,გზარდა,ზარდა,გვზარდა,გზარდათ,ზარდა,
,გზარდეთ,ვზარდეთ,,გზარდეთ,ვზარდეთ,
მზარდეთ,,ზარდეთ,გვზარდეთ,,ზარდეთ,
მზარდეს,გზარდეს,ზარდეს,გვზარდეს,გზარდეს,ზარდეს,
aor_prfv
,ჩამოგზარდე,ჩამოვზარდე,,ჩამოგზარდეთ,ჩამოვზარდე,
ჩამომზარდე,,ჩამოზარდე,ჩამოგვზარდე,,ჩამოზარდე,
ჩამომზარდა,ჩამოგზარდა,ჩამოზარდა,ჩამოგვზარდა,ჩამოგზარდათ,ჩამოზარდა,
,ჩამოგზარდეთ,ჩამოვზარდეთ,,ჩამოგზარდეთ,ჩამოვზარდეთ,
ჩამომზარდეთ,,ჩამოზარდეთ,ჩამოგვზარდეთ,,ჩამოზარდეთ,
ჩამომზარდეს,ჩამოგზარდეს,ჩამოზარდეს,ჩამოგვზარდეს,ჩამოგზარდეს,ჩამოზარდეს,
IIsubj
,გზარდო,ვზარდო,,გზარდოთ,ვზარდო,
მზარდო,,ზარდო,გვზარდო,,ზარდო,
მზარდოს,გზარდოს,ზარდოს,გვზარდოს,გზარდოთ,ზარდოს,
,გზარდოთ,ვზარდოთ,,გზარდოთ,ვზარდოთ,
მზარდოთ,,ზარდოთ,გვზარდოთ,,ზარდოთ,
მზარდონ,გზარდონ,ზარდონ,გვზარდონ,გზარდონ,ზარდონ,
IIsubj_prfv
,ჩამოგზარდო,ჩამოვზარდო,,ჩამოგზარდოთ,ჩამოვზარდო,
ჩამომზარდო,,ჩამოზარდო,ჩამოგვზარდო,,ჩამოზარდო,
ჩამომზარდოს,ჩამოგზარდოს,ჩამოზარდოს,ჩამოგვზარდოს,ჩამოგზარდოთ,ჩამოზარდოს,
,ჩამოგზარდოთ,ჩამოვზარდოთ,,ჩამოგზარდოთ,ჩამოვზარდოთ,
ჩამომზარდოთ,,ჩამოზარდოთ,ჩამოგვზარდოთ,,ჩამოზარდოთ,
ჩამომზარდონ,ჩამოგზარდონ,ჩამოზარდონ,ჩამოგვზარდონ,ჩამოგზარდონ,ჩამოზარდონ,
Iturm
,მიზრდიხარ,მიზრდია,,მიზრდიხართ,მიზრდია,
გიზრდივარ,,გიზრდია,გიზრდივართ,,გიზრდია,
ვუზრდივარ,უზრდიხარ,უზრდია,ვუზრდივართ,უზრდიხართ,უზრდია,
,გვიზრდიხარ,გვიზრდია,,გვიზრდიხართ,გვიზრდია,
გიზრდივართ,,გიზრდიათ,გიზრდივართ,,გიზრდიათ,
ვუზრდივარ,უზრდიხარ,უზრდიათ,ვუზრდივართ,უზრდიხართ,უზრდიათ,
Iturm_prfv
,ჩამომიზრდიხარ,ჩამომიზრდია,,ჩამომიზრდიხართ,ჩამომიზრდია,
ჩამოგიზრდივარ,,ჩამოგიზრდია,ჩამოგიზრდივართ,,ჩამოგიზრდია,
ჩამოვუზრდივარ,ჩამოუზრდიხარ,ჩამოუზრდია,ჩამოვუზრდივართ,ჩამოუზრდიხართ,ჩამოუზრდია,
,ჩამოგვიზრდიხარ,ჩამოგვიზრდია,,ჩამოგვიზრდიხართ,ჩამოგვიზრდია,
ჩამოგიზრდივართ,,ჩამოგიზრდიათ,ჩამოგიზრდივართ,,ჩამოგიზრდიათ,
ჩამოვუზრდივარ,ჩამოუზრდიხარ,ჩამოუზრდიათ,ჩამოვუზრდივართ,ჩამოუზრდიხართ,ჩამოუზრდიათ,
IIturm
,მეზარდე,მეზარდა,,მეზარდეთ,მეზარდა,
გეზარდე,,გეზარდა,გეზარდეთ,,გეზარდა,
ვეზარდე,ეზარდე,ეზარდა,ვეზარდეთ,ეზარდეთ,ეზარდა,
,გვეზარდე,გვეზარდა,,გვეზარდეთ,გვეზარდა,
გეზარდეთ,,გეზარდათ,გეზარდეთ,,გეზარდათ,
ვეზარდე,ეზარდე,ეზარდათ,ვეზარდეთ,ეზარდეთ,ეზარდათ,
IIturm_prfv
,ჩამომეზარდე,ჩამომეზარდა,,ჩამომეზარდეთ,ჩამომეზარდა,
ჩამოგეზარდე,,ჩამოგეზარდა,ჩამოგეზარდეთ,,ჩამოგეზარდა,
ჩამოვეზარდე,ჩამოეზარდე,ჩამოეზარდა,ჩამოვეზარდეთ,ჩამოეზარდეთ,ჩამოეზარდა,
,ჩამოგვეზარდე,ჩამოგვეზარდა,,ჩამოგვეზარდეთ,ჩამოგვეზარდა,
ჩამოგეზარდეთ,,ჩამოგეზარდათ,ჩამოგეზარდეთ,,ჩამოგეზარდათ,
ჩამოვეზარდე,ჩამოეზარდე,ჩამოეზარდათ,ჩამოვეზარდეთ,ჩამოეზარდეთ,ჩამოეზარდათ,
IIIsubj
,მეზარდო,მეზარდოს,,მეზარდოთ,მეზარდოს,
გეზარდო,,გეზარდოს,გეზარდოთ,,გეზარდოს,
ვეზარდო,ეზარდო,ეზარდოს,ვეზარდოთ,ეზარდოთ,ეზარდოს,
,გვეზარდო,გვეზარდოს,,გვეზარდოთ,გვეზარდოს,
გეზარდოთ,,გეზარდოთ,გეზარდოთ,,გეზარდოთ,
ვეზარდო,ეზარდო,ეზარდოთ,ვეზარდოთ,ეზარდოთ,ეზარდოთ,
IIIsubj_prfv
,ჩამომეზარდო,ჩამომეზარდოს,,ჩამომეზარდოთ,ჩამომეზარდოს,
ჩამოგეზარდო,,ჩამოგეზარდოს,ჩამოგეზარდოთ,,ჩამოგეზარდოს,
ჩამოვეზარდო,ჩამოეზარდო,ჩამოეზარდოს,ჩამოვეზარდოთ,ჩამოეზარდოთ,ჩამოეზარდოს,
,ჩამოგვეზარდო,ჩამოგვეზარდოს,,ჩამოგვეზარდოთ,ჩამოგვეზარდოს,
ჩამოგეზარდოთ,,ჩამოგეზარდოთ,ჩამოგეზარდოთ,,ჩამოგეზარდოთ,
ჩამოვეზარდო,ჩამოეზარდო,ჩამოეზარდოთ,ჩამოვეზარდოთ,ჩამოეზარდოთ,ჩამოეზარდოთ,
