fut2
,გინახავ,ვინახავ,,გინახავთ,ვინახავ,
მინახავ,,ინახავ,გვინახავ,,ინახავ,
მინახავს,გინახავს,ინახავს,გვინახავს,გინახავთ,ინახავს,
,გინახავთ,ვინახავთ,,გინახავთ,ვინახავთ,
მინახავთ,,ინახავთ,გვინახავთ,,ინახავთ,
მინახავენ,გინახავენ,ინახავენ,გვინახავენ,გინახავენ,ინახავენ,
fut2_prfv
,ჩამოგინახავ,ჩამოვინახავ,,ჩამოგინახავთ,ჩამოვინახავ,
ჩამომინახავ,,ჩამოინახავ,ჩამოგვინახავ,,ჩამოინახავ,
ჩამომინახავს,ჩამოგინახავს,ჩამოინახავს,ჩამოგვინახავს,ჩამოგინახავთ,ჩამოინახავს,
,ჩამოგინახავთ,ჩამოვინახავთ,,ჩამოგინახავთ,ჩამოვინახავთ,
ჩამომინახავთ,,ჩამოინახავთ,ჩამოგვინახავთ,,ჩამოინახავთ,
ჩამომინახავენ,ჩამოგინახავენ,ჩამოინახავენ,ჩამოგვინახავენ,ჩამოგინახავენ,ჩამოინახავენ,
cond2
,გინახავდი,ვინახავდი,,გინახავდით,ვინახავდი,
მინახავდი,,ინახავდი,გვინახავდი,,ინახავდი,
მინახავდა,გინახავდა,ინახავდა,გვინახავდა,გინახავდათ,ინახავდა,
,გინახავდით,ვინახავდით,,გინახავდით,ვინახავდით,
მინახავდით,,ინახავდით,გვინახავდით,,ინახავდით,
მინახავდნენ,გინახავდნენ,ინახავდნენ,გვინახავდნენ,გინახავდნენ,ინახავდნენ,
cond2_prfv
,ჩამოგინახავდი,ჩამოვინახავდი,,ჩამოგინახავდით,ჩამოვინახავდი,
ჩამომინახავდი,,ჩამოინახავდი,ჩამოგვინახავდი,,ჩამოინახავდი,
ჩამომინახავდა,ჩამოგინახავდა,ჩამოინახავდა,ჩამოგვინახავდა,ჩამოგინახავდათ,ჩამოინახავდა,
,ჩამოგინახავდით,ჩამოვინახავდით,,ჩამოგინახავდით,ჩამოვინახავდით,
ჩამომინახავდით,,ჩამოინახავდით,ჩამოგვინახავდით,,ჩამოინახავდით,
ჩამომინახავდნენ,ჩამოგინახავდნენ,ჩამოინახავდნენ,ჩამოგვინახავდნენ,ჩამოგინახავდნენ,ჩამოინახავდნენ,
fut2_subj
,გინახავდე,ვინახავდე,,გინახავდეთ,ვინახავდე,
მინახავდე,,ინახავდე,გვინახავდე,,ინახავდე,
მინახავდეს,გინახავდეს,ინახავდეს,გვინახავდეს,გინახავდეთ,ინახავდეს,
,გინახავდეთ,ვინახავდეთ,,გინახავდეთ,ვინახავდეთ,
მინახავდეთ,,ინახავდეთ,გვინახავდეთ,,ინახავდეთ,
მინახავდნენ,გინახავდნენ,ინახავდნენ,გვინახავდნენ,გინახავდნენ,ინახავდნენ,
fut2_subj_prfv
,ჩამოგინახავდე,ჩამოვინახავდე,,ჩამოგინახავდეთ,ჩამოვინახავდე,
ჩამომინახავდე,,ჩამოინახავდე,ჩამოგვინახავდე,,ჩამოინახავდე,
ჩამომინახავდეს,ჩამოგინახავდეს,ჩამოინახავდეს,ჩამოგვინახავდეს,ჩამოგინახავდეთ,ჩამოინახავდეს,
,ჩამოგინახავდეთ,ჩამოვინახავდეთ,,ჩამოგინახავდეთ,ჩამოვინახავდეთ,
ჩამომინახავდეთ,,ჩამოინახავდეთ,ჩამოგვინახავდეთ,,ჩამოინახავდეთ,
ჩამომინახავდნენ,ჩამოგინახავდნენ,ჩამოინახავდნენ,ჩამოგვინახავდნენ,ჩამოგინახავდნენ,ჩამოინახავდნენ,
aor2
,გინახე,ვინახე,,გინახეთ,ვინახე,
მინახე,,ინახე,გვინახე,,ინახე,
მინახა,გინახა,ინახა,გვინახა,გინახათ,ინახა,
,გინახეთ,ვინახეთ,,გინახეთ,ვინახეთ,
მინახეთ,,ინახეთ,გვინახეთ,,ინახეთ,
მინახეს,გინახეს,ინახეს,გვინახეს,გინახეს,ინახეს,
aor2_prfv
,ჩამოგინახე,ჩამოვინახე,,ჩამოგინახეთ,ჩამოვინახე,
ჩამომინახე,,ჩამოინახე,ჩამოგვინახე,,ჩამოინახე,
ჩამომინახა,ჩამოგინახა,ჩამოინახა,ჩამოგვინახა,ჩამოგინახათ,ჩამოინახა,
,ჩამოგინახეთ,ჩამოვინახეთ,,ჩამოგინახეთ,ჩამოვინახეთ,
ჩამომინახეთ,,ჩამოინახეთ,ჩამოგვინახეთ,,ჩამოინახეთ,
ჩამომინახეს,ჩამოგინახეს,ჩამოინახეს,ჩამოგვინახეს,ჩამოგინახეს,ჩამოინახეს,
IIsubj2
,გინახო,ვინახო,,გინახოთ,ვინახო,
მინახო,,ინახო,გვინახო,,ინახო,
მინახოს,გინახოს,ინახოს,გვინახოს,გინახოთ,ინახოს,
,გინახოთ,ვინახოთ,,გინახოთ,ვინახოთ,
მინახოთ,,ინახოთ,გვინახოთ,,ინახოთ,
მინახონ,გინახონ,ინახონ,გვინახონ,გინახონ,ინახონ,
IIsubj2_prfv
,ჩამოგინახო,ჩამოვინახო,,ჩამოგინახოთ,ჩამოვინახო,
ჩამომინახო,,ჩამოინახო,ჩამოგვინახო,,ჩამოინახო,
ჩამომინახოს,ჩამოგინახოს,ჩამოინახოს,ჩამოგვინახოს,ჩამოგინახოთ,ჩამოინახოს,
,ჩამოგინახოთ,ჩამოვინახოთ,,ჩამოგინახოთ,ჩამოვინახოთ,
ჩამომინახოთ,,ჩამოინახოთ,ჩამოგვინახოთ,,ჩამოინახოთ,
ჩამომინახონ,ჩამოგინახონ,ჩამოინახონ,ჩამოგვინახონ,ჩამოგინახონ,ჩამოინახონ,
Iturm
,მინახიხარ,მინახია,,მინახიხართ,მინახია,
გინახივარ,,გინახია,გინახივართ,,გინახია,
ვუნახივარ,უნახიხარ,უნახია,ვუნახივართ,უნახიხართ,უნახია,
,გვინახიხარ,გვინახია,,გვინახიხართ,გვინახია,
გინახივართ,,გინახიათ,გინახივართ,,გინახიათ,
ვუნახივარ,უნახიხარ,უნახიათ,ვუნახივართ,უნახიხართ,უნახიათ,
Iturm_prfv
,ჩამომინახიხარ,ჩამომინახია,,ჩამომინახიხართ,ჩამომინახია,
ჩამოგინახივარ,,ჩამოგინახია,ჩამოგინახივართ,,ჩამოგინახია,
ჩამოვუნახივარ,ჩამოუნახიხარ,ჩამოუნახია,ჩამოვუნახივართ,ჩამოუნახიხართ,ჩამოუნახია,
,ჩამოგვინახიხარ,ჩამოგვინახია,,ჩამოგვინახიხართ,ჩამოგვინახია,
ჩამოგინახივართ,,ჩამოგინახიათ,ჩამოგინახივართ,,ჩამოგინახიათ,
ჩამოვუნახივარ,ჩამოუნახიხარ,ჩამოუნახიათ,ჩამოვუნახივართ,ჩამოუნახიხართ,ჩამოუნახიათ,
Iturm_th
,მინახავხარ,მინახავს,,მინახავხართ,მინახავს,
გინახავვარ,,გინახავს,გინახავვართ,,გინახავს,
ვუნახავვარ,უნახავხარ,უნახავს,ვუნახავვართ,უნახავხართ,უნახავს,
,გვინახავხარ,გვინახავს,,გვინახავხართ,გვინახავს,
გინახავვართ,,გინახავთ,გინახავვართ,,გინახავთ,
ვუნახავვარ,უნახავხარ,უნახავთ,ვუნახავვართ,უნახავხართ,უნახავთ,
