fut2
,გითმენ,ვუთმენ,,გითმენთ,ვუთმენ,
მითმენ,,უთმენ,გვითმენ,,უთმენ,
მითმენს,გითმენს,უთმენს,გვითმენს,გითმენთ,უთმენს,
,გითმენთ,ვუთმენთ,,გითმენთ,ვუთმენთ,
მითმენთ,,უთმენთ,გვითმენთ,,უთმენთ,
მითმენენ,გითმენენ,უთმენენ,გვითმენენ,გითმენენ,უთმენენ,
fut2_prfv
,ჩამოგითმენ,ჩამოვუთმენ,,ჩამოგითმენთ,ჩამოვუთმენ,
ჩამომითმენ,,ჩამოუთმენ,ჩამოგვითმენ,,ჩამოუთმენ,
ჩამომითმენს,ჩამოგითმენს,ჩამოუთმენს,ჩამოგვითმენს,ჩამოგითმენთ,ჩამოუთმენს,
,ჩამოგითმენთ,ჩამოვუთმენთ,,ჩამოგითმენთ,ჩამოვუთმენთ,
ჩამომითმენთ,,ჩამოუთმენთ,ჩამოგვითმენთ,,ჩამოუთმენთ,
ჩამომითმენენ,ჩამოგითმენენ,ჩამოუთმენენ,ჩამოგვითმენენ,ჩამოგითმენენ,ჩამოუთმენენ,
cond2
,გითმენდი,ვუთმენდი,,გითმენდით,ვუთმენდი,
მითმენდი,,უთმენდი,გვითმენდი,,უთმენდი,
მითმენდა,გითმენდა,უთმენდა,გვითმენდა,გითმენდათ,უთმენდა,
,გითმენდით,ვუთმენდით,,გითმენდით,ვუთმენდით,
მითმენდით,,უთმენდით,გვითმენდით,,უთმენდით,
მითმენდნენ,გითმენდნენ,უთმენდნენ,გვითმენდნენ,გითმენდნენ,უთმენდნენ,
cond2_prfv
,ჩამოგითმენდი,ჩამოვუთმენდი,,ჩამოგითმენდით,ჩამოვუთმენდი,
ჩამომითმენდი,,ჩამოუთმენდი,ჩამოგვითმენდი,,ჩამოუთმენდი,
ჩამომითმენდა,ჩამოგითმენდა,ჩამოუთმენდა,ჩამოგვითმენდა,ჩამოგითმენდათ,ჩამოუთმენდა,
,ჩამოგითმენდით,ჩამოვუთმენდით,,ჩამოგითმენდით,ჩამოვუთმენდით,
ჩამომითმენდით,,ჩამოუთმენდით,ჩამოგვითმენდით,,ჩამოუთმენდით,
ჩამომითმენდნენ,ჩამოგითმენდნენ,ჩამოუთმენდნენ,ჩამოგვითმენდნენ,ჩამოგითმენდნენ,ჩამოუთმენდნენ,
fut2_subj
,გითმენდე,ვუთმენდე,,გითმენდეთ,ვუთმენდე,
მითმენდე,,უთმენდე,გვითმენდე,,უთმენდე,
მითმენდეს,გითმენდეს,უთმენდეს,გვითმენდეს,გითმენდეთ,უთმენდეს,
,გითმენდეთ,ვუთმენდეთ,,გითმენდეთ,ვუთმენდეთ,
მითმენდეთ,,უთმენდეთ,გვითმენდეთ,,უთმენდეთ,
მითმენდნენ,გითმენდნენ,უთმენდნენ,გვითმენდნენ,გითმენდნენ,უთმენდნენ,
fut2_subj_prfv
,ჩამოგითმენდე,ჩამოვუთმენდე,,ჩამოგითმენდეთ,ჩამოვუთმენდე,
ჩამომითმენდე,,ჩამოუთმენდე,ჩამოგვითმენდე,,ჩამოუთმენდე,
ჩამომითმენდეს,ჩამოგითმენდეს,ჩამოუთმენდეს,ჩამოგვითმენდეს,ჩამოგითმენდეთ,ჩამოუთმენდეს,
,ჩამოგითმენდეთ,ჩამოვუთმენდეთ,,ჩამოგითმენდეთ,ჩამოვუთმენდეთ,
ჩამომითმენდეთ,,ჩამოუთმენდეთ,ჩამოგვითმენდეთ,,ჩამოუთმენდეთ,
ჩამომითმენდნენ,ჩამოგითმენდნენ,ჩამოუთმენდნენ,ჩამოგვითმენდნენ,ჩამოგითმენდნენ,ჩამოუთმენდნენ,
aor2
,გითმინე,ვუთმინე,,გითმინეთ,ვუთმინე,
მითმინე,,უთმინე,გვითმინე,,უთმინე,
მითმინა,გითმინა,უთმინა,გვითმინა,გითმინათ,უთმინა,
,გითმინეთ,ვუთმინეთ,,გითმინეთ,ვუთმინეთ,
მითმინეთ,,უთმინეთ,გვითმინეთ,,უთმინეთ,
მითმინეს,გითმინეს,უთმინეს,გვითმინეს,გითმინეს,უთმინეს,
aor2_prfv
,ჩამოგითმინე,ჩამოვუთმინე,,ჩამოგითმინეთ,ჩამოვუთმინე,
ჩამომითმინე,,ჩამოუთმინე,ჩამოგვითმინე,,ჩამოუთმინე,
ჩამომითმინა,ჩამოგითმინა,ჩამოუთმინა,ჩამოგვითმინა,ჩამოგითმინათ,ჩამოუთმინა,
,ჩამოგითმინეთ,ჩამოვუთმინეთ,,ჩამოგითმინეთ,ჩამოვუთმინეთ,
ჩამომითმინეთ,,ჩამოუთმინეთ,ჩამოგვითმინეთ,,ჩამოუთმინეთ,
ჩამომითმინეს,ჩამოგითმინეს,ჩამოუთმინეს,ჩამოგვითმინეს,ჩამოგითმინეს,ჩამოუთმინეს,
IIsubj2
,გითმინო,ვუთმინო,,გითმინოთ,ვუთმინო,
მითმინო,,უთმინო,გვითმინო,,უთმინო,
მითმინოს,გითმინოს,უთმინოს,გვითმინოს,გითმინოთ,უთმინოს,
,გითმინოთ,ვუთმინოთ,,გითმინოთ,ვუთმინოთ,
მითმინოთ,,უთმინოთ,გვითმინოთ,,უთმინოთ,
მითმინონ,გითმინონ,უთმინონ,გვითმინონ,გითმინონ,უთმინონ,
IIsubj2_prfv
,ჩამოგითმინო,ჩამოვუთმინო,,ჩამოგითმინოთ,ჩამოვუთმინო,
