pres
,გცრი,ვცრი,,გცრით,ვცრი,
მცრი,,ცრი,გვცრი,,ცრი,
მცრის,გცრის,ცრის,გვცრის,გცრით,ცრის,
,გცრით,ვცრით,,გცრით,ვცრით,
მცრით,,ცრით,გვცრით,,ცრით,
მცრიან,გცრიან,ცრიან,გვცრიან,გცრიან,ცრიან,
fut
,ჩამოგცრი,ჩამოვცრი,,ჩამოგცრით,ჩამოვცრი,
ჩამომცრი,,ჩამოცრი,ჩამოგვცრი,,ჩამოცრი,
ჩამომცრის,ჩამოგცრის,ჩამოცრის,ჩამოგვცრის,ჩამოგცრით,ჩამოცრის,
,ჩამოგცრით,ჩამოვცრით,,ჩამოგცრით,ჩამოვცრით,
ჩამომცრით,,ჩამოცრით,ჩამოგვცრით,,ჩამოცრით,
ჩამომცრიან,ჩამოგცრიან,ჩამოცრიან,ჩამოგვცრიან,ჩამოგცრიან,ჩამოცრიან,
impf
,გცრიდი,ვცრიდი,,გცრიდით,ვცრიდი,
მცრიდი,,ცრიდი,გვცრიდი,,ცრიდი,
მცრიდა,გცრიდა,ცრიდა,გვცრიდა,გცრიდათ,ცრიდა,
,გცრიდით,ვცრიდით,,გცრიდით,ვცრიდით,
მცრიდით,,ცრიდით,გვცრიდით,,ცრიდით,
მცრიდნენ,გცრიდნენ,ცრიდნენ,გვცრიდნენ,გცრიდნენ,ცრიდნენ,
cond
,ჩამოგცრიდი,ჩამოვცრიდი,,ჩამოგცრიდით,ჩამოვცრიდი,
ჩამომცრიდი,,ჩამოცრიდი,ჩამოგვცრიდი,,ჩამოცრიდი,
ჩამომცრიდა,ჩამოგცრიდა,ჩამოცრიდა,ჩამოგვცრიდა,ჩამოგცრიდათ,ჩამოცრიდა,
,ჩამოგცრიდით,ჩამოვცრიდით,,ჩამოგცრიდით,ჩამოვცრიდით,
ჩამომცრიდით,,ჩამოცრიდით,ჩამოგვცრიდით,,ჩამოცრიდით,
ჩამომცრიდნენ,ჩამოგცრიდნენ,ჩამოცრიდნენ,ჩამოგვცრიდნენ,ჩამოგცრიდნენ,ჩამოცრიდნენ,
subj
,გცრიდე,ვცრიდე,,გცრიდეთ,ვცრიდე,
მცრიდე,,ცრიდე,გვცრიდე,,ცრიდე,
მცრიდეს,გცრიდეს,ცრიდეს,გვცრიდეს,გცრიდეთ,ცრიდეს,
,გცრიდეთ,ვცრიდეთ,,გცრიდეთ,ვცრიდეთ,
მცრიდეთ,,ცრიდეთ,გვცრიდეთ,,ცრიდეთ,
მცრიდნენ,გცრიდნენ,ცრიდნენ,გვცრიდნენ,გცრიდნენ,ცრიდნენ,
fut_subj
,ჩამოგცრიდე,ჩამოვცრიდე,,ჩამოგცრიდეთ,ჩამოვცრიდე,
ჩამომცრიდე,,ჩამოცრიდე,ჩამოგვცრიდე,,ჩამოცრიდე,
ჩამომცრიდეს,ჩამოგცრიდეს,ჩამოცრიდეს,ჩამოგვცრიდეს,ჩამოგცრიდეთ,ჩამოცრიდეს,
,ჩამოგცრიდეთ,ჩამოვცრიდეთ,,ჩამოგცრიდეთ,ჩამოვცრიდეთ,
ჩამომცრიდეთ,,ჩამოცრიდეთ,ჩამოგვცრიდეთ,,ჩამოცრიდეთ,
ჩამომცრიდნენ,ჩამოგცრიდნენ,ჩამოცრიდნენ,ჩამოგვცრიდნენ,ჩამოგცრიდნენ,ჩამოცრიდნენ,
aor
,გცერი,ვცერი,,გცერით,ვცერი,
მცერი,,ცერი,გვცერი,,ცერი,
მცრა,გცრა,ცრა,გვცრა,გცრათ,ცრა,
,გცერით,ვცერით,,გცერით,ვცერით,
მცერით,,ცერით,გვცერით,,ცერით,
მცრეს,გცრეს,ცრეს,გვცრეს,გცრეს,ცრეს,
aor_prfv
,ჩამოგცერი,ჩამოვცერი,,ჩამოგცერით,ჩამოვცერი,
ჩამომცერი,,ჩამოცერი,ჩამოგვცერი,,ჩამოცერი,
ჩამომცრა,ჩამოგცრა,ჩამოცრა,ჩამოგვცრა,ჩამოგცრათ,ჩამოცრა,
,ჩამოგცერით,ჩამოვცერით,,ჩამოგცერით,ჩამოვცერით,
ჩამომცერით,,ჩამოცერით,ჩამოგვცერით,,ჩამოცერით,
ჩამომცრეს,ჩამოგცრეს,ჩამოცრეს,ჩამოგვცრეს,ჩამოგცრეს,ჩამოცრეს,
IIsubj
,გცრა,ვცრა,,გცრათ,ვცრა,
მცრა,,ცრა,გვცრა,,ცრა,
მცრას,გცრას,ცრას,გვცრას,გცრათ,ცრას,
,გცრათ,ვცრათ,,გცრათ,ვცრათ,
მცრათ,,ცრათ,გვცრათ,,ცრათ,
მცრან,გცრან,ცრან,გვცრან,გცრან,ცრან,
IIsubj_prfv
,ჩამოგცრა,ჩამოვცრა,,ჩამოგცრათ,ჩამოვცრა,
ჩამომცრა,,ჩამოცრა,ჩამოგვცრა,,ჩამოცრა,
ჩამომცრას,ჩამოგცრას,ჩამოცრას,ჩამოგვცრას,ჩამოგცრათ,ჩამოცრას,
,ჩამოგცრათ,ჩამოვცრათ,,ჩამოგცრათ,ჩამოვცრათ,
ჩამომცრათ,,ჩამოცრათ,ჩამოგვცრათ,,ჩამოცრათ,
ჩამომცრან,ჩამოგცრან,ჩამოცრან,ჩამოგვცრან,ჩამოგცრან,ჩამოცრან,
Iturm
,მიცრიხარ,მიცრია,,მიცრიხართ,მიცრია,
გიცრივარ,,გიცრია,გიცრივართ,,გიცრია,
ვუცრივარ,უცრიხარ,უცრია,ვუცრივართ,უცრიხართ,უცრია,
,გვიცრიხარ,გვიცრია,,გვიცრიხართ,გვიცრია,
გიცრივართ,,გიცრიათ,გიცრივართ,,გიცრიათ,
ვუცრივარ,უცრიხარ,უცრიათ,ვუცრივართ,უცრიხართ,უცრიათ,
Iturm_prfv
,ჩამომიცრიხარ,ჩამომიცრია,,ჩამომიცრიხართ,ჩამომიცრია,
ჩამოგიცრივარ,,ჩამოგიცრია,ჩამოგიცრივართ,,ჩამოგიცრია,
ჩამოვუცრივარ,ჩამოუცრიხარ,ჩამოუცრია,ჩამოვუცრივართ,ჩამოუცრიხართ,ჩამოუცრია,
,ჩამოგვიცრიხარ,ჩამოგვიცრია,,ჩამოგვიცრიხართ,ჩამოგვიცრია,
ჩამოგიცრივართ,,ჩამოგიცრიათ,ჩამოგიცრივართ,,ჩამოგიცრიათ,
ჩამოვუცრივარ,ჩამოუცრიხარ,ჩამოუცრიათ,ჩამოვუცრივართ,ჩამოუცრიხართ,ჩამოუცრიათ,
IIturm
,მეცერი,მეცრა,,მეცერით,მეცრა,
გეცერი,,გეცრა,გეცერით,,გეცრა,
ვეცერი,ეცერი,ეცრა,ვეცერით,ეცერით,ეცრა,
,გვეცერი,გვეცრა,,გვეცერით,გვეცრა,
გეცერით,,გეცრათ,გეცერით,,გეცრათ,
ვეცერი,ეცერი,ეცრათ,ვეცერით,ეცერით,ეცრათ,
IIturm_prfv
,ჩამომეცერი,ჩამომეცრა,,ჩამომეცერით,ჩამომეცრა,
ჩამოგეცერი,,ჩამოგეცრა,ჩამოგეცერით,,ჩამოგეცრა,
ჩამოვეცერი,ჩამოეცერი,ჩამოეცრა,ჩამოვეცერით,ჩამოეცერით,ჩამოეცრა,
,ჩამოგვეცერი,ჩამოგვეცრა,,ჩამოგვეცერით,ჩამოგვეცრა,
ჩამოგეცერით,,ჩამოგეცრათ,ჩამოგეცერით,,ჩამოგეცრათ,
ჩამოვეცერი,ჩამოეცერი,ჩამოეცრათ,ჩამოვეცერით,ჩამოეცერით,ჩამოეცრათ,
IIIsubj
,მეცრა,მეცრას,,მეცრათ,მეცრას,
გეცრა,,გეცრას,გეცრათ,,გეცრას,
ვეცრა,ეცრა,ეცრას,ვეცრათ,ეცრათ,ეცრას,
,გვეცრა,გვეცრას,,გვეცრათ,გვეცრას,
გეცრათ,,გეცრათ,გეცრათ,,გეცრათ,
ვეცრა,ეცრა,ეცრათ,ვეცრათ,ეცრათ,ეცრათ,
IIIsubj_prfv
,ჩამომეცრა,ჩამომეცრას,,ჩამომეცრათ,ჩამომეცრას,
ჩამოგეცრა,,ჩამოგეცრას,ჩამოგეცრათ,,ჩამოგეცრას,
ჩამოვეცრა,ჩამოეცრა,ჩამოეცრას,ჩამოვეცრათ,ჩამოეცრათ,ჩამოეცრას,
,ჩამოგვეცრა,ჩამოგვეცრას,,ჩამოგვეცრათ,ჩამოგვეცრას,
ჩამოგეცრათ,,ჩამოგეცრათ,ჩამოგეცრათ,,ჩამოგეცრათ,
ჩამოვეცრა,ჩამოეცრა,ჩამოეცრათ,ჩამოვეცრათ,ჩამოეცრათ,ჩამოეცრათ,
