fut
,ჩამოგკირკიტებ,ჩამოვკირკიტებ,,ჩამოგკირკიტებთ,ჩამოვკირკიტებ,
ჩამომკირკიტებ,,ჩამოჰკირკიტებ,ჩამოგვკირკიტებ,,ჩამოჰკირკიტებ,
ჩამომკირკიტებს,ჩამოგკირკიტებს,ჩამოჰკირკიტებს,ჩამოგვკირკიტებს,ჩამოგკირკიტებთ,ჩამოჰკირკიტებს,
,ჩამოგკირკიტებთ,ჩამოვკირკიტებთ,,ჩამოგკირკიტებთ,ჩამოვკირკიტებთ,
ჩამომკირკიტებთ,,ჩამოჰკირკიტებთ,ჩამოგვკირკიტებთ,,ჩამოჰკირკიტებთ,
ჩამომკირკიტებენ,ჩამოგკირკიტებენ,ჩამოჰკირკიტებენ,ჩამოგვკირკიტებენ,ჩამოგკირკიტებენ,ჩამოჰკირკიტებენ,
cond
,ჩამოგკირკიტებდი,ჩამოვკირკიტებდი,,ჩამოგკირკიტებდით,ჩამოვკირკიტებდი,
ჩამომკირკიტებდი,,ჩამოჰკირკიტებდი,ჩამოგვკირკიტებდი,,ჩამოჰკირკიტებდი,
ჩამომკირკიტებდა,ჩამოგკირკიტებდა,ჩამოჰკირკიტებდა,ჩამოგვკირკიტებდა,ჩამოგკირკიტებდათ,ჩამოჰკირკიტებდა,
,ჩამოგკირკიტებდით,ჩამოვკირკიტებდით,,ჩამოგკირკიტებდით,ჩამოვკირკიტებდით,
ჩამომკირკიტებდით,,ჩამოჰკირკიტებდით,ჩამოგვკირკიტებდით,,ჩამოჰკირკიტებდით,
ჩამომკირკიტებდნენ,ჩამოგკირკიტებდნენ,ჩამოჰკირკიტებდნენ,ჩამოგვკირკიტებდნენ,ჩამოგკირკიტებდნენ,ჩამოჰკირკიტებდნენ,
fut_subj
,ჩამოგკირკიტებდე,ჩამოვკირკიტებდე,,ჩამოგკირკიტებდეთ,ჩამოვკირკიტებდე,
ჩამომკირკიტებდე,,ჩამოჰკირკიტებდე,ჩამოგვკირკიტებდე,,ჩამოჰკირკიტებდე,
ჩამომკირკიტებდეს,ჩამოგკირკიტებდეს,ჩამოჰკირკიტებდეს,ჩამოგვკირკიტებდეს,ჩამოგკირკიტებდეთ,ჩამოჰკირკიტებდეს,
,ჩამოგკირკიტებდეთ,ჩამოვკირკიტებდეთ,,ჩამოგკირკიტებდეთ,ჩამოვკირკიტებდეთ,
ჩამომკირკიტებდეთ,,ჩამოჰკირკიტებდეთ,ჩამოგვკირკიტებდეთ,,ჩამოჰკირკიტებდეთ,
ჩამომკირკიტებდნენ,ჩამოგკირკიტებდნენ,ჩამოჰკირკიტებდნენ,ჩამოგვკირკიტებდნენ,ჩამოგკირკიტებდნენ,ჩამოჰკირკიტებდნენ,
