fut2
,გაგზავნი,ვაგზავნი,,გაგზავნით,ვაგზავნი,
მაგზავნი,,აგზავნი,გვაგზავნი,,აგზავნი,
მაგზავნის,გაგზავნის,აგზავნის,გვაგზავნის,გაგზავნით,აგზავნის,
,გაგზავნით,ვაგზავნით,,გაგზავნით,ვაგზავნით,
მაგზავნით,,აგზავნით,გვაგზავნით,,აგზავნით,
მაგზავნიან,გაგზავნიან,აგზავნიან,გვაგზავნიან,გაგზავნიან,აგზავნიან,
fut2_prfv
,წაგაგზავნი,წავაგზავნი,,წაგაგზავნით,წავაგზავნი,
წამაგზავნი,,წააგზავნი,წაგვაგზავნი,,წააგზავნი,
წამაგზავნის,წაგაგზავნის,წააგზავნის,წაგვაგზავნის,წაგაგზავნით,წააგზავნის,
,წაგაგზავნით,წავაგზავნით,,წაგაგზავნით,წავაგზავნით,
წამაგზავნით,,წააგზავნით,წაგვაგზავნით,,წააგზავნით,
წამაგზავნიან,წაგაგზავნიან,წააგზავნიან,წაგვაგზავნიან,წაგაგზავნიან,წააგზავნიან,
cond2
,გაგზავნიდი,ვაგზავნიდი,,გაგზავნიდით,ვაგზავნიდი,
მაგზავნიდი,,აგზავნიდი,გვაგზავნიდი,,აგზავნიდი,
მაგზავნიდა,გაგზავნიდა,აგზავნიდა,გვაგზავნიდა,გაგზავნიდათ,აგზავნიდა,
,გაგზავნიდით,ვაგზავნიდით,,გაგზავნიდით,ვაგზავნიდით,
მაგზავნიდით,,აგზავნიდით,გვაგზავნიდით,,აგზავნიდით,
მაგზავნიდნენ,გაგზავნიდნენ,აგზავნიდნენ,გვაგზავნიდნენ,გაგზავნიდნენ,აგზავნიდნენ,
cond2_prfv
,წაგაგზავნიდი,წავაგზავნიდი,,წაგაგზავნიდით,წავაგზავნიდი,
წამაგზავნიდი,,წააგზავნიდი,წაგვაგზავნიდი,,წააგზავნიდი,
წამაგზავნიდა,წაგაგზავნიდა,წააგზავნიდა,წაგვაგზავნიდა,წაგაგზავნიდათ,წააგზავნიდა,
,წაგაგზავნიდით,წავაგზავნიდით,,წაგაგზავნიდით,წავაგზავნიდით,
წამაგზავნიდით,,წააგზავნიდით,წაგვაგზავნიდით,,წააგზავნიდით,
წამაგზავნიდნენ,წაგაგზავნიდნენ,წააგზავნიდნენ,წაგვაგზავნიდნენ,წაგაგზავნიდნენ,წააგზავნიდნენ,
fut2_subj
,გაგზავნიდე,ვაგზავნიდე,,გაგზავნიდეთ,ვაგზავნიდე,
მაგზავნიდე,,აგზავნიდე,გვაგზავნიდე,,აგზავნიდე,
მაგზავნიდეს,გაგზავნიდეს,აგზავნიდეს,გვაგზავნიდეს,გაგზავნიდეთ,აგზავნიდეს,
,გაგზავნიდეთ,ვაგზავნიდეთ,,გაგზავნიდეთ,ვაგზავნიდეთ,
მაგზავნიდეთ,,აგზავნიდეთ,გვაგზავნიდეთ,,აგზავნიდეთ,
მაგზავნიდნენ,გაგზავნიდნენ,აგზავნიდნენ,გვაგზავნიდნენ,გაგზავნიდნენ,აგზავნიდნენ,
fut2_subj_prfv
,წაგაგზავნიდე,წავაგზავნიდე,,წაგაგზავნიდეთ,წავაგზავნიდე,
წამაგზავნიდე,,წააგზავნიდე,წაგვაგზავნიდე,,წააგზავნიდე,
წამაგზავნიდეს,წაგაგზავნიდეს,წააგზავნიდეს,წაგვაგზავნიდეს,წაგაგზავნიდეთ,წააგზავნიდეს,
,წაგაგზავნიდეთ,წავაგზავნიდეთ,,წაგაგზავნიდეთ,წავაგზავნიდეთ,
წამაგზავნიდეთ,,წააგზავნიდეთ,წაგვაგზავნიდეთ,,წააგზავნიდეთ,
წამაგზავნიდნენ,წაგაგზავნიდნენ,წააგზავნიდნენ,წაგვაგზავნიდნენ,წაგაგზავნიდნენ,წააგზავნიდნენ,
aor2
,გაგზავნე,ვაგზავნე,,გაგზავნეთ,ვაგზავნე,
მაგზავნე,,აგზავნე,გვაგზავნე,,აგზავნე,
მაგზავნა,გაგზავნა,აგზავნა,გვაგზავნა,გაგზავნათ,აგზავნა,
,გაგზავნეთ,ვაგზავნეთ,,გაგზავნეთ,ვაგზავნეთ,
მაგზავნეთ,,აგზავნეთ,გვაგზავნეთ,,აგზავნეთ,
მაგზავნეს,გაგზავნეს,აგზავნეს,გვაგზავნეს,გაგზავნეს,აგზავნეს,
aor2_prfv
,წაგაგზავნე,წავაგზავნე,,წაგაგზავნეთ,წავაგზავნე,
წამაგზავნე,,წააგზავნე,წაგვაგზავნე,,წააგზავნე,
წამაგზავნა,წაგაგზავნა,წააგზავნა,წაგვაგზავნა,წაგაგზავნათ,წააგზავნა,
,წაგაგზავნეთ,წავაგზავნეთ,,წაგაგზავნეთ,წავაგზავნეთ,
წამაგზავნეთ,,წააგზავნეთ,წაგვაგზავნეთ,,წააგზავნეთ,
წამაგზავნეს,წაგაგზავნეს,წააგზავნეს,წაგვაგზავნეს,წაგაგზავნეს,წააგზავნეს,
IIsubj2
,გაგზავნო,ვაგზავნო,,გაგზავნოთ,ვაგზავნო,
მაგზავნო,,აგზავნო,გვაგზავნო,,აგზავნო,
მაგზავნოს,გაგზავნოს,აგზავნოს,გვაგზავნოს,გაგზავნოთ,აგზავნოს,
,გაგზავნოთ,ვაგზავნოთ,,გაგზავნოთ,ვაგზავნოთ,
მაგზავნოთ,,აგზავნოთ,გვაგზავნოთ,,აგზავნოთ,
მაგზავნონ,გაგზავნონ,აგზავნონ,გვაგზავნონ,გაგზავნონ,აგზავნონ,
IIsubj2_prfv
,წაგაგზავნო,წავაგზავნო,,წაგაგზავნოთ,წავაგზავნო,
წამაგზავნო,,წააგზავნო,წაგვაგზავნო,,წააგზავნო,
წამაგზავნოს,წაგაგზავნოს,წააგზავნოს,წაგვაგზავნოს,წაგაგზავნოთ,წააგზავნოს,
,წაგაგზავნოთ,წავაგზავნოთ,,წაგაგზავნოთ,წავაგზავნოთ,
წამაგზავნოთ,,წააგზავნოთ,წაგვაგზავნოთ,,წააგზავნოთ,
წამაგზავნონ,წაგაგზავნონ,წააგზავნონ,წაგვაგზავნონ,წაგაგზავნონ,წააგზავნონ,
Iturm
,მიგზავნიხარ,მიგზავნია,,მიგზავნიხართ,მიგზავნია,
გიგზავნივარ,,გიგზავნია,გიგზავნივართ,,გიგზავნია,
ვუგზავნივარ,უგზავნიხარ,უგზავნია,ვუგზავნივართ,უგზავნიხართ,უგზავნია,
,გვიგზავნიხარ,გვიგზავნია,,გვიგზავნიხართ,გვიგზავნია,
გიგზავნივართ,,გიგზავნიათ,გიგზავნივართ,,გიგზავნიათ,
ვუგზავნივარ,უგზავნიხარ,უგზავნიათ,ვუგზავნივართ,უგზავნიხართ,უგზავნიათ,
Iturm_prfv
,წამიგზავნიხარ,წამიგზავნია,,წამიგზავნიხართ,წამიგზავნია,
წაგიგზავნივარ,,წაგიგზავნია,წაგიგზავნივართ,,წაგიგზავნია,
წავუგზავნივარ,წაუგზავნიხარ,წაუგზავნია,წავუგზავნივართ,წაუგზავნიხართ,წაუგზავნია,
,წაგვიგზავნიხარ,წაგვიგზავნია,,წაგვიგზავნიხართ,წაგვიგზავნია,
წაგიგზავნივართ,,წაგიგზავნიათ,წაგიგზავნივართ,,წაგიგზავნიათ,
წავუგზავნივარ,წაუგზავნიხარ,წაუგზავნიათ,წავუგზავნივართ,წაუგზავნიხართ,წაუგზავნიათ,
IIturm
