fut2
,გარწევ,ვარწევ,,გარწევთ,ვარწევ,
მარწევ,,არწევ,გვარწევ,,არწევ,
მარწევს,გარწევს,არწევს,გვარწევს,გარწევთ,არწევს,
,გარწევთ,ვარწევთ,,გარწევთ,ვარწევთ,
მარწევთ,,არწევთ,გვარწევთ,,არწევთ,
მარწევენ,გარწევენ,არწევენ,გვარწევენ,გარწევენ,არწევენ,
fut2_prfv
,წაგარწევ,წავარწევ,,წაგარწევთ,წავარწევ,
წამარწევ,,წაარწევ,წაგვარწევ,,წაარწევ,
წამარწევს,წაგარწევს,წაარწევს,წაგვარწევს,წაგარწევთ,წაარწევს,
,წაგარწევთ,წავარწევთ,,წაგარწევთ,წავარწევთ,
წამარწევთ,,წაარწევთ,წაგვარწევთ,,წაარწევთ,
წამარწევენ,წაგარწევენ,წაარწევენ,წაგვარწევენ,წაგარწევენ,წაარწევენ,
cond2
,გარწევდი,ვარწევდი,,გარწევდით,ვარწევდი,
მარწევდი,,არწევდი,გვარწევდი,,არწევდი,
მარწევდა,გარწევდა,არწევდა,გვარწევდა,გარწევდათ,არწევდა,
,გარწევდით,ვარწევდით,,გარწევდით,ვარწევდით,
მარწევდით,,არწევდით,გვარწევდით,,არწევდით,
მარწევდნენ,გარწევდნენ,არწევდნენ,გვარწევდნენ,გარწევდნენ,არწევდნენ,
cond2_prfv
,წაგარწევდი,წავარწევდი,,წაგარწევდით,წავარწევდი,
წამარწევდი,,წაარწევდი,წაგვარწევდი,,წაარწევდი,
წამარწევდა,წაგარწევდა,წაარწევდა,წაგვარწევდა,წაგარწევდათ,წაარწევდა,
,წაგარწევდით,წავარწევდით,,წაგარწევდით,წავარწევდით,
წამარწევდით,,წაარწევდით,წაგვარწევდით,,წაარწევდით,
წამარწევდნენ,წაგარწევდნენ,წაარწევდნენ,წაგვარწევდნენ,წაგარწევდნენ,წაარწევდნენ,
fut2_subj
,გარწევდე,ვარწევდე,,გარწევდეთ,ვარწევდე,
მარწევდე,,არწევდე,გვარწევდე,,არწევდე,
მარწევდეს,გარწევდეს,არწევდეს,გვარწევდეს,გარწევდეთ,არწევდეს,
,გარწევდეთ,ვარწევდეთ,,გარწევდეთ,ვარწევდეთ,
მარწევდეთ,,არწევდეთ,გვარწევდეთ,,არწევდეთ,
მარწევდნენ,გარწევდნენ,არწევდნენ,გვარწევდნენ,გარწევდნენ,არწევდნენ,
fut2_subj_prfv
,წაგარწევდე,წავარწევდე,,წაგარწევდეთ,წავარწევდე,
წამარწევდე,,წაარწევდე,წაგვარწევდე,,წაარწევდე,
წამარწევდეს,წაგარწევდეს,წაარწევდეს,წაგვარწევდეს,წაგარწევდეთ,წაარწევდეს,
,წაგარწევდეთ,წავარწევდეთ,,წაგარწევდეთ,წავარწევდეთ,
წამარწევდეთ,,წაარწევდეთ,წაგვარწევდეთ,,წაარწევდეთ,
წამარწევდნენ,წაგარწევდნენ,წაარწევდნენ,წაგვარწევდნენ,წაგარწევდნენ,წაარწევდნენ,
aor2
,გარწიე,ვარწიე,,გარწიეთ,ვარწიე,
მარწიე,,არწიე,გვარწიე,,არწიე,
მარწია,გარწია,არწია,გვარწია,გარწიათ,არწია,
,გარწიეთ,ვარწიეთ,,გარწიეთ,ვარწიეთ,
მარწიეთ,,არწიეთ,გვარწიეთ,,არწიეთ,
მარწიეს,გარწიეს,არწიეს,გვარწიეს,გარწიეს,არწიეს,
aor2_prfv
,წაგარწიე,წავარწიე,,წაგარწიეთ,წავარწიე,
წამარწიე,,წაარწიე,წაგვარწიე,,წაარწიე,
წამარწია,წაგარწია,წაარწია,წაგვარწია,წაგარწიათ,წაარწია,
,წაგარწიეთ,წავარწიეთ,,წაგარწიეთ,წავარწიეთ,
წამარწიეთ,,წაარწიეთ,წაგვარწიეთ,,წაარწიეთ,
