fut2
,გაქებ,ვაქებ,,გაქებთ,ვაქებ,
მაქებ,,აქებ,გვაქებ,,აქებ,
მაქებს,გაქებს,აქებს,გვაქებს,გაქებთ,აქებს,
,გაქებთ,ვაქებთ,,გაქებთ,ვაქებთ,
მაქებთ,,აქებთ,გვაქებთ,,აქებთ,
მაქებენ,გაქებენ,აქებენ,გვაქებენ,გაქებენ,აქებენ,
fut2_prfv
,წაგაქებ,წავაქებ,,წაგაქებთ,წავაქებ,
წამაქებ,,წააქებ,წაგვაქებ,,წააქებ,
წამაქებს,წაგაქებს,წააქებს,წაგვაქებს,წაგაქებთ,წააქებს,
,წაგაქებთ,წავაქებთ,,წაგაქებთ,წავაქებთ,
წამაქებთ,,წააქებთ,წაგვაქებთ,,წააქებთ,
წამაქებენ,წაგაქებენ,წააქებენ,წაგვაქებენ,წაგაქებენ,წააქებენ,
cond2
,გაქებდი,ვაქებდი,,გაქებდით,ვაქებდი,
მაქებდი,,აქებდი,გვაქებდი,,აქებდი,
მაქებდა,გაქებდა,აქებდა,გვაქებდა,გაქებდათ,აქებდა,
,გაქებდით,ვაქებდით,,გაქებდით,ვაქებდით,
მაქებდით,,აქებდით,გვაქებდით,,აქებდით,
მაქებდნენ,გაქებდნენ,აქებდნენ,გვაქებდნენ,გაქებდნენ,აქებდნენ,
cond2_prfv
,წაგაქებდი,წავაქებდი,,წაგაქებდით,წავაქებდი,
წამაქებდი,,წააქებდი,წაგვაქებდი,,წააქებდი,
წამაქებდა,წაგაქებდა,წააქებდა,წაგვაქებდა,წაგაქებდათ,წააქებდა,
,წაგაქებდით,წავაქებდით,,წაგაქებდით,წავაქებდით,
წამაქებდით,,წააქებდით,წაგვაქებდით,,წააქებდით,
წამაქებდნენ,წაგაქებდნენ,წააქებდნენ,წაგვაქებდნენ,წაგაქებდნენ,წააქებდნენ,
fut2_subj
,გაქებდე,ვაქებდე,,გაქებდეთ,ვაქებდე,
მაქებდე,,აქებდე,გვაქებდე,,აქებდე,
მაქებდეს,გაქებდეს,აქებდეს,გვაქებდეს,გაქებდეთ,აქებდეს,
,გაქებდეთ,ვაქებდეთ,,გაქებდეთ,ვაქებდეთ,
მაქებდეთ,,აქებდეთ,გვაქებდეთ,,აქებდეთ,
მაქებდნენ,გაქებდნენ,აქებდნენ,გვაქებდნენ,გაქებდნენ,აქებდნენ,
fut2_subj_prfv
,წაგაქებდე,წავაქებდე,,წაგაქებდეთ,წავაქებდე,
წამაქებდე,,წააქებდე,წაგვაქებდე,,წააქებდე,
წამაქებდეს,წაგაქებდეს,წააქებდეს,წაგვაქებდეს,წაგაქებდეთ,წააქებდეს,
,წაგაქებდეთ,წავაქებდეთ,,წაგაქებდეთ,წავაქებდეთ,
წამაქებდეთ,,წააქებდეთ,წაგვაქებდეთ,,წააქებდეთ,
წამაქებდნენ,წაგაქებდნენ,წააქებდნენ,წაგვაქებდნენ,წაგაქებდნენ,წააქებდნენ,
aor2
,გაქე,ვაქე,,გაქეთ,ვაქე,
მაქე,,აქე,გვაქე,,აქე,
მაქო,გაქო,აქო,გვაქო,გაქოთ,აქო,
,გაქეთ,ვაქეთ,,გაქეთ,ვაქეთ,
მაქეთ,,აქეთ,გვაქეთ,,აქეთ,
მაქეს,გაქეს,აქეს,გვაქეს,გაქეს,აქეს,
aor2_prfv
,წაგაქე,წავაქე,,წაგაქეთ,წავაქე,
წამაქე,,წააქე,წაგვაქე,,წააქე,
წამაქო,წაგაქო,წააქო,წაგვაქო,წაგაქოთ,წააქო,
,წაგაქეთ,წავაქეთ,,წაგაქეთ,წავაქეთ,
წამაქეთ,,წააქეთ,წაგვაქეთ,,წააქეთ,
წამაქეს,წაგაქეს,წააქეს,წაგვაქეს,წაგაქეს,წააქეს,
IIsubj2
,გაქო,ვაქო,,გაქოთ,ვაქო,
მაქო,,აქო,გვაქო,,აქო,
მაქოს,გაქოს,აქოს,გვაქოს,გაქოთ,აქოს,
,გაქოთ,ვაქოთ,,გაქოთ,ვაქოთ,
მაქოთ,,აქოთ,გვაქოთ,,აქოთ,
მაქონ,გაქონ,აქონ,გვაქონ,გაქონ,აქონ,
IIsubj2_prfv
,წაგაქო,წავაქო,,წაგაქოთ,წავაქო,
წამაქო,,წააქო,წაგვაქო,,წააქო,
წამაქოს,წაგაქოს,წააქოს,წაგვაქოს,წაგაქოთ,წააქოს,
,წაგაქოთ,წავაქოთ,,წაგაქოთ,წავაქოთ,
წამაქოთ,,წააქოთ,წაგვაქოთ,,წააქოთ,
წამაქონ,წაგაქონ,წააქონ,წაგვაქონ,წაგაქონ,წააქონ,
Iturm
,მიქიხარ,მიქია,,მიქიხართ,მიქია,
გიქივარ,,გიქია,გიქივართ,,გიქია,
ვუქივარ,უქიხარ,უქია,ვუქივართ,უქიხართ,უქია,
,გვიქიხარ,გვიქია,,გვიქიხართ,გვიქია,
გიქივართ,,გიქიათ,გიქივართ,,გიქიათ,
ვუქივარ,უქიხარ,უქიათ,ვუქივართ,უქიხართ,უქიათ,
Iturm_prfv
,წამიქიხარ,წამიქია,,წამიქიხართ,წამიქია,
წაგიქივარ,,წაგიქია,წაგიქივართ,,წაგიქია,
წავუქივარ,წაუქიხარ,წაუქია,წავუქივართ,წაუქიხართ,წაუქია,
,წაგვიქიხარ,წაგვიქია,,წაგვიქიხართ,წაგვიქია,
წაგიქივართ,,წაგიქიათ,წაგიქივართ,,წაგიქიათ,
წავუქივარ,წაუქიხარ,წაუქიათ,წავუქივართ,წაუქიხართ,წაუქიათ,
IIturm
,მექე,მექო,,მექეთ,მექოთ,
გექე,,გექო,გექეთ,,გექოთ,
ვექე,ექე,ექო,ვექეთ,ექეთ,ექოთ,
,გვექე,გვექო,,გვექეთ,გვექოთ,
გექეთ,,გექოთ,გექეთ,,გექოთ,
ვექე,ექე,ექოთ,ვექეთ,ექეთ,ექოთთ,
IIturm_prfv
,წამექე,წამექო,,წამექეთ,წამექოთ,
წაგექე,,წაგექო,წაგექეთ,,წაგექოთ,
წავექე,წაექე,წაექო,წავექეთ,წაექეთ,წაექოთ,
,წაგვექე,წაგვექო,,წაგვექეთ,წაგვექოთ,
წაგექეთ,,წაგექოთ,წაგექეთ,,წაგექოთ,
წავექე,წაექე,წაექოთ,წავექეთ,წაექეთ,წაექოთთ,
IIIsubj
,მექო,მექოს,,მექოთ,მექოს,
გექო,,გექოს,გექოთ,,გექოს,
ვექო,ექო,ექოს,ვექოთ,ექოთ,ექოს,
,გვექო,გვექოს,,გვექოთ,გვექოს,
გექოთ,,გექოთ,გექოთ,,გექოთ,
ვექო,ექო,ექოთ,ვექოთ,ექოთ,ექოთ,
IIIsubj_prfv
,წამექო,წამექოს,,წამექოთ,წამექოს,
წაგექო,,წაგექოს,წაგექოთ,,წაგექოს,
წავექო,წაექო,წაექოს,წავექოთ,წაექოთ,წაექოს,
,წაგვექო,წაგვექოს,,წაგვექოთ,წაგვექოს,
წაგექოთ,,წაგექოთ,წაგექოთ,,წაგექოთ,
წავექო,წაექო,წაექოთ,წავექოთ,წაექოთ,წაექოთ,
