fut2
,გაშენებ,ვაშენებ,,გაშენებთ,ვაშენებ,
მაშენებ,,აშენებ,გვაშენებ,,აშენებ,
მაშენებს,გაშენებს,აშენებს,გვაშენებს,გაშენებთ,აშენებს,
,გაშენებთ,ვაშენებთ,,გაშენებთ,ვაშენებთ,
მაშენებთ,,აშენებთ,გვაშენებთ,,აშენებთ,
მაშენებენ,გაშენებენ,აშენებენ,გვაშენებენ,გაშენებენ,აშენებენ,
fut2_prfv
,წაგაშენებ,წავაშენებ,,წაგაშენებთ,წავაშენებ,
წამაშენებ,,წააშენებ,წაგვაშენებ,,წააშენებ,
წამაშენებს,წაგაშენებს,წააშენებს,წაგვაშენებს,წაგაშენებთ,წააშენებს,
,წაგაშენებთ,წავაშენებთ,,წაგაშენებთ,წავაშენებთ,
წამაშენებთ,,წააშენებთ,წაგვაშენებთ,,წააშენებთ,
წამაშენებენ,წაგაშენებენ,წააშენებენ,წაგვაშენებენ,წაგაშენებენ,წააშენებენ,
cond2
,გაშენებდი,ვაშენებდი,,გაშენებდით,ვაშენებდი,
მაშენებდი,,აშენებდი,გვაშენებდი,,აშენებდი,
მაშენებდა,გაშენებდა,აშენებდა,გვაშენებდა,გაშენებდათ,აშენებდა,
,გაშენებდით,ვაშენებდით,,გაშენებდით,ვაშენებდით,
მაშენებდით,,აშენებდით,გვაშენებდით,,აშენებდით,
მაშენებდნენ,გაშენებდნენ,აშენებდნენ,გვაშენებდნენ,გაშენებდნენ,აშენებდნენ,
cond2_prfv
,წაგაშენებდი,წავაშენებდი,,წაგაშენებდით,წავაშენებდი,
წამაშენებდი,,წააშენებდი,წაგვაშენებდი,,წააშენებდი,
წამაშენებდა,წაგაშენებდა,წააშენებდა,წაგვაშენებდა,წაგაშენებდათ,წააშენებდა,
,წაგაშენებდით,წავაშენებდით,,წაგაშენებდით,წავაშენებდით,
წამაშენებდით,,წააშენებდით,წაგვაშენებდით,,წააშენებდით,
წამაშენებდნენ,წაგაშენებდნენ,წააშენებდნენ,წაგვაშენებდნენ,წაგაშენებდნენ,წააშენებდნენ,
fut2_subj
,გაშენებდე,ვაშენებდე,,გაშენებდეთ,ვაშენებდე,
მაშენებდე,,აშენებდე,გვაშენებდე,,აშენებდე,
მაშენებდეს,გაშენებდეს,აშენებდეს,გვაშენებდეს,გაშენებდეთ,აშენებდეს,
,გაშენებდეთ,ვაშენებდეთ,,გაშენებდეთ,ვაშენებდეთ,
მაშენებდეთ,,აშენებდეთ,გვაშენებდეთ,,აშენებდეთ,
მაშენებდნენ,გაშენებდნენ,აშენებდნენ,გვაშენებდნენ,გაშენებდნენ,აშენებდნენ,
fut2_subj_prfv
,წაგაშენებდე,წავაშენებდე,,წაგაშენებდეთ,წავაშენებდე,
წამაშენებდე,,წააშენებდე,წაგვაშენებდე,,წააშენებდე,
წამაშენებდეს,წაგაშენებდეს,წააშენებდეს,წაგვაშენებდეს,წაგაშენებდეთ,წააშენებდეს,
,წაგაშენებდეთ,წავაშენებდეთ,,წაგაშენებდეთ,წავაშენებდეთ,
წამაშენებდეთ,,წააშენებდეთ,წაგვაშენებდეთ,,წააშენებდეთ,
წამაშენებდნენ,წაგაშენებდნენ,წააშენებდნენ,წაგვაშენებდნენ,წაგაშენებდნენ,წააშენებდნენ,
aor2
,გაშენე,ვაშენე,,გაშენეთ,ვაშენე,
მაშენე,,აშენე,გვაშენე,,აშენე,
მაშენა,გაშენა,აშენა,გვაშენა,გაშენათ,აშენა,
,გაშენეთ,ვაშენეთ,,გაშენეთ,ვაშენეთ,
მაშენეთ,,აშენეთ,გვაშენეთ,,აშენეთ,
მაშენეს,გაშენეს,აშენეს,გვაშენეს,გაშენეს,აშენეს,
aor2_prfv
,წაგაშენე,წავაშენე,,წაგაშენეთ,წავაშენე,
წამაშენე,,წააშენე,წაგვაშენე,,წააშენე,
წამაშენა,წაგაშენა,წააშენა,წაგვაშენა,წაგაშენათ,წააშენა,
,წაგაშენეთ,წავაშენეთ,,წაგაშენეთ,წავაშენეთ,
წამაშენეთ,,წააშენეთ,წაგვაშენეთ,,წააშენეთ,
წამაშენეს,წაგაშენეს,წააშენეს,წაგვაშენეს,წაგაშენეს,წააშენეს,
IIsubj2
,გაშენო,ვაშენო,,გაშენოთ,ვაშენო,
მაშენო,,აშენო,გვაშენო,,აშენო,
მაშენოს,გაშენოს,აშენოს,გვაშენოს,გაშენოთ,აშენოს,
,გაშენოთ,ვაშენოთ,,გაშენოთ,ვაშენოთ,
მაშენოთ,,აშენოთ,გვაშენოთ,,აშენოთ,
მაშენონ,გაშენონ,აშენონ,გვაშენონ,გაშენონ,აშენონ,
IIsubj2_prfv
,წაგაშენო,წავაშენო,,წაგაშენოთ,წავაშენო,
წამაშენო,,წააშენო,წაგვაშენო,,წააშენო,
წამაშენოს,წაგაშენოს,წააშენოს,წაგვაშენოს,წაგაშენოთ,წააშენოს,
,წაგაშენოთ,წავაშენოთ,,წაგაშენოთ,წავაშენოთ,
წამაშენოთ,,წააშენოთ,წაგვაშენოთ,,წააშენოთ,
წამაშენონ,წაგაშენონ,წააშენონ,წაგვაშენონ,წაგაშენონ,წააშენონ,
Iturm
,მიშენებიხარ,მიშენებია,,მიშენებიხართ,მიშენებია,
გიშენებივარ,,გიშენებია,გიშენებივართ,,გიშენებია,
ვუშენებივარ,უშენებიხარ,უშენებია,ვუშენებივართ,უშენებიხართ,უშენებია,
,გვიშენებიხარ,გვიშენებია,,გვიშენებიხართ,გვიშენებია,
გიშენებივართ,,გიშენებიათ,გიშენებივართ,,გიშენებიათ,
ვუშენებივარ,უშენებიხარ,უშენებიათ,ვუშენებივართ,უშენებიხართ,უშენებიათ,
Iturm_prfv
,წამიშენებიხარ,წამიშენებია,,წამიშენებიხართ,წამიშენებია,
წაგიშენებივარ,,წაგიშენებია,წაგიშენებივართ,,წაგიშენებია,
წავუშენებივარ,წაუშენებიხარ,წაუშენებია,წავუშენებივართ,წაუშენებიხართ,წაუშენებია,
,წაგვიშენებიხარ,წაგვიშენებია,,წაგვიშენებიხართ,წაგვიშენებია,
წაგიშენებივართ,,წაგიშენებიათ,წაგიშენებივართ,,წაგიშენებიათ,
წავუშენებივარ,წაუშენებიხარ,წაუშენებიათ,წავუშენებივართ,წაუშენებიხართ,წაუშენებიათ,
IIturm
,მეშენებინე,მეშენებინა,,მეშენებინეთ,მეშენებინა,
გეშენებინე,,გეშენებინა,გეშენებინეთ,,გეშენებინა,
ვეშენებინე,ეშენებინე,ეშენებინა,ვეშენებინეთ,ეშენებინეთ,ეშენებინა,
,გვეშენებინე,გვეშენებინა,,გვეშენებინეთ,გვეშენებინა,
გეშენებინეთ,,გეშენებინათ,გეშენებინეთ,,გეშენებინათ,
ვეშენებინე,ეშენებინე,ეშენებინათ,ვეშენებინეთ,ეშენებინეთ,ეშენებინათ,
IIturm_prfv
,წამეშენებინე,წამეშენებინა,,წამეშენებინეთ,წამეშენებინა,
წაგეშენებინე,,წაგეშენებინა,წაგეშენებინეთ,,წაგეშენებინა,
წავეშენებინე,წაეშენებინე,წაეშენებინა,წავეშენებინეთ,წაეშენებინეთ,წაეშენებინა,
,წაგვეშენებინე,წაგვეშენებინა,,წაგვეშენებინეთ,წაგვეშენებინა,
წაგეშენებინეთ,,წაგეშენებინათ,წაგეშენებინეთ,,წაგეშენებინათ,
წავეშენებინე,წაეშენებინე,წაეშენებინათ,წავეშენებინეთ,წაეშენებინეთ,წაეშენებინათ,
IIIsubj
,მეშენებინო,მეშენებინოს,,მეშენებინოთ,მეშენებინოს,
გეშენებინო,,გეშენებინოს,გეშენებინოთ,,გეშენებინოს,
ვეშენებინო,ეშენებინო,ეშენებინოს,ვეშენებინოთ,ეშენებინოთ,ეშენებინოს,
,გვეშენებინო,გვეშენებინოს,,გვეშენებინოთ,გვეშენებინოს,
გეშენებინოთ,,გეშენებინოთ,გეშენებინოთ,,გეშენებინოთ,
ვეშენებინო,ეშენებინო,ეშენებინოთ,ვეშენებინოთ,ეშენებინოთ,ეშენებინოთ,
IIIsubj_prfv
,წამეშენებინო,წამეშენებინოს,,წამეშენებინოთ,წამეშენებინოს,
წაგეშენებინო,,წაგეშენებინოს,წაგეშენებინოთ,,წაგეშენებინოს,
წავეშენებინო,წაეშენებინო,წაეშენებინოს,წავეშენებინოთ,წაეშენებინოთ,წაეშენებინოს,
,წაგვეშენებინო,წაგვეშენებინოს,,წაგვეშენებინოთ,წაგვეშენებინოს,
წაგეშენებინოთ,,წაგეშენებინოთ,წაგეშენებინოთ,,წაგეშენებინოთ,
წავეშენებინო,წაეშენებინო,წაეშენებინოთ,წავეშენებინოთ,წაეშენებინოთ,წაეშენებინოთ,
