fut2
,გერთმევი,ვერთმევი,,გერთმევით,ვერთმევი,
მერთმევი,,ერთმევი,გვერთმევი,,ერთმევი,
მერთმევა,გერთმევა,ერთმევა,გვერთმევა,გერთმევათ,ერთმევათ,
,გერთმევით,ვერთმევით,,გერთმევით,ვერთმევით,
მერთმევით,,ერთმევით,გვერთმევით,,ერთმევით,
მერთმევიან,გერთმევიან,ერთმევიან,გვერთმევიან,გერთმევიან,ერთმევიან,
fut2_prfv
,წაგერთმევი,წავერთმევი,,წაგერთმევით,წავერთმევი,
წამერთმევი,,წაერთმევი,წაგვერთმევი,,წაერთმევი,
წამერთმევა,წაგერთმევა,წაერთმევა,წაგვერთმევა,წაგერთმევათ,წაერთმევათ,
,წაგერთმევით,წავერთმევით,,წაგერთმევით,წავერთმევით,
წამერთმევით,,წაერთმევით,წაგვერთმევით,,წაერთმევით,
წამერთმევიან,წაგერთმევიან,წაერთმევიან,წაგვერთმევიან,წაგერთმევიან,წაერთმევიან,
cond2
,გერთმეოდი,ვერთმეოდი,,გერთმეოდით,ვერთმეოდი,
მერთმეოდი,,ერთმეოდი,გვერთმეოდი,,ერთმეოდი,
მერთმეოდა,გერთმეოდა,ერთმეოდა,გვერთმეოდა,გერთმეოდათ,ერთმეოდათ,
,გერთმეოდით,ვერთმეოდით,,გერთმეოდით,ვერთმეოდით,
მერთმეოდით,,ერთმეოდით,გვერთმეოდით,,ერთმეოდით,
მერთმეოდნენ,გერთმეოდნენ,ერთმეოდნენ,გვერთმეოდნენ,გერთმეოდნენ,ერთმეოდნენ,
cond2_prfv
,წაგერთმეოდი,წავერთმეოდი,,წაგერთმეოდით,წავერთმეოდი,
წამერთმეოდი,,წაერთმეოდი,წაგვერთმეოდი,,წაერთმეოდი,
წამერთმეოდა,წაგერთმეოდა,წაერთმეოდა,წაგვერთმეოდა,წაგერთმეოდათ,წაერთმეოდათ,
,წაგერთმეოდით,წავერთმეოდით,,წაგერთმეოდით,წავერთმეოდით,
წამერთმეოდით,,წაერთმეოდით,წაგვერთმეოდით,,წაერთმეოდით,
წამერთმეოდნენ,წაგერთმეოდნენ,წაერთმეოდნენ,წაგვერთმეოდნენ,წაგერთმეოდნენ,წაერთმეოდნენ,
fut2_subj
,გერთმეოდე,ვერთმეოდე,,გერთმეოდეთ,ვერთმეოდე,
მერთმეოდე,,ერთმეოდე,გვერთმეოდე,,ერთმეოდე,
მერთმეოდეს,გერთმეოდეს,ერთმეოდეს,გვერთმეოდეს,გერთმეოდეთ,ერთმეოდეთ,
,გერთმეოდეთ,ვერთმეოდეთ,,გერთმეოდეთ,ვერთმეოდეთ,
მერთმეოდეთ,,ერთმეოდეთ,გვერთმეოდეთ,,ერთმეოდეთ,
მერთმეოდნენ,გერთმეოდნენ,ერთმეოდნენ,გვერთმეოდნენ,გერთმეოდნენ,ერთმეოდნენ,
fut2_subj_prfv
