pres
,გზრდი,ვზრდი,,გზრდით,ვზრდი,
მზრდი,,ზრდი,გვზრდი,,ზრდი,
მზრდის,გზრდის,ზრდის,გვზრდის,გზრდით,ზრდის,
,გზრდით,ვზრდით,,გზრდით,ვზრდით,
მზრდით,,ზრდით,გვზრდით,,ზრდით,
მზრდიან,გზრდიან,ზრდიან,გვზრდიან,გზრდიან,ზრდიან,
fut
,წაგზრდი,წავზრდი,,წაგზრდით,წავზრდი,
წამზრდი,,წაზრდი,წაგვზრდი,,წაზრდი,
წამზრდის,წაგზრდის,წაზრდის,წაგვზრდის,წაგზრდით,წაზრდის,
,წაგზრდით,წავზრდით,,წაგზრდით,წავზრდით,
წამზრდით,,წაზრდით,წაგვზრდით,,წაზრდით,
წამზრდიან,წაგზრდიან,წაზრდიან,წაგვზრდიან,წაგზრდიან,წაზრდიან,
impf
,გზრდიდი,ვზრდიდი,,გზრდიდით,ვზრდიდი,
მზრდიდი,,ზრდიდი,გვზრდიდი,,ზრდიდი,
მზრდიდა,გზრდიდა,ზრდიდა,გვზრდიდა,გზრდიდათ,ზრდიდა,
,გზრდიდით,ვზრდიდით,,გზრდიდით,ვზრდიდით,
მზრდიდით,,ზრდიდით,გვზრდიდით,,ზრდიდით,
მზრდიდნენ,გზრდიდნენ,ზრდიდნენ,გვზრდიდნენ,გზრდიდნენ,ზრდიდნენ,
cond
,წაგზრდიდი,წავზრდიდი,,წაგზრდიდით,წავზრდიდი,
წამზრდიდი,,წაზრდიდი,წაგვზრდიდი,,წაზრდიდი,
წამზრდიდა,წაგზრდიდა,წაზრდიდა,წაგვზრდიდა,წაგზრდიდათ,წაზრდიდა,
,წაგზრდიდით,წავზრდიდით,,წაგზრდიდით,წავზრდიდით,
წამზრდიდით,,წაზრდიდით,წაგვზრდიდით,,წაზრდიდით,
წამზრდიდნენ,წაგზრდიდნენ,წაზრდიდნენ,წაგვზრდიდნენ,წაგზრდიდნენ,წაზრდიდნენ,
subj
,გზრდიდე,ვზრდიდე,,გზრდიდეთ,ვზრდიდე,
მზრდიდე,,ზრდიდე,გვზრდიდე,,ზრდიდე,
მზრდიდეს,გზრდიდეს,ზრდიდეს,გვზრდიდეს,გზრდიდეთ,ზრდიდეს,
,გზრდიდეთ,ვზრდიდეთ,,გზრდიდეთ,ვზრდიდეთ,
მზრდიდეთ,,ზრდიდეთ,გვზრდიდეთ,,ზრდიდეთ,
მზრდიდნენ,გზრდიდნენ,ზრდიდნენ,გვზრდიდნენ,გზრდიდნენ,ზრდიდნენ,
fut_subj
,წაგზრდიდე,წავზრდიდე,,წაგზრდიდეთ,წავზრდიდე,
წამზრდიდე,,წაზრდიდე,წაგვზრდიდე,,წაზრდიდე,
წამზრდიდეს,წაგზრდიდეს,წაზრდიდეს,წაგვზრდიდეს,წაგზრდიდეთ,წაზრდიდეს,
,წაგზრდიდეთ,წავზრდიდეთ,,წაგზრდიდეთ,წავზრდიდეთ,
წამზრდიდეთ,,წაზრდიდეთ,წაგვზრდიდეთ,,წაზრდიდეთ,
წამზრდიდნენ,წაგზრდიდნენ,წაზრდიდნენ,წაგვზრდიდნენ,წაგზრდიდნენ,წაზრდიდნენ,
aor
,გზარდე,ვზარდე,,გზარდეთ,ვზარდე,
მზარდე,,ზარდე,გვზარდე,,ზარდე,
მზარდა,გზარდა,ზარდა,გვზარდა,გზარდათ,ზარდა,
,გზარდეთ,ვზარდეთ,,გზარდეთ,ვზარდეთ,
მზარდეთ,,ზარდეთ,გვზარდეთ,,ზარდეთ,
მზარდეს,გზარდეს,ზარდეს,გვზარდეს,გზარდეს,ზარდეს,
aor_prfv
,წაგზარდე,წავზარდე,,წაგზარდეთ,წავზარდე,
წამზარდე,,წაზარდე,წაგვზარდე,,წაზარდე,
წამზარდა,წაგზარდა,წაზარდა,წაგვზარდა,წაგზარდათ,წაზარდა,
,წაგზარდეთ,წავზარდეთ,,წაგზარდეთ,წავზარდეთ,
წამზარდეთ,,წაზარდეთ,წაგვზარდეთ,,წაზარდეთ,
წამზარდეს,წაგზარდეს,წაზარდეს,წაგვზარდეს,წაგზარდეს,წაზარდეს,
IIsubj
,გზარდო,ვზარდო,,გზარდოთ,ვზარდო,
მზარდო,,ზარდო,გვზარდო,,ზარდო,
მზარდოს,გზარდოს,ზარდოს,გვზარდოს,გზარდოთ,ზარდოს,
,გზარდოთ,ვზარდოთ,,გზარდოთ,ვზარდოთ,
მზარდოთ,,ზარდოთ,გვზარდოთ,,ზარდოთ,
მზარდონ,გზარდონ,ზარდონ,გვზარდონ,გზარდონ,ზარდონ,
IIsubj_prfv
,წაგზარდო,წავზარდო,,წაგზარდოთ,წავზარდო,
წამზარდო,,წაზარდო,წაგვზარდო,,წაზარდო,
წამზარდოს,წაგზარდოს,წაზარდოს,წაგვზარდოს,წაგზარდოთ,წაზარდოს,
,წაგზარდოთ,წავზარდოთ,,წაგზარდოთ,წავზარდოთ,
წამზარდოთ,,წაზარდოთ,წაგვზარდოთ,,წაზარდოთ,
წამზარდონ,წაგზარდონ,წაზარდონ,წაგვზარდონ,წაგზარდონ,წაზარდონ,
Iturm
,მიზრდიხარ,მიზრდია,,მიზრდიხართ,მიზრდია,
გიზრდივარ,,გიზრდია,გიზრდივართ,,გიზრდია,
ვუზრდივარ,უზრდიხარ,უზრდია,ვუზრდივართ,უზრდიხართ,უზრდია,
,გვიზრდიხარ,გვიზრდია,,გვიზრდიხართ,გვიზრდია,
გიზრდივართ,,გიზრდიათ,გიზრდივართ,,გიზრდიათ,
ვუზრდივარ,უზრდიხარ,უზრდიათ,ვუზრდივართ,უზრდიხართ,უზრდიათ,
Iturm_prfv
,წამიზრდიხარ,წამიზრდია,,წამიზრდიხართ,წამიზრდია,
წაგიზრდივარ,,წაგიზრდია,წაგიზრდივართ,,წაგიზრდია,
წავუზრდივარ,წაუზრდიხარ,წაუზრდია,წავუზრდივართ,წაუზრდიხართ,წაუზრდია,
,წაგვიზრდიხარ,წაგვიზრდია,,წაგვიზრდიხართ,წაგვიზრდია,
წაგიზრდივართ,,წაგიზრდიათ,წაგიზრდივართ,,წაგიზრდიათ,
წავუზრდივარ,წაუზრდიხარ,წაუზრდიათ,წავუზრდივართ,წაუზრდიხართ,წაუზრდიათ,
IIturm
,მეზარდე,მეზარდა,,მეზარდეთ,მეზარდა,
გეზარდე,,გეზარდა,გეზარდეთ,,გეზარდა,
ვეზარდე,ეზარდე,ეზარდა,ვეზარდეთ,ეზარდეთ,ეზარდა,
,გვეზარდე,გვეზარდა,,გვეზარდეთ,გვეზარდა,
გეზარდეთ,,გეზარდათ,გეზარდეთ,,გეზარდათ,
ვეზარდე,ეზარდე,ეზარდათ,ვეზარდეთ,ეზარდეთ,ეზარდათ,
IIturm_prfv
,წამეზარდე,წამეზარდა,,წამეზარდეთ,წამეზარდა,
წაგეზარდე,,წაგეზარდა,წაგეზარდეთ,,წაგეზარდა,
წავეზარდე,წაეზარდე,წაეზარდა,წავეზარდეთ,წაეზარდეთ,წაეზარდა,
,წაგვეზარდე,წაგვეზარდა,,წაგვეზარდეთ,წაგვეზარდა,
წაგეზარდეთ,,წაგეზარდათ,წაგეზარდეთ,,წაგეზარდათ,
წავეზარდე,წაეზარდე,წაეზარდათ,წავეზარდეთ,წაეზარდეთ,წაეზარდათ,
IIIsubj
,მეზარდო,მეზარდოს,,მეზარდოთ,მეზარდოს,
გეზარდო,,გეზარდოს,გეზარდოთ,,გეზარდოს,
ვეზარდო,ეზარდო,ეზარდოს,ვეზარდოთ,ეზარდოთ,ეზარდოს,
,გვეზარდო,გვეზარდოს,,გვეზარდოთ,გვეზარდოს,
გეზარდოთ,,გეზარდოთ,გეზარდოთ,,გეზარდოთ,
ვეზარდო,ეზარდო,ეზარდოთ,ვეზარდოთ,ეზარდოთ,ეზარდოთ,
IIIsubj_prfv
,წამეზარდო,წამეზარდოს,,წამეზარდოთ,წამეზარდოს,
წაგეზარდო,,წაგეზარდოს,წაგეზარდოთ,,წაგეზარდოს,
წავეზარდო,წაეზარდო,წაეზარდოს,წავეზარდოთ,წაეზარდოთ,წაეზარდოს,
,წაგვეზარდო,წაგვეზარდოს,,წაგვეზარდოთ,წაგვეზარდოს,
წაგეზარდოთ,,წაგეზარდოთ,წაგეზარდოთ,,წაგეზარდოთ,
წავეზარდო,წაეზარდო,წაეზარდოთ,წავეზარდოთ,წაეზარდოთ,წაეზარდოთ,
