pres
,გნანობ,ვნანობ,,გნანობთ,ვნანობ,
მნანობ,,ნანობ,გვნანობ,,ნანობ,
მნანობს,გნანობს,ნანობს,გვნანობს,გნანობთ,ნანობს,
,გნანობთ,ვნანობთ,,გნანობთ,ვნანობთ,
მნანობთ,,ნანობთ,გვნანობთ,,ნანობთ,
მნანობენ,გნანობენ,ნანობენ,გვნანობენ,გნანობენ,ნანობენ,
fut2
,გინანებ,ვინანებ,,გინანებთ,ვინანებ,
მინანებ,,ინანებ,გვინანებ,,ინანებ,
მინანებს,გინანებს,ინანებს,გვინანებს,გინანებთ,ინანებს,
,გინანებთ,ვინანებთ,,გინანებთ,ვინანებთ,
მინანებთ,,ინანებთ,გვინანებთ,,ინანებთ,
მინანებენ,გინანებენ,ინანებენ,გვინანებენ,გინანებენ,ინანებენ,
fut2_prfv
,წაგინანებ,წავინანებ,,წაგინანებთ,წავინანებ,
წამინანებ,,წაინანებ,წაგვინანებ,,წაინანებ,
წამინანებს,წაგინანებს,წაინანებს,წაგვინანებს,წაგინანებთ,წაინანებს,
,წაგინანებთ,წავინანებთ,,წაგინანებთ,წავინანებთ,
წამინანებთ,,წაინანებთ,წაგვინანებთ,,წაინანებთ,
წამინანებენ,წაგინანებენ,წაინანებენ,წაგვინანებენ,წაგინანებენ,წაინანებენ,
impf
,გნანობდი,ვნანობდი,,გნანობდით,ვნანობდი,
მნანობდი,,ნანობდი,გვნანობდი,,ნანობდი,
მნანობდა,გნანობდა,ნანობდა,გვნანობდა,გნანობდათ,ნანობდა,
,გნანობდით,ვნანობდით,,გნანობდით,ვნანობდით,
მნანობდით,,ნანობდით,გვნანობდით,,ნანობდით,
მნანობდნენ,გნანობდნენ,ნანობდნენ,გვნანობდნენ,გნანობდნენ,ნანობდნენ,
cond2
,გინანებდი,ვინანებდი,,გინანებდით,ვინანებდი,
მინანებდი,,ინანებდი,გვინანებდი,,ინანებდი,
მინანებდა,გინანებდა,ინანებდა,გვინანებდა,გინანებდათ,ინანებდა,
,გინანებდით,ვინანებდით,,გინანებდით,ვინანებდით,
მინანებდით,,ინანებდით,გვინანებდით,,ინანებდით,
მინანებდნენ,გინანებდნენ,ინანებდნენ,გვინანებდნენ,გინანებდნენ,ინანებდნენ,
cond2_prfv
,წაგინანებდი,წავინანებდი,,წაგინანებდით,წავინანებდი,
წამინანებდი,,წაინანებდი,წაგვინანებდი,,წაინანებდი,
წამინანებდა,წაგინანებდა,წაინანებდა,წაგვინანებდა,წაგინანებდათ,წაინანებდა,
,წაგინანებდით,წავინანებდით,,წაგინანებდით,წავინანებდით,
წამინანებდით,,წაინანებდით,წაგვინანებდით,,წაინანებდით,
წამინანებდნენ,წაგინანებდნენ,წაინანებდნენ,წაგვინანებდნენ,წაგინანებდნენ,წაინანებდნენ,
subj
,გნანობდე,ვნანობდე,,გნანობდეთ,ვნანობდე,
მნანობდე,,ნანობდე,გვნანობდე,,ნანობდე,
მნანობდეს,გნანობდეს,ნანობდეს,გვნანობდეს,გნანობდეთ,ნანობდეს,
,გნანობდეთ,ვნანობდეთ,,გნანობდეთ,ვნანობდეთ,
მნანობდეთ,,ნანობდეთ,გვნანობდეთ,,ნანობდეთ,
მნანობდნენ,გნანობდნენ,ნანობდნენ,გვნანობდნენ,გნანობდნენ,ნანობდნენ,
fut2_subj
,გინანებდე,ვინანებდე,,გინანებდეთ,ვინანებდე,
მინანებდე,,ინანებდე,გვინანებდე,,ინანებდე,
მინანებდეს,გინანებდეს,ინანებდეს,გვინანებდეს,გინანებდეთ,ინანებდეს,
,გინანებდეთ,ვინანებდეთ,,გინანებდეთ,ვინანებდეთ,
მინანებდეთ,,ინანებდეთ,გვინანებდეთ,,ინანებდეთ,
მინანებდნენ,გინანებდნენ,ინანებდნენ,გვინანებდნენ,გინანებდნენ,ინანებდნენ,
fut2_subj_prfv
,წაგინანებდე,წავინანებდე,,წაგინანებდეთ,წავინანებდე,
წამინანებდე,,წაინანებდე,წაგვინანებდე,,წაინანებდე,
წამინანებდეს,წაგინანებდეს,წაინანებდეს,წაგვინანებდეს,წაგინანებდეთ,წაინანებდეს,
,წაგინანებდეთ,წავინანებდეთ,,წაგინანებდეთ,წავინანებდეთ,
წამინანებდეთ,,წაინანებდეთ,წაგვინანებდეთ,,წაინანებდეთ,
წამინანებდნენ,წაგინანებდნენ,წაინანებდნენ,წაგვინანებდნენ,წაგინანებდნენ,წაინანებდნენ,
aor2
,გინანე,ვინანე,,გინანეთ,ვინანე,
მინანე,,ინანე,გვინანე,,ინანე,
მინანა,გინანა,ინანა,გვინანა,გინანათ,ინანა,
,გინანეთ,ვინანეთ,,გინანეთ,ვინანეთ,
მინანეთ,,ინანეთ,გვინანეთ,,ინანეთ,
მინანეს,გინანეს,ინანეს,გვინანეს,გინანეს,ინანეს,
aor2_prfv
,წაგინანე,წავინანე,,წაგინანეთ,წავინანე,
წამინანე,,წაინანე,წაგვინანე,,წაინანე,
წამინანა,წაგინანა,წაინანა,წაგვინანა,წაგინანათ,წაინანა,
