pres
,გწერ,ვწერ,,გწერთ,ვწერ,
მწერ,,წერ,გვწერ,,წერ,
მწერს,გწერს,წერს,გვწერს,გწერთ,წერს,
,გწერთ,ვწერთ,,გწერთ,ვწერთ,
მწერთ,,წერთ,გვწერთ,,წერთ,
მწერენ,გწერენ,წერენ,გვწერენ,გწერენ,წერენ,
fut
,წაგწერ,წავწერ,,წაგწერთ,წავწერ,
წამწერ,,წაწერ,წაგვწერ,,წაწერ,
წამწერს,წაგწერს,წაწერს,წაგვწერს,წაგწერთ,წაწერს,
,წაგწერთ,წავწერთ,,წაგწერთ,წავწერთ,
წამწერთ,,წაწერთ,წაგვწერთ,,წაწერთ,
წამწერენ,წაგწერენ,წაწერენ,წაგვწერენ,წაგწერენ,წაწერენ,
impf
,გწერდი,ვწერდი,,გწერდით,ვწერდი,
მწერდი,,წერდი,გვწერდი,,წერდი,
მწერდა,გწერდა,წერდა,გვწერდა,გწერდათ,წერდა,
,გწერდით,ვწერდით,,გწერდით,ვწერდით,
მწერდით,,წერდით,გვწერდით,,წერდით,
მწერდნენ,გწერდნენ,წერდნენ,გვწერდნენ,გწერდნენ,წერდნენ,
cond
,წაგწერდი,წავწერდი,,წაგწერდით,წავწერდი,
წამწერდი,,წაწერდი,წაგვწერდი,,წაწერდი,
წამწერდა,წაგწერდა,წაწერდა,წაგვწერდა,წაგწერდათ,წაწერდა,
,წაგწერდით,წავწერდით,,წაგწერდით,წავწერდით,
წამწერდით,,წაწერდით,წაგვწერდით,,წაწერდით,
წამწერდნენ,წაგწერდნენ,წაწერდნენ,წაგვწერდნენ,წაგწერდნენ,წაწერდნენ,
subj
,გწერდე,ვწერდე,,გწერდეთ,ვწერდე,
მწერდე,,წერდე,გვწერდე,,წერდე,
მწერდეს,გწერდეს,წერდეს,გვწერდეს,გწერდეთ,წერდეს,
,გწერდეთ,ვწერდეთ,,გწერდეთ,ვწერდეთ,
მწერდეთ,,წერდეთ,გვწერდეთ,,წერდეთ,
მწერდნენ,გწერდნენ,წერდნენ,გვწერდნენ,გწერდნენ,წერდნენ,
fut_subj
,წაგწერდე,წავწერდე,,წაგწერდეთ,წავწერდე,
წამწერდე,,წაწერდე,წაგვწერდე,,წაწერდე,
წამწერდეს,წაგწერდეს,წაწერდეს,წაგვწერდეს,წაგწერდეთ,წაწერდეს,
,წაგწერდეთ,წავწერდეთ,,წაგწერდეთ,წავწერდეთ,
წამწერდეთ,,წაწერდეთ,წაგვწერდეთ,,წაწერდეთ,
წამწერდნენ,წაგწერდნენ,წაწერდნენ,წაგვწერდნენ,წაგწერდნენ,წაწერდნენ,
aor
,გწერე,ვწერე,,გწერეთ,ვწერე,
მწერე,,წერე,გვწერე,,წერე,
მწერა,გწერა,წერა,გვწერა,გწერათ,წერა,
,გწერეთ,ვწერეთ,,გწერეთ,ვწერეთ,
მწერეთ,,წერეთ,გვწერეთ,,წერეთ,
მწერეს,გწერეს,წერეს,გვწერეს,გწერეს,წერეს,
aor_prfv
,წაგწერე,წავწერე,,წაგწერეთ,წავწერე,
წამწერე,,წაწერე,წაგვწერე,,წაწერე,
წამწერა,წაგწერა,წაწერა,წაგვწერა,წაგწერათ,წაწერა,
,წაგწერეთ,წავწერეთ,,წაგწერეთ,წავწერეთ,
წამწერეთ,,წაწერეთ,წაგვწერეთ,,წაწერეთ,
წამწერეს,წაგწერეს,წაწერეს,წაგვწერეს,წაგწერეს,წაწერეს,
IIsubj
,გწერო,ვწერო,,გწეროთ,ვწერო,
მწერო,,წერო,გვწერო,,წერო,
მწეროს,გწეროს,წეროს,გვწეროს,გწეროთ,წეროს,
,გწეროთ,ვწეროთ,,გწეროთ,ვწეროთ,
მწეროთ,,წეროთ,გვწეროთ,,წეროთ,
მწერონ,გწერონ,წერონ,გვწერონ,გწერონ,წერონ,
IIsubj_prfv
,წაგწერო,წავწერო,,წაგწეროთ,წავწერო,
წამწერო,,წაწერო,წაგვწერო,,წაწერო,
წამწეროს,წაგწეროს,წაწეროს,წაგვწეროს,წაგწეროთ,წაწეროს,
,წაგწეროთ,წავწეროთ,,წაგწეროთ,წავწეროთ,
წამწეროთ,,წაწეროთ,წაგვწეროთ,,წაწეროთ,
წამწერონ,წაგწერონ,წაწერონ,წაგვწერონ,წაგწერონ,წაწერონ,
Iturm
,მიწერიხარ,მიწერია,,მიწერიხართ,მიწერია,
გიწერივარ,,გიწერია,გიწერივართ,,გიწერია,
ვუწერივარ,უწერიხარ,უწერია,ვუწერივართ,უწერიხართ,უწერია,
,გვიწერიხარ,გვიწერია,,გვიწერიხართ,გვიწერია,
გიწერივართ,,გიწერიათ,გიწერივართ,,გიწერიათ,
ვუწერივარ,უწერიხარ,უწერიათ,ვუწერივართ,უწერიხართ,უწერიათ,
Iturm_prfv
,წამიწერიხარ,წამიწერია,,წამიწერიხართ,წამიწერია,
წაგიწერივარ,,წაგიწერია,წაგიწერივართ,,წაგიწერია,
წავუწერივარ,წაუწერიხარ,წაუწერია,წავუწერივართ,წაუწერიხართ,წაუწერია,
,წაგვიწერიხარ,წაგვიწერია,,წაგვიწერიხართ,წაგვიწერია,
წაგიწერივართ,,წაგიწერიათ,წაგიწერივართ,,წაგიწერიათ,
წავუწერივარ,წაუწერიხარ,წაუწერიათ,წავუწერივართ,წაუწერიხართ,წაუწერიათ,
IIturm
,მეწერე,მეწერა,,მეწერეთ,მეწერა,
გეწერე,,გეწერა,გეწერეთ,,გეწერა,
ვეწერე,ეწერე,ეწერა,ვეწერეთ,ეწერეთ,ეწერა,
,გვეწერე,გვეწერა,,გვეწერეთ,გვეწერა,
გეწერეთ,,გეწერათ,გეწერეთ,,გეწერათ,
ვეწერე,ეწერე,ეწერათ,ვეწერეთ,ეწერეთ,ეწერათ,
IIturm_prfv
,წამეწერე,წამეწერა,,წამეწერეთ,წამეწერა,
