pres
,გხატავ,ვხატავ,,გხატავთ,ვხატავ,
მხატავ,,ხატავ,გვხატავ,,ხატავ,
მხატავს,გხატავს,ხატავს,გვხატავს,გხატავთ,ხატავს,
,გხატავთ,ვხატავთ,,გხატავთ,ვხატავთ,
მხატავთ,,ხატავთ,გვხატავთ,,ხატავთ,
მხატავენ,გხატავენ,ხატავენ,გვხატავენ,გხატავენ,ხატავენ,
fut
,წაგხატავ,წავხატავ,,წაგხატავთ,წავხატავ,
წამხატავ,,წახატავ,წაგვხატავ,,წახატავ,
წამხატავს,წაგხატავს,წახატავს,წაგვხატავს,წაგხატავთ,წახატავს,
,წაგხატავთ,წავხატავთ,,წაგხატავთ,წავხატავთ,
წამხატავთ,,წახატავთ,წაგვხატავთ,,წახატავთ,
წამხატავენ,წაგხატავენ,წახატავენ,წაგვხატავენ,წაგხატავენ,წახატავენ,
impf
,გხატავდი,ვხატავდი,,გხატავდით,ვხატავდი,
მხატავდი,,ხატავდი,გვხატავდი,,ხატავდი,
მხატავდა,გხატავდა,ხატავდა,გვხატავდა,გხატავდათ,ხატავდა,
,გხატავდით,ვხატავდით,,გხატავდით,ვხატავდით,
მხატავდით,,ხატავდით,გვხატავდით,,ხატავდით,
მხატავდნენ,გხატავდნენ,ხატავდნენ,გვხატავდნენ,გხატავდნენ,ხატავდნენ,
cond
,წაგხატავდი,წავხატავდი,,წაგხატავდით,წავხატავდი,
წამხატავდი,,წახატავდი,წაგვხატავდი,,წახატავდი,
წამხატავდა,წაგხატავდა,წახატავდა,წაგვხატავდა,წაგხატავდათ,წახატავდა,
,წაგხატავდით,წავხატავდით,,წაგხატავდით,წავხატავდით,
წამხატავდით,,წახატავდით,წაგვხატავდით,,წახატავდით,
წამხატავდნენ,წაგხატავდნენ,წახატავდნენ,წაგვხატავდნენ,წაგხატავდნენ,წახატავდნენ,
subj
,გხატავდე,ვხატავდე,,გხატავდეთ,ვხატავდე,
მხატავდე,,ხატავდე,გვხატავდე,,ხატავდე,
მხატავდეს,გხატავდეს,ხატავდეს,გვხატავდეს,გხატავდეთ,ხატავდეს,
,გხატავდეთ,ვხატავდეთ,,გხატავდეთ,ვხატავდეთ,
მხატავდეთ,,ხატავდეთ,გვხატავდეთ,,ხატავდეთ,
მხატავდნენ,გხატავდნენ,ხატავდნენ,გვხატავდნენ,გხატავდნენ,ხატავდნენ,
fut_subj
,წაგხატავდე,წავხატავდე,,წაგხატავდეთ,წავხატავდე,
წამხატავდე,,წახატავდე,წაგვხატავდე,,წახატავდე,
წამხატავდეს,წაგხატავდეს,წახატავდეს,წაგვხატავდეს,წაგხატავდეთ,წახატავდეს,
,წაგხატავდეთ,წავხატავდეთ,,წაგხატავდეთ,წავხატავდეთ,
წამხატავდეთ,,წახატავდეთ,წაგვხატავდეთ,,წახატავდეთ,
წამხატავდნენ,წაგხატავდნენ,წახატავდნენ,წაგვხატავდნენ,წაგხატავდნენ,წახატავდნენ,
aor
,გხატე,ვხატე,,გხატეთ,ვხატე,
მხატე,,ხატე,გვხატე,,ხატე,
მხატა,გხატა,ხატა,გვხატა,გხატათ,ხატა,
,გხატეთ,ვხატეთ,,გხატეთ,ვხატეთ,
მხატეთ,,ხატეთ,გვხატეთ,,ხატეთ,
მხატეს,გხატეს,ხატეს,გვხატეს,გხატეს,ხატეს,
aor_prfv
,წაგხატე,წავხატე,,წაგხატეთ,წავხატე,
წამხატე,,წახატე,წაგვხატე,,წახატე,
წამხატა,წაგხატა,წახატა,წაგვხატა,წაგხატათ,წახატა,
,წაგხატეთ,წავხატეთ,,წაგხატეთ,წავხატეთ,
წამხატეთ,,წახატეთ,წაგვხატეთ,,წახატეთ,
წამხატეს,წაგხატეს,წახატეს,წაგვხატეს,წაგხატეს,წახატეს,
IIsubj
,გხატო,ვხატო,,გხატოთ,ვხატო,
მხატო,,ხატო,გვხატო,,ხატო,
მხატოს,გხატოს,ხატოს,გვხატოს,გხატოთ,ხატოს,
,გხატოთ,ვხატოთ,,გხატოთ,ვხატოთ,
მხატოთ,,ხატოთ,გვხატოთ,,ხატოთ,
მხატონ,გხატონ,ხატონ,გვხატონ,გხატონ,ხატონ,
IIsubj_prfv
,წაგხატო,წავხატო,,წაგხატოთ,წავხატო,
წამხატო,,წახატო,წაგვხატო,,წახატო,
წამხატოს,წაგხატოს,წახატოს,წაგვხატოს,წაგხატოთ,წახატოს,
,წაგხატოთ,წავხატოთ,,წაგხატოთ,წავხატოთ,
წამხატოთ,,წახატოთ,წაგვხატოთ,,წახატოთ,
წამხატონ,წაგხატონ,წახატონ,წაგვხატონ,წაგხატონ,წახატონ,
Iturm
,მიხატიხარ,მიხატია,,მიხატიხართ,მიხატია,
გიხატივარ,,გიხატია,გიხატივართ,,გიხატია,
ვუხატივარ,უხატიხარ,უხატია,ვუხატივართ,უხატიხართ,უხატია,
,გვიხატიხარ,გვიხატია,,გვიხატიხართ,გვიხატია,
გიხატივართ,,გიხატიათ,გიხატივართ,,გიხატიათ,
ვუხატივარ,უხატიხარ,უხატიათ,ვუხატივართ,უხატიხართ,უხატიათ,
Iturm_prfv
,წამიხატიხარ,წამიხატია,,წამიხატიხართ,წამიხატია,
წაგიხატივარ,,წაგიხატია,წაგიხატივართ,,წაგიხატია,
წავუხატივარ,წაუხატიხარ,წაუხატია,წავუხატივართ,წაუხატიხართ,წაუხატია,
,წაგვიხატიხარ,წაგვიხატია,,წაგვიხატიხართ,წაგვიხატია,
წაგიხატივართ,,წაგიხატიათ,წაგიხატივართ,,წაგიხატიათ,
წავუხატივარ,წაუხატიხარ,წაუხატიათ,წავუხატივართ,წაუხატიხართ,წაუხატიათ,
