fut2
,გადებინებ,ვადებინებ,,გადებინებთ,ვადებინებ,
მადებინებ,,ადებინებ,გვადებინებ,,ადებინებ,
მადებინებს,გადებინებს,ადებინებს,გვადებინებს,გადებინებთ,ადებინებს,
,გადებინებთ,ვადებინებთ,,გადებინებთ,ვადებინებთ,
მადებინებთ,,ადებინებთ,გვადებინებთ,,ადებინებთ,
მადებინებენ,გადებინებენ,ადებინებენ,გვადებინებენ,გადებინებენ,ადებინებენ,
fut2_prfv
,წამოგადებინებ,წამოვადებინებ,,წამოგადებინებთ,წამოვადებინებ,
წამომადებინებ,,წამოადებინებ,წამოგვადებინებ,,წამოადებინებ,
წამომადებინებს,წამოგადებინებს,წამოადებინებს,წამოგვადებინებს,წამოგადებინებთ,წამოადებინებს,
,წამოგადებინებთ,წამოვადებინებთ,,წამოგადებინებთ,წამოვადებინებთ,
წამომადებინებთ,,წამოადებინებთ,წამოგვადებინებთ,,წამოადებინებთ,
წამომადებინებენ,წამოგადებინებენ,წამოადებინებენ,წამოგვადებინებენ,წამოგადებინებენ,წამოადებინებენ,
cond2
,გადებინებდი,ვადებინებდი,,გადებინებდით,ვადებინებდი,
მადებინებდი,,ადებინებდი,გვადებინებდი,,ადებინებდი,
მადებინებდა,გადებინებდა,ადებინებდა,გვადებინებდა,გადებინებდათ,ადებინებდა,
,გადებინებდით,ვადებინებდით,,გადებინებდით,ვადებინებდით,
მადებინებდით,,ადებინებდით,გვადებინებდით,,ადებინებდით,
მადებინებდნენ,გადებინებდნენ,ადებინებდნენ,გვადებინებდნენ,გადებინებდნენ,ადებინებდნენ,
cond2_prfv
,წამოგადებინებდი,წამოვადებინებდი,,წამოგადებინებდით,წამოვადებინებდი,
წამომადებინებდი,,წამოადებინებდი,წამოგვადებინებდი,,წამოადებინებდი,
წამომადებინებდა,წამოგადებინებდა,წამოადებინებდა,წამოგვადებინებდა,წამოგადებინებდათ,წამოადებინებდა,
,წამოგადებინებდით,წამოვადებინებდით,,წამოგადებინებდით,წამოვადებინებდით,
წამომადებინებდით,,წამოადებინებდით,წამოგვადებინებდით,,წამოადებინებდით,
წამომადებინებდნენ,წამოგადებინებდნენ,წამოადებინებდნენ,წამოგვადებინებდნენ,წამოგადებინებდნენ,წამოადებინებდნენ,
fut2_subj
,გადებინებდე,ვადებინებდე,,გადებინებდეთ,ვადებინებდე,
მადებინებდე,,ადებინებდე,გვადებინებდე,,ადებინებდე,
მადებინებდეს,გადებინებდეს,ადებინებდეს,გვადებინებდეს,გადებინებდეთ,ადებინებდეს,
,გადებინებდეთ,ვადებინებდეთ,,გადებინებდეთ,ვადებინებდეთ,
მადებინებდეთ,,ადებინებდეთ,გვადებინებდეთ,,ადებინებდეთ,
მადებინებდნენ,გადებინებდნენ,ადებინებდნენ,გვადებინებდნენ,გადებინებდნენ,ადებინებდნენ,
fut2_subj_prfv
,წამოგადებინებდე,წამოვადებინებდე,,წამოგადებინებდეთ,წამოვადებინებდე,
წამომადებინებდე,,წამოადებინებდე,წამოგვადებინებდე,,წამოადებინებდე,
წამომადებინებდეს,წამოგადებინებდეს,წამოადებინებდეს,წამოგვადებინებდეს,წამოგადებინებდეთ,წამოადებინებდეს,
,წამოგადებინებდეთ,წამოვადებინებდეთ,,წამოგადებინებდეთ,წამოვადებინებდეთ,
წამომადებინებდეთ,,წამოადებინებდეთ,წამოგვადებინებდეთ,,წამოადებინებდეთ,
წამომადებინებდნენ,წამოგადებინებდნენ,წამოადებინებდნენ,წამოგვადებინებდნენ,წამოგადებინებდნენ,წამოადებინებდნენ,
aor2
,გადებინე,ვადებინე,,გადებინეთ,ვადებინე,
მადებინე,,ადებინე,გვადებინე,,ადებინე,
