fut2
,გათბობ,ვათბობ,,გათბობთ,ვათბობ,
მათბობ,,ათბობ,გვათბობ,,ათბობ,
მათბობს,გათბობს,ათბობს,გვათბობს,გათბობთ,ათბობს,
,გათბობთ,ვათბობთ,,გათბობთ,ვათბობთ,
მათბობთ,,ათბობთ,გვათბობთ,,ათბობთ,
მათბობენ,გათბობენ,ათბობენ,გვათბობენ,გათბობენ,ათბობენ,
fut2_prfv
,წამოგათბობ,წამოვათბობ,,წამოგათბობთ,წამოვათბობ,
წამომათბობ,,წამოათბობ,წამოგვათბობ,,წამოათბობ,
წამომათბობს,წამოგათბობს,წამოათბობს,წამოგვათბობს,წამოგათბობთ,წამოათბობს,
,წამოგათბობთ,წამოვათბობთ,,წამოგათბობთ,წამოვათბობთ,
წამომათბობთ,,წამოათბობთ,წამოგვათბობთ,,წამოათბობთ,
წამომათბობენ,წამოგათბობენ,წამოათბობენ,წამოგვათბობენ,წამოგათბობენ,წამოათბობენ,
cond2
,გათბობდი,ვათბობდი,,გათბობდით,ვათბობდი,
მათბობდი,,ათბობდი,გვათბობდი,,ათბობდი,
მათბობდა,გათბობდა,ათბობდა,გვათბობდა,გათბობდათ,ათბობდა,
,გათბობდით,ვათბობდით,,გათბობდით,ვათბობდით,
მათბობდით,,ათბობდით,გვათბობდით,,ათბობდით,
მათბობდნენ,გათბობდნენ,ათბობდნენ,გვათბობდნენ,გათბობდნენ,ათბობდნენ,
cond2_prfv
,წამოგათბობდი,წამოვათბობდი,,წამოგათბობდით,წამოვათბობდი,
წამომათბობდი,,წამოათბობდი,წამოგვათბობდი,,წამოათბობდი,
წამომათბობდა,წამოგათბობდა,წამოათბობდა,წამოგვათბობდა,წამოგათბობდათ,წამოათბობდა,
,წამოგათბობდით,წამოვათბობდით,,წამოგათბობდით,წამოვათბობდით,
წამომათბობდით,,წამოათბობდით,წამოგვათბობდით,,წამოათბობდით,
წამომათბობდნენ,წამოგათბობდნენ,წამოათბობდნენ,წამოგვათბობდნენ,წამოგათბობდნენ,წამოათბობდნენ,
fut2_subj
,გათბობდე,ვათბობდე,,გათბობდეთ,ვათბობდე,
მათბობდე,,ათბობდე,გვათბობდე,,ათბობდე,
მათბობდეს,გათბობდეს,ათბობდეს,გვათბობდეს,გათბობდეთ,ათბობდეს,
,გათბობდეთ,ვათბობდეთ,,გათბობდეთ,ვათბობდეთ,
მათბობდეთ,,ათბობდეთ,გვათბობდეთ,,ათბობდეთ,
მათბობდნენ,გათბობდნენ,ათბობდნენ,გვათბობდნენ,გათბობდნენ,ათბობდნენ,
fut2_subj_prfv
,წამოგათბობდე,წამოვათბობდე,,წამოგათბობდეთ,წამოვათბობდე,
წამომათბობდე,,წამოათბობდე,წამოგვათბობდე,,წამოათბობდე,
წამომათბობდეს,წამოგათბობდეს,წამოათბობდეს,წამოგვათბობდეს,წამოგათბობდეთ,წამოათბობდეს,
,წამოგათბობდეთ,წამოვათბობდეთ,,წამოგათბობდეთ,წამოვათბობდეთ,
წამომათბობდეთ,,წამოათბობდეთ,წამოგვათბობდეთ,,წამოათბობდეთ,
წამომათბობდნენ,წამოგათბობდნენ,წამოათბობდნენ,წამოგვათბობდნენ,წამოგათბობდნენ,წამოათბობდნენ,
aor2
,გათბე,ვათბე,,გათბეთ,ვათბე,
მათბე,,ათბე,გვათბე,,ათბე,
მათბო,გათბო,ათბო,გვათბო,გათბოთ,ათბო,
,გათბეთ,ვათბეთ,,გათბეთ,ვათბეთ,
მათბეთ,,ათბეთ,გვათბეთ,,ათბეთ,
მათბეს,გათბეს,ათბეს,გვათბეს,გათბეს,ათბეს,
aor2_prfv
,წამოგათბე,წამოვათბე,,წამოგათბეთ,წამოვათბე,
წამომათბე,,წამოათბე,წამოგვათბე,,წამოათბე,
წამომათბო,წამოგათბო,წამოათბო,წამოგვათბო,წამოგათბოთ,წამოათბო,
,წამოგათბეთ,წამოვათბეთ,,წამოგათბეთ,წამოვათბეთ,
წამომათბეთ,,წამოათბეთ,წამოგვათბეთ,,წამოათბეთ,
წამომათბეს,წამოგათბეს,წამოათბეს,წამოგვათბეს,წამოგათბეს,წამოათბეს,
IIsubj2
,გათბო,ვათბო,,გათბოთ,ვათბო,
მათბო,,ათბო,გვათბო,,ათბო,
მათბოს,გათბოს,ათბოს,გვათბოს,გათბოთ,ათბოს,
,გათბოთ,ვათბოთ,,გათბოთ,ვათბოთ,
მათბოთ,,ათბოთ,გვათბოთ,,ათბოთ,
მათბონ,გათბონ,ათბონ,გვათბონ,გათბონ,ათბონ,
IIsubj2_prfv
,წამოგათბო,წამოვათბო,,წამოგათბოთ,წამოვათბო,
წამომათბო,,წამოათბო,წამოგვათბო,,წამოათბო,
წამომათბოს,წამოგათბოს,წამოათბოს,წამოგვათბოს,წამოგათბოთ,წამოათბოს,
,წამოგათბოთ,წამოვათბოთ,,წამოგათბოთ,წამოვათბოთ,
წამომათბოთ,,წამოათბოთ,წამოგვათბოთ,,წამოათბოთ,
წამომათბონ,წამოგათბონ,წამოათბონ,წამოგვათბონ,წამოგათბონ,წამოათბონ,
Iturm
,მითბიხარ,მითბია,,მითბიხართ,მითბია,
გითბივარ,,გითბია,გითბივართ,,გითბია,
ვუთბივარ,უთბიხარ,უთბია,ვუთბივართ,უთბიხართ,უთბია,
,გვითბიხარ,გვითბია,,გვითბიხართ,გვითბია,
გითბივართ,,გითბიათ,გითბივართ,,გითბიათ,
ვუთბივარ,უთბიხარ,უთბიათ,ვუთბივართ,უთბიხართ,უთბიათ,
Iturm_prfv
,წამომითბიხარ,წამომითბია,,წამომითბიხართ,წამომითბია,
წამოგითბივარ,,წამოგითბია,წამოგითბივართ,,წამოგითბია,
წამოვუთბივარ,წამოუთბიხარ,წამოუთბია,წამოვუთბივართ,წამოუთბიხართ,წამოუთბია,
,წამოგვითბიხარ,წამოგვითბია,,წამოგვითბიხართ,წამოგვითბია,
წამოგითბივართ,,წამოგითბიათ,წამოგითბივართ,,წამოგითბიათ,
წამოვუთბივარ,წამოუთბიხარ,წამოუთბიათ,წამოვუთბივართ,წამოუთბიხართ,წამოუთბიათ,
IIturm
,მეთბე,მეთბო,,მეთბეთ,მეთბოთ,
გეთბე,,გეთბო,გეთბეთ,,გეთბოთ,
ვეთბე,ეთბე,ეთბო,ვეთბეთ,ეთბეთ,ეთბოთ,
,გვეთბე,გვეთბო,,გვეთბეთ,გვეთბოთ,
გეთბეთ,,გეთბოთ,გეთბეთ,,გეთბოთ,
ვეთბე,ეთბე,ეთბოთ,ვეთბეთ,ეთბეთ,ეთბოთთ,
IIturm_prfv
,წამომეთბე,წამომეთბო,,წამომეთბეთ,წამომეთბოთ,
წამოგეთბე,,წამოგეთბო,წამოგეთბეთ,,წამოგეთბოთ,
წამოვეთბე,წამოეთბე,წამოეთბო,წამოვეთბეთ,წამოეთბეთ,წამოეთბოთ,
,წამოგვეთბე,წამოგვეთბო,,წამოგვეთბეთ,წამოგვეთბოთ,
წამოგეთბეთ,,წამოგეთბოთ,წამოგეთბეთ,,წამოგეთბოთ,
წამოვეთბე,წამოეთბე,წამოეთბოთ,წამოვეთბეთ,წამოეთბეთ,წამოეთბოთთ,
IIIsubj
,მეთბო,მეთბოს,,მეთბოთ,მეთბოს,
გეთბო,,გეთბოს,გეთბოთ,,გეთბოს,
ვეთბო,ეთბო,ეთბოს,ვეთბოთ,ეთბოთ,ეთბოს,
,გვეთბო,გვეთბოს,,გვეთბოთ,გვეთბოს,
გეთბოთ,,გეთბოთ,გეთბოთ,,გეთბოთ,
ვეთბო,ეთბო,ეთბოთ,ვეთბოთ,ეთბოთ,ეთბოთ,
IIIsubj_prfv
,წამომეთბო,წამომეთბოს,,წამომეთბოთ,წამომეთბოს,
წამოგეთბო,,წამოგეთბოს,წამოგეთბოთ,,წამოგეთბოს,
წამოვეთბო,წამოეთბო,წამოეთბოს,წამოვეთბოთ,წამოეთბოთ,წამოეთბოს,
,წამოგვეთბო,წამოგვეთბოს,,წამოგვეთბოთ,წამოგვეთბოს,
წამოგეთბოთ,,წამოგეთბოთ,წამოგეთბოთ,,წამოგეთბოთ,
წამოვეთბო,წამოეთბო,წამოეთბოთ,წამოვეთბოთ,წამოეთბოთ,წამოეთბოთ,
