fut2
,გაკლებ,ვაკლებ,,გაკლებთ,ვაკლებ,
მაკლებ,,აკლებ,გვაკლებ,,აკლებ,
მაკლებს,გაკლებს,აკლებს,გვაკლებს,გაკლებთ,აკლებს,
,გაკლებთ,ვაკლებთ,,გაკლებთ,ვაკლებთ,
მაკლებთ,,აკლებთ,გვაკლებთ,,აკლებთ,
მაკლებენ,გაკლებენ,აკლებენ,გვაკლებენ,გაკლებენ,აკლებენ,
fut2_prfv
,წამოგაკლებ,წამოვაკლებ,,წამოგაკლებთ,წამოვაკლებ,
წამომაკლებ,,წამოაკლებ,წამოგვაკლებ,,წამოაკლებ,
წამომაკლებს,წამოგაკლებს,წამოაკლებს,წამოგვაკლებს,წამოგაკლებთ,წამოაკლებს,
,წამოგაკლებთ,წამოვაკლებთ,,წამოგაკლებთ,წამოვაკლებთ,
წამომაკლებთ,,წამოაკლებთ,წამოგვაკლებთ,,წამოაკლებთ,
წამომაკლებენ,წამოგაკლებენ,წამოაკლებენ,წამოგვაკლებენ,წამოგაკლებენ,წამოაკლებენ,
cond2
,გაკლებდი,ვაკლებდი,,გაკლებდით,ვაკლებდი,
მაკლებდი,,აკლებდი,გვაკლებდი,,აკლებდი,
მაკლებდა,გაკლებდა,აკლებდა,გვაკლებდა,გაკლებდათ,აკლებდა,
,გაკლებდით,ვაკლებდით,,გაკლებდით,ვაკლებდით,
მაკლებდით,,აკლებდით,გვაკლებდით,,აკლებდით,
მაკლებდნენ,გაკლებდნენ,აკლებდნენ,გვაკლებდნენ,გაკლებდნენ,აკლებდნენ,
cond2_prfv
,წამოგაკლებდი,წამოვაკლებდი,,წამოგაკლებდით,წამოვაკლებდი,
წამომაკლებდი,,წამოაკლებდი,წამოგვაკლებდი,,წამოაკლებდი,
წამომაკლებდა,წამოგაკლებდა,წამოაკლებდა,წამოგვაკლებდა,წამოგაკლებდათ,წამოაკლებდა,
,წამოგაკლებდით,წამოვაკლებდით,,წამოგაკლებდით,წამოვაკლებდით,
წამომაკლებდით,,წამოაკლებდით,წამოგვაკლებდით,,წამოაკლებდით,
წამომაკლებდნენ,წამოგაკლებდნენ,წამოაკლებდნენ,წამოგვაკლებდნენ,წამოგაკლებდნენ,წამოაკლებდნენ,
fut2_subj
,გაკლებდე,ვაკლებდე,,გაკლებდეთ,ვაკლებდე,
მაკლებდე,,აკლებდე,გვაკლებდე,,აკლებდე,
მაკლებდეს,გაკლებდეს,აკლებდეს,გვაკლებდეს,გაკლებდეთ,აკლებდეს,
,გაკლებდეთ,ვაკლებდეთ,,გაკლებდეთ,ვაკლებდეთ,
მაკლებდეთ,,აკლებდეთ,გვაკლებდეთ,,აკლებდეთ,
მაკლებდნენ,გაკლებდნენ,აკლებდნენ,გვაკლებდნენ,გაკლებდნენ,აკლებდნენ,
fut2_subj_prfv
,წამოგაკლებდე,წამოვაკლებდე,,წამოგაკლებდეთ,წამოვაკლებდე,
წამომაკლებდე,,წამოაკლებდე,წამოგვაკლებდე,,წამოაკლებდე,
წამომაკლებდეს,წამოგაკლებდეს,წამოაკლებდეს,წამოგვაკლებდეს,წამოგაკლებდეთ,წამოაკლებდეს,
,წამოგაკლებდეთ,წამოვაკლებდეთ,,წამოგაკლებდეთ,წამოვაკლებდეთ,
წამომაკლებდეთ,,წამოაკლებდეთ,წამოგვაკლებდეთ,,წამოაკლებდეთ,
წამომაკლებდნენ,წამოგაკლებდნენ,წამოაკლებდნენ,წამოგვაკლებდნენ,წამოგაკლებდნენ,წამოაკლებდნენ,
aor2
,გაკელი,ვაკელი,,გაკელით,ვაკელი,
მაკელი,,აკელი,გვაკელი,,აკელი,
მაკლო,გაკლო,აკლო,გვაკლო,გაკლოთ,აკლო,
,გაკელით,ვაკელით,,გაკელით,ვაკელით,
მაკელით,,აკელით,გვაკელით,,აკელით,
მაკლეს,გაკლეს,აკლეს,გვაკლეს,გაკლეს,აკლეს,
aor2_prfv
,წამოგაკელი,წამოვაკელი,,წამოგაკელით,წამოვაკელი,
