fut2
,გარწევ,ვარწევ,,გარწევთ,ვარწევ,
მარწევ,,არწევ,გვარწევ,,არწევ,
მარწევს,გარწევს,არწევს,გვარწევს,გარწევთ,არწევს,
,გარწევთ,ვარწევთ,,გარწევთ,ვარწევთ,
მარწევთ,,არწევთ,გვარწევთ,,არწევთ,
მარწევენ,გარწევენ,არწევენ,გვარწევენ,გარწევენ,არწევენ,
fut2_prfv
,წამოგარწევ,წამოვარწევ,,წამოგარწევთ,წამოვარწევ,
წამომარწევ,,წამოარწევ,წამოგვარწევ,,წამოარწევ,
წამომარწევს,წამოგარწევს,წამოარწევს,წამოგვარწევს,წამოგარწევთ,წამოარწევს,
,წამოგარწევთ,წამოვარწევთ,,წამოგარწევთ,წამოვარწევთ,
წამომარწევთ,,წამოარწევთ,წამოგვარწევთ,,წამოარწევთ,
წამომარწევენ,წამოგარწევენ,წამოარწევენ,წამოგვარწევენ,წამოგარწევენ,წამოარწევენ,
cond2
,გარწევდი,ვარწევდი,,გარწევდით,ვარწევდი,
მარწევდი,,არწევდი,გვარწევდი,,არწევდი,
მარწევდა,გარწევდა,არწევდა,გვარწევდა,გარწევდათ,არწევდა,
,გარწევდით,ვარწევდით,,გარწევდით,ვარწევდით,
მარწევდით,,არწევდით,გვარწევდით,,არწევდით,
მარწევდნენ,გარწევდნენ,არწევდნენ,გვარწევდნენ,გარწევდნენ,არწევდნენ,
cond2_prfv
,წამოგარწევდი,წამოვარწევდი,,წამოგარწევდით,წამოვარწევდი,
წამომარწევდი,,წამოარწევდი,წამოგვარწევდი,,წამოარწევდი,
წამომარწევდა,წამოგარწევდა,წამოარწევდა,წამოგვარწევდა,წამოგარწევდათ,წამოარწევდა,
,წამოგარწევდით,წამოვარწევდით,,წამოგარწევდით,წამოვარწევდით,
წამომარწევდით,,წამოარწევდით,წამოგვარწევდით,,წამოარწევდით,
წამომარწევდნენ,წამოგარწევდნენ,წამოარწევდნენ,წამოგვარწევდნენ,წამოგარწევდნენ,წამოარწევდნენ,
fut2_subj
,გარწევდე,ვარწევდე,,გარწევდეთ,ვარწევდე,
მარწევდე,,არწევდე,გვარწევდე,,არწევდე,
მარწევდეს,გარწევდეს,არწევდეს,გვარწევდეს,გარწევდეთ,არწევდეს,
,გარწევდეთ,ვარწევდეთ,,გარწევდეთ,ვარწევდეთ,
მარწევდეთ,,არწევდეთ,გვარწევდეთ,,არწევდეთ,
მარწევდნენ,გარწევდნენ,არწევდნენ,გვარწევდნენ,გარწევდნენ,არწევდნენ,
fut2_subj_prfv
,წამოგარწევდე,წამოვარწევდე,,წამოგარწევდეთ,წამოვარწევდე,
წამომარწევდე,,წამოარწევდე,წამოგვარწევდე,,წამოარწევდე,
წამომარწევდეს,წამოგარწევდეს,წამოარწევდეს,წამოგვარწევდეს,წამოგარწევდეთ,წამოარწევდეს,
,წამოგარწევდეთ,წამოვარწევდეთ,,წამოგარწევდეთ,წამოვარწევდეთ,
წამომარწევდეთ,,წამოარწევდეთ,წამოგვარწევდეთ,,წამოარწევდეთ,
წამომარწევდნენ,წამოგარწევდნენ,წამოარწევდნენ,წამოგვარწევდნენ,წამოგარწევდნენ,წამოარწევდნენ,
aor2
,გარწიე,ვარწიე,,გარწიეთ,ვარწიე,
მარწიე,,არწიე,გვარწიე,,არწიე,
მარწია,გარწია,არწია,გვარწია,გარწიათ,არწია,
,გარწიეთ,ვარწიეთ,,გარწიეთ,ვარწიეთ,
მარწიეთ,,არწიეთ,გვარწიეთ,,არწიეთ,
მარწიეს,გარწიეს,არწიეს,გვარწიეს,გარწიეს,არწიეს,
aor2_prfv
,წამოგარწიე,წამოვარწიე,,წამოგარწიეთ,წამოვარწიე,
წამომარწიე,,წამოარწიე,წამოგვარწიე,,წამოარწიე,
