fut2
,გაწვენ,ვაწვენ,,გაწვენთ,ვაწვენ,
მაწვენ,,აწვენ,გვაწვენ,,აწვენ,
მაწვენს,გაწვენს,აწვენს,გვაწვენს,გაწვენთ,აწვენს,
,გაწვენთ,ვაწვენთ,,გაწვენთ,ვაწვენთ,
მაწვენთ,,აწვენთ,გვაწვენთ,,აწვენთ,
მაწვენენ,გაწვენენ,აწვენენ,გვაწვენენ,გაწვენენ,აწვენენ,
fut2_prfv
,წამოგაწვენ,წამოვაწვენ,,წამოგაწვენთ,წამოვაწვენ,
წამომაწვენ,,წამოაწვენ,წამოგვაწვენ,,წამოაწვენ,
წამომაწვენს,წამოგაწვენს,წამოაწვენს,წამოგვაწვენს,წამოგაწვენთ,წამოაწვენს,
,წამოგაწვენთ,წამოვაწვენთ,,წამოგაწვენთ,წამოვაწვენთ,
წამომაწვენთ,,წამოაწვენთ,წამოგვაწვენთ,,წამოაწვენთ,
წამომაწვენენ,წამოგაწვენენ,წამოაწვენენ,წამოგვაწვენენ,წამოგაწვენენ,წამოაწვენენ,
cond2
,გაწვენდი,ვაწვენდი,,გაწვენდით,ვაწვენდი,
მაწვენდი,,აწვენდი,გვაწვენდი,,აწვენდი,
მაწვენდა,გაწვენდა,აწვენდა,გვაწვენდა,გაწვენდათ,აწვენდა,
,გაწვენდით,ვაწვენდით,,გაწვენდით,ვაწვენდით,
მაწვენდით,,აწვენდით,გვაწვენდით,,აწვენდით,
მაწვენდნენ,გაწვენდნენ,აწვენდნენ,გვაწვენდნენ,გაწვენდნენ,აწვენდნენ,
cond2_prfv
,წამოგაწვენდი,წამოვაწვენდი,,წამოგაწვენდით,წამოვაწვენდი,
წამომაწვენდი,,წამოაწვენდი,წამოგვაწვენდი,,წამოაწვენდი,
წამომაწვენდა,წამოგაწვენდა,წამოაწვენდა,წამოგვაწვენდა,წამოგაწვენდათ,წამოაწვენდა,
,წამოგაწვენდით,წამოვაწვენდით,,წამოგაწვენდით,წამოვაწვენდით,
წამომაწვენდით,,წამოაწვენდით,წამოგვაწვენდით,,წამოაწვენდით,
წამომაწვენდნენ,წამოგაწვენდნენ,წამოაწვენდნენ,წამოგვაწვენდნენ,წამოგაწვენდნენ,წამოაწვენდნენ,
fut2_subj
,გაწვენდე,ვაწვენდე,,გაწვენდეთ,ვაწვენდე,
მაწვენდე,,აწვენდე,გვაწვენდე,,აწვენდე,
მაწვენდეს,გაწვენდეს,აწვენდეს,გვაწვენდეს,გაწვენდეთ,აწვენდეს,
,გაწვენდეთ,ვაწვენდეთ,,გაწვენდეთ,ვაწვენდეთ,
მაწვენდეთ,,აწვენდეთ,გვაწვენდეთ,,აწვენდეთ,
მაწვენდნენ,გაწვენდნენ,აწვენდნენ,გვაწვენდნენ,გაწვენდნენ,აწვენდნენ,
fut2_subj_prfv
,წამოგაწვენდე,წამოვაწვენდე,,წამოგაწვენდეთ,წამოვაწვენდე,
წამომაწვენდე,,წამოაწვენდე,წამოგვაწვენდე,,წამოაწვენდე,
წამომაწვენდეს,წამოგაწვენდეს,წამოაწვენდეს,წამოგვაწვენდეს,წამოგაწვენდეთ,წამოაწვენდეს,
,წამოგაწვენდეთ,წამოვაწვენდეთ,,წამოგაწვენდეთ,წამოვაწვენდეთ,
წამომაწვენდეთ,,წამოაწვენდეთ,წამოგვაწვენდეთ,,წამოაწვენდეთ,
წამომაწვენდნენ,წამოგაწვენდნენ,წამოაწვენდნენ,წამოგვაწვენდნენ,წამოგაწვენდნენ,წამოაწვენდნენ,
aor2
,გაწვინე,ვაწვინე,,გაწვინეთ,ვაწვინე,
მაწვინე,,აწვინე,გვაწვინე,,აწვინე,
მაწვინა,გაწვინა,აწვინა,გვაწვინა,გაწვინათ,აწვინა,
,გაწვინეთ,ვაწვინეთ,,გაწვინეთ,ვაწვინეთ,
მაწვინეთ,,აწვინეთ,გვაწვინეთ,,აწვინეთ,
მაწვინეს,გაწვინეს,აწვინეს,გვაწვინეს,გაწვინეს,აწვინეს,
aor2_prfv
,წამოგაწვინე,წამოვაწვინე,,წამოგაწვინეთ,წამოვაწვინე,
წამომაწვინე,,წამოაწვინე,წამოგვაწვინე,,წამოაწვინე,
