pres
,გზრდი,ვზრდი,,გზრდით,ვზრდი,
მზრდი,,ზრდი,გვზრდი,,ზრდი,
მზრდის,გზრდის,ზრდის,გვზრდის,გზრდით,ზრდის,
,გზრდით,ვზრდით,,გზრდით,ვზრდით,
მზრდით,,ზრდით,გვზრდით,,ზრდით,
მზრდიან,გზრდიან,ზრდიან,გვზრდიან,გზრდიან,ზრდიან,
fut
,წამოგზრდი,წამოვზრდი,,წამოგზრდით,წამოვზრდი,
წამომზრდი,,წამოზრდი,წამოგვზრდი,,წამოზრდი,
წამომზრდის,წამოგზრდის,წამოზრდის,წამოგვზრდის,წამოგზრდით,წამოზრდის,
,წამოგზრდით,წამოვზრდით,,წამოგზრდით,წამოვზრდით,
წამომზრდით,,წამოზრდით,წამოგვზრდით,,წამოზრდით,
წამომზრდიან,წამოგზრდიან,წამოზრდიან,წამოგვზრდიან,წამოგზრდიან,წამოზრდიან,
impf
,გზრდიდი,ვზრდიდი,,გზრდიდით,ვზრდიდი,
მზრდიდი,,ზრდიდი,გვზრდიდი,,ზრდიდი,
მზრდიდა,გზრდიდა,ზრდიდა,გვზრდიდა,გზრდიდათ,ზრდიდა,
,გზრდიდით,ვზრდიდით,,გზრდიდით,ვზრდიდით,
მზრდიდით,,ზრდიდით,გვზრდიდით,,ზრდიდით,
მზრდიდნენ,გზრდიდნენ,ზრდიდნენ,გვზრდიდნენ,გზრდიდნენ,ზრდიდნენ,
cond
,წამოგზრდიდი,წამოვზრდიდი,,წამოგზრდიდით,წამოვზრდიდი,
წამომზრდიდი,,წამოზრდიდი,წამოგვზრდიდი,,წამოზრდიდი,
წამომზრდიდა,წამოგზრდიდა,წამოზრდიდა,წამოგვზრდიდა,წამოგზრდიდათ,წამოზრდიდა,
,წამოგზრდიდით,წამოვზრდიდით,,წამოგზრდიდით,წამოვზრდიდით,
წამომზრდიდით,,წამოზრდიდით,წამოგვზრდიდით,,წამოზრდიდით,
წამომზრდიდნენ,წამოგზრდიდნენ,წამოზრდიდნენ,წამოგვზრდიდნენ,წამოგზრდიდნენ,წამოზრდიდნენ,
subj
,გზრდიდე,ვზრდიდე,,გზრდიდეთ,ვზრდიდე,
მზრდიდე,,ზრდიდე,გვზრდიდე,,ზრდიდე,
მზრდიდეს,გზრდიდეს,ზრდიდეს,გვზრდიდეს,გზრდიდეთ,ზრდიდეს,
,გზრდიდეთ,ვზრდიდეთ,,გზრდიდეთ,ვზრდიდეთ,
მზრდიდეთ,,ზრდიდეთ,გვზრდიდეთ,,ზრდიდეთ,
მზრდიდნენ,გზრდიდნენ,ზრდიდნენ,გვზრდიდნენ,გზრდიდნენ,ზრდიდნენ,
fut_subj
,წამოგზრდიდე,წამოვზრდიდე,,წამოგზრდიდეთ,წამოვზრდიდე,
წამომზრდიდე,,წამოზრდიდე,წამოგვზრდიდე,,წამოზრდიდე,
წამომზრდიდეს,წამოგზრდიდეს,წამოზრდიდეს,წამოგვზრდიდეს,წამოგზრდიდეთ,წამოზრდიდეს,
,წამოგზრდიდეთ,წამოვზრდიდეთ,,წამოგზრდიდეთ,წამოვზრდიდეთ,
წამომზრდიდეთ,,წამოზრდიდეთ,წამოგვზრდიდეთ,,წამოზრდიდეთ,
წამომზრდიდნენ,წამოგზრდიდნენ,წამოზრდიდნენ,წამოგვზრდიდნენ,წამოგზრდიდნენ,წამოზრდიდნენ,
aor
,გზარდე,ვზარდე,,გზარდეთ,ვზარდე,
მზარდე,,ზარდე,გვზარდე,,ზარდე,
მზარდა,გზარდა,ზარდა,გვზარდა,გზარდათ,ზარდა,
,გზარდეთ,ვზარდეთ,,გზარდეთ,ვზარდეთ,
მზარდეთ,,ზარდეთ,გვზარდეთ,,ზარდეთ,
მზარდეს,გზარდეს,ზარდეს,გვზარდეს,გზარდეს,ზარდეს,
aor_prfv
,წამოგზარდე,წამოვზარდე,,წამოგზარდეთ,წამოვზარდე,
წამომზარდე,,წამოზარდე,წამოგვზარდე,,წამოზარდე,
წამომზარდა,წამოგზარდა,წამოზარდა,წამოგვზარდა,წამოგზარდათ,წამოზარდა,
,წამოგზარდეთ,წამოვზარდეთ,,წამოგზარდეთ,წამოვზარდეთ,
წამომზარდეთ,,წამოზარდეთ,წამოგვზარდეთ,,წამოზარდეთ,
წამომზარდეს,წამოგზარდეს,წამოზარდეს,წამოგვზარდეს,წამოგზარდეს,წამოზარდეს,
IIsubj
,გზარდო,ვზარდო,,გზარდოთ,ვზარდო,
მზარდო,,ზარდო,გვზარდო,,ზარდო,
მზარდოს,გზარდოს,ზარდოს,გვზარდოს,გზარდოთ,ზარდოს,
,გზარდოთ,ვზარდოთ,,გზარდოთ,ვზარდოთ,
მზარდოთ,,ზარდოთ,გვზარდოთ,,ზარდოთ,
მზარდონ,გზარდონ,ზარდონ,გვზარდონ,გზარდონ,ზარდონ,
IIsubj_prfv
,წამოგზარდო,წამოვზარდო,,წამოგზარდოთ,წამოვზარდო,
წამომზარდო,,წამოზარდო,წამოგვზარდო,,წამოზარდო,
წამომზარდოს,წამოგზარდოს,წამოზარდოს,წამოგვზარდოს,წამოგზარდოთ,წამოზარდოს,
,წამოგზარდოთ,წამოვზარდოთ,,წამოგზარდოთ,წამოვზარდოთ,
წამომზარდოთ,,წამოზარდოთ,წამოგვზარდოთ,,წამოზარდოთ,
წამომზარდონ,წამოგზარდონ,წამოზარდონ,წამოგვზარდონ,წამოგზარდონ,წამოზარდონ,
Iturm
,მიზრდიხარ,მიზრდია,,მიზრდიხართ,მიზრდია,
გიზრდივარ,,გიზრდია,გიზრდივართ,,გიზრდია,
ვუზრდივარ,უზრდიხარ,უზრდია,ვუზრდივართ,უზრდიხართ,უზრდია,
,გვიზრდიხარ,გვიზრდია,,გვიზრდიხართ,გვიზრდია,
გიზრდივართ,,გიზრდიათ,გიზრდივართ,,გიზრდიათ,
ვუზრდივარ,უზრდიხარ,უზრდიათ,ვუზრდივართ,უზრდიხართ,უზრდიათ,
Iturm_prfv
,წამომიზრდიხარ,წამომიზრდია,,წამომიზრდიხართ,წამომიზრდია,
წამოგიზრდივარ,,წამოგიზრდია,წამოგიზრდივართ,,წამოგიზრდია,
წამოვუზრდივარ,წამოუზრდიხარ,წამოუზრდია,წამოვუზრდივართ,წამოუზრდიხართ,წამოუზრდია,
,წამოგვიზრდიხარ,წამოგვიზრდია,,წამოგვიზრდიხართ,წამოგვიზრდია,
წამოგიზრდივართ,,წამოგიზრდიათ,წამოგიზრდივართ,,წამოგიზრდიათ,
წამოვუზრდივარ,წამოუზრდიხარ,წამოუზრდიათ,წამოვუზრდივართ,წამოუზრდიხართ,წამოუზრდიათ,
IIturm
,მეზარდე,მეზარდა,,მეზარდეთ,მეზარდა,
გეზარდე,,გეზარდა,გეზარდეთ,,გეზარდა,
ვეზარდე,ეზარდე,ეზარდა,ვეზარდეთ,ეზარდეთ,ეზარდა,
,გვეზარდე,გვეზარდა,,გვეზარდეთ,გვეზარდა,
გეზარდეთ,,გეზარდათ,გეზარდეთ,,გეზარდათ,
ვეზარდე,ეზარდე,ეზარდათ,ვეზარდეთ,ეზარდეთ,ეზარდათ,
IIturm_prfv
,წამომეზარდე,წამომეზარდა,,წამომეზარდეთ,წამომეზარდა,
წამოგეზარდე,,წამოგეზარდა,წამოგეზარდეთ,,წამოგეზარდა,
წამოვეზარდე,წამოეზარდე,წამოეზარდა,წამოვეზარდეთ,წამოეზარდეთ,წამოეზარდა,
,წამოგვეზარდე,წამოგვეზარდა,,წამოგვეზარდეთ,წამოგვეზარდა,
წამოგეზარდეთ,,წამოგეზარდათ,წამოგეზარდეთ,,წამოგეზარდათ,
წამოვეზარდე,წამოეზარდე,წამოეზარდათ,წამოვეზარდეთ,წამოეზარდეთ,წამოეზარდათ,
IIIsubj
,მეზარდო,მეზარდოს,,მეზარდოთ,მეზარდოს,
გეზარდო,,გეზარდოს,გეზარდოთ,,გეზარდოს,
ვეზარდო,ეზარდო,ეზარდოს,ვეზარდოთ,ეზარდოთ,ეზარდოს,
,გვეზარდო,გვეზარდოს,,გვეზარდოთ,გვეზარდოს,
გეზარდოთ,,გეზარდოთ,გეზარდოთ,,გეზარდოთ,
ვეზარდო,ეზარდო,ეზარდოთ,ვეზარდოთ,ეზარდოთ,ეზარდოთ,
IIIsubj_prfv
,წამომეზარდო,წამომეზარდოს,,წამომეზარდოთ,წამომეზარდოს,
წამოგეზარდო,,წამოგეზარდოს,წამოგეზარდოთ,,წამოგეზარდოს,
წამოვეზარდო,წამოეზარდო,წამოეზარდოს,წამოვეზარდოთ,წამოეზარდოთ,წამოეზარდოს,
,წამოგვეზარდო,წამოგვეზარდოს,,წამოგვეზარდოთ,წამოგვეზარდოს,
წამოგეზარდოთ,,წამოგეზარდოთ,წამოგეზარდოთ,,წამოგეზარდოთ,
წამოვეზარდო,წამოეზარდო,წამოეზარდოთ,წამოვეზარდოთ,წამოეზარდოთ,წამოეზარდოთ,
