pres
,გკეცავ,ვკეცავ,,გკეცავთ,ვკეცავ,
მკეცავ,,კეცავ,გვკეცავ,,კეცავ,
მკეცავს,გკეცავს,კეცავს,გვკეცავს,გკეცავთ,კეცავს,
,გკეცავთ,ვკეცავთ,,გკეცავთ,ვკეცავთ,
მკეცავთ,,კეცავთ,გვკეცავთ,,კეცავთ,
მკეცავენ,გკეცავენ,კეცავენ,გვკეცავენ,გკეცავენ,კეცავენ,
fut
,წამოგკეცავ,წამოვკეცავ,,წამოგკეცავთ,წამოვკეცავ,
წამომკეცავ,,წამოკეცავ,წამოგვკეცავ,,წამოკეცავ,
წამომკეცავს,წამოგკეცავს,წამოკეცავს,წამოგვკეცავს,წამოგკეცავთ,წამოკეცავს,
,წამოგკეცავთ,წამოვკეცავთ,,წამოგკეცავთ,წამოვკეცავთ,
წამომკეცავთ,,წამოკეცავთ,წამოგვკეცავთ,,წამოკეცავთ,
წამომკეცავენ,წამოგკეცავენ,წამოკეცავენ,წამოგვკეცავენ,წამოგკეცავენ,წამოკეცავენ,
impf
,გკეცავდი,ვკეცავდი,,გკეცავდით,ვკეცავდი,
მკეცავდი,,კეცავდი,გვკეცავდი,,კეცავდი,
მკეცავდა,გკეცავდა,კეცავდა,გვკეცავდა,გკეცავდათ,კეცავდა,
,გკეცავდით,ვკეცავდით,,გკეცავდით,ვკეცავდით,
მკეცავდით,,კეცავდით,გვკეცავდით,,კეცავდით,
მკეცავდნენ,გკეცავდნენ,კეცავდნენ,გვკეცავდნენ,გკეცავდნენ,კეცავდნენ,
cond
,წამოგკეცავდი,წამოვკეცავდი,,წამოგკეცავდით,წამოვკეცავდი,
წამომკეცავდი,,წამოკეცავდი,წამოგვკეცავდი,,წამოკეცავდი,
წამომკეცავდა,წამოგკეცავდა,წამოკეცავდა,წამოგვკეცავდა,წამოგკეცავდათ,წამოკეცავდა,
,წამოგკეცავდით,წამოვკეცავდით,,წამოგკეცავდით,წამოვკეცავდით,
წამომკეცავდით,,წამოკეცავდით,წამოგვკეცავდით,,წამოკეცავდით,
წამომკეცავდნენ,წამოგკეცავდნენ,წამოკეცავდნენ,წამოგვკეცავდნენ,წამოგკეცავდნენ,წამოკეცავდნენ,
subj
,გკეცავდე,ვკეცავდე,,გკეცავდეთ,ვკეცავდე,
მკეცავდე,,კეცავდე,გვკეცავდე,,კეცავდე,
მკეცავდეს,გკეცავდეს,კეცავდეს,გვკეცავდეს,გკეცავდეთ,კეცავდეს,
,გკეცავდეთ,ვკეცავდეთ,,გკეცავდეთ,ვკეცავდეთ,
მკეცავდეთ,,კეცავდეთ,გვკეცავდეთ,,კეცავდეთ,
მკეცავდნენ,გკეცავდნენ,კეცავდნენ,გვკეცავდნენ,გკეცავდნენ,კეცავდნენ,
fut_subj
,წამოგკეცავდე,წამოვკეცავდე,,წამოგკეცავდეთ,წამოვკეცავდე,
წამომკეცავდე,,წამოკეცავდე,წამოგვკეცავდე,,წამოკეცავდე,
წამომკეცავდეს,წამოგკეცავდეს,წამოკეცავდეს,წამოგვკეცავდეს,წამოგკეცავდეთ,წამოკეცავდეს,
,წამოგკეცავდეთ,წამოვკეცავდეთ,,წამოგკეცავდეთ,წამოვკეცავდეთ,
წამომკეცავდეთ,,წამოკეცავდეთ,წამოგვკეცავდეთ,,წამოკეცავდეთ,
წამომკეცავდნენ,წამოგკეცავდნენ,წამოკეცავდნენ,წამოგვკეცავდნენ,წამოგკეცავდნენ,წამოკეცავდნენ,
aor
,გკეცე,ვკეცე,,გკეცეთ,ვკეცე,
მკეცე,,კეცე,გვკეცე,,კეცე,
მკეცა,გკეცა,კეცა,გვკეცა,გკეცათ,კეცა,
,გკეცეთ,ვკეცეთ,,გკეცეთ,ვკეცეთ,
მკეცეთ,,კეცეთ,გვკეცეთ,,კეცეთ,
მკეცეს,გკეცეს,კეცეს,გვკეცეს,გკეცეს,კეცეს,
aor_prfv
,წამოგკეცე,წამოვკეცე,,წამოგკეცეთ,წამოვკეცე,
წამომკეცე,,წამოკეცე,წამოგვკეცე,,წამოკეცე,
წამომკეცა,წამოგკეცა,წამოკეცა,წამოგვკეცა,წამოგკეცათ,წამოკეცა,
,წამოგკეცეთ,წამოვკეცეთ,,წამოგკეცეთ,წამოვკეცეთ,
წამომკეცეთ,,წამოკეცეთ,წამოგვკეცეთ,,წამოკეცეთ,
წამომკეცეს,წამოგკეცეს,წამოკეცეს,წამოგვკეცეს,წამოგკეცეს,წამოკეცეს,
IIsubj
,გკეცო,ვკეცო,,გკეცოთ,ვკეცო,
მკეცო,,კეცო,გვკეცო,,კეცო,
მკეცოს,გკეცოს,კეცოს,გვკეცოს,გკეცოთ,კეცოს,
,გკეცოთ,ვკეცოთ,,გკეცოთ,ვკეცოთ,
