pres
,გკრავ,ვკრავ,,გკრავთ,ვკრავ,
მკრავ,,კრავ,გვკრავ,,კრავ,
მკრავს,გკრავს,კრავს,გვკრავს,გკრავთ,კრავს,
,გკრავთ,ვკრავთ,,გკრავთ,ვკრავთ,
მკრავთ,,კრავთ,გვკრავთ,,კრავთ,
მკრავენ,გკრავენ,კრავენ,გვკრავენ,გკრავენ,კრავენ,
fut
,წამოგკრავ,წამოვკრავ,,წამოგკრავთ,წამოვკრავ,
წამომკრავ,,წამოკრავ,წამოგვკრავ,,წამოკრავ,
წამომკრავს,წამოგკრავს,წამოკრავს,წამოგვკრავს,წამოგკრავთ,წამოკრავს,
,წამოგკრავთ,წამოვკრავთ,,წამოგკრავთ,წამოვკრავთ,
წამომკრავთ,,წამოკრავთ,წამოგვკრავთ,,წამოკრავთ,
წამომკრავენ,წამოგკრავენ,წამოკრავენ,წამოგვკრავენ,წამოგკრავენ,წამოკრავენ,
impf
,გკრავდი,ვკრავდი,,გკრავდით,ვკრავდი,
მკრავდი,,კრავდი,გვკრავდი,,კრავდი,
მკრავდა,გკრავდა,კრავდა,გვკრავდა,გკრავდათ,კრავდა,
,გკრავდით,ვკრავდით,,გკრავდით,ვკრავდით,
მკრავდით,,კრავდით,გვკრავდით,,კრავდით,
მკრავდნენ,გკრავდნენ,კრავდნენ,გვკრავდნენ,გკრავდნენ,კრავდნენ,
cond
,წამოგკრავდი,წამოვკრავდი,,წამოგკრავდით,წამოვკრავდი,
წამომკრავდი,,წამოკრავდი,წამოგვკრავდი,,წამოკრავდი,
წამომკრავდა,წამოგკრავდა,წამოკრავდა,წამოგვკრავდა,წამოგკრავდათ,წამოკრავდა,
,წამოგკრავდით,წამოვკრავდით,,წამოგკრავდით,წამოვკრავდით,
წამომკრავდით,,წამოკრავდით,წამოგვკრავდით,,წამოკრავდით,
წამომკრავდნენ,წამოგკრავდნენ,წამოკრავდნენ,წამოგვკრავდნენ,წამოგკრავდნენ,წამოკრავდნენ,
subj
,გკრავდე,ვკრავდე,,გკრავდეთ,ვკრავდე,
მკრავდე,,კრავდე,გვკრავდე,,კრავდე,
მკრავდეს,გკრავდეს,კრავდეს,გვკრავდეს,გკრავდეთ,კრავდეს,
,გკრავდეთ,ვკრავდეთ,,გკრავდეთ,ვკრავდეთ,
მკრავდეთ,,კრავდეთ,გვკრავდეთ,,კრავდეთ,
მკრავდნენ,გკრავდნენ,კრავდნენ,გვკრავდნენ,გკრავდნენ,კრავდნენ,
fut_subj
,წამოგკრავდე,წამოვკრავდე,,წამოგკრავდეთ,წამოვკრავდე,
წამომკრავდე,,წამოკრავდე,წამოგვკრავდე,,წამოკრავდე,
წამომკრავდეს,წამოგკრავდეს,წამოკრავდეს,წამოგვკრავდეს,წამოგკრავდეთ,წამოკრავდეს,
,წამოგკრავდეთ,წამოვკრავდეთ,,წამოგკრავდეთ,წამოვკრავდეთ,
წამომკრავდეთ,,წამოკრავდეთ,წამოგვკრავდეთ,,წამოკრავდეთ,
წამომკრავდნენ,წამოგკრავდნენ,წამოკრავდნენ,წამოგვკრავდნენ,წამოგკრავდნენ,წამოკრავდნენ,
aor
,გკარი,ვკარი,,გკარით,ვკარი,
მკარი,,კარი,გვკარი,,კარი,
