pres
,გცრი,ვცრი,,გცრით,ვცრი,
მცრი,,ცრი,გვცრი,,ცრი,
მცრის,გცრის,ცრის,გვცრის,გცრით,ცრის,
,გცრით,ვცრით,,გცრით,ვცრით,
მცრით,,ცრით,გვცრით,,ცრით,
მცრიან,გცრიან,ცრიან,გვცრიან,გცრიან,ცრიან,
fut
,წამოგცრი,წამოვცრი,,წამოგცრით,წამოვცრი,
წამომცრი,,წამოცრი,წამოგვცრი,,წამოცრი,
წამომცრის,წამოგცრის,წამოცრის,წამოგვცრის,წამოგცრით,წამოცრის,
,წამოგცრით,წამოვცრით,,წამოგცრით,წამოვცრით,
წამომცრით,,წამოცრით,წამოგვცრით,,წამოცრით,
წამომცრიან,წამოგცრიან,წამოცრიან,წამოგვცრიან,წამოგცრიან,წამოცრიან,
impf
,გცრიდი,ვცრიდი,,გცრიდით,ვცრიდი,
მცრიდი,,ცრიდი,გვცრიდი,,ცრიდი,
მცრიდა,გცრიდა,ცრიდა,გვცრიდა,გცრიდათ,ცრიდა,
,გცრიდით,ვცრიდით,,გცრიდით,ვცრიდით,
მცრიდით,,ცრიდით,გვცრიდით,,ცრიდით,
მცრიდნენ,გცრიდნენ,ცრიდნენ,გვცრიდნენ,გცრიდნენ,ცრიდნენ,
cond
,წამოგცრიდი,წამოვცრიდი,,წამოგცრიდით,წამოვცრიდი,
წამომცრიდი,,წამოცრიდი,წამოგვცრიდი,,წამოცრიდი,
წამომცრიდა,წამოგცრიდა,წამოცრიდა,წამოგვცრიდა,წამოგცრიდათ,წამოცრიდა,
,წამოგცრიდით,წამოვცრიდით,,წამოგცრიდით,წამოვცრიდით,
წამომცრიდით,,წამოცრიდით,წამოგვცრიდით,,წამოცრიდით,
წამომცრიდნენ,წამოგცრიდნენ,წამოცრიდნენ,წამოგვცრიდნენ,წამოგცრიდნენ,წამოცრიდნენ,
subj
,გცრიდე,ვცრიდე,,გცრიდეთ,ვცრიდე,
მცრიდე,,ცრიდე,გვცრიდე,,ცრიდე,
მცრიდეს,გცრიდეს,ცრიდეს,გვცრიდეს,გცრიდეთ,ცრიდეს,
,გცრიდეთ,ვცრიდეთ,,გცრიდეთ,ვცრიდეთ,
მცრიდეთ,,ცრიდეთ,გვცრიდეთ,,ცრიდეთ,
მცრიდნენ,გცრიდნენ,ცრიდნენ,გვცრიდნენ,გცრიდნენ,ცრიდნენ,
fut_subj
,წამოგცრიდე,წამოვცრიდე,,წამოგცრიდეთ,წამოვცრიდე,
წამომცრიდე,,წამოცრიდე,წამოგვცრიდე,,წამოცრიდე,
წამომცრიდეს,წამოგცრიდეს,წამოცრიდეს,წამოგვცრიდეს,წამოგცრიდეთ,წამოცრიდეს,
,წამოგცრიდეთ,წამოვცრიდეთ,,წამოგცრიდეთ,წამოვცრიდეთ,
წამომცრიდეთ,,წამოცრიდეთ,წამოგვცრიდეთ,,წამოცრიდეთ,
წამომცრიდნენ,წამოგცრიდნენ,წამოცრიდნენ,წამოგვცრიდნენ,წამოგცრიდნენ,წამოცრიდნენ,
aor
,გცერი,ვცერი,,გცერით,ვცერი,
მცერი,,ცერი,გვცერი,,ცერი,
მცრა,გცრა,ცრა,გვცრა,გცრათ,ცრა,
,გცერით,ვცერით,,გცერით,ვცერით,
მცერით,,ცერით,გვცერით,,ცერით,
მცრეს,გცრეს,ცრეს,გვცრეს,გცრეს,ცრეს,
aor_prfv
,წამოგცერი,წამოვცერი,,წამოგცერით,წამოვცერი,
წამომცერი,,წამოცერი,წამოგვცერი,,წამოცერი,
წამომცრა,წამოგცრა,წამოცრა,წამოგვცრა,წამოგცრათ,წამოცრა,
,წამოგცერით,წამოვცერით,,წამოგცერით,წამოვცერით,
წამომცერით,,წამოცერით,წამოგვცერით,,წამოცერით,
წამომცრეს,წამოგცრეს,წამოცრეს,წამოგვცრეს,წამოგცრეს,წამოცრეს,
IIsubj
,გცრა,ვცრა,,გცრათ,ვცრა,
მცრა,,ცრა,გვცრა,,ცრა,
მცრას,გცრას,ცრას,გვცრას,გცრათ,ცრას,
,გცრათ,ვცრათ,,გცრათ,ვცრათ,
მცრათ,,ცრათ,გვცრათ,,ცრათ,
მცრან,გცრან,ცრან,გვცრან,გცრან,ცრან,
IIsubj_prfv
,წამოგცრა,წამოვცრა,,წამოგცრათ,წამოვცრა,
წამომცრა,,წამოცრა,წამოგვცრა,,წამოცრა,
წამომცრას,წამოგცრას,წამოცრას,წამოგვცრას,წამოგცრათ,წამოცრას,
,წამოგცრათ,წამოვცრათ,,წამოგცრათ,წამოვცრათ,
წამომცრათ,,წამოცრათ,წამოგვცრათ,,წამოცრათ,
წამომცრან,წამოგცრან,წამოცრან,წამოგვცრან,წამოგცრან,წამოცრან,
Iturm
,მიცრიხარ,მიცრია,,მიცრიხართ,მიცრია,
გიცრივარ,,გიცრია,გიცრივართ,,გიცრია,
ვუცრივარ,უცრიხარ,უცრია,ვუცრივართ,უცრიხართ,უცრია,
,გვიცრიხარ,გვიცრია,,გვიცრიხართ,გვიცრია,
გიცრივართ,,გიცრიათ,გიცრივართ,,გიცრიათ,
ვუცრივარ,უცრიხარ,უცრიათ,ვუცრივართ,უცრიხართ,უცრიათ,
Iturm_prfv
,წამომიცრიხარ,წამომიცრია,,წამომიცრიხართ,წამომიცრია,
წამოგიცრივარ,,წამოგიცრია,წამოგიცრივართ,,წამოგიცრია,
წამოვუცრივარ,წამოუცრიხარ,წამოუცრია,წამოვუცრივართ,წამოუცრიხართ,წამოუცრია,
,წამოგვიცრიხარ,წამოგვიცრია,,წამოგვიცრიხართ,წამოგვიცრია,
წამოგიცრივართ,,წამოგიცრიათ,წამოგიცრივართ,,წამოგიცრიათ,
წამოვუცრივარ,წამოუცრიხარ,წამოუცრიათ,წამოვუცრივართ,წამოუცრიხართ,წამოუცრიათ,
IIturm
,მეცერი,მეცრა,,მეცერით,მეცრა,
გეცერი,,გეცრა,გეცერით,,გეცრა,
ვეცერი,ეცერი,ეცრა,ვეცერით,ეცერით,ეცრა,
,გვეცერი,გვეცრა,,გვეცერით,გვეცრა,
გეცერით,,გეცრათ,გეცერით,,გეცრათ,
ვეცერი,ეცერი,ეცრათ,ვეცერით,ეცერით,ეცრათ,
IIturm_prfv
,წამომეცერი,წამომეცრა,,წამომეცერით,წამომეცრა,
წამოგეცერი,,წამოგეცრა,წამოგეცერით,,წამოგეცრა,
წამოვეცერი,წამოეცერი,წამოეცრა,წამოვეცერით,წამოეცერით,წამოეცრა,
,წამოგვეცერი,წამოგვეცრა,,წამოგვეცერით,წამოგვეცრა,
წამოგეცერით,,წამოგეცრათ,წამოგეცერით,,წამოგეცრათ,
წამოვეცერი,წამოეცერი,წამოეცრათ,წამოვეცერით,წამოეცერით,წამოეცრათ,
IIIsubj
,მეცრა,მეცრას,,მეცრათ,მეცრას,
გეცრა,,გეცრას,გეცრათ,,გეცრას,
ვეცრა,ეცრა,ეცრას,ვეცრათ,ეცრათ,ეცრას,
,გვეცრა,გვეცრას,,გვეცრათ,გვეცრას,
გეცრათ,,გეცრათ,გეცრათ,,გეცრათ,
ვეცრა,ეცრა,ეცრათ,ვეცრათ,ეცრათ,ეცრათ,
IIIsubj_prfv
,წამომეცრა,წამომეცრას,,წამომეცრათ,წამომეცრას,
წამოგეცრა,,წამოგეცრას,წამოგეცრათ,,წამოგეცრას,
წამოვეცრა,წამოეცრა,წამოეცრას,წამოვეცრათ,წამოეცრათ,წამოეცრას,
,წამოგვეცრა,წამოგვეცრას,,წამოგვეცრათ,წამოგვეცრას,
წამოგეცრათ,,წამოგეცრათ,წამოგეცრათ,,წამოგეცრათ,
წამოვეცრა,წამოეცრა,წამოეცრათ,წამოვეცრათ,წამოეცრათ,წამოეცრათ,
