pres
,გწერ,ვწერ,,გწერთ,ვწერ,
მწერ,,წერ,გვწერ,,წერ,
მწერს,გწერს,წერს,გვწერს,გწერთ,წერს,
,გწერთ,ვწერთ,,გწერთ,ვწერთ,
მწერთ,,წერთ,გვწერთ,,წერთ,
მწერენ,გწერენ,წერენ,გვწერენ,გწერენ,წერენ,
fut
,წამოგწერ,წამოვწერ,,წამოგწერთ,წამოვწერ,
წამომწერ,,წამოწერ,წამოგვწერ,,წამოწერ,
წამომწერს,წამოგწერს,წამოწერს,წამოგვწერს,წამოგწერთ,წამოწერს,
,წამოგწერთ,წამოვწერთ,,წამოგწერთ,წამოვწერთ,
წამომწერთ,,წამოწერთ,წამოგვწერთ,,წამოწერთ,
წამომწერენ,წამოგწერენ,წამოწერენ,წამოგვწერენ,წამოგწერენ,წამოწერენ,
impf
,გწერდი,ვწერდი,,გწერდით,ვწერდი,
მწერდი,,წერდი,გვწერდი,,წერდი,
მწერდა,გწერდა,წერდა,გვწერდა,გწერდათ,წერდა,
,გწერდით,ვწერდით,,გწერდით,ვწერდით,
მწერდით,,წერდით,გვწერდით,,წერდით,
მწერდნენ,გწერდნენ,წერდნენ,გვწერდნენ,გწერდნენ,წერდნენ,
cond
,წამოგწერდი,წამოვწერდი,,წამოგწერდით,წამოვწერდი,
წამომწერდი,,წამოწერდი,წამოგვწერდი,,წამოწერდი,
წამომწერდა,წამოგწერდა,წამოწერდა,წამოგვწერდა,წამოგწერდათ,წამოწერდა,
,წამოგწერდით,წამოვწერდით,,წამოგწერდით,წამოვწერდით,
წამომწერდით,,წამოწერდით,წამოგვწერდით,,წამოწერდით,
წამომწერდნენ,წამოგწერდნენ,წამოწერდნენ,წამოგვწერდნენ,წამოგწერდნენ,წამოწერდნენ,
subj
,გწერდე,ვწერდე,,გწერდეთ,ვწერდე,
მწერდე,,წერდე,გვწერდე,,წერდე,
მწერდეს,გწერდეს,წერდეს,გვწერდეს,გწერდეთ,წერდეს,
,გწერდეთ,ვწერდეთ,,გწერდეთ,ვწერდეთ,
მწერდეთ,,წერდეთ,გვწერდეთ,,წერდეთ,
მწერდნენ,გწერდნენ,წერდნენ,გვწერდნენ,გწერდნენ,წერდნენ,
fut_subj
,წამოგწერდე,წამოვწერდე,,წამოგწერდეთ,წამოვწერდე,
წამომწერდე,,წამოწერდე,წამოგვწერდე,,წამოწერდე,
წამომწერდეს,წამოგწერდეს,წამოწერდეს,წამოგვწერდეს,წამოგწერდეთ,წამოწერდეს,
,წამოგწერდეთ,წამოვწერდეთ,,წამოგწერდეთ,წამოვწერდეთ,
წამომწერდეთ,,წამოწერდეთ,წამოგვწერდეთ,,წამოწერდეთ,
წამომწერდნენ,წამოგწერდნენ,წამოწერდნენ,წამოგვწერდნენ,წამოგწერდნენ,წამოწერდნენ,
aor
,გწერე,ვწერე,,გწერეთ,ვწერე,
მწერე,,წერე,გვწერე,,წერე,
მწერა,გწერა,წერა,გვწერა,გწერათ,წერა,
,გწერეთ,ვწერეთ,,გწერეთ,ვწერეთ,
მწერეთ,,წერეთ,გვწერეთ,,წერეთ,
მწერეს,გწერეს,წერეს,გვწერეს,გწერეს,წერეს,
aor_prfv
,წამოგწერე,წამოვწერე,,წამოგწერეთ,წამოვწერე,
წამომწერე,,წამოწერე,წამოგვწერე,,წამოწერე,
წამომწერა,წამოგწერა,წამოწერა,წამოგვწერა,წამოგწერათ,წამოწერა,
,წამოგწერეთ,წამოვწერეთ,,წამოგწერეთ,წამოვწერეთ,
წამომწერეთ,,წამოწერეთ,წამოგვწერეთ,,წამოწერეთ,
წამომწერეს,წამოგწერეს,წამოწერეს,წამოგვწერეს,წამოგწერეს,წამოწერეს,
IIsubj
,გწერო,ვწერო,,გწეროთ,ვწერო,
მწერო,,წერო,გვწერო,,წერო,
მწეროს,გწეროს,წეროს,გვწეროს,გწეროთ,წეროს,
,გწეროთ,ვწეროთ,,გწეროთ,ვწეროთ,
მწეროთ,,წეროთ,გვწეროთ,,წეროთ,
მწერონ,გწერონ,წერონ,გვწერონ,გწერონ,წერონ,
IIsubj_prfv
,წამოგწერო,წამოვწერო,,წამოგწეროთ,წამოვწერო,
წამომწერო,,წამოწერო,წამოგვწერო,,წამოწერო,
წამომწეროს,წამოგწეროს,წამოწეროს,წამოგვწეროს,წამოგწეროთ,წამოწეროს,
,წამოგწეროთ,წამოვწეროთ,,წამოგწეროთ,წამოვწეროთ,
წამომწეროთ,,წამოწეროთ,წამოგვწეროთ,,წამოწეროთ,
წამომწერონ,წამოგწერონ,წამოწერონ,წამოგვწერონ,წამოგწერონ,წამოწერონ,
Iturm
,მიწერიხარ,მიწერია,,მიწერიხართ,მიწერია,
გიწერივარ,,გიწერია,გიწერივართ,,გიწერია,
ვუწერივარ,უწერიხარ,უწერია,ვუწერივართ,უწერიხართ,უწერია,
,გვიწერიხარ,გვიწერია,,გვიწერიხართ,გვიწერია,
გიწერივართ,,გიწერიათ,გიწერივართ,,გიწერიათ,
ვუწერივარ,უწერიხარ,უწერიათ,ვუწერივართ,უწერიხართ,უწერიათ,
Iturm_prfv
,წამომიწერიხარ,წამომიწერია,,წამომიწერიხართ,წამომიწერია,
წამოგიწერივარ,,წამოგიწერია,წამოგიწერივართ,,წამოგიწერია,
წამოვუწერივარ,წამოუწერიხარ,წამოუწერია,წამოვუწერივართ,წამოუწერიხართ,წამოუწერია,
,წამოგვიწერიხარ,წამოგვიწერია,,წამოგვიწერიხართ,წამოგვიწერია,
წამოგიწერივართ,,წამოგიწერიათ,წამოგიწერივართ,,წამოგიწერიათ,
წამოვუწერივარ,წამოუწერიხარ,წამოუწერიათ,წამოვუწერივართ,წამოუწერიხართ,წამოუწერიათ,
IIturm
,მეწერე,მეწერა,,მეწერეთ,მეწერა,
გეწერე,,გეწერა,გეწერეთ,,გეწერა,
