pres
,გჭამ,ვჭამ,,გჭამთ,ვჭამ,
მჭამ,,ჭამ,გვჭამ,,ჭამ,
მჭამს,გჭამს,ჭამს,გვჭამს,გჭამთ,ჭამს,
,გჭამთ,ვჭამთ,,გჭამთ,ვჭამთ,
მჭამთ,,ჭამთ,გვჭამთ,,ჭამთ,
მჭამენ,გჭამენ,ჭამენ,გვჭამენ,გჭამენ,ჭამენ,
fut
,წამოგჭამ,წამოვჭამ,,წამოგჭამთ,წამოვჭამ,
წამომჭამ,,წამოჭამ,წამოგვჭამ,,წამოჭამ,
წამომჭამს,წამოგჭამს,წამოჭამს,წამოგვჭამს,წამოგჭამთ,წამოჭამს,
,წამოგჭამთ,წამოვჭამთ,,წამოგჭამთ,წამოვჭამთ,
წამომჭამთ,,წამოჭამთ,წამოგვჭამთ,,წამოჭამთ,
წამომჭამენ,წამოგჭამენ,წამოჭამენ,წამოგვჭამენ,წამოგჭამენ,წამოჭამენ,
impf
,გჭამდი,ვჭამდი,,გჭამდით,ვჭამდი,
მჭამდი,,ჭამდი,გვჭამდი,,ჭამდი,
მჭამდა,გჭამდა,ჭამდა,გვჭამდა,გჭამდათ,ჭამდა,
,გჭამდით,ვჭამდით,,გჭამდით,ვჭამდით,
მჭამდით,,ჭამდით,გვჭამდით,,ჭამდით,
მჭამდნენ,გჭამდნენ,ჭამდნენ,გვჭამდნენ,გჭამდნენ,ჭამდნენ,
cond
,წამოგჭამდი,წამოვჭამდი,,წამოგჭამდით,წამოვჭამდი,
წამომჭამდი,,წამოჭამდი,წამოგვჭამდი,,წამოჭამდი,
წამომჭამდა,წამოგჭამდა,წამოჭამდა,წამოგვჭამდა,წამოგჭამდათ,წამოჭამდა,
,წამოგჭამდით,წამოვჭამდით,,წამოგჭამდით,წამოვჭამდით,
წამომჭამდით,,წამოჭამდით,წამოგვჭამდით,,წამოჭამდით,
წამომჭამდნენ,წამოგჭამდნენ,წამოჭამდნენ,წამოგვჭამდნენ,წამოგჭამდნენ,წამოჭამდნენ,
subj
,გჭამდე,ვჭამდე,,გჭამდეთ,ვჭამდე,
მჭამდე,,ჭამდე,გვჭამდე,,ჭამდე,
მჭამდეს,გჭამდეს,ჭამდეს,გვჭამდეს,გჭამდეთ,ჭამდეს,
,გჭამდეთ,ვჭამდეთ,,გჭამდეთ,ვჭამდეთ,
მჭამდეთ,,ჭამდეთ,გვჭამდეთ,,ჭამდეთ,
მჭამდნენ,გჭამდნენ,ჭამდნენ,გვჭამდნენ,გჭამდნენ,ჭამდნენ,
fut_subj
,წამოგჭამდე,წამოვჭამდე,,წამოგჭამდეთ,წამოვჭამდე,
წამომჭამდე,,წამოჭამდე,წამოგვჭამდე,,წამოჭამდე,
წამომჭამდეს,წამოგჭამდეს,წამოჭამდეს,წამოგვჭამდეს,წამოგჭამდეთ,წამოჭამდეს,
,წამოგჭამდეთ,წამოვჭამდეთ,,წამოგჭამდეთ,წამოვჭამდეთ,
წამომჭამდეთ,,წამოჭამდეთ,წამოგვჭამდეთ,,წამოჭამდეთ,
წამომჭამდნენ,წამოგჭამდნენ,წამოჭამდნენ,წამოგვჭამდნენ,წამოგჭამდნენ,წამოჭამდნენ,
aor
,გჭამე,ვჭამე,,გჭამეთ,ვჭამე,
მჭამე,,ჭამე,გვჭამე,,ჭამე,
მჭამა,გჭამა,ჭამა,გვჭამა,გჭამათ,ჭამა,
,გჭამეთ,ვჭამეთ,,გჭამეთ,ვჭამეთ,
მჭამეთ,,ჭამეთ,გვჭამეთ,,ჭამეთ,
მჭამეს,გჭამეს,ჭამეს,გვჭამეს,გჭამეს,ჭამეს,
aor_prfv
,წამოგჭამე,წამოვჭამე,,წამოგჭამეთ,წამოვჭამე,
წამომჭამე,,წამოჭამე,წამოგვჭამე,,წამოჭამე,
წამომჭამა,წამოგჭამა,წამოჭამა,წამოგვჭამა,წამოგჭამათ,წამოჭამა,
,წამოგჭამეთ,წამოვჭამეთ,,წამოგჭამეთ,წამოვჭამეთ,
წამომჭამეთ,,წამოჭამეთ,წამოგვჭამეთ,,წამოჭამეთ,
წამომჭამეს,წამოგჭამეს,წამოჭამეს,წამოგვჭამეს,წამოგჭამეს,წამოჭამეს,
IIsubj
,გჭამო,ვჭამო,,გჭამოთ,ვჭამო,
მჭამო,,ჭამო,გვჭამო,,ჭამო,
მჭამოს,გჭამოს,ჭამოს,გვჭამოს,გჭამოთ,ჭამოს,
,გჭამოთ,ვჭამოთ,,გჭამოთ,ვჭამოთ,
მჭამოთ,,ჭამოთ,გვჭამოთ,,ჭამოთ,
მჭამონ,გჭამონ,ჭამონ,გვჭამონ,გჭამონ,ჭამონ,
IIsubj_prfv
,წამოგჭამო,წამოვჭამო,,წამოგჭამოთ,წამოვჭამო,
წამომჭამო,,წამოჭამო,წამოგვჭამო,,წამოჭამო,
წამომჭამოს,წამოგჭამოს,წამოჭამოს,წამოგვჭამოს,წამოგჭამოთ,წამოჭამოს,
,წამოგჭამოთ,წამოვჭამოთ,,წამოგჭამოთ,წამოვჭამოთ,
წამომჭამოთ,,წამოჭამოთ,წამოგვჭამოთ,,წამოჭამოთ,
წამომჭამონ,წამოგჭამონ,წამოჭამონ,წამოგვჭამონ,წამოგჭამონ,წამოჭამონ,
Iturm
,მიჭამიხარ,მიჭამია,,მიჭამიხართ,მიჭამია,
გიჭამივარ,,გიჭამია,გიჭამივართ,,გიჭამია,
ვუჭამივარ,უჭამიხარ,უჭამია,ვუჭამივართ,უჭამიხართ,უჭამია,
,გვიჭამიხარ,გვიჭამია,,გვიჭამიხართ,გვიჭამია,
გიჭამივართ,,გიჭამიათ,გიჭამივართ,,გიჭამიათ,
ვუჭამივარ,უჭამიხარ,უჭამიათ,ვუჭამივართ,უჭამიხართ,უჭამიათ,
Iturm_prfv
,წამომიჭამიხარ,წამომიჭამია,,წამომიჭამიხართ,წამომიჭამია,
წამოგიჭამივარ,,წამოგიჭამია,წამოგიჭამივართ,,წამოგიჭამია,
წამოვუჭამივარ,წამოუჭამიხარ,წამოუჭამია,წამოვუჭამივართ,წამოუჭამიხართ,წამოუჭამია,
,წამოგვიჭამიხარ,წამოგვიჭამია,,წამოგვიჭამიხართ,წამოგვიჭამია,
წამოგიჭამივართ,,წამოგიჭამიათ,წამოგიჭამივართ,,წამოგიჭამიათ,
წამოვუჭამივარ,წამოუჭამიხარ,წამოუჭამიათ,წამოვუჭამივართ,წამოუჭამიხართ,წამოუჭამიათ,
IIturm
,მეჭამე,მეჭამა,,მეჭამეთ,მეჭამა,
გეჭამე,,გეჭამა,გეჭამეთ,,გეჭამა,
ვეჭამე,ეჭამე,ეჭამა,ვეჭამეთ,ეჭამეთ,ეჭამა,
,გვეჭამე,გვეჭამა,,გვეჭამეთ,გვეჭამა,
გეჭამეთ,,გეჭამათ,გეჭამეთ,,გეჭამათ,
ვეჭამე,ეჭამე,ეჭამათ,ვეჭამეთ,ეჭამეთ,ეჭამათ,
IIturm_prfv
,წამომეჭამე,წამომეჭამა,,წამომეჭამეთ,წამომეჭამა,
წამოგეჭამე,,წამოგეჭამა,წამოგეჭამეთ,,წამოგეჭამა,
წამოვეჭამე,წამოეჭამე,წამოეჭამა,წამოვეჭამეთ,წამოეჭამეთ,წამოეჭამა,
,წამოგვეჭამე,წამოგვეჭამა,,წამოგვეჭამეთ,წამოგვეჭამა,
წამოგეჭამეთ,,წამოგეჭამათ,წამოგეჭამეთ,,წამოგეჭამათ,
