fut2
,გაქებ,ვაქებ,,გაქებთ,ვაქებ,
მაქებ,,აქებ,გვაქებ,,აქებ,
მაქებს,გაქებს,აქებს,გვაქებს,გაქებთ,აქებს,
,გაქებთ,ვაქებთ,,გაქებთ,ვაქებთ,
მაქებთ,,აქებთ,გვაქებთ,,აქებთ,
მაქებენ,გაქებენ,აქებენ,გვაქებენ,გაქებენ,აქებენ,
fut2_prfv
,წარგაქებ,წარვაქებ,,წარგაქებთ,წარვაქებ,
წარმაქებ,,წარაქებ,წარგვაქებ,,წარაქებ,
წარმაქებს,წარგაქებს,წარაქებს,წარგვაქებს,წარგაქებთ,წარაქებს,
,წარგაქებთ,წარვაქებთ,,წარგაქებთ,წარვაქებთ,
წარმაქებთ,,წარაქებთ,წარგვაქებთ,,წარაქებთ,
წარმაქებენ,წარგაქებენ,წარაქებენ,წარგვაქებენ,წარგაქებენ,წარაქებენ,
cond2
,გაქებდი,ვაქებდი,,გაქებდით,ვაქებდი,
მაქებდი,,აქებდი,გვაქებდი,,აქებდი,
მაქებდა,გაქებდა,აქებდა,გვაქებდა,გაქებდათ,აქებდა,
,გაქებდით,ვაქებდით,,გაქებდით,ვაქებდით,
მაქებდით,,აქებდით,გვაქებდით,,აქებდით,
მაქებდნენ,გაქებდნენ,აქებდნენ,გვაქებდნენ,გაქებდნენ,აქებდნენ,
cond2_prfv
,წარგაქებდი,წარვაქებდი,,წარგაქებდით,წარვაქებდი,
წარმაქებდი,,წარაქებდი,წარგვაქებდი,,წარაქებდი,
წარმაქებდა,წარგაქებდა,წარაქებდა,წარგვაქებდა,წარგაქებდათ,წარაქებდა,
,წარგაქებდით,წარვაქებდით,,წარგაქებდით,წარვაქებდით,
წარმაქებდით,,წარაქებდით,წარგვაქებდით,,წარაქებდით,
წარმაქებდნენ,წარგაქებდნენ,წარაქებდნენ,წარგვაქებდნენ,წარგაქებდნენ,წარაქებდნენ,
fut2_subj
,გაქებდე,ვაქებდე,,გაქებდეთ,ვაქებდე,
მაქებდე,,აქებდე,გვაქებდე,,აქებდე,
მაქებდეს,გაქებდეს,აქებდეს,გვაქებდეს,გაქებდეთ,აქებდეს,
,გაქებდეთ,ვაქებდეთ,,გაქებდეთ,ვაქებდეთ,
მაქებდეთ,,აქებდეთ,გვაქებდეთ,,აქებდეთ,
მაქებდნენ,გაქებდნენ,აქებდნენ,გვაქებდნენ,გაქებდნენ,აქებდნენ,
fut2_subj_prfv
,წარგაქებდე,წარვაქებდე,,წარგაქებდეთ,წარვაქებდე,
წარმაქებდე,,წარაქებდე,წარგვაქებდე,,წარაქებდე,
წარმაქებდეს,წარგაქებდეს,წარაქებდეს,წარგვაქებდეს,წარგაქებდეთ,წარაქებდეს,
,წარგაქებდეთ,წარვაქებდეთ,,წარგაქებდეთ,წარვაქებდეთ,
წარმაქებდეთ,,წარაქებდეთ,წარგვაქებდეთ,,წარაქებდეთ,
წარმაქებდნენ,წარგაქებდნენ,წარაქებდნენ,წარგვაქებდნენ,წარგაქებდნენ,წარაქებდნენ,
aor2
,გაქე,ვაქე,,გაქეთ,ვაქე,
მაქე,,აქე,გვაქე,,აქე,
მაქო,გაქო,აქო,გვაქო,გაქოთ,აქო,
,გაქეთ,ვაქეთ,,გაქეთ,ვაქეთ,
მაქეთ,,აქეთ,გვაქეთ,,აქეთ,
მაქეს,გაქეს,აქეს,გვაქეს,გაქეს,აქეს,
aor2_prfv
,წარგაქე,წარვაქე,,წარგაქეთ,წარვაქე,
წარმაქე,,წარაქე,წარგვაქე,,წარაქე,
წარმაქო,წარგაქო,წარაქო,წარგვაქო,წარგაქოთ,წარაქო,
,წარგაქეთ,წარვაქეთ,,წარგაქეთ,წარვაქეთ,
წარმაქეთ,,წარაქეთ,წარგვაქეთ,,წარაქეთ,
წარმაქეს,წარგაქეს,წარაქეს,წარგვაქეს,წარგაქეს,წარაქეს,
IIsubj2
,გაქო,ვაქო,,გაქოთ,ვაქო,
მაქო,,აქო,გვაქო,,აქო,
მაქოს,გაქოს,აქოს,გვაქოს,გაქოთ,აქოს,
,გაქოთ,ვაქოთ,,გაქოთ,ვაქოთ,
მაქოთ,,აქოთ,გვაქოთ,,აქოთ,
მაქონ,გაქონ,აქონ,გვაქონ,გაქონ,აქონ,
IIsubj2_prfv
,წარგაქო,წარვაქო,,წარგაქოთ,წარვაქო,
წარმაქო,,წარაქო,წარგვაქო,,წარაქო,
წარმაქოს,წარგაქოს,წარაქოს,წარგვაქოს,წარგაქოთ,წარაქოს,
,წარგაქოთ,წარვაქოთ,,წარგაქოთ,წარვაქოთ,
წარმაქოთ,,წარაქოთ,წარგვაქოთ,,წარაქოთ,
წარმაქონ,წარგაქონ,წარაქონ,წარგვაქონ,წარგაქონ,წარაქონ,
Iturm
,მიქიხარ,მიქია,,მიქიხართ,მიქია,
გიქივარ,,გიქია,გიქივართ,,გიქია,
ვუქივარ,უქიხარ,უქია,ვუქივართ,უქიხართ,უქია,
,გვიქიხარ,გვიქია,,გვიქიხართ,გვიქია,
გიქივართ,,გიქიათ,გიქივართ,,გიქიათ,
ვუქივარ,უქიხარ,უქიათ,ვუქივართ,უქიხართ,უქიათ,
Iturm_prfv
,წარმიქიხარ,წარმიქია,,წარმიქიხართ,წარმიქია,
წარგიქივარ,,წარგიქია,წარგიქივართ,,წარგიქია,
წარვუქივარ,წარუქიხარ,წარუქია,წარვუქივართ,წარუქიხართ,წარუქია,
,წარგვიქიხარ,წარგვიქია,,წარგვიქიხართ,წარგვიქია,
წარგიქივართ,,წარგიქიათ,წარგიქივართ,,წარგიქიათ,
წარვუქივარ,წარუქიხარ,წარუქიათ,წარვუქივართ,წარუქიხართ,წარუქიათ,
IIturm
,მექე,მექო,,მექეთ,მექოთ,
გექე,,გექო,გექეთ,,გექოთ,
ვექე,ექე,ექო,ვექეთ,ექეთ,ექოთ,
,გვექე,გვექო,,გვექეთ,გვექოთ,
გექეთ,,გექოთ,გექეთ,,გექოთ,
ვექე,ექე,ექოთ,ვექეთ,ექეთ,ექოთთ,
IIturm_prfv
,წარმექე,წარმექო,,წარმექეთ,წარმექოთ,
წარგექე,,წარგექო,წარგექეთ,,წარგექოთ,
წარვექე,წარექე,წარექო,წარვექეთ,წარექეთ,წარექოთ,
,წარგვექე,წარგვექო,,წარგვექეთ,წარგვექოთ,
წარგექეთ,,წარგექოთ,წარგექეთ,,წარგექოთ,
წარვექე,წარექე,წარექოთ,წარვექეთ,წარექეთ,წარექოთთ,
IIIsubj
,მექო,მექოს,,მექოთ,მექოს,
გექო,,გექოს,გექოთ,,გექოს,
ვექო,ექო,ექოს,ვექოთ,ექოთ,ექოს,
,გვექო,გვექოს,,გვექოთ,გვექოს,
გექოთ,,გექოთ,გექოთ,,გექოთ,
ვექო,ექო,ექოთ,ვექოთ,ექოთ,ექოთ,
IIIsubj_prfv
,წარმექო,წარმექოს,,წარმექოთ,წარმექოს,
წარგექო,,წარგექოს,წარგექოთ,,წარგექოს,
წარვექო,წარექო,წარექოს,წარვექოთ,წარექოთ,წარექოს,
,წარგვექო,წარგვექოს,,წარგვექოთ,წარგვექოს,
წარგექოთ,,წარგექოთ,წარგექოთ,,წარგექოთ,
წარვექო,წარექო,წარექოთ,წარვექოთ,წარექოთ,წარექოთ,
