fut2
,გეწერები,ვეწერები,,გეწერებით,ვეწერები,
მეწერები,,ეწერები,გვეწერები,,ეწერები,
მეწერება,გეწერება,ეწერება,გვეწერება,გეწერებათ,ეწერება,
,გეწერებით,ვეწერებით,,გეწერებით,ვეწერებით,
მეწერებით,,ეწერებით,გვეწერებით,,ეწერებით,
მეწერებიან,გეწერებიან,ეწერებიან,გვეწერებიან,გეწერებიან,ეწერებიან,
fut2_prfv
,წარგეწერები,წარვეწერები,,წარგეწერებით,წარვეწერები,
წარმეწერები,,წარეწერები,წარგვეწერები,,წარეწერები,
წარმეწერება,წარგეწერება,წარეწერება,წარგვეწერება,წარგეწერებათ,წარეწერება,
,წარგეწერებით,წარვეწერებით,,წარგეწერებით,წარვეწერებით,
წარმეწერებით,,წარეწერებით,წარგვეწერებით,,წარეწერებით,
წარმეწერებიან,წარგეწერებიან,წარეწერებიან,წარგვეწერებიან,წარგეწერებიან,წარეწერებიან,
cond2
,გეწერებოდი,ვეწერებოდი,,გეწერებოდით,ვეწერებოდი,
მეწერებოდი,,ეწერებოდი,გვეწერებოდი,,ეწერებოდი,
მეწერებოდა,გეწერებოდა,ეწერებოდა,გვეწერებოდა,გეწერებოდათ,ეწერებოდა,
,გეწერებოდით,ვეწერებოდით,,გეწერებოდით,ვეწერებოდით,
მეწერებოდით,,ეწერებოდით,გვეწერებოდით,,ეწერებოდით,
მეწერებოდნენ,გეწერებოდნენ,ეწერებოდნენ,გვეწერებოდნენ,გეწერებოდნენ,ეწერებოდნენ,
cond2_prfv
,წარგეწერებოდი,წარვეწერებოდი,,წარგეწერებოდით,წარვეწერებოდი,
წარმეწერებოდი,,წარეწერებოდი,წარგვეწერებოდი,,წარეწერებოდი,
წარმეწერებოდა,წარგეწერებოდა,წარეწერებოდა,წარგვეწერებოდა,წარგეწერებოდათ,წარეწერებოდა,
,წარგეწერებოდით,წარვეწერებოდით,,წარგეწერებოდით,წარვეწერებოდით,
წარმეწერებოდით,,წარეწერებოდით,წარგვეწერებოდით,,წარეწერებოდით,
წარმეწერებოდნენ,წარგეწერებოდნენ,წარეწერებოდნენ,წარგვეწერებოდნენ,წარგეწერებოდნენ,წარეწერებოდნენ,
fut2_subj
,გეწერებოდე,ვეწერებოდე,,გეწერებოდეთ,ვეწერებოდე,
მეწერებოდე,,ეწერებოდე,გვეწერებოდე,,ეწერებოდე,
მეწერებოდეს,გეწერებოდეს,ეწერებოდეს,გვეწერებოდეს,გეწერებოდეთ,ეწერებოდეს,
,გეწერებოდეთ,ვეწერებოდეთ,,გეწერებოდეთ,ვეწერებოდეთ,
მეწერებოდეთ,,ეწერებოდეთ,გვეწერებოდეთ,,ეწერებოდეთ,
მეწერებოდნენ,გეწერებოდნენ,ეწერებოდნენ,გვეწერებოდნენ,გეწერებოდნენ,ეწერებოდნენ,
fut2_subj_prfv
,წარგეწერებოდე,წარვეწერებოდე,,წარგეწერებოდეთ,წარვეწერებოდე,
წარმეწერებოდე,,წარეწერებოდე,წარგვეწერებოდე,,წარეწერებოდე,
წარმეწერებოდეს,წარგეწერებოდეს,წარეწერებოდეს,წარგვეწერებოდეს,წარგეწერებოდეთ,წარეწერებოდეს,
,წარგეწერებოდეთ,წარვეწერებოდეთ,,წარგეწერებოდეთ,წარვეწერებოდეთ,
წარმეწერებოდეთ,,წარეწერებოდეთ,წარგვეწერებოდეთ,,წარეწერებოდეთ,
წარმეწერებოდნენ,წარგეწერებოდნენ,წარეწერებოდნენ,წარგვეწერებოდნენ,წარგეწერებოდნენ,წარეწერებოდნენ,
aor2
,გეწერე,ვეწერე,,გეწერეთ,ვეწერე,
მეწერე,,ეწერე,გვეწერე,,ეწერე,
მეწერა,გეწერა,ეწერა,გვეწერა,გეწერათ,ეწერა,
,გეწერეთ,ვეწერეთ,,გეწერეთ,ვეწერეთ,
მეწერეთ,,ეწერეთ,გვეწერეთ,,ეწერეთ,
