pres
,გზრდი,ვზრდი,,გზრდით,ვზრდი,
მზრდი,,ზრდი,გვზრდი,,ზრდი,
მზრდის,გზრდის,ზრდის,გვზრდის,გზრდით,ზრდის,
,გზრდით,ვზრდით,,გზრდით,ვზრდით,
მზრდით,,ზრდით,გვზრდით,,ზრდით,
მზრდიან,გზრდიან,ზრდიან,გვზრდიან,გზრდიან,ზრდიან,
fut
,წარგზრდი,წარვზრდი,,წარგზრდით,წარვზრდი,
წარმზრდი,,წარზრდი,წარგვზრდი,,წარზრდი,
წარმზრდის,წარგზრდის,წარზრდის,წარგვზრდის,წარგზრდით,წარზრდის,
,წარგზრდით,წარვზრდით,,წარგზრდით,წარვზრდით,
წარმზრდით,,წარზრდით,წარგვზრდით,,წარზრდით,
წარმზრდიან,წარგზრდიან,წარზრდიან,წარგვზრდიან,წარგზრდიან,წარზრდიან,
impf
,გზრდიდი,ვზრდიდი,,გზრდიდით,ვზრდიდი,
მზრდიდი,,ზრდიდი,გვზრდიდი,,ზრდიდი,
მზრდიდა,გზრდიდა,ზრდიდა,გვზრდიდა,გზრდიდათ,ზრდიდა,
,გზრდიდით,ვზრდიდით,,გზრდიდით,ვზრდიდით,
მზრდიდით,,ზრდიდით,გვზრდიდით,,ზრდიდით,
მზრდიდნენ,გზრდიდნენ,ზრდიდნენ,გვზრდიდნენ,გზრდიდნენ,ზრდიდნენ,
cond
,წარგზრდიდი,წარვზრდიდი,,წარგზრდიდით,წარვზრდიდი,
წარმზრდიდი,,წარზრდიდი,წარგვზრდიდი,,წარზრდიდი,
წარმზრდიდა,წარგზრდიდა,წარზრდიდა,წარგვზრდიდა,წარგზრდიდათ,წარზრდიდა,
,წარგზრდიდით,წარვზრდიდით,,წარგზრდიდით,წარვზრდიდით,
წარმზრდიდით,,წარზრდიდით,წარგვზრდიდით,,წარზრდიდით,
წარმზრდიდნენ,წარგზრდიდნენ,წარზრდიდნენ,წარგვზრდიდნენ,წარგზრდიდნენ,წარზრდიდნენ,
subj
,გზრდიდე,ვზრდიდე,,გზრდიდეთ,ვზრდიდე,
მზრდიდე,,ზრდიდე,გვზრდიდე,,ზრდიდე,
მზრდიდეს,გზრდიდეს,ზრდიდეს,გვზრდიდეს,გზრდიდეთ,ზრდიდეს,
,გზრდიდეთ,ვზრდიდეთ,,გზრდიდეთ,ვზრდიდეთ,
მზრდიდეთ,,ზრდიდეთ,გვზრდიდეთ,,ზრდიდეთ,
მზრდიდნენ,გზრდიდნენ,ზრდიდნენ,გვზრდიდნენ,გზრდიდნენ,ზრდიდნენ,
fut_subj
,წარგზრდიდე,წარვზრდიდე,,წარგზრდიდეთ,წარვზრდიდე,
წარმზრდიდე,,წარზრდიდე,წარგვზრდიდე,,წარზრდიდე,
წარმზრდიდეს,წარგზრდიდეს,წარზრდიდეს,წარგვზრდიდეს,წარგზრდიდეთ,წარზრდიდეს,
,წარგზრდიდეთ,წარვზრდიდეთ,,წარგზრდიდეთ,წარვზრდიდეთ,
წარმზრდიდეთ,,წარზრდიდეთ,წარგვზრდიდეთ,,წარზრდიდეთ,
წარმზრდიდნენ,წარგზრდიდნენ,წარზრდიდნენ,წარგვზრდიდნენ,წარგზრდიდნენ,წარზრდიდნენ,
aor
,გზარდე,ვზარდე,,გზარდეთ,ვზარდე,
მზარდე,,ზარდე,გვზარდე,,ზარდე,
მზარდა,გზარდა,ზარდა,გვზარდა,გზარდათ,ზარდა,
,გზარდეთ,ვზარდეთ,,გზარდეთ,ვზარდეთ,
მზარდეთ,,ზარდეთ,გვზარდეთ,,ზარდეთ,
მზარდეს,გზარდეს,ზარდეს,გვზარდეს,გზარდეს,ზარდეს,
aor_prfv
,წარგზარდე,წარვზარდე,,წარგზარდეთ,წარვზარდე,
წარმზარდე,,წარზარდე,წარგვზარდე,,წარზარდე,
წარმზარდა,წარგზარდა,წარზარდა,წარგვზარდა,წარგზარდათ,წარზარდა,
,წარგზარდეთ,წარვზარდეთ,,წარგზარდეთ,წარვზარდეთ,
წარმზარდეთ,,წარზარდეთ,წარგვზარდეთ,,წარზარდეთ,
წარმზარდეს,წარგზარდეს,წარზარდეს,წარგვზარდეს,წარგზარდეს,წარზარდეს,
IIsubj
,გზარდო,ვზარდო,,გზარდოთ,ვზარდო,
მზარდო,,ზარდო,გვზარდო,,ზარდო,
მზარდოს,გზარდოს,ზარდოს,გვზარდოს,გზარდოთ,ზარდოს,
,გზარდოთ,ვზარდოთ,,გზარდოთ,ვზარდოთ,
მზარდოთ,,ზარდოთ,გვზარდოთ,,ზარდოთ,
მზარდონ,გზარდონ,ზარდონ,გვზარდონ,გზარდონ,ზარდონ,
IIsubj_prfv
,წარგზარდო,წარვზარდო,,წარგზარდოთ,წარვზარდო,
წარმზარდო,,წარზარდო,წარგვზარდო,,წარზარდო,
წარმზარდოს,წარგზარდოს,წარზარდოს,წარგვზარდოს,წარგზარდოთ,წარზარდოს,
,წარგზარდოთ,წარვზარდოთ,,წარგზარდოთ,წარვზარდოთ,
წარმზარდოთ,,წარზარდოთ,წარგვზარდოთ,,წარზარდოთ,
წარმზარდონ,წარგზარდონ,წარზარდონ,წარგვზარდონ,წარგზარდონ,წარზარდონ,
Iturm
,მიზრდიხარ,მიზრდია,,მიზრდიხართ,მიზრდია,
გიზრდივარ,,გიზრდია,გიზრდივართ,,გიზრდია,
ვუზრდივარ,უზრდიხარ,უზრდია,ვუზრდივართ,უზრდიხართ,უზრდია,
,გვიზრდიხარ,გვიზრდია,,გვიზრდიხართ,გვიზრდია,
გიზრდივართ,,გიზრდიათ,გიზრდივართ,,გიზრდიათ,
ვუზრდივარ,უზრდიხარ,უზრდიათ,ვუზრდივართ,უზრდიხართ,უზრდიათ,
Iturm_prfv
,წარმიზრდიხარ,წარმიზრდია,,წარმიზრდიხართ,წარმიზრდია,
წარგიზრდივარ,,წარგიზრდია,წარგიზრდივართ,,წარგიზრდია,
წარვუზრდივარ,წარუზრდიხარ,წარუზრდია,წარვუზრდივართ,წარუზრდიხართ,წარუზრდია,
,წარგვიზრდიხარ,წარგვიზრდია,,წარგვიზრდიხართ,წარგვიზრდია,
წარგიზრდივართ,,წარგიზრდიათ,წარგიზრდივართ,,წარგიზრდიათ,
წარვუზრდივარ,წარუზრდიხარ,წარუზრდიათ,წარვუზრდივართ,წარუზრდიხართ,წარუზრდიათ,
IIturm
,მეზარდე,მეზარდა,,მეზარდეთ,მეზარდა,
გეზარდე,,გეზარდა,გეზარდეთ,,გეზარდა,
ვეზარდე,ეზარდე,ეზარდა,ვეზარდეთ,ეზარდეთ,ეზარდა,
,გვეზარდე,გვეზარდა,,გვეზარდეთ,გვეზარდა,
გეზარდეთ,,გეზარდათ,გეზარდეთ,,გეზარდათ,
ვეზარდე,ეზარდე,ეზარდათ,ვეზარდეთ,ეზარდეთ,ეზარდათ,
IIturm_prfv
,წარმეზარდე,წარმეზარდა,,წარმეზარდეთ,წარმეზარდა,
წარგეზარდე,,წარგეზარდა,წარგეზარდეთ,,წარგეზარდა,
წარვეზარდე,წარეზარდე,წარეზარდა,წარვეზარდეთ,წარეზარდეთ,წარეზარდა,
,წარგვეზარდე,წარგვეზარდა,,წარგვეზარდეთ,წარგვეზარდა,
წარგეზარდეთ,,წარგეზარდათ,წარგეზარდეთ,,წარგეზარდათ,
წარვეზარდე,წარეზარდე,წარეზარდათ,წარვეზარდეთ,წარეზარდეთ,წარეზარდათ,
IIIsubj
,მეზარდო,მეზარდოს,,მეზარდოთ,მეზარდოს,
გეზარდო,,გეზარდოს,გეზარდოთ,,გეზარდოს,
ვეზარდო,ეზარდო,ეზარდოს,ვეზარდოთ,ეზარდოთ,ეზარდოს,
,გვეზარდო,გვეზარდოს,,გვეზარდოთ,გვეზარდოს,
გეზარდოთ,,გეზარდოთ,გეზარდოთ,,გეზარდოთ,
ვეზარდო,ეზარდო,ეზარდოთ,ვეზარდოთ,ეზარდოთ,ეზარდოთ,
IIIsubj_prfv
,წარმეზარდო,წარმეზარდოს,,წარმეზარდოთ,წარმეზარდოს,
წარგეზარდო,,წარგეზარდოს,წარგეზარდოთ,,წარგეზარდოს,
წარვეზარდო,წარეზარდო,წარეზარდოს,წარვეზარდოთ,წარეზარდოთ,წარეზარდოს,
,წარგვეზარდო,წარგვეზარდოს,,წარგვეზარდოთ,წარგვეზარდოს,
წარგეზარდოთ,,წარგეზარდოთ,წარგეზარდოთ,,წარგეზარდოთ,
წარვეზარდო,წარეზარდო,წარეზარდოთ,წარვეზარდოთ,წარეზარდოთ,წარეზარდოთ,
