pres
,გკეცავ,ვკეცავ,,გკეცავთ,ვკეცავ,
მკეცავ,,კეცავ,გვკეცავ,,კეცავ,
მკეცავს,გკეცავს,კეცავს,გვკეცავს,გკეცავთ,კეცავს,
,გკეცავთ,ვკეცავთ,,გკეცავთ,ვკეცავთ,
მკეცავთ,,კეცავთ,გვკეცავთ,,კეცავთ,
მკეცავენ,გკეცავენ,კეცავენ,გვკეცავენ,გკეცავენ,კეცავენ,
fut
,წარგკეცავ,წარვკეცავ,,წარგკეცავთ,წარვკეცავ,
წარმკეცავ,,წარკეცავ,წარგვკეცავ,,წარკეცავ,
წარმკეცავს,წარგკეცავს,წარკეცავს,წარგვკეცავს,წარგკეცავთ,წარკეცავს,
,წარგკეცავთ,წარვკეცავთ,,წარგკეცავთ,წარვკეცავთ,
წარმკეცავთ,,წარკეცავთ,წარგვკეცავთ,,წარკეცავთ,
წარმკეცავენ,წარგკეცავენ,წარკეცავენ,წარგვკეცავენ,წარგკეცავენ,წარკეცავენ,
impf
,გკეცავდი,ვკეცავდი,,გკეცავდით,ვკეცავდი,
მკეცავდი,,კეცავდი,გვკეცავდი,,კეცავდი,
მკეცავდა,გკეცავდა,კეცავდა,გვკეცავდა,გკეცავდათ,კეცავდა,
,გკეცავდით,ვკეცავდით,,გკეცავდით,ვკეცავდით,
მკეცავდით,,კეცავდით,გვკეცავდით,,კეცავდით,
მკეცავდნენ,გკეცავდნენ,კეცავდნენ,გვკეცავდნენ,გკეცავდნენ,კეცავდნენ,
cond
,წარგკეცავდი,წარვკეცავდი,,წარგკეცავდით,წარვკეცავდი,
წარმკეცავდი,,წარკეცავდი,წარგვკეცავდი,,წარკეცავდი,
წარმკეცავდა,წარგკეცავდა,წარკეცავდა,წარგვკეცავდა,წარგკეცავდათ,წარკეცავდა,
,წარგკეცავდით,წარვკეცავდით,,წარგკეცავდით,წარვკეცავდით,
წარმკეცავდით,,წარკეცავდით,წარგვკეცავდით,,წარკეცავდით,
წარმკეცავდნენ,წარგკეცავდნენ,წარკეცავდნენ,წარგვკეცავდნენ,წარგკეცავდნენ,წარკეცავდნენ,
subj
,გკეცავდე,ვკეცავდე,,გკეცავდეთ,ვკეცავდე,
მკეცავდე,,კეცავდე,გვკეცავდე,,კეცავდე,
მკეცავდეს,გკეცავდეს,კეცავდეს,გვკეცავდეს,გკეცავდეთ,კეცავდეს,
,გკეცავდეთ,ვკეცავდეთ,,გკეცავდეთ,ვკეცავდეთ,
მკეცავდეთ,,კეცავდეთ,გვკეცავდეთ,,კეცავდეთ,
მკეცავდნენ,გკეცავდნენ,კეცავდნენ,გვკეცავდნენ,გკეცავდნენ,კეცავდნენ,
fut_subj
,წარგკეცავდე,წარვკეცავდე,,წარგკეცავდეთ,წარვკეცავდე,
წარმკეცავდე,,წარკეცავდე,წარგვკეცავდე,,წარკეცავდე,
წარმკეცავდეს,წარგკეცავდეს,წარკეცავდეს,წარგვკეცავდეს,წარგკეცავდეთ,წარკეცავდეს,
,წარგკეცავდეთ,წარვკეცავდეთ,,წარგკეცავდეთ,წარვკეცავდეთ,
წარმკეცავდეთ,,წარკეცავდეთ,წარგვკეცავდეთ,,წარკეცავდეთ,
წარმკეცავდნენ,წარგკეცავდნენ,წარკეცავდნენ,წარგვკეცავდნენ,წარგკეცავდნენ,წარკეცავდნენ,
aor
,გკეცე,ვკეცე,,გკეცეთ,ვკეცე,
მკეცე,,კეცე,გვკეცე,,კეცე,
მკეცა,გკეცა,კეცა,გვკეცა,გკეცათ,კეცა,
,გკეცეთ,ვკეცეთ,,გკეცეთ,ვკეცეთ,
მკეცეთ,,კეცეთ,გვკეცეთ,,კეცეთ,
მკეცეს,გკეცეს,კეცეს,გვკეცეს,გკეცეს,კეცეს,
aor_prfv
,წარგკეცე,წარვკეცე,,წარგკეცეთ,წარვკეცე,
წარმკეცე,,წარკეცე,წარგვკეცე,,წარკეცე,
წარმკეცა,წარგკეცა,წარკეცა,წარგვკეცა,წარგკეცათ,წარკეცა,
,წარგკეცეთ,წარვკეცეთ,,წარგკეცეთ,წარვკეცეთ,
წარმკეცეთ,,წარკეცეთ,წარგვკეცეთ,,წარკეცეთ,
წარმკეცეს,წარგკეცეს,წარკეცეს,წარგვკეცეს,წარგკეცეს,წარკეცეს,
IIsubj
,გკეცო,ვკეცო,,გკეცოთ,ვკეცო,
მკეცო,,კეცო,გვკეცო,,კეცო,
მკეცოს,გკეცოს,კეცოს,გვკეცოს,გკეცოთ,კეცოს,
,გკეცოთ,ვკეცოთ,,გკეცოთ,ვკეცოთ,
მკეცოთ,,კეცოთ,გვკეცოთ,,კეცოთ,
მკეცონ,გკეცონ,კეცონ,გვკეცონ,გკეცონ,კეცონ,
IIsubj_prfv
