pres
,გცრი,ვცრი,,გცრით,ვცრი,
მცრი,,ცრი,გვცრი,,ცრი,
მცრის,გცრის,ცრის,გვცრის,გცრით,ცრის,
,გცრით,ვცრით,,გცრით,ვცრით,
მცრით,,ცრით,გვცრით,,ცრით,
მცრიან,გცრიან,ცრიან,გვცრიან,გცრიან,ცრიან,
fut
,წარგცრი,წარვცრი,,წარგცრით,წარვცრი,
წარმცრი,,წარცრი,წარგვცრი,,წარცრი,
წარმცრის,წარგცრის,წარცრის,წარგვცრის,წარგცრით,წარცრის,
,წარგცრით,წარვცრით,,წარგცრით,წარვცრით,
წარმცრით,,წარცრით,წარგვცრით,,წარცრით,
წარმცრიან,წარგცრიან,წარცრიან,წარგვცრიან,წარგცრიან,წარცრიან,
impf
,გცრიდი,ვცრიდი,,გცრიდით,ვცრიდი,
მცრიდი,,ცრიდი,გვცრიდი,,ცრიდი,
მცრიდა,გცრიდა,ცრიდა,გვცრიდა,გცრიდათ,ცრიდა,
,გცრიდით,ვცრიდით,,გცრიდით,ვცრიდით,
მცრიდით,,ცრიდით,გვცრიდით,,ცრიდით,
მცრიდნენ,გცრიდნენ,ცრიდნენ,გვცრიდნენ,გცრიდნენ,ცრიდნენ,
cond
,წარგცრიდი,წარვცრიდი,,წარგცრიდით,წარვცრიდი,
წარმცრიდი,,წარცრიდი,წარგვცრიდი,,წარცრიდი,
წარმცრიდა,წარგცრიდა,წარცრიდა,წარგვცრიდა,წარგცრიდათ,წარცრიდა,
,წარგცრიდით,წარვცრიდით,,წარგცრიდით,წარვცრიდით,
წარმცრიდით,,წარცრიდით,წარგვცრიდით,,წარცრიდით,
წარმცრიდნენ,წარგცრიდნენ,წარცრიდნენ,წარგვცრიდნენ,წარგცრიდნენ,წარცრიდნენ,
subj
,გცრიდე,ვცრიდე,,გცრიდეთ,ვცრიდე,
მცრიდე,,ცრიდე,გვცრიდე,,ცრიდე,
მცრიდეს,გცრიდეს,ცრიდეს,გვცრიდეს,გცრიდეთ,ცრიდეს,
,გცრიდეთ,ვცრიდეთ,,გცრიდეთ,ვცრიდეთ,
მცრიდეთ,,ცრიდეთ,გვცრიდეთ,,ცრიდეთ,
მცრიდნენ,გცრიდნენ,ცრიდნენ,გვცრიდნენ,გცრიდნენ,ცრიდნენ,
fut_subj
,წარგცრიდე,წარვცრიდე,,წარგცრიდეთ,წარვცრიდე,
წარმცრიდე,,წარცრიდე,წარგვცრიდე,,წარცრიდე,
წარმცრიდეს,წარგცრიდეს,წარცრიდეს,წარგვცრიდეს,წარგცრიდეთ,წარცრიდეს,
,წარგცრიდეთ,წარვცრიდეთ,,წარგცრიდეთ,წარვცრიდეთ,
წარმცრიდეთ,,წარცრიდეთ,წარგვცრიდეთ,,წარცრიდეთ,
წარმცრიდნენ,წარგცრიდნენ,წარცრიდნენ,წარგვცრიდნენ,წარგცრიდნენ,წარცრიდნენ,
aor
,გცერი,ვცერი,,გცერით,ვცერი,
მცერი,,ცერი,გვცერი,,ცერი,
მცრა,გცრა,ცრა,გვცრა,გცრათ,ცრა,
,გცერით,ვცერით,,გცერით,ვცერით,
მცერით,,ცერით,გვცერით,,ცერით,
მცრეს,გცრეს,ცრეს,გვცრეს,გცრეს,ცრეს,
aor_prfv
,წარგცერი,წარვცერი,,წარგცერით,წარვცერი,
წარმცერი,,წარცერი,წარგვცერი,,წარცერი,
წარმცრა,წარგცრა,წარცრა,წარგვცრა,წარგცრათ,წარცრა,
,წარგცერით,წარვცერით,,წარგცერით,წარვცერით,
წარმცერით,,წარცერით,წარგვცერით,,წარცერით,
წარმცრეს,წარგცრეს,წარცრეს,წარგვცრეს,წარგცრეს,წარცრეს,
IIsubj
,გცრა,ვცრა,,გცრათ,ვცრა,
მცრა,,ცრა,გვცრა,,ცრა,
მცრას,გცრას,ცრას,გვცრას,გცრათ,ცრას,
,გცრათ,ვცრათ,,გცრათ,ვცრათ,
მცრათ,,ცრათ,გვცრათ,,ცრათ,
მცრან,გცრან,ცრან,გვცრან,გცრან,ცრან,
IIsubj_prfv
,წარგცრა,წარვცრა,,წარგცრათ,წარვცრა,
წარმცრა,,წარცრა,წარგვცრა,,წარცრა,
წარმცრას,წარგცრას,წარცრას,წარგვცრას,წარგცრათ,წარცრას,
,წარგცრათ,წარვცრათ,,წარგცრათ,წარვცრათ,
წარმცრათ,,წარცრათ,წარგვცრათ,,წარცრათ,
წარმცრან,წარგცრან,წარცრან,წარგვცრან,წარგცრან,წარცრან,
Iturm
,მიცრიხარ,მიცრია,,მიცრიხართ,მიცრია,
გიცრივარ,,გიცრია,გიცრივართ,,გიცრია,
ვუცრივარ,უცრიხარ,უცრია,ვუცრივართ,უცრიხართ,უცრია,
,გვიცრიხარ,გვიცრია,,გვიცრიხართ,გვიცრია,
გიცრივართ,,გიცრიათ,გიცრივართ,,გიცრიათ,
ვუცრივარ,უცრიხარ,უცრიათ,ვუცრივართ,უცრიხართ,უცრიათ,
Iturm_prfv
,წარმიცრიხარ,წარმიცრია,,წარმიცრიხართ,წარმიცრია,
წარგიცრივარ,,წარგიცრია,წარგიცრივართ,,წარგიცრია,
წარვუცრივარ,წარუცრიხარ,წარუცრია,წარვუცრივართ,წარუცრიხართ,წარუცრია,
,წარგვიცრიხარ,წარგვიცრია,,წარგვიცრიხართ,წარგვიცრია,
წარგიცრივართ,,წარგიცრიათ,წარგიცრივართ,,წარგიცრიათ,
წარვუცრივარ,წარუცრიხარ,წარუცრიათ,წარვუცრივართ,წარუცრიხართ,წარუცრიათ,
IIturm
,მეცერი,მეცრა,,მეცერით,მეცრა,
გეცერი,,გეცრა,გეცერით,,გეცრა,
ვეცერი,ეცერი,ეცრა,ვეცერით,ეცერით,ეცრა,
,გვეცერი,გვეცრა,,გვეცერით,გვეცრა,
გეცერით,,გეცრათ,გეცერით,,გეცრათ,
ვეცერი,ეცერი,ეცრათ,ვეცერით,ეცერით,ეცრათ,
IIturm_prfv
,წარმეცერი,წარმეცრა,,წარმეცერით,წარმეცრა,
წარგეცერი,,წარგეცრა,წარგეცერით,,წარგეცრა,
წარვეცერი,წარეცერი,წარეცრა,წარვეცერით,წარეცერით,წარეცრა,
,წარგვეცერი,წარგვეცრა,,წარგვეცერით,წარგვეცრა,
წარგეცერით,,წარგეცრათ,წარგეცერით,,წარგეცრათ,
წარვეცერი,წარეცერი,წარეცრათ,წარვეცერით,წარეცერით,წარეცრათ,
IIIsubj
,მეცრა,მეცრას,,მეცრათ,მეცრას,
გეცრა,,გეცრას,გეცრათ,,გეცრას,
ვეცრა,ეცრა,ეცრას,ვეცრათ,ეცრათ,ეცრას,
,გვეცრა,გვეცრას,,გვეცრათ,გვეცრას,
გეცრათ,,გეცრათ,გეცრათ,,გეცრათ,
ვეცრა,ეცრა,ეცრათ,ვეცრათ,ეცრათ,ეცრათ,
IIIsubj_prfv
,წარმეცრა,წარმეცრას,,წარმეცრათ,წარმეცრას,
წარგეცრა,,წარგეცრას,წარგეცრათ,,წარგეცრას,
წარვეცრა,წარეცრა,წარეცრას,წარვეცრათ,წარეცრათ,წარეცრას,
,წარგვეცრა,წარგვეცრას,,წარგვეცრათ,წარგვეცრას,
წარგეცრათ,,წარგეცრათ,წარგეცრათ,,წარგეცრათ,
წარვეცრა,წარეცრა,წარეცრათ,წარვეცრათ,წარეცრათ,წარეცრათ,
