pres
,გჭამ,ვჭამ,,გჭამთ,ვჭამ,
მჭამ,,ჭამ,გვჭამ,,ჭამ,
მჭამს,გჭამს,ჭამს,გვჭამს,გჭამთ,ჭამს,
,გჭამთ,ვჭამთ,,გჭამთ,ვჭამთ,
მჭამთ,,ჭამთ,გვჭამთ,,ჭამთ,
მჭამენ,გჭამენ,ჭამენ,გვჭამენ,გჭამენ,ჭამენ,
fut
,წარგჭამ,წარვჭამ,,წარგჭამთ,წარვჭამ,
წარმჭამ,,წარჭამ,წარგვჭამ,,წარჭამ,
წარმჭამს,წარგჭამს,წარჭამს,წარგვჭამს,წარგჭამთ,წარჭამს,
,წარგჭამთ,წარვჭამთ,,წარგჭამთ,წარვჭამთ,
წარმჭამთ,,წარჭამთ,წარგვჭამთ,,წარჭამთ,
წარმჭამენ,წარგჭამენ,წარჭამენ,წარგვჭამენ,წარგჭამენ,წარჭამენ,
impf
,გჭამდი,ვჭამდი,,გჭამდით,ვჭამდი,
მჭამდი,,ჭამდი,გვჭამდი,,ჭამდი,
მჭამდა,გჭამდა,ჭამდა,გვჭამდა,გჭამდათ,ჭამდა,
,გჭამდით,ვჭამდით,,გჭამდით,ვჭამდით,
მჭამდით,,ჭამდით,გვჭამდით,,ჭამდით,
მჭამდნენ,გჭამდნენ,ჭამდნენ,გვჭამდნენ,გჭამდნენ,ჭამდნენ,
cond
,წარგჭამდი,წარვჭამდი,,წარგჭამდით,წარვჭამდი,
წარმჭამდი,,წარჭამდი,წარგვჭამდი,,წარჭამდი,
წარმჭამდა,წარგჭამდა,წარჭამდა,წარგვჭამდა,წარგჭამდათ,წარჭამდა,
,წარგჭამდით,წარვჭამდით,,წარგჭამდით,წარვჭამდით,
წარმჭამდით,,წარჭამდით,წარგვჭამდით,,წარჭამდით,
წარმჭამდნენ,წარგჭამდნენ,წარჭამდნენ,წარგვჭამდნენ,წარგჭამდნენ,წარჭამდნენ,
subj
,გჭამდე,ვჭამდე,,გჭამდეთ,ვჭამდე,
მჭამდე,,ჭამდე,გვჭამდე,,ჭამდე,
მჭამდეს,გჭამდეს,ჭამდეს,გვჭამდეს,გჭამდეთ,ჭამდეს,
,გჭამდეთ,ვჭამდეთ,,გჭამდეთ,ვჭამდეთ,
მჭამდეთ,,ჭამდეთ,გვჭამდეთ,,ჭამდეთ,
მჭამდნენ,გჭამდნენ,ჭამდნენ,გვჭამდნენ,გჭამდნენ,ჭამდნენ,
fut_subj
,წარგჭამდე,წარვჭამდე,,წარგჭამდეთ,წარვჭამდე,
წარმჭამდე,,წარჭამდე,წარგვჭამდე,,წარჭამდე,
წარმჭამდეს,წარგჭამდეს,წარჭამდეს,წარგვჭამდეს,წარგჭამდეთ,წარჭამდეს,
,წარგჭამდეთ,წარვჭამდეთ,,წარგჭამდეთ,წარვჭამდეთ,
წარმჭამდეთ,,წარჭამდეთ,წარგვჭამდეთ,,წარჭამდეთ,
წარმჭამდნენ,წარგჭამდნენ,წარჭამდნენ,წარგვჭამდნენ,წარგჭამდნენ,წარჭამდნენ,
aor
,გჭამე,ვჭამე,,გჭამეთ,ვჭამე,
მჭამე,,ჭამე,გვჭამე,,ჭამე,
მჭამა,გჭამა,ჭამა,გვჭამა,გჭამათ,ჭამა,
,გჭამეთ,ვჭამეთ,,გჭამეთ,ვჭამეთ,
მჭამეთ,,ჭამეთ,გვჭამეთ,,ჭამეთ,
მჭამეს,გჭამეს,ჭამეს,გვჭამეს,გჭამეს,ჭამეს,
aor_prfv
,წარგჭამე,წარვჭამე,,წარგჭამეთ,წარვჭამე,
წარმჭამე,,წარჭამე,წარგვჭამე,,წარჭამე,
წარმჭამა,წარგჭამა,წარჭამა,წარგვჭამა,წარგჭამათ,წარჭამა,
,წარგჭამეთ,წარვჭამეთ,,წარგჭამეთ,წარვჭამეთ,
წარმჭამეთ,,წარჭამეთ,წარგვჭამეთ,,წარჭამეთ,
წარმჭამეს,წარგჭამეს,წარჭამეს,წარგვჭამეს,წარგჭამეს,წარჭამეს,
IIsubj
,გჭამო,ვჭამო,,გჭამოთ,ვჭამო,
მჭამო,,ჭამო,გვჭამო,,ჭამო,
მჭამოს,გჭამოს,ჭამოს,გვჭამოს,გჭამოთ,ჭამოს,
,გჭამოთ,ვჭამოთ,,გჭამოთ,ვჭამოთ,
მჭამოთ,,ჭამოთ,გვჭამოთ,,ჭამოთ,
მჭამონ,გჭამონ,ჭამონ,გვჭამონ,გჭამონ,ჭამონ,
IIsubj_prfv
,წარგჭამო,წარვჭამო,,წარგჭამოთ,წარვჭამო,
წარმჭამო,,წარჭამო,წარგვჭამო,,წარჭამო,
წარმჭამოს,წარგჭამოს,წარჭამოს,წარგვჭამოს,წარგჭამოთ,წარჭამოს,
,წარგჭამოთ,წარვჭამოთ,,წარგჭამოთ,წარვჭამოთ,
წარმჭამოთ,,წარჭამოთ,წარგვჭამოთ,,წარჭამოთ,
წარმჭამონ,წარგჭამონ,წარჭამონ,წარგვჭამონ,წარგჭამონ,წარჭამონ,
Iturm
,მიჭამიხარ,მიჭამია,,მიჭამიხართ,მიჭამია,
გიჭამივარ,,გიჭამია,გიჭამივართ,,გიჭამია,
ვუჭამივარ,უჭამიხარ,უჭამია,ვუჭამივართ,უჭამიხართ,უჭამია,
,გვიჭამიხარ,გვიჭამია,,გვიჭამიხართ,გვიჭამია,
გიჭამივართ,,გიჭამიათ,გიჭამივართ,,გიჭამიათ,
ვუჭამივარ,უჭამიხარ,უჭამიათ,ვუჭამივართ,უჭამიხართ,უჭამიათ,
Iturm_prfv
,წარმიჭამიხარ,წარმიჭამია,,წარმიჭამიხართ,წარმიჭამია,
წარგიჭამივარ,,წარგიჭამია,წარგიჭამივართ,,წარგიჭამია,
წარვუჭამივარ,წარუჭამიხარ,წარუჭამია,წარვუჭამივართ,წარუჭამიხართ,წარუჭამია,
,წარგვიჭამიხარ,წარგვიჭამია,,წარგვიჭამიხართ,წარგვიჭამია,
წარგიჭამივართ,,წარგიჭამიათ,წარგიჭამივართ,,წარგიჭამიათ,
წარვუჭამივარ,წარუჭამიხარ,წარუჭამიათ,წარვუჭამივართ,წარუჭამიხართ,წარუჭამიათ,
IIturm
,მეჭამე,მეჭამა,,მეჭამეთ,მეჭამა,
გეჭამე,,გეჭამა,გეჭამეთ,,გეჭამა,
ვეჭამე,ეჭამე,ეჭამა,ვეჭამეთ,ეჭამეთ,ეჭამა,
,გვეჭამე,გვეჭამა,,გვეჭამეთ,გვეჭამა,
გეჭამეთ,,გეჭამათ,გეჭამეთ,,გეჭამათ,
ვეჭამე,ეჭამე,ეჭამათ,ვეჭამეთ,ეჭამეთ,ეჭამათ,
IIturm_prfv
,წარმეჭამე,წარმეჭამა,,წარმეჭამეთ,წარმეჭამა,
წარგეჭამე,,წარგეჭამა,წარგეჭამეთ,,წარგეჭამა,
წარვეჭამე,წარეჭამე,წარეჭამა,წარვეჭამეთ,წარეჭამეთ,წარეჭამა,
,წარგვეჭამე,წარგვეჭამა,,წარგვეჭამეთ,წარგვეჭამა,
წარგეჭამეთ,,წარგეჭამათ,წარგეჭამეთ,,წარგეჭამათ,
წარვეჭამე,წარეჭამე,წარეჭამათ,წარვეჭამეთ,წარეჭამეთ,წარეჭამათ,
IIIsubj
,მეჭამო,მეჭამოს,,მეჭამოთ,მეჭამოს,
გეჭამო,,გეჭამოს,გეჭამოთ,,გეჭამოს,
ვეჭამო,ეჭამო,ეჭამოს,ვეჭამოთ,ეჭამოთ,ეჭამოს,
