fut2
,გაგზავნი,ვაგზავნი,,გაგზავნით,ვაგზავნი,
მაგზავნი,,აგზავნი,გვაგზავნი,,აგზავნი,
მაგზავნის,გაგზავნის,აგზავნის,გვაგზავნის,გაგზავნით,აგზავნის,
,გაგზავნით,ვაგზავნით,,გაგზავნით,ვაგზავნით,
მაგზავნით,,აგზავნით,გვაგზავნით,,აგზავნით,
მაგზავნიან,გაგზავნიან,აგზავნიან,გვაგზავნიან,გაგზავნიან,აგზავნიან,
fut2_prfv
,წარმოგაგზავნი,წარმოვაგზავნი,,წარმოგაგზავნით,წარმოვაგზავნი,
წარმომაგზავნი,,წარმოაგზავნი,წარმოგვაგზავნი,,წარმოაგზავნი,
წარმომაგზავნის,წარმოგაგზავნის,წარმოაგზავნის,წარმოგვაგზავნის,წარმოგაგზავნით,წარმოაგზავნის,
,წარმოგაგზავნით,წარმოვაგზავნით,,წარმოგაგზავნით,წარმოვაგზავნით,
წარმომაგზავნით,,წარმოაგზავნით,წარმოგვაგზავნით,,წარმოაგზავნით,
წარმომაგზავნიან,წარმოგაგზავნიან,წარმოაგზავნიან,წარმოგვაგზავნიან,წარმოგაგზავნიან,წარმოაგზავნიან,
cond2
,გაგზავნიდი,ვაგზავნიდი,,გაგზავნიდით,ვაგზავნიდი,
მაგზავნიდი,,აგზავნიდი,გვაგზავნიდი,,აგზავნიდი,
მაგზავნიდა,გაგზავნიდა,აგზავნიდა,გვაგზავნიდა,გაგზავნიდათ,აგზავნიდა,
,გაგზავნიდით,ვაგზავნიდით,,გაგზავნიდით,ვაგზავნიდით,
მაგზავნიდით,,აგზავნიდით,გვაგზავნიდით,,აგზავნიდით,
მაგზავნიდნენ,გაგზავნიდნენ,აგზავნიდნენ,გვაგზავნიდნენ,გაგზავნიდნენ,აგზავნიდნენ,
cond2_prfv
,წარმოგაგზავნიდი,წარმოვაგზავნიდი,,წარმოგაგზავნიდით,წარმოვაგზავნიდი,
წარმომაგზავნიდი,,წარმოაგზავნიდი,წარმოგვაგზავნიდი,,წარმოაგზავნიდი,
წარმომაგზავნიდა,წარმოგაგზავნიდა,წარმოაგზავნიდა,წარმოგვაგზავნიდა,წარმოგაგზავნიდათ,წარმოაგზავნიდა,
,წარმოგაგზავნიდით,წარმოვაგზავნიდით,,წარმოგაგზავნიდით,წარმოვაგზავნიდით,
წარმომაგზავნიდით,,წარმოაგზავნიდით,წარმოგვაგზავნიდით,,წარმოაგზავნიდით,
წარმომაგზავნიდნენ,წარმოგაგზავნიდნენ,წარმოაგზავნიდნენ,წარმოგვაგზავნიდნენ,წარმოგაგზავნიდნენ,წარმოაგზავნიდნენ,
fut2_subj
,გაგზავნიდე,ვაგზავნიდე,,გაგზავნიდეთ,ვაგზავნიდე,
მაგზავნიდე,,აგზავნიდე,გვაგზავნიდე,,აგზავნიდე,
მაგზავნიდეს,გაგზავნიდეს,აგზავნიდეს,გვაგზავნიდეს,გაგზავნიდეთ,აგზავნიდეს,
,გაგზავნიდეთ,ვაგზავნიდეთ,,გაგზავნიდეთ,ვაგზავნიდეთ,
მაგზავნიდეთ,,აგზავნიდეთ,გვაგზავნიდეთ,,აგზავნიდეთ,
მაგზავნიდნენ,გაგზავნიდნენ,აგზავნიდნენ,გვაგზავნიდნენ,გაგზავნიდნენ,აგზავნიდნენ,
fut2_subj_prfv
,წარმოგაგზავნიდე,წარმოვაგზავნიდე,,წარმოგაგზავნიდეთ,წარმოვაგზავნიდე,
წარმომაგზავნიდე,,წარმოაგზავნიდე,წარმოგვაგზავნიდე,,წარმოაგზავნიდე,
წარმომაგზავნიდეს,წარმოგაგზავნიდეს,წარმოაგზავნიდეს,წარმოგვაგზავნიდეს,წარმოგაგზავნიდეთ,წარმოაგზავნიდეს,
,წარმოგაგზავნიდეთ,წარმოვაგზავნიდეთ,,წარმოგაგზავნიდეთ,წარმოვაგზავნიდეთ,
წარმომაგზავნიდეთ,,წარმოაგზავნიდეთ,წარმოგვაგზავნიდეთ,,წარმოაგზავნიდეთ,
წარმომაგზავნიდნენ,წარმოგაგზავნიდნენ,წარმოაგზავნიდნენ,წარმოგვაგზავნიდნენ,წარმოგაგზავნიდნენ,წარმოაგზავნიდნენ,
aor2
,გაგზავნე,ვაგზავნე,,გაგზავნეთ,ვაგზავნე,
მაგზავნე,,აგზავნე,გვაგზავნე,,აგზავნე,
მაგზავნა,გაგზავნა,აგზავნა,გვაგზავნა,გაგზავნათ,აგზავნა,
,გაგზავნეთ,ვაგზავნეთ,,გაგზავნეთ,ვაგზავნეთ,
მაგზავნეთ,,აგზავნეთ,გვაგზავნეთ,,აგზავნეთ,
მაგზავნეს,გაგზავნეს,აგზავნეს,გვაგზავნეს,გაგზავნეს,აგზავნეს,
aor2_prfv
,წარმოგაგზავნე,წარმოვაგზავნე,,წარმოგაგზავნეთ,წარმოვაგზავნე,
წარმომაგზავნე,,წარმოაგზავნე,წარმოგვაგზავნე,,წარმოაგზავნე,
წარმომაგზავნა,წარმოგაგზავნა,წარმოაგზავნა,წარმოგვაგზავნა,წარმოგაგზავნათ,წარმოაგზავნა,
,წარმოგაგზავნეთ,წარმოვაგზავნეთ,,წარმოგაგზავნეთ,წარმოვაგზავნეთ,
წარმომაგზავნეთ,,წარმოაგზავნეთ,წარმოგვაგზავნეთ,,წარმოაგზავნეთ,
წარმომაგზავნეს,წარმოგაგზავნეს,წარმოაგზავნეს,წარმოგვაგზავნეს,წარმოგაგზავნეს,წარმოაგზავნეს,
IIsubj2
,გაგზავნო,ვაგზავნო,,გაგზავნოთ,ვაგზავნო,
მაგზავნო,,აგზავნო,გვაგზავნო,,აგზავნო,
მაგზავნოს,გაგზავნოს,აგზავნოს,გვაგზავნოს,გაგზავნოთ,აგზავნოს,
,გაგზავნოთ,ვაგზავნოთ,,გაგზავნოთ,ვაგზავნოთ,
მაგზავნოთ,,აგზავნოთ,გვაგზავნოთ,,აგზავნოთ,
მაგზავნონ,გაგზავნონ,აგზავნონ,გვაგზავნონ,გაგზავნონ,აგზავნონ,
IIsubj2_prfv
,წარმოგაგზავნო,წარმოვაგზავნო,,წარმოგაგზავნოთ,წარმოვაგზავნო,
წარმომაგზავნო,,წარმოაგზავნო,წარმოგვაგზავნო,,წარმოაგზავნო,
წარმომაგზავნოს,წარმოგაგზავნოს,წარმოაგზავნოს,წარმოგვაგზავნოს,წარმოგაგზავნოთ,წარმოაგზავნოს,
,წარმოგაგზავნოთ,წარმოვაგზავნოთ,,წარმოგაგზავნოთ,წარმოვაგზავნოთ,
წარმომაგზავნოთ,,წარმოაგზავნოთ,წარმოგვაგზავნოთ,,წარმოაგზავნოთ,
წარმომაგზავნონ,წარმოგაგზავნონ,წარმოაგზავნონ,წარმოგვაგზავნონ,წარმოგაგზავნონ,წარმოაგზავნონ,
Iturm
,მიგზავნიხარ,მიგზავნია,,მიგზავნიხართ,მიგზავნია,
გიგზავნივარ,,გიგზავნია,გიგზავნივართ,,გიგზავნია,
ვუგზავნივარ,უგზავნიხარ,უგზავნია,ვუგზავნივართ,უგზავნიხართ,უგზავნია,
,გვიგზავნიხარ,გვიგზავნია,,გვიგზავნიხართ,გვიგზავნია,
გიგზავნივართ,,გიგზავნიათ,გიგზავნივართ,,გიგზავნიათ,
ვუგზავნივარ,უგზავნიხარ,უგზავნიათ,ვუგზავნივართ,უგზავნიხართ,უგზავნიათ,
Iturm_prfv
