fut2
,გადებინებ,ვადებინებ,,გადებინებთ,ვადებინებ,
მადებინებ,,ადებინებ,გვადებინებ,,ადებინებ,
მადებინებს,გადებინებს,ადებინებს,გვადებინებს,გადებინებთ,ადებინებს,
,გადებინებთ,ვადებინებთ,,გადებინებთ,ვადებინებთ,
მადებინებთ,,ადებინებთ,გვადებინებთ,,ადებინებთ,
მადებინებენ,გადებინებენ,ადებინებენ,გვადებინებენ,გადებინებენ,ადებინებენ,
fut2_prfv
,წარმოგადებინებ,წარმოვადებინებ,,წარმოგადებინებთ,წარმოვადებინებ,
წარმომადებინებ,,წარმოადებინებ,წარმოგვადებინებ,,წარმოადებინებ,
წარმომადებინებს,წარმოგადებინებს,წარმოადებინებს,წარმოგვადებინებს,წარმოგადებინებთ,წარმოადებინებს,
,წარმოგადებინებთ,წარმოვადებინებთ,,წარმოგადებინებთ,წარმოვადებინებთ,
წარმომადებინებთ,,წარმოადებინებთ,წარმოგვადებინებთ,,წარმოადებინებთ,
წარმომადებინებენ,წარმოგადებინებენ,წარმოადებინებენ,წარმოგვადებინებენ,წარმოგადებინებენ,წარმოადებინებენ,
cond2
,გადებინებდი,ვადებინებდი,,გადებინებდით,ვადებინებდი,
მადებინებდი,,ადებინებდი,გვადებინებდი,,ადებინებდი,
მადებინებდა,გადებინებდა,ადებინებდა,გვადებინებდა,გადებინებდათ,ადებინებდა,
,გადებინებდით,ვადებინებდით,,გადებინებდით,ვადებინებდით,
მადებინებდით,,ადებინებდით,გვადებინებდით,,ადებინებდით,
მადებინებდნენ,გადებინებდნენ,ადებინებდნენ,გვადებინებდნენ,გადებინებდნენ,ადებინებდნენ,
cond2_prfv
,წარმოგადებინებდი,წარმოვადებინებდი,,წარმოგადებინებდით,წარმოვადებინებდი,
წარმომადებინებდი,,წარმოადებინებდი,წარმოგვადებინებდი,,წარმოადებინებდი,
წარმომადებინებდა,წარმოგადებინებდა,წარმოადებინებდა,წარმოგვადებინებდა,წარმოგადებინებდათ,წარმოადებინებდა,
,წარმოგადებინებდით,წარმოვადებინებდით,,წარმოგადებინებდით,წარმოვადებინებდით,
წარმომადებინებდით,,წარმოადებინებდით,წარმოგვადებინებდით,,წარმოადებინებდით,
წარმომადებინებდნენ,წარმოგადებინებდნენ,წარმოადებინებდნენ,წარმოგვადებინებდნენ,წარმოგადებინებდნენ,წარმოადებინებდნენ,
fut2_subj
,გადებინებდე,ვადებინებდე,,გადებინებდეთ,ვადებინებდე,
მადებინებდე,,ადებინებდე,გვადებინებდე,,ადებინებდე,
მადებინებდეს,გადებინებდეს,ადებინებდეს,გვადებინებდეს,გადებინებდეთ,ადებინებდეს,
,გადებინებდეთ,ვადებინებდეთ,,გადებინებდეთ,ვადებინებდეთ,
მადებინებდეთ,,ადებინებდეთ,გვადებინებდეთ,,ადებინებდეთ,
მადებინებდნენ,გადებინებდნენ,ადებინებდნენ,გვადებინებდნენ,გადებინებდნენ,ადებინებდნენ,
fut2_subj_prfv
,წარმოგადებინებდე,წარმოვადებინებდე,,წარმოგადებინებდეთ,წარმოვადებინებდე,
წარმომადებინებდე,,წარმოადებინებდე,წარმოგვადებინებდე,,წარმოადებინებდე,
წარმომადებინებდეს,წარმოგადებინებდეს,წარმოადებინებდეს,წარმოგვადებინებდეს,წარმოგადებინებდეთ,წარმოადებინებდეს,
,წარმოგადებინებდეთ,წარმოვადებინებდეთ,,წარმოგადებინებდეთ,წარმოვადებინებდეთ,
წარმომადებინებდეთ,,წარმოადებინებდეთ,წარმოგვადებინებდეთ,,წარმოადებინებდეთ,
