fut2
,გარტყამ,ვარტყამ,,გარტყამთ,ვარტყამ,
მარტყამ,,არტყამ,გვარტყამ,,არტყამ,
მარტყამს,გარტყამს,არტყამს,გვარტყამს,გარტყამთ,არტყამს,
,გარტყამთ,ვარტყამთ,,გარტყამთ,ვარტყამთ,
მარტყამთ,,არტყამთ,გვარტყამთ,,არტყამთ,
მარტყამენ,გარტყამენ,არტყამენ,გვარტყამენ,გარტყამენ,არტყამენ,
fut2_prfv
,წარმოგარტყამ,წარმოვარტყამ,,წარმოგარტყამთ,წარმოვარტყამ,
წარმომარტყამ,,წარმოარტყამ,წარმოგვარტყამ,,წარმოარტყამ,
წარმომარტყამს,წარმოგარტყამს,წარმოარტყამს,წარმოგვარტყამს,წარმოგარტყამთ,წარმოარტყამს,
,წარმოგარტყამთ,წარმოვარტყამთ,,წარმოგარტყამთ,წარმოვარტყამთ,
წარმომარტყამთ,,წარმოარტყამთ,წარმოგვარტყამთ,,წარმოარტყამთ,
წარმომარტყამენ,წარმოგარტყამენ,წარმოარტყამენ,წარმოგვარტყამენ,წარმოგარტყამენ,წარმოარტყამენ,
cond2
,გარტყამდი,ვარტყამდი,,გარტყამდით,ვარტყამდი,
მარტყამდი,,არტყამდი,გვარტყამდი,,არტყამდი,
მარტყამდა,გარტყამდა,არტყამდა,გვარტყამდა,გარტყამდათ,არტყამდა,
,გარტყამდით,ვარტყამდით,,გარტყამდით,ვარტყამდით,
მარტყამდით,,არტყამდით,გვარტყამდით,,არტყამდით,
მარტყამდნენ,გარტყამდნენ,არტყამდნენ,გვარტყამდნენ,გარტყამდნენ,არტყამდნენ,
cond2_prfv
,წარმოგარტყამდი,წარმოვარტყამდი,,წარმოგარტყამდით,წარმოვარტყამდი,
წარმომარტყამდი,,წარმოარტყამდი,წარმოგვარტყამდი,,წარმოარტყამდი,
წარმომარტყამდა,წარმოგარტყამდა,წარმოარტყამდა,წარმოგვარტყამდა,წარმოგარტყამდათ,წარმოარტყამდა,
,წარმოგარტყამდით,წარმოვარტყამდით,,წარმოგარტყამდით,წარმოვარტყამდით,
წარმომარტყამდით,,წარმოარტყამდით,წარმოგვარტყამდით,,წარმოარტყამდით,
წარმომარტყამდნენ,წარმოგარტყამდნენ,წარმოარტყამდნენ,წარმოგვარტყამდნენ,წარმოგარტყამდნენ,წარმოარტყამდნენ,
fut2_subj
,გარტყამდე,ვარტყამდე,,გარტყამდეთ,ვარტყამდე,
მარტყამდე,,არტყამდე,გვარტყამდე,,არტყამდე,
მარტყამდეს,გარტყამდეს,არტყამდეს,გვარტყამდეს,გარტყამდეთ,არტყამდეს,
,გარტყამდეთ,ვარტყამდეთ,,გარტყამდეთ,ვარტყამდეთ,
მარტყამდეთ,,არტყამდეთ,გვარტყამდეთ,,არტყამდეთ,
მარტყამდნენ,გარტყამდნენ,არტყამდნენ,გვარტყამდნენ,გარტყამდნენ,არტყამდნენ,
fut2_subj_prfv
,წარმოგარტყამდე,წარმოვარტყამდე,,წარმოგარტყამდეთ,წარმოვარტყამდე,
წარმომარტყამდე,,წარმოარტყამდე,წარმოგვარტყამდე,,წარმოარტყამდე,
წარმომარტყამდეს,წარმოგარტყამდეს,წარმოარტყამდეს,წარმოგვარტყამდეს,წარმოგარტყამდეთ,წარმოარტყამდეს,
,წარმოგარტყამდეთ,წარმოვარტყამდეთ,,წარმოგარტყამდეთ,წარმოვარტყამდეთ,
წარმომარტყამდეთ,,წარმოარტყამდეთ,წარმოგვარტყამდეთ,,წარმოარტყამდეთ,
წარმომარტყამდნენ,წარმოგარტყამდნენ,წარმოარტყამდნენ,წარმოგვარტყამდნენ,წარმოგარტყამდნენ,წარმოარტყამდნენ,
aor2
,გარტყი,ვარტყი,,გარტყით,ვარტყი,
მარტყი,,არტყი,გვარტყი,,არტყი,
მარტყა,გარტყა,არტყა,გვარტყა,გარტყათ,არტყა,
,გარტყით,ვარტყით,,გარტყით,ვარტყით,
მარტყით,,არტყით,გვარტყით,,არტყით,
მარტყეს,გარტყეს,არტყეს,გვარტყეს,გარტყეს,არტყეს,
aor2_prfv
,წარმოგარტყი,წარმოვარტყი,,წარმოგარტყით,წარმოვარტყი,
წარმომარტყი,,წარმოარტყი,წარმოგვარტყი,,წარმოარტყი,
წარმომარტყა,წარმოგარტყა,წარმოარტყა,წარმოგვარტყა,წარმოგარტყათ,წარმოარტყა,
,წარმოგარტყით,წარმოვარტყით,,წარმოგარტყით,წარმოვარტყით,
წარმომარტყით,,წარმოარტყით,წარმოგვარტყით,,წარმოარტყით,
წარმომარტყეს,წარმოგარტყეს,წარმოარტყეს,წარმოგვარტყეს,წარმოგარტყეს,წარმოარტყეს,
IIsubj2
,გარტყა,ვარტყა,,გარტყათ,ვარტყა,
მარტყა,,არტყა,გვარტყა,,არტყა,
მარტყას,გარტყას,არტყას,გვარტყას,გარტყათ,არტყას,
,გარტყათ,ვარტყათ,,გარტყათ,ვარტყათ,
მარტყათ,,არტყათ,გვარტყათ,,არტყათ,
მარტყან,გარტყან,არტყან,გვარტყან,გარტყან,არტყან,
IIsubj2_prfv
,წარმოგარტყა,წარმოვარტყა,,წარმოგარტყათ,წარმოვარტყა,
წარმომარტყა,,წარმოარტყა,წარმოგვარტყა,,წარმოარტყა,
წარმომარტყას,წარმოგარტყას,წარმოარტყას,წარმოგვარტყას,წარმოგარტყათ,წარმოარტყას,
,წარმოგარტყათ,წარმოვარტყათ,,წარმოგარტყათ,წარმოვარტყათ,
წარმომარტყათ,,წარმოარტყათ,წარმოგვარტყათ,,წარმოარტყათ,
წარმომარტყან,წარმოგარტყან,წარმოარტყან,წარმოგვარტყან,წარმოგარტყან,წარმოარტყან,
Iturm
,მირტყიხარ,მირტყია,,მირტყიხართ,მირტყია,
გირტყივარ,,გირტყია,გირტყივართ,,გირტყია,
ვურტყივარ,ურტყიხარ,ურტყია,ვურტყივართ,ურტყიხართ,ურტყია,
,გვირტყიხარ,გვირტყია,,გვირტყიხართ,გვირტყია,
გირტყივართ,,გირტყიათ,გირტყივართ,,გირტყიათ,
ვურტყივარ,ურტყიხარ,ურტყიათ,ვურტყივართ,ურტყიხართ,ურტყიათ,
Iturm_prfv
,წარმომირტყიხარ,წარმომირტყია,,წარმომირტყიხართ,წარმომირტყია,
წარმოგირტყივარ,,წარმოგირტყია,წარმოგირტყივართ,,წარმოგირტყია,
წარმოვურტყივარ,წარმოურტყიხარ,წარმოურტყია,წარმოვურტყივართ,წარმოურტყიხართ,წარმოურტყია,
,წარმოგვირტყიხარ,წარმოგვირტყია,,წარმოგვირტყიხართ,წარმოგვირტყია,
წარმოგირტყივართ,,წარმოგირტყიათ,წარმოგირტყივართ,,წარმოგირტყიათ,
წარმოვურტყივარ,წარმოურტყიხარ,წარმოურტყიათ,წარმოვურტყივართ,წარმოურტყიხართ,წარმოურტყიათ,
Iturm_th
,მირტყამხარ,მირტყამს,,მირტყამხართ,მირტყამს,
გირტყამვარ,,გირტყამს,გირტყამვართ,,გირტყამს,
ვურტყამვარ,ურტყამხარ,ურტყამს,ვურტყამვართ,ურტყამხართ,ურტყამს,
,გვირტყამხარ,გვირტყამს,,გვირტყამხართ,გვირტყამს,
გირტყამვართ,,გირტყამთ,გირტყამვართ,,გირტყამთ,
ვურტყამვარ,ურტყამხარ,ურტყამთ,ვურტყამვართ,ურტყამხართ,ურტყამთ,
Iturm_th_prfv
,წარმომირტყამხარ,წარმომირტყამს,,წარმომირტყამხართ,წარმომირტყამს,
წარმოგირტყამვარ,,წარმოგირტყამს,წარმოგირტყამვართ,,წარმოგირტყამს,
წარმოვურტყამვარ,წარმოურტყამხარ,წარმოურტყამს,წარმოვურტყამვართ,წარმოურტყამხართ,წარმოურტყამს,
,წარმოგვირტყამხარ,წარმოგვირტყამს,,წარმოგვირტყამხართ,წარმოგვირტყამს,
წარმოგირტყამვართ,,წარმოგირტყამთ,წარმოგირტყამვართ,,წარმოგირტყამთ,
