fut2
,გარწევ,ვარწევ,,გარწევთ,ვარწევ,
მარწევ,,არწევ,გვარწევ,,არწევ,
მარწევს,გარწევს,არწევს,გვარწევს,გარწევთ,არწევს,
,გარწევთ,ვარწევთ,,გარწევთ,ვარწევთ,
მარწევთ,,არწევთ,გვარწევთ,,არწევთ,
მარწევენ,გარწევენ,არწევენ,გვარწევენ,გარწევენ,არწევენ,
fut2_prfv
,წარმოგარწევ,წარმოვარწევ,,წარმოგარწევთ,წარმოვარწევ,
წარმომარწევ,,წარმოარწევ,წარმოგვარწევ,,წარმოარწევ,
წარმომარწევს,წარმოგარწევს,წარმოარწევს,წარმოგვარწევს,წარმოგარწევთ,წარმოარწევს,
,წარმოგარწევთ,წარმოვარწევთ,,წარმოგარწევთ,წარმოვარწევთ,
წარმომარწევთ,,წარმოარწევთ,წარმოგვარწევთ,,წარმოარწევთ,
წარმომარწევენ,წარმოგარწევენ,წარმოარწევენ,წარმოგვარწევენ,წარმოგარწევენ,წარმოარწევენ,
cond2
,გარწევდი,ვარწევდი,,გარწევდით,ვარწევდი,
მარწევდი,,არწევდი,გვარწევდი,,არწევდი,
მარწევდა,გარწევდა,არწევდა,გვარწევდა,გარწევდათ,არწევდა,
,გარწევდით,ვარწევდით,,გარწევდით,ვარწევდით,
მარწევდით,,არწევდით,გვარწევდით,,არწევდით,
მარწევდნენ,გარწევდნენ,არწევდნენ,გვარწევდნენ,გარწევდნენ,არწევდნენ,
cond2_prfv
,წარმოგარწევდი,წარმოვარწევდი,,წარმოგარწევდით,წარმოვარწევდი,
წარმომარწევდი,,წარმოარწევდი,წარმოგვარწევდი,,წარმოარწევდი,
წარმომარწევდა,წარმოგარწევდა,წარმოარწევდა,წარმოგვარწევდა,წარმოგარწევდათ,წარმოარწევდა,
,წარმოგარწევდით,წარმოვარწევდით,,წარმოგარწევდით,წარმოვარწევდით,
წარმომარწევდით,,წარმოარწევდით,წარმოგვარწევდით,,წარმოარწევდით,
წარმომარწევდნენ,წარმოგარწევდნენ,წარმოარწევდნენ,წარმოგვარწევდნენ,წარმოგარწევდნენ,წარმოარწევდნენ,
fut2_subj
,გარწევდე,ვარწევდე,,გარწევდეთ,ვარწევდე,
მარწევდე,,არწევდე,გვარწევდე,,არწევდე,
მარწევდეს,გარწევდეს,არწევდეს,გვარწევდეს,გარწევდეთ,არწევდეს,
,გარწევდეთ,ვარწევდეთ,,გარწევდეთ,ვარწევდეთ,
მარწევდეთ,,არწევდეთ,გვარწევდეთ,,არწევდეთ,
მარწევდნენ,გარწევდნენ,არწევდნენ,გვარწევდნენ,გარწევდნენ,არწევდნენ,
fut2_subj_prfv
,წარმოგარწევდე,წარმოვარწევდე,,წარმოგარწევდეთ,წარმოვარწევდე,
წარმომარწევდე,,წარმოარწევდე,წარმოგვარწევდე,,წარმოარწევდე,
წარმომარწევდეს,წარმოგარწევდეს,წარმოარწევდეს,წარმოგვარწევდეს,წარმოგარწევდეთ,წარმოარწევდეს,
,წარმოგარწევდეთ,წარმოვარწევდეთ,,წარმოგარწევდეთ,წარმოვარწევდეთ,
წარმომარწევდეთ,,წარმოარწევდეთ,წარმოგვარწევდეთ,,წარმოარწევდეთ,
წარმომარწევდნენ,წარმოგარწევდნენ,წარმოარწევდნენ,წარმოგვარწევდნენ,წარმოგარწევდნენ,წარმოარწევდნენ,
aor2
,გარწიე,ვარწიე,,გარწიეთ,ვარწიე,
მარწიე,,არწიე,გვარწიე,,არწიე,
მარწია,გარწია,არწია,გვარწია,გარწიათ,არწია,
,გარწიეთ,ვარწიეთ,,გარწიეთ,ვარწიეთ,
მარწიეთ,,არწიეთ,გვარწიეთ,,არწიეთ,
მარწიეს,გარწიეს,არწიეს,გვარწიეს,გარწიეს,არწიეს,
aor2_prfv
