fut2
,გაქებ,ვაქებ,,გაქებთ,ვაქებ,
მაქებ,,აქებ,გვაქებ,,აქებ,
მაქებს,გაქებს,აქებს,გვაქებს,გაქებთ,აქებს,
,გაქებთ,ვაქებთ,,გაქებთ,ვაქებთ,
მაქებთ,,აქებთ,გვაქებთ,,აქებთ,
მაქებენ,გაქებენ,აქებენ,გვაქებენ,გაქებენ,აქებენ,
fut2_prfv
,წარმოგაქებ,წარმოვაქებ,,წარმოგაქებთ,წარმოვაქებ,
წარმომაქებ,,წარმოაქებ,წარმოგვაქებ,,წარმოაქებ,
წარმომაქებს,წარმოგაქებს,წარმოაქებს,წარმოგვაქებს,წარმოგაქებთ,წარმოაქებს,
,წარმოგაქებთ,წარმოვაქებთ,,წარმოგაქებთ,წარმოვაქებთ,
წარმომაქებთ,,წარმოაქებთ,წარმოგვაქებთ,,წარმოაქებთ,
წარმომაქებენ,წარმოგაქებენ,წარმოაქებენ,წარმოგვაქებენ,წარმოგაქებენ,წარმოაქებენ,
cond2
,გაქებდი,ვაქებდი,,გაქებდით,ვაქებდი,
მაქებდი,,აქებდი,გვაქებდი,,აქებდი,
მაქებდა,გაქებდა,აქებდა,გვაქებდა,გაქებდათ,აქებდა,
,გაქებდით,ვაქებდით,,გაქებდით,ვაქებდით,
მაქებდით,,აქებდით,გვაქებდით,,აქებდით,
მაქებდნენ,გაქებდნენ,აქებდნენ,გვაქებდნენ,გაქებდნენ,აქებდნენ,
cond2_prfv
,წარმოგაქებდი,წარმოვაქებდი,,წარმოგაქებდით,წარმოვაქებდი,
წარმომაქებდი,,წარმოაქებდი,წარმოგვაქებდი,,წარმოაქებდი,
წარმომაქებდა,წარმოგაქებდა,წარმოაქებდა,წარმოგვაქებდა,წარმოგაქებდათ,წარმოაქებდა,
,წარმოგაქებდით,წარმოვაქებდით,,წარმოგაქებდით,წარმოვაქებდით,
წარმომაქებდით,,წარმოაქებდით,წარმოგვაქებდით,,წარმოაქებდით,
წარმომაქებდნენ,წარმოგაქებდნენ,წარმოაქებდნენ,წარმოგვაქებდნენ,წარმოგაქებდნენ,წარმოაქებდნენ,
fut2_subj
,გაქებდე,ვაქებდე,,გაქებდეთ,ვაქებდე,
მაქებდე,,აქებდე,გვაქებდე,,აქებდე,
მაქებდეს,გაქებდეს,აქებდეს,გვაქებდეს,გაქებდეთ,აქებდეს,
,გაქებდეთ,ვაქებდეთ,,გაქებდეთ,ვაქებდეთ,
მაქებდეთ,,აქებდეთ,გვაქებდეთ,,აქებდეთ,
მაქებდნენ,გაქებდნენ,აქებდნენ,გვაქებდნენ,გაქებდნენ,აქებდნენ,
fut2_subj_prfv
,წარმოგაქებდე,წარმოვაქებდე,,წარმოგაქებდეთ,წარმოვაქებდე,
წარმომაქებდე,,წარმოაქებდე,წარმოგვაქებდე,,წარმოაქებდე,
წარმომაქებდეს,წარმოგაქებდეს,წარმოაქებდეს,წარმოგვაქებდეს,წარმოგაქებდეთ,წარმოაქებდეს,
,წარმოგაქებდეთ,წარმოვაქებდეთ,,წარმოგაქებდეთ,წარმოვაქებდეთ,
წარმომაქებდეთ,,წარმოაქებდეთ,წარმოგვაქებდეთ,,წარმოაქებდეთ,
წარმომაქებდნენ,წარმოგაქებდნენ,წარმოაქებდნენ,წარმოგვაქებდნენ,წარმოგაქებდნენ,წარმოაქებდნენ,
aor2
,გაქე,ვაქე,,გაქეთ,ვაქე,
მაქე,,აქე,გვაქე,,აქე,
მაქო,გაქო,აქო,გვაქო,გაქოთ,აქო,
,გაქეთ,ვაქეთ,,გაქეთ,ვაქეთ,
მაქეთ,,აქეთ,გვაქეთ,,აქეთ,
მაქეს,გაქეს,აქეს,გვაქეს,გაქეს,აქეს,
aor2_prfv
,წარმოგაქე,წარმოვაქე,,წარმოგაქეთ,წარმოვაქე,
წარმომაქე,,წარმოაქე,წარმოგვაქე,,წარმოაქე,
წარმომაქო,წარმოგაქო,წარმოაქო,წარმოგვაქო,წარმოგაქოთ,წარმოაქო,
,წარმოგაქეთ,წარმოვაქეთ,,წარმოგაქეთ,წარმოვაქეთ,
წარმომაქეთ,,წარმოაქეთ,წარმოგვაქეთ,,წარმოაქეთ,
წარმომაქეს,წარმოგაქეს,წარმოაქეს,წარმოგვაქეს,წარმოგაქეს,წარმოაქეს,
IIsubj2
,გაქო,ვაქო,,გაქოთ,ვაქო,
მაქო,,აქო,გვაქო,,აქო,
მაქოს,გაქოს,აქოს,გვაქოს,გაქოთ,აქოს,
,გაქოთ,ვაქოთ,,გაქოთ,ვაქოთ,
მაქოთ,,აქოთ,გვაქოთ,,აქოთ,
მაქონ,გაქონ,აქონ,გვაქონ,გაქონ,აქონ,
IIsubj2_prfv
,წარმოგაქო,წარმოვაქო,,წარმოგაქოთ,წარმოვაქო,
წარმომაქო,,წარმოაქო,წარმოგვაქო,,წარმოაქო,
წარმომაქოს,წარმოგაქოს,წარმოაქოს,წარმოგვაქოს,წარმოგაქოთ,წარმოაქოს,
,წარმოგაქოთ,წარმოვაქოთ,,წარმოგაქოთ,წარმოვაქოთ,
წარმომაქოთ,,წარმოაქოთ,წარმოგვაქოთ,,წარმოაქოთ,
წარმომაქონ,წარმოგაქონ,წარმოაქონ,წარმოგვაქონ,წარმოგაქონ,წარმოაქონ,
Iturm
,მიქიხარ,მიქია,,მიქიხართ,მიქია,
გიქივარ,,გიქია,გიქივართ,,გიქია,
ვუქივარ,უქიხარ,უქია,ვუქივართ,უქიხართ,უქია,
,გვიქიხარ,გვიქია,,გვიქიხართ,გვიქია,
გიქივართ,,გიქიათ,გიქივართ,,გიქიათ,
ვუქივარ,უქიხარ,უქიათ,ვუქივართ,უქიხართ,უქიათ,
Iturm_prfv
,წარმომიქიხარ,წარმომიქია,,წარმომიქიხართ,წარმომიქია,
წარმოგიქივარ,,წარმოგიქია,წარმოგიქივართ,,წარმოგიქია,
წარმოვუქივარ,წარმოუქიხარ,წარმოუქია,წარმოვუქივართ,წარმოუქიხართ,წარმოუქია,
,წარმოგვიქიხარ,წარმოგვიქია,,წარმოგვიქიხართ,წარმოგვიქია,
წარმოგიქივართ,,წარმოგიქიათ,წარმოგიქივართ,,წარმოგიქიათ,
წარმოვუქივარ,წარმოუქიხარ,წარმოუქიათ,წარმოვუქივართ,წარმოუქიხართ,წარმოუქიათ,
IIturm
,მექე,მექო,,მექეთ,მექოთ,
გექე,,გექო,გექეთ,,გექოთ,
ვექე,ექე,ექო,ვექეთ,ექეთ,ექოთ,
,გვექე,გვექო,,გვექეთ,გვექოთ,
გექეთ,,გექოთ,გექეთ,,გექოთ,
ვექე,ექე,ექოთ,ვექეთ,ექეთ,ექოთთ,
IIturm_prfv
,წარმომექე,წარმომექო,,წარმომექეთ,წარმომექოთ,
წარმოგექე,,წარმოგექო,წარმოგექეთ,,წარმოგექოთ,
წარმოვექე,წარმოექე,წარმოექო,წარმოვექეთ,წარმოექეთ,წარმოექოთ,
,წარმოგვექე,წარმოგვექო,,წარმოგვექეთ,წარმოგვექოთ,
წარმოგექეთ,,წარმოგექოთ,წარმოგექეთ,,წარმოგექოთ,
წარმოვექე,წარმოექე,წარმოექოთ,წარმოვექეთ,წარმოექეთ,წარმოექოთთ,
IIIsubj
,მექო,მექოს,,მექოთ,მექოს,
გექო,,გექოს,გექოთ,,გექოს,
ვექო,ექო,ექოს,ვექოთ,ექოთ,ექოს,
,გვექო,გვექოს,,გვექოთ,გვექოს,
გექოთ,,გექოთ,გექოთ,,გექოთ,
ვექო,ექო,ექოთ,ვექოთ,ექოთ,ექოთ,
IIIsubj_prfv
,წარმომექო,წარმომექოს,,წარმომექოთ,წარმომექოს,
წარმოგექო,,წარმოგექოს,წარმოგექოთ,,წარმოგექოს,
წარმოვექო,წარმოექო,წარმოექოს,წარმოვექოთ,წარმოექოთ,წარმოექოს,
,წარმოგვექო,წარმოგვექოს,,წარმოგვექოთ,წარმოგვექოს,
წარმოგექოთ,,წარმოგექოთ,წარმოგექოთ,,წარმოგექოთ,
წარმოვექო,წარმოექო,წარმოექოთ,წარმოვექოთ,წარმოექოთ,წარმოექოთ,
