fut2
,გაშენებ,ვაშენებ,,გაშენებთ,ვაშენებ,
მაშენებ,,აშენებ,გვაშენებ,,აშენებ,
მაშენებს,გაშენებს,აშენებს,გვაშენებს,გაშენებთ,აშენებს,
,გაშენებთ,ვაშენებთ,,გაშენებთ,ვაშენებთ,
მაშენებთ,,აშენებთ,გვაშენებთ,,აშენებთ,
მაშენებენ,გაშენებენ,აშენებენ,გვაშენებენ,გაშენებენ,აშენებენ,
fut2_prfv
,წარმოგაშენებ,წარმოვაშენებ,,წარმოგაშენებთ,წარმოვაშენებ,
წარმომაშენებ,,წარმოაშენებ,წარმოგვაშენებ,,წარმოაშენებ,
წარმომაშენებს,წარმოგაშენებს,წარმოაშენებს,წარმოგვაშენებს,წარმოგაშენებთ,წარმოაშენებს,
,წარმოგაშენებთ,წარმოვაშენებთ,,წარმოგაშენებთ,წარმოვაშენებთ,
წარმომაშენებთ,,წარმოაშენებთ,წარმოგვაშენებთ,,წარმოაშენებთ,
წარმომაშენებენ,წარმოგაშენებენ,წარმოაშენებენ,წარმოგვაშენებენ,წარმოგაშენებენ,წარმოაშენებენ,
cond2
,გაშენებდი,ვაშენებდი,,გაშენებდით,ვაშენებდი,
მაშენებდი,,აშენებდი,გვაშენებდი,,აშენებდი,
მაშენებდა,გაშენებდა,აშენებდა,გვაშენებდა,გაშენებდათ,აშენებდა,
,გაშენებდით,ვაშენებდით,,გაშენებდით,ვაშენებდით,
მაშენებდით,,აშენებდით,გვაშენებდით,,აშენებდით,
მაშენებდნენ,გაშენებდნენ,აშენებდნენ,გვაშენებდნენ,გაშენებდნენ,აშენებდნენ,
cond2_prfv
,წარმოგაშენებდი,წარმოვაშენებდი,,წარმოგაშენებდით,წარმოვაშენებდი,
წარმომაშენებდი,,წარმოაშენებდი,წარმოგვაშენებდი,,წარმოაშენებდი,
წარმომაშენებდა,წარმოგაშენებდა,წარმოაშენებდა,წარმოგვაშენებდა,წარმოგაშენებდათ,წარმოაშენებდა,
,წარმოგაშენებდით,წარმოვაშენებდით,,წარმოგაშენებდით,წარმოვაშენებდით,
წარმომაშენებდით,,წარმოაშენებდით,წარმოგვაშენებდით,,წარმოაშენებდით,
წარმომაშენებდნენ,წარმოგაშენებდნენ,წარმოაშენებდნენ,წარმოგვაშენებდნენ,წარმოგაშენებდნენ,წარმოაშენებდნენ,
fut2_subj
,გაშენებდე,ვაშენებდე,,გაშენებდეთ,ვაშენებდე,
მაშენებდე,,აშენებდე,გვაშენებდე,,აშენებდე,
მაშენებდეს,გაშენებდეს,აშენებდეს,გვაშენებდეს,გაშენებდეთ,აშენებდეს,
,გაშენებდეთ,ვაშენებდეთ,,გაშენებდეთ,ვაშენებდეთ,
მაშენებდეთ,,აშენებდეთ,გვაშენებდეთ,,აშენებდეთ,
მაშენებდნენ,გაშენებდნენ,აშენებდნენ,გვაშენებდნენ,გაშენებდნენ,აშენებდნენ,
fut2_subj_prfv
,წარმოგაშენებდე,წარმოვაშენებდე,,წარმოგაშენებდეთ,წარმოვაშენებდე,
წარმომაშენებდე,,წარმოაშენებდე,წარმოგვაშენებდე,,წარმოაშენებდე,
წარმომაშენებდეს,წარმოგაშენებდეს,წარმოაშენებდეს,წარმოგვაშენებდეს,წარმოგაშენებდეთ,წარმოაშენებდეს,
,წარმოგაშენებდეთ,წარმოვაშენებდეთ,,წარმოგაშენებდეთ,წარმოვაშენებდეთ,
წარმომაშენებდეთ,,წარმოაშენებდეთ,წარმოგვაშენებდეთ,,წარმოაშენებდეთ,
წარმომაშენებდნენ,წარმოგაშენებდნენ,წარმოაშენებდნენ,წარმოგვაშენებდნენ,წარმოგაშენებდნენ,წარმოაშენებდნენ,
aor2
,გაშენე,ვაშენე,,გაშენეთ,ვაშენე,
მაშენე,,აშენე,გვაშენე,,აშენე,
მაშენა,გაშენა,აშენა,გვაშენა,გაშენათ,აშენა,
,გაშენეთ,ვაშენეთ,,გაშენეთ,ვაშენეთ,
მაშენეთ,,აშენეთ,გვაშენეთ,,აშენეთ,
მაშენეს,გაშენეს,აშენეს,გვაშენეს,გაშენეს,აშენეს,
aor2_prfv
,წარმოგაშენე,წარმოვაშენე,,წარმოგაშენეთ,წარმოვაშენე,
წარმომაშენე,,წარმოაშენე,წარმოგვაშენე,,წარმოაშენე,
წარმომაშენა,წარმოგაშენა,წარმოაშენა,წარმოგვაშენა,წარმოგაშენათ,წარმოაშენა,
,წარმოგაშენეთ,წარმოვაშენეთ,,წარმოგაშენეთ,წარმოვაშენეთ,
წარმომაშენეთ,,წარმოაშენეთ,წარმოგვაშენეთ,,წარმოაშენეთ,
წარმომაშენეს,წარმოგაშენეს,წარმოაშენეს,წარმოგვაშენეს,წარმოგაშენეს,წარმოაშენეს,
IIsubj2
,გაშენო,ვაშენო,,გაშენოთ,ვაშენო,
მაშენო,,აშენო,გვაშენო,,აშენო,
მაშენოს,გაშენოს,აშენოს,გვაშენოს,გაშენოთ,აშენოს,
,გაშენოთ,ვაშენოთ,,გაშენოთ,ვაშენოთ,
მაშენოთ,,აშენოთ,გვაშენოთ,,აშენოთ,
მაშენონ,გაშენონ,აშენონ,გვაშენონ,გაშენონ,აშენონ,
IIsubj2_prfv
,წარმოგაშენო,წარმოვაშენო,,წარმოგაშენოთ,წარმოვაშენო,
წარმომაშენო,,წარმოაშენო,წარმოგვაშენო,,წარმოაშენო,
წარმომაშენოს,წარმოგაშენოს,წარმოაშენოს,წარმოგვაშენოს,წარმოგაშენოთ,წარმოაშენოს,
,წარმოგაშენოთ,წარმოვაშენოთ,,წარმოგაშენოთ,წარმოვაშენოთ,
წარმომაშენოთ,,წარმოაშენოთ,წარმოგვაშენოთ,,წარმოაშენოთ,
წარმომაშენონ,წარმოგაშენონ,წარმოაშენონ,წარმოგვაშენონ,წარმოგაშენონ,წარმოაშენონ,
Iturm
,მიშენებიხარ,მიშენებია,,მიშენებიხართ,მიშენებია,
გიშენებივარ,,გიშენებია,გიშენებივართ,,გიშენებია,
ვუშენებივარ,უშენებიხარ,უშენებია,ვუშენებივართ,უშენებიხართ,უშენებია,
,გვიშენებიხარ,გვიშენებია,,გვიშენებიხართ,გვიშენებია,
გიშენებივართ,,გიშენებიათ,გიშენებივართ,,გიშენებიათ,
ვუშენებივარ,უშენებიხარ,უშენებიათ,ვუშენებივართ,უშენებიხართ,უშენებიათ,
Iturm_prfv
,წარმომიშენებიხარ,წარმომიშენებია,,წარმომიშენებიხართ,წარმომიშენებია,
წარმოგიშენებივარ,,წარმოგიშენებია,წარმოგიშენებივართ,,წარმოგიშენებია,
წარმოვუშენებივარ,წარმოუშენებიხარ,წარმოუშენებია,წარმოვუშენებივართ,წარმოუშენებიხართ,წარმოუშენებია,
,წარმოგვიშენებიხარ,წარმოგვიშენებია,,წარმოგვიშენებიხართ,წარმოგვიშენებია,
წარმოგიშენებივართ,,წარმოგიშენებიათ,წარმოგიშენებივართ,,წარმოგიშენებიათ,
წარმოვუშენებივარ,წარმოუშენებიხარ,წარმოუშენებიათ,წარმოვუშენებივართ,წარმოუშენებიხართ,წარმოუშენებიათ,
IIturm
,მეშენებინე,მეშენებინა,,მეშენებინეთ,მეშენებინა,
გეშენებინე,,გეშენებინა,გეშენებინეთ,,გეშენებინა,
ვეშენებინე,ეშენებინე,ეშენებინა,ვეშენებინეთ,ეშენებინეთ,ეშენებინა,
,გვეშენებინე,გვეშენებინა,,გვეშენებინეთ,გვეშენებინა,
გეშენებინეთ,,გეშენებინათ,გეშენებინეთ,,გეშენებინათ,
ვეშენებინე,ეშენებინე,ეშენებინათ,ვეშენებინეთ,ეშენებინეთ,ეშენებინათ,
IIturm_prfv
,წარმომეშენებინე,წარმომეშენებინა,,წარმომეშენებინეთ,წარმომეშენებინა,
წარმოგეშენებინე,,წარმოგეშენებინა,წარმოგეშენებინეთ,,წარმოგეშენებინა,
წარმოვეშენებინე,წარმოეშენებინე,წარმოეშენებინა,წარმოვეშენებინეთ,წარმოეშენებინეთ,წარმოეშენებინა,
,წარმოგვეშენებინე,წარმოგვეშენებინა,,წარმოგვეშენებინეთ,წარმოგვეშენებინა,
წარმოგეშენებინეთ,,წარმოგეშენებინათ,წარმოგეშენებინეთ,,წარმოგეშენებინათ,
წარმოვეშენებინე,წარმოეშენებინე,წარმოეშენებინათ,წარმოვეშენებინეთ,წარმოეშენებინეთ,წარმოეშენებინათ,
IIIsubj
,მეშენებინო,მეშენებინოს,,მეშენებინოთ,მეშენებინოს,
გეშენებინო,,გეშენებინოს,გეშენებინოთ,,გეშენებინოს,
ვეშენებინო,ეშენებინო,ეშენებინოს,ვეშენებინოთ,ეშენებინოთ,ეშენებინოს,
,გვეშენებინო,გვეშენებინოს,,გვეშენებინოთ,გვეშენებინოს,
გეშენებინოთ,,გეშენებინოთ,გეშენებინოთ,,გეშენებინოთ,
ვეშენებინო,ეშენებინო,ეშენებინოთ,ვეშენებინოთ,ეშენებინოთ,ეშენებინოთ,
IIIsubj_prfv
,წარმომეშენებინო,წარმომეშენებინოს,,წარმომეშენებინოთ,წარმომეშენებინოს,
წარმოგეშენებინო,,წარმოგეშენებინოს,წარმოგეშენებინოთ,,წარმოგეშენებინოს,
წარმოვეშენებინო,წარმოეშენებინო,წარმოეშენებინოს,წარმოვეშენებინოთ,წარმოეშენებინოთ,წარმოეშენებინოს,
,წარმოგვეშენებინო,წარმოგვეშენებინოს,,წარმოგვეშენებინოთ,წარმოგვეშენებინოს,
წარმოგეშენებინოთ,,წარმოგეშენებინოთ,წარმოგეშენებინოთ,,წარმოგეშენებინოთ,
