fut2
,გეწერები,ვეწერები,,გეწერებით,ვეწერები,
მეწერები,,ეწერები,გვეწერები,,ეწერები,
მეწერება,გეწერება,ეწერება,გვეწერება,გეწერებათ,ეწერება,
,გეწერებით,ვეწერებით,,გეწერებით,ვეწერებით,
მეწერებით,,ეწერებით,გვეწერებით,,ეწერებით,
მეწერებიან,გეწერებიან,ეწერებიან,გვეწერებიან,გეწერებიან,ეწერებიან,
fut2_prfv
,წარმოგეწერები,წარმოვეწერები,,წარმოგეწერებით,წარმოვეწერები,
წარმომეწერები,,წარმოეწერები,წარმოგვეწერები,,წარმოეწერები,
წარმომეწერება,წარმოგეწერება,წარმოეწერება,წარმოგვეწერება,წარმოგეწერებათ,წარმოეწერება,
,წარმოგეწერებით,წარმოვეწერებით,,წარმოგეწერებით,წარმოვეწერებით,
წარმომეწერებით,,წარმოეწერებით,წარმოგვეწერებით,,წარმოეწერებით,
წარმომეწერებიან,წარმოგეწერებიან,წარმოეწერებიან,წარმოგვეწერებიან,წარმოგეწერებიან,წარმოეწერებიან,
cond2
,გეწერებოდი,ვეწერებოდი,,გეწერებოდით,ვეწერებოდი,
მეწერებოდი,,ეწერებოდი,გვეწერებოდი,,ეწერებოდი,
მეწერებოდა,გეწერებოდა,ეწერებოდა,გვეწერებოდა,გეწერებოდათ,ეწერებოდა,
,გეწერებოდით,ვეწერებოდით,,გეწერებოდით,ვეწერებოდით,
მეწერებოდით,,ეწერებოდით,გვეწერებოდით,,ეწერებოდით,
მეწერებოდნენ,გეწერებოდნენ,ეწერებოდნენ,გვეწერებოდნენ,გეწერებოდნენ,ეწერებოდნენ,
cond2_prfv
,წარმოგეწერებოდი,წარმოვეწერებოდი,,წარმოგეწერებოდით,წარმოვეწერებოდი,
წარმომეწერებოდი,,წარმოეწერებოდი,წარმოგვეწერებოდი,,წარმოეწერებოდი,
წარმომეწერებოდა,წარმოგეწერებოდა,წარმოეწერებოდა,წარმოგვეწერებოდა,წარმოგეწერებოდათ,წარმოეწერებოდა,
,წარმოგეწერებოდით,წარმოვეწერებოდით,,წარმოგეწერებოდით,წარმოვეწერებოდით,
წარმომეწერებოდით,,წარმოეწერებოდით,წარმოგვეწერებოდით,,წარმოეწერებოდით,
წარმომეწერებოდნენ,წარმოგეწერებოდნენ,წარმოეწერებოდნენ,წარმოგვეწერებოდნენ,წარმოგეწერებოდნენ,წარმოეწერებოდნენ,
fut2_subj
,გეწერებოდე,ვეწერებოდე,,გეწერებოდეთ,ვეწერებოდე,
მეწერებოდე,,ეწერებოდე,გვეწერებოდე,,ეწერებოდე,
მეწერებოდეს,გეწერებოდეს,ეწერებოდეს,გვეწერებოდეს,გეწერებოდეთ,ეწერებოდეს,
,გეწერებოდეთ,ვეწერებოდეთ,,გეწერებოდეთ,ვეწერებოდეთ,
მეწერებოდეთ,,ეწერებოდეთ,გვეწერებოდეთ,,ეწერებოდეთ,
მეწერებოდნენ,გეწერებოდნენ,ეწერებოდნენ,გვეწერებოდნენ,გეწერებოდნენ,ეწერებოდნენ,
fut2_subj_prfv
,წარმოგეწერებოდე,წარმოვეწერებოდე,,წარმოგეწერებოდეთ,წარმოვეწერებოდე,
წარმომეწერებოდე,,წარმოეწერებოდე,წარმოგვეწერებოდე,,წარმოეწერებოდე,
წარმომეწერებოდეს,წარმოგეწერებოდეს,წარმოეწერებოდეს,წარმოგვეწერებოდეს,წარმოგეწერებოდეთ,წარმოეწერებოდეს,
,წარმოგეწერებოდეთ,წარმოვეწერებოდეთ,,წარმოგეწერებოდეთ,წარმოვეწერებოდეთ,
წარმომეწერებოდეთ,,წარმოეწერებოდეთ,წარმოგვეწერებოდეთ,,წარმოეწერებოდეთ,
წარმომეწერებოდნენ,წარმოგეწერებოდნენ,წარმოეწერებოდნენ,წარმოგვეწერებოდნენ,წარმოგეწერებოდნენ,წარმოეწერებოდნენ,
aor2
