pres
,გზრდი,ვზრდი,,გზრდით,ვზრდი,
მზრდი,,ზრდი,გვზრდი,,ზრდი,
მზრდის,გზრდის,ზრდის,გვზრდის,გზრდით,ზრდის,
,გზრდით,ვზრდით,,გზრდით,ვზრდით,
მზრდით,,ზრდით,გვზრდით,,ზრდით,
მზრდიან,გზრდიან,ზრდიან,გვზრდიან,გზრდიან,ზრდიან,
fut
,წარმოგზრდი,წარმოვზრდი,,წარმოგზრდით,წარმოვზრდი,
წარმომზრდი,,წარმოზრდი,წარმოგვზრდი,,წარმოზრდი,
წარმომზრდის,წარმოგზრდის,წარმოზრდის,წარმოგვზრდის,წარმოგზრდით,წარმოზრდის,
,წარმოგზრდით,წარმოვზრდით,,წარმოგზრდით,წარმოვზრდით,
წარმომზრდით,,წარმოზრდით,წარმოგვზრდით,,წარმოზრდით,
წარმომზრდიან,წარმოგზრდიან,წარმოზრდიან,წარმოგვზრდიან,წარმოგზრდიან,წარმოზრდიან,
impf
,გზრდიდი,ვზრდიდი,,გზრდიდით,ვზრდიდი,
მზრდიდი,,ზრდიდი,გვზრდიდი,,ზრდიდი,
მზრდიდა,გზრდიდა,ზრდიდა,გვზრდიდა,გზრდიდათ,ზრდიდა,
,გზრდიდით,ვზრდიდით,,გზრდიდით,ვზრდიდით,
მზრდიდით,,ზრდიდით,გვზრდიდით,,ზრდიდით,
მზრდიდნენ,გზრდიდნენ,ზრდიდნენ,გვზრდიდნენ,გზრდიდნენ,ზრდიდნენ,
cond
,წარმოგზრდიდი,წარმოვზრდიდი,,წარმოგზრდიდით,წარმოვზრდიდი,
წარმომზრდიდი,,წარმოზრდიდი,წარმოგვზრდიდი,,წარმოზრდიდი,
წარმომზრდიდა,წარმოგზრდიდა,წარმოზრდიდა,წარმოგვზრდიდა,წარმოგზრდიდათ,წარმოზრდიდა,
,წარმოგზრდიდით,წარმოვზრდიდით,,წარმოგზრდიდით,წარმოვზრდიდით,
წარმომზრდიდით,,წარმოზრდიდით,წარმოგვზრდიდით,,წარმოზრდიდით,
წარმომზრდიდნენ,წარმოგზრდიდნენ,წარმოზრდიდნენ,წარმოგვზრდიდნენ,წარმოგზრდიდნენ,წარმოზრდიდნენ,
subj
,გზრდიდე,ვზრდიდე,,გზრდიდეთ,ვზრდიდე,
მზრდიდე,,ზრდიდე,გვზრდიდე,,ზრდიდე,
მზრდიდეს,გზრდიდეს,ზრდიდეს,გვზრდიდეს,გზრდიდეთ,ზრდიდეს,
,გზრდიდეთ,ვზრდიდეთ,,გზრდიდეთ,ვზრდიდეთ,
მზრდიდეთ,,ზრდიდეთ,გვზრდიდეთ,,ზრდიდეთ,
მზრდიდნენ,გზრდიდნენ,ზრდიდნენ,გვზრდიდნენ,გზრდიდნენ,ზრდიდნენ,
fut_subj
,წარმოგზრდიდე,წარმოვზრდიდე,,წარმოგზრდიდეთ,წარმოვზრდიდე,
წარმომზრდიდე,,წარმოზრდიდე,წარმოგვზრდიდე,,წარმოზრდიდე,
წარმომზრდიდეს,წარმოგზრდიდეს,წარმოზრდიდეს,წარმოგვზრდიდეს,წარმოგზრდიდეთ,წარმოზრდიდეს,
,წარმოგზრდიდეთ,წარმოვზრდიდეთ,,წარმოგზრდიდეთ,წარმოვზრდიდეთ,
წარმომზრდიდეთ,,წარმოზრდიდეთ,წარმოგვზრდიდეთ,,წარმოზრდიდეთ,
წარმომზრდიდნენ,წარმოგზრდიდნენ,წარმოზრდიდნენ,წარმოგვზრდიდნენ,წარმოგზრდიდნენ,წარმოზრდიდნენ,
aor
,გზარდე,ვზარდე,,გზარდეთ,ვზარდე,
მზარდე,,ზარდე,გვზარდე,,ზარდე,
მზარდა,გზარდა,ზარდა,გვზარდა,გზარდათ,ზარდა,
,გზარდეთ,ვზარდეთ,,გზარდეთ,ვზარდეთ,
მზარდეთ,,ზარდეთ,გვზარდეთ,,ზარდეთ,
მზარდეს,გზარდეს,ზარდეს,გვზარდეს,გზარდეს,ზარდეს,
aor_prfv
,წარმოგზარდე,წარმოვზარდე,,წარმოგზარდეთ,წარმოვზარდე,
წარმომზარდე,,წარმოზარდე,წარმოგვზარდე,,წარმოზარდე,
წარმომზარდა,წარმოგზარდა,წარმოზარდა,წარმოგვზარდა,წარმოგზარდათ,წარმოზარდა,
,წარმოგზარდეთ,წარმოვზარდეთ,,წარმოგზარდეთ,წარმოვზარდეთ,
წარმომზარდეთ,,წარმოზარდეთ,წარმოგვზარდეთ,,წარმოზარდეთ,
წარმომზარდეს,წარმოგზარდეს,წარმოზარდეს,წარმოგვზარდეს,წარმოგზარდეს,წარმოზარდეს,
IIsubj
,გზარდო,ვზარდო,,გზარდოთ,ვზარდო,
მზარდო,,ზარდო,გვზარდო,,ზარდო,
მზარდოს,გზარდოს,ზარდოს,გვზარდოს,გზარდოთ,ზარდოს,
,გზარდოთ,ვზარდოთ,,გზარდოთ,ვზარდოთ,
მზარდოთ,,ზარდოთ,გვზარდოთ,,ზარდოთ,
მზარდონ,გზარდონ,ზარდონ,გვზარდონ,გზარდონ,ზარდონ,
IIsubj_prfv
,წარმოგზარდო,წარმოვზარდო,,წარმოგზარდოთ,წარმოვზარდო,
წარმომზარდო,,წარმოზარდო,წარმოგვზარდო,,წარმოზარდო,
წარმომზარდოს,წარმოგზარდოს,წარმოზარდოს,წარმოგვზარდოს,წარმოგზარდოთ,წარმოზარდოს,
,წარმოგზარდოთ,წარმოვზარდოთ,,წარმოგზარდოთ,წარმოვზარდოთ,
წარმომზარდოთ,,წარმოზარდოთ,წარმოგვზარდოთ,,წარმოზარდოთ,
წარმომზარდონ,წარმოგზარდონ,წარმოზარდონ,წარმოგვზარდონ,წარმოგზარდონ,წარმოზარდონ,
Iturm
,მიზრდიხარ,მიზრდია,,მიზრდიხართ,მიზრდია,
გიზრდივარ,,გიზრდია,გიზრდივართ,,გიზრდია,
ვუზრდივარ,უზრდიხარ,უზრდია,ვუზრდივართ,უზრდიხართ,უზრდია,
,გვიზრდიხარ,გვიზრდია,,გვიზრდიხართ,გვიზრდია,
გიზრდივართ,,გიზრდიათ,გიზრდივართ,,გიზრდიათ,
ვუზრდივარ,უზრდიხარ,უზრდიათ,ვუზრდივართ,უზრდიხართ,უზრდიათ,
Iturm_prfv
,წარმომიზრდიხარ,წარმომიზრდია,,წარმომიზრდიხართ,წარმომიზრდია,
წარმოგიზრდივარ,,წარმოგიზრდია,წარმოგიზრდივართ,,წარმოგიზრდია,
წარმოვუზრდივარ,წარმოუზრდიხარ,წარმოუზრდია,წარმოვუზრდივართ,წარმოუზრდიხართ,წარმოუზრდია,
,წარმოგვიზრდიხარ,წარმოგვიზრდია,,წარმოგვიზრდიხართ,წარმოგვიზრდია,
წარმოგიზრდივართ,,წარმოგიზრდიათ,წარმოგიზრდივართ,,წარმოგიზრდიათ,
წარმოვუზრდივარ,წარმოუზრდიხარ,წარმოუზრდიათ,წარმოვუზრდივართ,წარმოუზრდიხართ,წარმოუზრდიათ,
IIturm
,მეზარდე,მეზარდა,,მეზარდეთ,მეზარდა,
გეზარდე,,გეზარდა,გეზარდეთ,,გეზარდა,
ვეზარდე,ეზარდე,ეზარდა,ვეზარდეთ,ეზარდეთ,ეზარდა,
,გვეზარდე,გვეზარდა,,გვეზარდეთ,გვეზარდა,
გეზარდეთ,,გეზარდათ,გეზარდეთ,,გეზარდათ,
ვეზარდე,ეზარდე,ეზარდათ,ვეზარდეთ,ეზარდეთ,ეზარდათ,
IIturm_prfv
,წარმომეზარდე,წარმომეზარდა,,წარმომეზარდეთ,წარმომეზარდა,
წარმოგეზარდე,,წარმოგეზარდა,წარმოგეზარდეთ,,წარმოგეზარდა,
წარმოვეზარდე,წარმოეზარდე,წარმოეზარდა,წარმოვეზარდეთ,წარმოეზარდეთ,წარმოეზარდა,
,წარმოგვეზარდე,წარმოგვეზარდა,,წარმოგვეზარდეთ,წარმოგვეზარდა,
წარმოგეზარდეთ,,წარმოგეზარდათ,წარმოგეზარდეთ,,წარმოგეზარდათ,
წარმოვეზარდე,წარმოეზარდე,წარმოეზარდათ,წარმოვეზარდეთ,წარმოეზარდეთ,წარმოეზარდათ,
IIIsubj
,მეზარდო,მეზარდოს,,მეზარდოთ,მეზარდოს,
გეზარდო,,გეზარდოს,გეზარდოთ,,გეზარდოს,
ვეზარდო,ეზარდო,ეზარდოს,ვეზარდოთ,ეზარდოთ,ეზარდოს,
,გვეზარდო,გვეზარდოს,,გვეზარდოთ,გვეზარდოს,
გეზარდოთ,,გეზარდოთ,გეზარდოთ,,გეზარდოთ,
ვეზარდო,ეზარდო,ეზარდოთ,ვეზარდოთ,ეზარდოთ,ეზარდოთ,
IIIsubj_prfv
,წარმომეზარდო,წარმომეზარდოს,,წარმომეზარდოთ,წარმომეზარდოს,
წარმოგეზარდო,,წარმოგეზარდოს,წარმოგეზარდოთ,,წარმოგეზარდოს,
წარმოვეზარდო,წარმოეზარდო,წარმოეზარდოს,წარმოვეზარდოთ,წარმოეზარდოთ,წარმოეზარდოს,
,წარმოგვეზარდო,წარმოგვეზარდოს,,წარმოგვეზარდოთ,წარმოგვეზარდოს,
წარმოგეზარდოთ,,წარმოგეზარდოთ,წარმოგეზარდოთ,,წარმოგეზარდოთ,
წარმოვეზარდო,წარმოეზარდო,წარმოეზარდოთ,წარმოვეზარდოთ,წარმოეზარდოთ,წარმოეზარდოთ,
