pres
,გკრავ,ვკრავ,,გკრავთ,ვკრავ,
მკრავ,,კრავ,გვკრავ,,კრავ,
მკრავს,გკრავს,კრავს,გვკრავს,გკრავთ,კრავს,
,გკრავთ,ვკრავთ,,გკრავთ,ვკრავთ,
მკრავთ,,კრავთ,გვკრავთ,,კრავთ,
მკრავენ,გკრავენ,კრავენ,გვკრავენ,გკრავენ,კრავენ,
fut
,წარმოგკრავ,წარმოვკრავ,,წარმოგკრავთ,წარმოვკრავ,
წარმომკრავ,,წარმოკრავ,წარმოგვკრავ,,წარმოკრავ,
წარმომკრავს,წარმოგკრავს,წარმოკრავს,წარმოგვკრავს,წარმოგკრავთ,წარმოკრავს,
,წარმოგკრავთ,წარმოვკრავთ,,წარმოგკრავთ,წარმოვკრავთ,
წარმომკრავთ,,წარმოკრავთ,წარმოგვკრავთ,,წარმოკრავთ,
წარმომკრავენ,წარმოგკრავენ,წარმოკრავენ,წარმოგვკრავენ,წარმოგკრავენ,წარმოკრავენ,
impf
,გკრავდი,ვკრავდი,,გკრავდით,ვკრავდი,
მკრავდი,,კრავდი,გვკრავდი,,კრავდი,
მკრავდა,გკრავდა,კრავდა,გვკრავდა,გკრავდათ,კრავდა,
,გკრავდით,ვკრავდით,,გკრავდით,ვკრავდით,
მკრავდით,,კრავდით,გვკრავდით,,კრავდით,
მკრავდნენ,გკრავდნენ,კრავდნენ,გვკრავდნენ,გკრავდნენ,კრავდნენ,
cond
,წარმოგკრავდი,წარმოვკრავდი,,წარმოგკრავდით,წარმოვკრავდი,
წარმომკრავდი,,წარმოკრავდი,წარმოგვკრავდი,,წარმოკრავდი,
წარმომკრავდა,წარმოგკრავდა,წარმოკრავდა,წარმოგვკრავდა,წარმოგკრავდათ,წარმოკრავდა,
,წარმოგკრავდით,წარმოვკრავდით,,წარმოგკრავდით,წარმოვკრავდით,
წარმომკრავდით,,წარმოკრავდით,წარმოგვკრავდით,,წარმოკრავდით,
წარმომკრავდნენ,წარმოგკრავდნენ,წარმოკრავდნენ,წარმოგვკრავდნენ,წარმოგკრავდნენ,წარმოკრავდნენ,
subj
,გკრავდე,ვკრავდე,,გკრავდეთ,ვკრავდე,
მკრავდე,,კრავდე,გვკრავდე,,კრავდე,
მკრავდეს,გკრავდეს,კრავდეს,გვკრავდეს,გკრავდეთ,კრავდეს,
,გკრავდეთ,ვკრავდეთ,,გკრავდეთ,ვკრავდეთ,
მკრავდეთ,,კრავდეთ,გვკრავდეთ,,კრავდეთ,
მკრავდნენ,გკრავდნენ,კრავდნენ,გვკრავდნენ,გკრავდნენ,კრავდნენ,
fut_subj
,წარმოგკრავდე,წარმოვკრავდე,,წარმოგკრავდეთ,წარმოვკრავდე,
წარმომკრავდე,,წარმოკრავდე,წარმოგვკრავდე,,წარმოკრავდე,
წარმომკრავდეს,წარმოგკრავდეს,წარმოკრავდეს,წარმოგვკრავდეს,წარმოგკრავდეთ,წარმოკრავდეს,
,წარმოგკრავდეთ,წარმოვკრავდეთ,,წარმოგკრავდეთ,წარმოვკრავდეთ,
წარმომკრავდეთ,,წარმოკრავდეთ,წარმოგვკრავდეთ,,წარმოკრავდეთ,
