pres
,გნანობ,ვნანობ,,გნანობთ,ვნანობ,
მნანობ,,ნანობ,გვნანობ,,ნანობ,
მნანობს,გნანობს,ნანობს,გვნანობს,გნანობთ,ნანობს,
,გნანობთ,ვნანობთ,,გნანობთ,ვნანობთ,
მნანობთ,,ნანობთ,გვნანობთ,,ნანობთ,
მნანობენ,გნანობენ,ნანობენ,გვნანობენ,გნანობენ,ნანობენ,
fut2
,გინანებ,ვინანებ,,გინანებთ,ვინანებ,
მინანებ,,ინანებ,გვინანებ,,ინანებ,
მინანებს,გინანებს,ინანებს,გვინანებს,გინანებთ,ინანებს,
,გინანებთ,ვინანებთ,,გინანებთ,ვინანებთ,
მინანებთ,,ინანებთ,გვინანებთ,,ინანებთ,
მინანებენ,გინანებენ,ინანებენ,გვინანებენ,გინანებენ,ინანებენ,
fut2_prfv
,წარმოგინანებ,წარმოვინანებ,,წარმოგინანებთ,წარმოვინანებ,
წარმომინანებ,,წარმოინანებ,წარმოგვინანებ,,წარმოინანებ,
წარმომინანებს,წარმოგინანებს,წარმოინანებს,წარმოგვინანებს,წარმოგინანებთ,წარმოინანებს,
,წარმოგინანებთ,წარმოვინანებთ,,წარმოგინანებთ,წარმოვინანებთ,
წარმომინანებთ,,წარმოინანებთ,წარმოგვინანებთ,,წარმოინანებთ,
წარმომინანებენ,წარმოგინანებენ,წარმოინანებენ,წარმოგვინანებენ,წარმოგინანებენ,წარმოინანებენ,
impf
,გნანობდი,ვნანობდი,,გნანობდით,ვნანობდი,
მნანობდი,,ნანობდი,გვნანობდი,,ნანობდი,
მნანობდა,გნანობდა,ნანობდა,გვნანობდა,გნანობდათ,ნანობდა,
,გნანობდით,ვნანობდით,,გნანობდით,ვნანობდით,
მნანობდით,,ნანობდით,გვნანობდით,,ნანობდით,
მნანობდნენ,გნანობდნენ,ნანობდნენ,გვნანობდნენ,გნანობდნენ,ნანობდნენ,
cond2
,გინანებდი,ვინანებდი,,გინანებდით,ვინანებდი,
მინანებდი,,ინანებდი,გვინანებდი,,ინანებდი,
მინანებდა,გინანებდა,ინანებდა,გვინანებდა,გინანებდათ,ინანებდა,
,გინანებდით,ვინანებდით,,გინანებდით,ვინანებდით,
მინანებდით,,ინანებდით,გვინანებდით,,ინანებდით,
მინანებდნენ,გინანებდნენ,ინანებდნენ,გვინანებდნენ,გინანებდნენ,ინანებდნენ,
cond2_prfv
,წარმოგინანებდი,წარმოვინანებდი,,წარმოგინანებდით,წარმოვინანებდი,
წარმომინანებდი,,წარმოინანებდი,წარმოგვინანებდი,,წარმოინანებდი,
წარმომინანებდა,წარმოგინანებდა,წარმოინანებდა,წარმოგვინანებდა,წარმოგინანებდათ,წარმოინანებდა,
,წარმოგინანებდით,წარმოვინანებდით,,წარმოგინანებდით,წარმოვინანებდით,
წარმომინანებდით,,წარმოინანებდით,წარმოგვინანებდით,,წარმოინანებდით,
წარმომინანებდნენ,წარმოგინანებდნენ,წარმოინანებდნენ,წარმოგვინანებდნენ,წარმოგინანებდნენ,წარმოინანებდნენ,
subj
,გნანობდე,ვნანობდე,,გნანობდეთ,ვნანობდე,
მნანობდე,,ნანობდე,გვნანობდე,,ნანობდე,
მნანობდეს,გნანობდეს,ნანობდეს,გვნანობდეს,გნანობდეთ,ნანობდეს,
,გნანობდეთ,ვნანობდეთ,,გნანობდეთ,ვნანობდეთ,
მნანობდეთ,,ნანობდეთ,გვნანობდეთ,,ნანობდეთ,
მნანობდნენ,გნანობდნენ,ნანობდნენ,გვნანობდნენ,გნანობდნენ,ნანობდნენ,
fut2_subj
,გინანებდე,ვინანებდე,,გინანებდეთ,ვინანებდე,
მინანებდე,,ინანებდე,გვინანებდე,,ინანებდე,
მინანებდეს,გინანებდეს,ინანებდეს,გვინანებდეს,გინანებდეთ,ინანებდეს,
,გინანებდეთ,ვინანებდეთ,,გინანებდეთ,ვინანებდეთ,
მინანებდეთ,,ინანებდეთ,გვინანებდეთ,,ინანებდეთ,
მინანებდნენ,გინანებდნენ,ინანებდნენ,გვინანებდნენ,გინანებდნენ,ინანებდნენ,
fut2_subj_prfv
,წარმოგინანებდე,წარმოვინანებდე,,წარმოგინანებდეთ,წარმოვინანებდე,
წარმომინანებდე,,წარმოინანებდე,წარმოგვინანებდე,,წარმოინანებდე,
წარმომინანებდეს,წარმოგინანებდეს,წარმოინანებდეს,წარმოგვინანებდეს,წარმოგინანებდეთ,წარმოინანებდეს,
,წარმოგინანებდეთ,წარმოვინანებდეთ,,წარმოგინანებდეთ,წარმოვინანებდეთ,
წარმომინანებდეთ,,წარმოინანებდეთ,წარმოგვინანებდეთ,,წარმოინანებდეთ,
წარმომინანებდნენ,წარმოგინანებდნენ,წარმოინანებდნენ,წარმოგვინანებდნენ,წარმოგინანებდნენ,წარმოინანებდნენ,
aor2
,გინანე,ვინანე,,გინანეთ,ვინანე,
მინანე,,ინანე,გვინანე,,ინანე,
მინანა,გინანა,ინანა,გვინანა,გინანათ,ინანა,
,გინანეთ,ვინანეთ,,გინანეთ,ვინანეთ,
