fut2
,გითმენ,ვუთმენ,,გითმენთ,ვუთმენ,
მითმენ,,უთმენ,გვითმენ,,უთმენ,
მითმენს,გითმენს,უთმენს,გვითმენს,გითმენთ,უთმენს,
,გითმენთ,ვუთმენთ,,გითმენთ,ვუთმენთ,
მითმენთ,,უთმენთ,გვითმენთ,,უთმენთ,
მითმენენ,გითმენენ,უთმენენ,გვითმენენ,გითმენენ,უთმენენ,
fut2_prfv
,წარმოგითმენ,წარმოვუთმენ,,წარმოგითმენთ,წარმოვუთმენ,
წარმომითმენ,,წარმოუთმენ,წარმოგვითმენ,,წარმოუთმენ,
წარმომითმენს,წარმოგითმენს,წარმოუთმენს,წარმოგვითმენს,წარმოგითმენთ,წარმოუთმენს,
,წარმოგითმენთ,წარმოვუთმენთ,,წარმოგითმენთ,წარმოვუთმენთ,
წარმომითმენთ,,წარმოუთმენთ,წარმოგვითმენთ,,წარმოუთმენთ,
წარმომითმენენ,წარმოგითმენენ,წარმოუთმენენ,წარმოგვითმენენ,წარმოგითმენენ,წარმოუთმენენ,
cond2
,გითმენდი,ვუთმენდი,,გითმენდით,ვუთმენდი,
მითმენდი,,უთმენდი,გვითმენდი,,უთმენდი,
მითმენდა,გითმენდა,უთმენდა,გვითმენდა,გითმენდათ,უთმენდა,
,გითმენდით,ვუთმენდით,,გითმენდით,ვუთმენდით,
მითმენდით,,უთმენდით,გვითმენდით,,უთმენდით,
მითმენდნენ,გითმენდნენ,უთმენდნენ,გვითმენდნენ,გითმენდნენ,უთმენდნენ,
cond2_prfv
,წარმოგითმენდი,წარმოვუთმენდი,,წარმოგითმენდით,წარმოვუთმენდი,
წარმომითმენდი,,წარმოუთმენდი,წარმოგვითმენდი,,წარმოუთმენდი,
წარმომითმენდა,წარმოგითმენდა,წარმოუთმენდა,წარმოგვითმენდა,წარმოგითმენდათ,წარმოუთმენდა,
,წარმოგითმენდით,წარმოვუთმენდით,,წარმოგითმენდით,წარმოვუთმენდით,
წარმომითმენდით,,წარმოუთმენდით,წარმოგვითმენდით,,წარმოუთმენდით,
წარმომითმენდნენ,წარმოგითმენდნენ,წარმოუთმენდნენ,წარმოგვითმენდნენ,წარმოგითმენდნენ,წარმოუთმენდნენ,
fut2_subj
,გითმენდე,ვუთმენდე,,გითმენდეთ,ვუთმენდე,
მითმენდე,,უთმენდე,გვითმენდე,,უთმენდე,
მითმენდეს,გითმენდეს,უთმენდეს,გვითმენდეს,გითმენდეთ,უთმენდეს,
,გითმენდეთ,ვუთმენდეთ,,გითმენდეთ,ვუთმენდეთ,
მითმენდეთ,,უთმენდეთ,გვითმენდეთ,,უთმენდეთ,
მითმენდნენ,გითმენდნენ,უთმენდნენ,გვითმენდნენ,გითმენდნენ,უთმენდნენ,
fut2_subj_prfv
,წარმოგითმენდე,წარმოვუთმენდე,,წარმოგითმენდეთ,წარმოვუთმენდე,
წარმომითმენდე,,წარმოუთმენდე,წარმოგვითმენდე,,წარმოუთმენდე,
წარმომითმენდეს,წარმოგითმენდეს,წარმოუთმენდეს,წარმოგვითმენდეს,წარმოგითმენდეთ,წარმოუთმენდეს,
,წარმოგითმენდეთ,წარმოვუთმენდეთ,,წარმოგითმენდეთ,წარმოვუთმენდეთ,
წარმომითმენდეთ,,წარმოუთმენდეთ,წარმოგვითმენდეთ,,წარმოუთმენდეთ,
წარმომითმენდნენ,წარმოგითმენდნენ,წარმოუთმენდნენ,წარმოგვითმენდნენ,წარმოგითმენდნენ,წარმოუთმენდნენ,
aor2
,გითმინე,ვუთმინე,,გითმინეთ,ვუთმინე,
მითმინე,,უთმინე,გვითმინე,,უთმინე,
მითმინა,გითმინა,უთმინა,გვითმინა,გითმინათ,უთმინა,
,გითმინეთ,ვუთმინეთ,,გითმინეთ,ვუთმინეთ,
მითმინეთ,,უთმინეთ,გვითმინეთ,,უთმინეთ,
მითმინეს,გითმინეს,უთმინეს,გვითმინეს,გითმინეს,უთმინეს,
aor2_prfv
,წარმოგითმინე,წარმოვუთმინე,,წარმოგითმინეთ,წარმოვუთმინე,
წარმომითმინე,,წარმოუთმინე,წარმოგვითმინე,,წარმოუთმინე,
წარმომითმინა,წარმოგითმინა,წარმოუთმინა,წარმოგვითმინა,წარმოგითმინათ,წარმოუთმინა,
,წარმოგითმინეთ,წარმოვუთმინეთ,,წარმოგითმინეთ,წარმოვუთმინეთ,
წარმომითმინეთ,,წარმოუთმინეთ,წარმოგვითმინეთ,,წარმოუთმინეთ,
წარმომითმინეს,წარმოგითმინეს,წარმოუთმინეს,წარმოგვითმინეს,წარმოგითმინეს,წარმოუთმინეს,
IIsubj2
,გითმინო,ვუთმინო,,გითმინოთ,ვუთმინო,
მითმინო,,უთმინო,გვითმინო,,უთმინო,
მითმინოს,გითმინოს,უთმინოს,გვითმინოს,გითმინოთ,უთმინოს,
,გითმინოთ,ვუთმინოთ,,გითმინოთ,ვუთმინოთ,
მითმინოთ,,უთმინოთ,გვითმინოთ,,უთმინოთ,
მითმინონ,გითმინონ,უთმინონ,გვითმინონ,გითმინონ,უთმინონ,
IIsubj2_prfv
,წარმოგითმინო,წარმოვუთმინო,,წარმოგითმინოთ,წარმოვუთმინო,
წარმომითმინო,,წარმოუთმინო,წარმოგვითმინო,,წარმოუთმინო,
წარმომითმინოს,წარმოგითმინოს,წარმოუთმინოს,წარმოგვითმინოს,წარმოგითმინოთ,წარმოუთმინოს,
