pres
,გჩქმეტ,ვჩქმეტ,,გჩქმეტთ,ვჩქმეტ,
მჩქმეტ,,ჩქმეტ,გვჩქმეტ,,ჩქმეტ,
მჩქმეტს,გჩქმეტს,ჩქმეტს,გვჩქმეტს,გჩქმეტთ,ჩქმეტს,
,გჩქმეტთ,ვჩქმეტთ,,გჩქმეტთ,ვჩქმეტთ,
მჩქმეტთ,,ჩქმეტთ,გვჩქმეტთ,,ჩქმეტთ,
მჩქმეტენ,გჩქმეტენ,ჩქმეტენ,გვჩქმეტენ,გჩქმეტენ,ჩქმეტენ,
fut
,წარმოგჩქმეტ,წარმოვჩქმეტ,,წარმოგჩქმეტთ,წარმოვჩქმეტ,
წარმომჩქმეტ,,წარმოჩქმეტ,წარმოგვჩქმეტ,,წარმოჩქმეტ,
წარმომჩქმეტს,წარმოგჩქმეტს,წარმოჩქმეტს,წარმოგვჩქმეტს,წარმოგჩქმეტთ,წარმოჩქმეტს,
,წარმოგჩქმეტთ,წარმოვჩქმეტთ,,წარმოგჩქმეტთ,წარმოვჩქმეტთ,
წარმომჩქმეტთ,,წარმოჩქმეტთ,წარმოგვჩქმეტთ,,წარმოჩქმეტთ,
წარმომჩქმეტენ,წარმოგჩქმეტენ,წარმოჩქმეტენ,წარმოგვჩქმეტენ,წარმოგჩქმეტენ,წარმოჩქმეტენ,
fut2
,გიჩქმეტ,ვუჩქმეტ,,გიჩქმეტთ,ვუჩქმეტ,
მიჩქმეტ,,უჩქმეტ,გვიჩქმეტ,,უჩქმეტ,
მიჩქმეტს,გიჩქმეტს,უჩქმეტს,გვიჩქმეტს,გიჩქმეტთ,უჩქმეტს,
,გიჩქმეტთ,ვუჩქმეტთ,,გიჩქმეტთ,ვუჩქმეტთ,
მიჩქმეტთ,,უჩქმეტთ,გვიჩქმეტთ,,უჩქმეტთ,
მიჩქმეტენ,გიჩქმეტენ,უჩქმეტენ,გვიჩქმეტენ,გიჩქმეტენ,უჩქმეტენ,
impf
,გჩქმეტდი,ვჩქმეტდი,,გჩქმეტდით,ვჩქმეტდი,
მჩქმეტდი,,ჩქმეტდი,გვჩქმეტდი,,ჩქმეტდი,
მჩქმეტდა,გჩქმეტდა,ჩქმეტდა,გვჩქმეტდა,გჩქმეტდათ,ჩქმეტდა,
,გჩქმეტდით,ვჩქმეტდით,,გჩქმეტდით,ვჩქმეტდით,
მჩქმეტდით,,ჩქმეტდით,გვჩქმეტდით,,ჩქმეტდით,
მჩქმეტდნენ,გჩქმეტდნენ,ჩქმეტდნენ,გვჩქმეტდნენ,გჩქმეტდნენ,ჩქმეტდნენ,
cond
,წარმოგჩქმეტდი,წარმოვჩქმეტდი,,წარმოგჩქმეტდით,წარმოვჩქმეტდი,
წარმომჩქმეტდი,,წარმოჩქმეტდი,წარმოგვჩქმეტდი,,წარმოჩქმეტდი,
წარმომჩქმეტდა,წარმოგჩქმეტდა,წარმოჩქმეტდა,წარმოგვჩქმეტდა,წარმოგჩქმეტდათ,წარმოჩქმეტდა,
,წარმოგჩქმეტდით,წარმოვჩქმეტდით,,წარმოგჩქმეტდით,წარმოვჩქმეტდით,
წარმომჩქმეტდით,,წარმოჩქმეტდით,წარმოგვჩქმეტდით,,წარმოჩქმეტდით,
წარმომჩქმეტდნენ,წარმოგჩქმეტდნენ,წარმოჩქმეტდნენ,წარმოგვჩქმეტდნენ,წარმოგჩქმეტდნენ,წარმოჩქმეტდნენ,
cond2
,გიჩქმეტდი,ვუჩქმეტდი,,გიჩქმეტდით,ვუჩქმეტდი,
მიჩქმეტდი,,უჩქმეტდი,გვიჩქმეტდი,,უჩქმეტდი,
მიჩქმეტდა,გიჩქმეტდა,უჩქმეტდა,გვიჩქმეტდა,გიჩქმეტდათ,უჩქმეტდა,
,გიჩქმეტდით,ვუჩქმეტდით,,გიჩქმეტდით,ვუჩქმეტდით,
მიჩქმეტდით,,უჩქმეტდით,გვიჩქმეტდით,,უჩქმეტდით,
