pres
,გცრი,ვცრი,,გცრით,ვცრი,
მცრი,,ცრი,გვცრი,,ცრი,
მცრის,გცრის,ცრის,გვცრის,გცრით,ცრის,
,გცრით,ვცრით,,გცრით,ვცრით,
მცრით,,ცრით,გვცრით,,ცრით,
მცრიან,გცრიან,ცრიან,გვცრიან,გცრიან,ცრიან,
fut
,წარმოგცრი,წარმოვცრი,,წარმოგცრით,წარმოვცრი,
წარმომცრი,,წარმოცრი,წარმოგვცრი,,წარმოცრი,
წარმომცრის,წარმოგცრის,წარმოცრის,წარმოგვცრის,წარმოგცრით,წარმოცრის,
,წარმოგცრით,წარმოვცრით,,წარმოგცრით,წარმოვცრით,
წარმომცრით,,წარმოცრით,წარმოგვცრით,,წარმოცრით,
წარმომცრიან,წარმოგცრიან,წარმოცრიან,წარმოგვცრიან,წარმოგცრიან,წარმოცრიან,
impf
,გცრიდი,ვცრიდი,,გცრიდით,ვცრიდი,
მცრიდი,,ცრიდი,გვცრიდი,,ცრიდი,
მცრიდა,გცრიდა,ცრიდა,გვცრიდა,გცრიდათ,ცრიდა,
,გცრიდით,ვცრიდით,,გცრიდით,ვცრიდით,
მცრიდით,,ცრიდით,გვცრიდით,,ცრიდით,
მცრიდნენ,გცრიდნენ,ცრიდნენ,გვცრიდნენ,გცრიდნენ,ცრიდნენ,
cond
,წარმოგცრიდი,წარმოვცრიდი,,წარმოგცრიდით,წარმოვცრიდი,
წარმომცრიდი,,წარმოცრიდი,წარმოგვცრიდი,,წარმოცრიდი,
წარმომცრიდა,წარმოგცრიდა,წარმოცრიდა,წარმოგვცრიდა,წარმოგცრიდათ,წარმოცრიდა,
,წარმოგცრიდით,წარმოვცრიდით,,წარმოგცრიდით,წარმოვცრიდით,
წარმომცრიდით,,წარმოცრიდით,წარმოგვცრიდით,,წარმოცრიდით,
წარმომცრიდნენ,წარმოგცრიდნენ,წარმოცრიდნენ,წარმოგვცრიდნენ,წარმოგცრიდნენ,წარმოცრიდნენ,
subj
,გცრიდე,ვცრიდე,,გცრიდეთ,ვცრიდე,
მცრიდე,,ცრიდე,გვცრიდე,,ცრიდე,
მცრიდეს,გცრიდეს,ცრიდეს,გვცრიდეს,გცრიდეთ,ცრიდეს,
,გცრიდეთ,ვცრიდეთ,,გცრიდეთ,ვცრიდეთ,
მცრიდეთ,,ცრიდეთ,გვცრიდეთ,,ცრიდეთ,
მცრიდნენ,გცრიდნენ,ცრიდნენ,გვცრიდნენ,გცრიდნენ,ცრიდნენ,
fut_subj
,წარმოგცრიდე,წარმოვცრიდე,,წარმოგცრიდეთ,წარმოვცრიდე,
წარმომცრიდე,,წარმოცრიდე,წარმოგვცრიდე,,წარმოცრიდე,
წარმომცრიდეს,წარმოგცრიდეს,წარმოცრიდეს,წარმოგვცრიდეს,წარმოგცრიდეთ,წარმოცრიდეს,
,წარმოგცრიდეთ,წარმოვცრიდეთ,,წარმოგცრიდეთ,წარმოვცრიდეთ,
წარმომცრიდეთ,,წარმოცრიდეთ,წარმოგვცრიდეთ,,წარმოცრიდეთ,
წარმომცრიდნენ,წარმოგცრიდნენ,წარმოცრიდნენ,წარმოგვცრიდნენ,წარმოგცრიდნენ,წარმოცრიდნენ,
aor
,გცერი,ვცერი,,გცერით,ვცერი,
მცერი,,ცერი,გვცერი,,ცერი,
მცრა,გცრა,ცრა,გვცრა,გცრათ,ცრა,
,გცერით,ვცერით,,გცერით,ვცერით,
მცერით,,ცერით,გვცერით,,ცერით,
მცრეს,გცრეს,ცრეს,გვცრეს,გცრეს,ცრეს,
aor_prfv
,წარმოგცერი,წარმოვცერი,,წარმოგცერით,წარმოვცერი,
წარმომცერი,,წარმოცერი,წარმოგვცერი,,წარმოცერი,
წარმომცრა,წარმოგცრა,წარმოცრა,წარმოგვცრა,წარმოგცრათ,წარმოცრა,
,წარმოგცერით,წარმოვცერით,,წარმოგცერით,წარმოვცერით,
წარმომცერით,,წარმოცერით,წარმოგვცერით,,წარმოცერით,
წარმომცრეს,წარმოგცრეს,წარმოცრეს,წარმოგვცრეს,წარმოგცრეს,წარმოცრეს,
IIsubj
,გცრა,ვცრა,,გცრათ,ვცრა,
მცრა,,ცრა,გვცრა,,ცრა,
მცრას,გცრას,ცრას,გვცრას,გცრათ,ცრას,
,გცრათ,ვცრათ,,გცრათ,ვცრათ,
მცრათ,,ცრათ,გვცრათ,,ცრათ,
მცრან,გცრან,ცრან,გვცრან,გცრან,ცრან,
IIsubj_prfv
,წარმოგცრა,წარმოვცრა,,წარმოგცრათ,წარმოვცრა,
წარმომცრა,,წარმოცრა,წარმოგვცრა,,წარმოცრა,
წარმომცრას,წარმოგცრას,წარმოცრას,წარმოგვცრას,წარმოგცრათ,წარმოცრას,
,წარმოგცრათ,წარმოვცრათ,,წარმოგცრათ,წარმოვცრათ,
წარმომცრათ,,წარმოცრათ,წარმოგვცრათ,,წარმოცრათ,
წარმომცრან,წარმოგცრან,წარმოცრან,წარმოგვცრან,წარმოგცრან,წარმოცრან,
Iturm
,მიცრიხარ,მიცრია,,მიცრიხართ,მიცრია,
გიცრივარ,,გიცრია,გიცრივართ,,გიცრია,
ვუცრივარ,უცრიხარ,უცრია,ვუცრივართ,უცრიხართ,უცრია,
,გვიცრიხარ,გვიცრია,,გვიცრიხართ,გვიცრია,
გიცრივართ,,გიცრიათ,გიცრივართ,,გიცრიათ,
ვუცრივარ,უცრიხარ,უცრიათ,ვუცრივართ,უცრიხართ,უცრიათ,
Iturm_prfv
,წარმომიცრიხარ,წარმომიცრია,,წარმომიცრიხართ,წარმომიცრია,
წარმოგიცრივარ,,წარმოგიცრია,წარმოგიცრივართ,,წარმოგიცრია,
წარმოვუცრივარ,წარმოუცრიხარ,წარმოუცრია,წარმოვუცრივართ,წარმოუცრიხართ,წარმოუცრია,
,წარმოგვიცრიხარ,წარმოგვიცრია,,წარმოგვიცრიხართ,წარმოგვიცრია,
წარმოგიცრივართ,,წარმოგიცრიათ,წარმოგიცრივართ,,წარმოგიცრიათ,
წარმოვუცრივარ,წარმოუცრიხარ,წარმოუცრიათ,წარმოვუცრივართ,წარმოუცრიხართ,წარმოუცრიათ,
IIturm
,მეცერი,მეცრა,,მეცერით,მეცრა,
გეცერი,,გეცრა,გეცერით,,გეცრა,
ვეცერი,ეცერი,ეცრა,ვეცერით,ეცერით,ეცრა,
,გვეცერი,გვეცრა,,გვეცერით,გვეცრა,
გეცერით,,გეცრათ,გეცერით,,გეცრათ,
ვეცერი,ეცერი,ეცრათ,ვეცერით,ეცერით,ეცრათ,
IIturm_prfv
,წარმომეცერი,წარმომეცრა,,წარმომეცერით,წარმომეცრა,
წარმოგეცერი,,წარმოგეცრა,წარმოგეცერით,,წარმოგეცრა,
წარმოვეცერი,წარმოეცერი,წარმოეცრა,წარმოვეცერით,წარმოეცერით,წარმოეცრა,
,წარმოგვეცერი,წარმოგვეცრა,,წარმოგვეცერით,წარმოგვეცრა,
წარმოგეცერით,,წარმოგეცრათ,წარმოგეცერით,,წარმოგეცრათ,
წარმოვეცერი,წარმოეცერი,წარმოეცრათ,წარმოვეცერით,წარმოეცერით,წარმოეცრათ,
IIIsubj
,მეცრა,მეცრას,,მეცრათ,მეცრას,
გეცრა,,გეცრას,გეცრათ,,გეცრას,
ვეცრა,ეცრა,ეცრას,ვეცრათ,ეცრათ,ეცრას,
,გვეცრა,გვეცრას,,გვეცრათ,გვეცრას,
გეცრათ,,გეცრათ,გეცრათ,,გეცრათ,
ვეცრა,ეცრა,ეცრათ,ვეცრათ,ეცრათ,ეცრათ,
IIIsubj_prfv
,წარმომეცრა,წარმომეცრას,,წარმომეცრათ,წარმომეცრას,
წარმოგეცრა,,წარმოგეცრას,წარმოგეცრათ,,წარმოგეცრას,
წარმოვეცრა,წარმოეცრა,წარმოეცრას,წარმოვეცრათ,წარმოეცრათ,წარმოეცრას,
,წარმოგვეცრა,წარმოგვეცრას,,წარმოგვეცრათ,წარმოგვეცრას,
წარმოგეცრათ,,წარმოგეცრათ,წარმოგეცრათ,,წარმოგეცრათ,
წარმოვეცრა,წარმოეცრა,წარმოეცრათ,წარმოვეცრათ,წარმოეცრათ,წარმოეცრათ,
