pres
,გჭამ,ვჭამ,,გჭამთ,ვჭამ,
მჭამ,,ჭამ,გვჭამ,,ჭამ,
მჭამს,გჭამს,ჭამს,გვჭამს,გჭამთ,ჭამს,
,გჭამთ,ვჭამთ,,გჭამთ,ვჭამთ,
მჭამთ,,ჭამთ,გვჭამთ,,ჭამთ,
მჭამენ,გჭამენ,ჭამენ,გვჭამენ,გჭამენ,ჭამენ,
fut
,წარმოგჭამ,წარმოვჭამ,,წარმოგჭამთ,წარმოვჭამ,
წარმომჭამ,,წარმოჭამ,წარმოგვჭამ,,წარმოჭამ,
წარმომჭამს,წარმოგჭამს,წარმოჭამს,წარმოგვჭამს,წარმოგჭამთ,წარმოჭამს,
,წარმოგჭამთ,წარმოვჭამთ,,წარმოგჭამთ,წარმოვჭამთ,
წარმომჭამთ,,წარმოჭამთ,წარმოგვჭამთ,,წარმოჭამთ,
წარმომჭამენ,წარმოგჭამენ,წარმოჭამენ,წარმოგვჭამენ,წარმოგჭამენ,წარმოჭამენ,
impf
,გჭამდი,ვჭამდი,,გჭამდით,ვჭამდი,
მჭამდი,,ჭამდი,გვჭამდი,,ჭამდი,
მჭამდა,გჭამდა,ჭამდა,გვჭამდა,გჭამდათ,ჭამდა,
,გჭამდით,ვჭამდით,,გჭამდით,ვჭამდით,
მჭამდით,,ჭამდით,გვჭამდით,,ჭამდით,
მჭამდნენ,გჭამდნენ,ჭამდნენ,გვჭამდნენ,გჭამდნენ,ჭამდნენ,
cond
,წარმოგჭამდი,წარმოვჭამდი,,წარმოგჭამდით,წარმოვჭამდი,
წარმომჭამდი,,წარმოჭამდი,წარმოგვჭამდი,,წარმოჭამდი,
წარმომჭამდა,წარმოგჭამდა,წარმოჭამდა,წარმოგვჭამდა,წარმოგჭამდათ,წარმოჭამდა,
,წარმოგჭამდით,წარმოვჭამდით,,წარმოგჭამდით,წარმოვჭამდით,
წარმომჭამდით,,წარმოჭამდით,წარმოგვჭამდით,,წარმოჭამდით,
წარმომჭამდნენ,წარმოგჭამდნენ,წარმოჭამდნენ,წარმოგვჭამდნენ,წარმოგჭამდნენ,წარმოჭამდნენ,
subj
,გჭამდე,ვჭამდე,,გჭამდეთ,ვჭამდე,
მჭამდე,,ჭამდე,გვჭამდე,,ჭამდე,
მჭამდეს,გჭამდეს,ჭამდეს,გვჭამდეს,გჭამდეთ,ჭამდეს,
,გჭამდეთ,ვჭამდეთ,,გჭამდეთ,ვჭამდეთ,
მჭამდეთ,,ჭამდეთ,გვჭამდეთ,,ჭამდეთ,
მჭამდნენ,გჭამდნენ,ჭამდნენ,გვჭამდნენ,გჭამდნენ,ჭამდნენ,
fut_subj
,წარმოგჭამდე,წარმოვჭამდე,,წარმოგჭამდეთ,წარმოვჭამდე,
წარმომჭამდე,,წარმოჭამდე,წარმოგვჭამდე,,წარმოჭამდე,
წარმომჭამდეს,წარმოგჭამდეს,წარმოჭამდეს,წარმოგვჭამდეს,წარმოგჭამდეთ,წარმოჭამდეს,
,წარმოგჭამდეთ,წარმოვჭამდეთ,,წარმოგჭამდეთ,წარმოვჭამდეთ,
წარმომჭამდეთ,,წარმოჭამდეთ,წარმოგვჭამდეთ,,წარმოჭამდეთ,
წარმომჭამდნენ,წარმოგჭამდნენ,წარმოჭამდნენ,წარმოგვჭამდნენ,წარმოგჭამდნენ,წარმოჭამდნენ,
aor
,გჭამე,ვჭამე,,გჭამეთ,ვჭამე,
მჭამე,,ჭამე,გვჭამე,,ჭამე,
მჭამა,გჭამა,ჭამა,გვჭამა,გჭამათ,ჭამა,
,გჭამეთ,ვჭამეთ,,გჭამეთ,ვჭამეთ,
მჭამეთ,,ჭამეთ,გვჭამეთ,,ჭამეთ,
მჭამეს,გჭამეს,ჭამეს,გვჭამეს,გჭამეს,ჭამეს,
aor_prfv
,წარმოგჭამე,წარმოვჭამე,,წარმოგჭამეთ,წარმოვჭამე,
წარმომჭამე,,წარმოჭამე,წარმოგვჭამე,,წარმოჭამე,
წარმომჭამა,წარმოგჭამა,წარმოჭამა,წარმოგვჭამა,წარმოგჭამათ,წარმოჭამა,
,წარმოგჭამეთ,წარმოვჭამეთ,,წარმოგჭამეთ,წარმოვჭამეთ,
წარმომჭამეთ,,წარმოჭამეთ,წარმოგვჭამეთ,,წარმოჭამეთ,
წარმომჭამეს,წარმოგჭამეს,წარმოჭამეს,წარმოგვჭამეს,წარმოგჭამეს,წარმოჭამეს,
IIsubj
,გჭამო,ვჭამო,,გჭამოთ,ვჭამო,
მჭამო,,ჭამო,გვჭამო,,ჭამო,
მჭამოს,გჭამოს,ჭამოს,გვჭამოს,გჭამოთ,ჭამოს,
,გჭამოთ,ვჭამოთ,,გჭამოთ,ვჭამოთ,
მჭამოთ,,ჭამოთ,გვჭამოთ,,ჭამოთ,
მჭამონ,გჭამონ,ჭამონ,გვჭამონ,გჭამონ,ჭამონ,
IIsubj_prfv
,წარმოგჭამო,წარმოვჭამო,,წარმოგჭამოთ,წარმოვჭამო,
წარმომჭამო,,წარმოჭამო,წარმოგვჭამო,,წარმოჭამო,
წარმომჭამოს,წარმოგჭამოს,წარმოჭამოს,წარმოგვჭამოს,წარმოგჭამოთ,წარმოჭამოს,
,წარმოგჭამოთ,წარმოვჭამოთ,,წარმოგჭამოთ,წარმოვჭამოთ,
წარმომჭამოთ,,წარმოჭამოთ,წარმოგვჭამოთ,,წარმოჭამოთ,
წარმომჭამონ,წარმოგჭამონ,წარმოჭამონ,წარმოგვჭამონ,წარმოგჭამონ,წარმოჭამონ,
Iturm
,მიჭამიხარ,მიჭამია,,მიჭამიხართ,მიჭამია,
გიჭამივარ,,გიჭამია,გიჭამივართ,,გიჭამია,
ვუჭამივარ,უჭამიხარ,უჭამია,ვუჭამივართ,უჭამიხართ,უჭამია,
,გვიჭამიხარ,გვიჭამია,,გვიჭამიხართ,გვიჭამია,
გიჭამივართ,,გიჭამიათ,გიჭამივართ,,გიჭამიათ,
ვუჭამივარ,უჭამიხარ,უჭამიათ,ვუჭამივართ,უჭამიხართ,უჭამიათ,
Iturm_prfv
,წარმომიჭამიხარ,წარმომიჭამია,,წარმომიჭამიხართ,წარმომიჭამია,
წარმოგიჭამივარ,,წარმოგიჭამია,წარმოგიჭამივართ,,წარმოგიჭამია,
წარმოვუჭამივარ,წარმოუჭამიხარ,წარმოუჭამია,წარმოვუჭამივართ,წარმოუჭამიხართ,წარმოუჭამია,
,წარმოგვიჭამიხარ,წარმოგვიჭამია,,წარმოგვიჭამიხართ,წარმოგვიჭამია,
წარმოგიჭამივართ,,წარმოგიჭამიათ,წარმოგიჭამივართ,,წარმოგიჭამიათ,
წარმოვუჭამივარ,წარმოუჭამიხარ,წარმოუჭამიათ,წარმოვუჭამივართ,წარმოუჭამიხართ,წარმოუჭამიათ,
IIturm
,მეჭამე,მეჭამა,,მეჭამეთ,მეჭამა,
გეჭამე,,გეჭამა,გეჭამეთ,,გეჭამა,
ვეჭამე,ეჭამე,ეჭამა,ვეჭამეთ,ეჭამეთ,ეჭამა,
,გვეჭამე,გვეჭამა,,გვეჭამეთ,გვეჭამა,
გეჭამეთ,,გეჭამათ,გეჭამეთ,,გეჭამათ,
ვეჭამე,ეჭამე,ეჭამათ,ვეჭამეთ,ეჭამეთ,ეჭამათ,
IIturm_prfv
,წარმომეჭამე,წარმომეჭამა,,წარმომეჭამეთ,წარმომეჭამა,
წარმოგეჭამე,,წარმოგეჭამა,წარმოგეჭამეთ,,წარმოგეჭამა,
