fut
,წარმოგკირკიტებ,წარმოვკირკიტებ,,წარმოგკირკიტებთ,წარმოვკირკიტებ,
წარმომკირკიტებ,,წარმოჰკირკიტებ,წარმოგვკირკიტებ,,წარმოჰკირკიტებ,
წარმომკირკიტებს,წარმოგკირკიტებს,წარმოჰკირკიტებს,წარმოგვკირკიტებს,წარმოგკირკიტებთ,წარმოჰკირკიტებს,
,წარმოგკირკიტებთ,წარმოვკირკიტებთ,,წარმოგკირკიტებთ,წარმოვკირკიტებთ,
წარმომკირკიტებთ,,წარმოჰკირკიტებთ,წარმოგვკირკიტებთ,,წარმოჰკირკიტებთ,
წარმომკირკიტებენ,წარმოგკირკიტებენ,წარმოჰკირკიტებენ,წარმოგვკირკიტებენ,წარმოგკირკიტებენ,წარმოჰკირკიტებენ,
cond
,წარმოგკირკიტებდი,წარმოვკირკიტებდი,,წარმოგკირკიტებდით,წარმოვკირკიტებდი,
წარმომკირკიტებდი,,წარმოჰკირკიტებდი,წარმოგვკირკიტებდი,,წარმოჰკირკიტებდი,
წარმომკირკიტებდა,წარმოგკირკიტებდა,წარმოჰკირკიტებდა,წარმოგვკირკიტებდა,წარმოგკირკიტებდათ,წარმოჰკირკიტებდა,
,წარმოგკირკიტებდით,წარმოვკირკიტებდით,,წარმოგკირკიტებდით,წარმოვკირკიტებდით,
წარმომკირკიტებდით,,წარმოჰკირკიტებდით,წარმოგვკირკიტებდით,,წარმოჰკირკიტებდით,
წარმომკირკიტებდნენ,წარმოგკირკიტებდნენ,წარმოჰკირკიტებდნენ,წარმოგვკირკიტებდნენ,წარმოგკირკიტებდნენ,წარმოჰკირკიტებდნენ,
fut_subj
,წარმოგკირკიტებდე,წარმოვკირკიტებდე,,წარმოგკირკიტებდეთ,წარმოვკირკიტებდე,
წარმომკირკიტებდე,,წარმოჰკირკიტებდე,წარმოგვკირკიტებდე,,წარმოჰკირკიტებდე,
წარმომკირკიტებდეს,წარმოგკირკიტებდეს,წარმოჰკირკიტებდეს,წარმოგვკირკიტებდეს,წარმოგკირკიტებდეთ,წარმოჰკირკიტებდეს,
,წარმოგკირკიტებდეთ,წარმოვკირკიტებდეთ,,წარმოგკირკიტებდეთ,წარმოვკირკიტებდეთ,
წარმომკირკიტებდეთ,,წარმოჰკირკიტებდეთ,წარმოგვკირკიტებდეთ,,წარმოჰკირკიტებდეთ,
წარმომკირკიტებდნენ,წარმოგკირკიტებდნენ,წარმოჰკირკიტებდნენ,წარმოგვკირკიტებდნენ,წარმოგკირკიტებდნენ,წარმოჰკირკიტებდნენ,
