pres
,გხატავ,ვხატავ,,გხატავთ,ვხატავ,
მხატავ,,ხატავ,გვხატავ,,ხატავ,
მხატავს,გხატავს,ხატავს,გვხატავს,გხატავთ,ხატავს,
,გხატავთ,ვხატავთ,,გხატავთ,ვხატავთ,
მხატავთ,,ხატავთ,გვხატავთ,,ხატავთ,
მხატავენ,გხატავენ,ხატავენ,გვხატავენ,გხატავენ,ხატავენ,
fut
,დაგხატავ,დავხატავ,,დაგხატავთ,დავხატავ,
დამხატავ,,დახატავ,დაგვხატავ,,დახატავ,
დამხატავს,დაგხატავს,დახატავს,დაგვხატავს,დაგხატავთ,დახატავს,
,დაგხატავთ,დავხატავთ,,დაგხატავთ,დავხატავთ,
დამხატავთ,,დახატავთ,დაგვხატავთ,,დახატავთ,
დამხატავენ,დაგხატავენ,დახატავენ,დაგვხატავენ,დაგხატავენ,დახატავენ,
impf
,გხატავდი,ვხატავდი,,გხატავდით,ვხატავდი,
მხატავდი,,ხატავდი,გვხატავდი,,ხატავდი,
მხატავდა,გხატავდა,ხატავდა,გვხატავდა,გხატავდათ,ხატავდა,
,გხატავდით,ვხატავდით,,გხატავდით,ვხატავდით,
მხატავდით,,ხატავდით,გვხატავდით,,ხატავდით,
მხატავდნენ,გხატავდნენ,ხატავდნენ,გვხატავდნენ,გხატავდნენ,ხატავდნენ,
cond
,დაგხატავდი,დავხატავდი,,დაგხატავდით,დავხატავდი,
დამხატავდი,,დახატავდი,დაგვხატავდი,,დახატავდი,
დამხატავდა,დაგხატავდა,დახატავდა,დაგვხატავდა,დაგხატავდათ,დახატავდა,
,დაგხატავდით,დავხატავდით,,დაგხატავდით,დავხატავდით,
დამხატავდით,,დახატავდით,დაგვხატავდით,,დახატავდით,
დამხატავდნენ,დაგხატავდნენ,დახატავდნენ,დაგვხატავდნენ,დაგხატავდნენ,დახატავდნენ,
subj
,გხატავდე,ვხატავდე,,გხატავდეთ,ვხატავდე,
მხატავდე,,ხატავდე,გვხატავდე,,ხატავდე,
მხატავდეს,გხატავდეს,ხატავდეს,გვხატავდეს,გხატავდეთ,ხატავდეს,
,გხატავდეთ,ვხატავდეთ,,გხატავდეთ,ვხატავდეთ,
მხატავდეთ,,ხატავდეთ,გვხატავდეთ,,ხატავდეთ,
მხატავდნენ,გხატავდნენ,ხატავდნენ,გვხატავდნენ,გხატავდნენ,ხატავდნენ,
fut_subj
,დაგხატავდე,დავხატავდე,,დაგხატავდეთ,დავხატავდე,
დამხატავდე,,დახატავდე,დაგვხატავდე,,დახატავდე,
დამხატავდეს,დაგხატავდეს,დახატავდეს,დაგვხატავდეს,დაგხატავდეთ,დახატავდეს,
,დაგხატავდეთ,დავხატავდეთ,,დაგხატავდეთ,დავხატავდეთ,
დამხატავდეთ,,დახატავდეთ,დაგვხატავდეთ,,დახატავდეთ,
დამხატავდნენ,დაგხატავდნენ,დახატავდნენ,დაგვხატავდნენ,დაგხატავდნენ,დახატავდნენ,
aor
,გხატე,ვხატე,,გხატეთ,ვხატე,
მხატე,,ხატე,გვხატე,,ხატე,
მხატა,გხატა,ხატა,გვხატა,გხატათ,ხატა,
,გხატეთ,ვხატეთ,,გხატეთ,ვხატეთ,
მხატეთ,,ხატეთ,გვხატეთ,,ხატეთ,
მხატეს,გხატეს,ხატეს,გვხატეს,გხატეს,ხატეს,
aor_prfv
,დაგხატე,დავხატე,,დაგხატეთ,დავხატე,
დამხატე,,დახატე,დაგვხატე,,დახატე,
დამხატა,დაგხატა,დახატა,დაგვხატა,დაგხატათ,დახატა,
,დაგხატეთ,დავხატეთ,,დაგხატეთ,დავხატეთ,
დამხატეთ,,დახატეთ,დაგვხატეთ,,დახატეთ,
დამხატეს,დაგხატეს,დახატეს,დაგვხატეს,დაგხატეს,დახატეს,
IIsubj
,გხატო,ვხატო,,გხატოთ,ვხატო,
მხატო,,ხატო,გვხატო,,ხატო,
მხატოს,გხატოს,ხატოს,გვხატოს,გხატოთ,ხატოს,
,გხატოთ,ვხატოთ,,გხატოთ,ვხატოთ,
მხატოთ,,ხატოთ,გვხატოთ,,ხატოთ,
მხატონ,გხატონ,ხატონ,გვხატონ,გხატონ,ხატონ,
IIsubj_prfv
,დაგხატო,დავხატო,,დაგხატოთ,დავხატო,
დამხატო,,დახატო,დაგვხატო,,დახატო,
დამხატოს,დაგხატოს,დახატოს,დაგვხატოს,დაგხატოთ,დახატოს,
,დაგხატოთ,დავხატოთ,,დაგხატოთ,დავხატოთ,
დამხატოთ,,დახატოთ,დაგვხატოთ,,დახატოთ,
დამხატონ,დაგხატონ,დახატონ,დაგვხატონ,დაგხატონ,დახატონ,
Iturm
,მიხატიხარ,მიხატია,,მიხატიხართ,მიხატია,
გიხატივარ,,გიხატია,გიხატივართ,,გიხატია,
ვუხატივარ,უხატიხარ,უხატია,ვუხატივართ,უხატიხართ,უხატია,
,გვიხატიხარ,გვიხატია,,გვიხატიხართ,გვიხატია,
გიხატივართ,,გიხატიათ,გიხატივართ,,გიხატიათ,
ვუხატივარ,უხატიხარ,უხატიათ,ვუხატივართ,უხატიხართ,უხატიათ,
Iturm_prfv
,დამიხატიხარ,დამიხატია,,დამიხატიხართ,დამიხატია,
დაგიხატივარ,,დაგიხატია,დაგიხატივართ,,დაგიხატია,
დავუხატივარ,დაუხატიხარ,დაუხატია,დავუხატივართ,დაუხატიხართ,დაუხატია,
,დაგვიხატიხარ,დაგვიხატია,,დაგვიხატიხართ,დაგვიხატია,
დაგიხატივართ,,დაგიხატიათ,დაგიხატივართ,,დაგიხატიათ,
დავუხატივარ,დაუხატიხარ,დაუხატიათ,დავუხატივართ,დაუხატიხართ,დაუხატიათ,
